Date,Time,"Temperature (S-THB 21114839:20824084-1),°C,Cavenish Green Gables","RH (S-THB 21114839:20824084-2),%,Cavenish Green Gables","Dew Point (S-THB 21114839:20824084-3),°C,Cavenish Green Gables","Rain (S-RGB 21114839:21092075-1),mm,Cavenish Green Gables","Wind Direction (S-WCF 21114839:21107892-3),°,Cavenish Green Gables","Solar Radiation (S-LIB 21114839:21109518-1),W/m²,Cavenish Green Gables","Battery (RX3000 BATTERY 21114839:21114839-B),V,Cavenish Green Gables","Average wind speed (S-WCF 21114839:21107892-1),Km/h,Cavenish Green Gables","Wind gust speed (S-WCF 21114839:21107892-2),Km/h,Cavenish Green Gables","Wind Speed (S-WCF 21114839:21107892-1),m/s,Cavenish Green Gables","Gust Speed (S-WCF 21114839:21107892-2),m/s,Cavenish Green Gables"
10/12/2022,10:40:00 -0300,12,72.1,7.14,0,278,412,4.319,11,18,,
10/12/2022,10:45:00 -0300,12.53,71.2,7.47,0,253,422,4.323,8,12,,
10/12/2022,10:55:00 -0300,12.92,69.2,7.43,0,251,439,4.322,10,16,,
10/12/2022,11:00:00 -0300,13.18,69.1,7.66,0,239,446,4.316,8,14,,
10/12/2022,11:05:00 -0300,12.85,68.8,7.27,0,248,454,4.302,11,18,,
10/12/2022,11:10:00 -0300,13.23,68.9,7.66,0,250,464,4.292,10,16,,
10/12/2022,11:15:00 -0300,14.12,69.4,8.62,0,284,471,4.308,7,17,,
10/12/2022,11:20:00 -0300,12.92,69.6,7.51,0,258,478,4.326,11,19,,
10/12/2022,11:25:00 -0300,13.45,66.4,7.33,0,270,486,4.313,11,16,,
10/12/2022,11:30:00 -0300,13.81,67.4,7.89,0,234,492,4.299,7,16,,
10/12/2022,11:35:00 -0300,13.71,66.8,7.67,0,260,497,4.316,10,14,,
10/12/2022,11:40:00 -0300,13.98,66,7.74,0,246,506,4.31,7,13,,
10/12/2022,11:45:00 -0300,14.05,63.9,7.34,0,247,513,4.299,7,12,,
10/12/2022,11:50:00 -0300,13.79,63.4,6.97,0,248,517,4.316,10,20,,
10/12/2022,11:55:00 -0300,13.86,61,6.48,0,237,524,4.311,11,18,,
10/12/2022,12:00:00 -0300,14.1,62.3,7.01,0,258,527,4.299,12,19,,
10/12/2022,12:05:00 -0300,13.98,60,6.35,0,264,533,4.317,13,20,,
10/12/2022,12:10:00 -0300,14.34,60,6.69,0,264,538,4.298,11,18,,
10/12/2022,12:15:00 -0300,14.24,59.5,6.48,0,271,542,4.301,14,22,,
10/12/2022,12:20:00 -0300,14.15,57.5,5.89,0,271,547,4.322,14,23,,
