Date,Time,"Temperature (S-THB 21114839:20824084-1),°C,Cavenish Green Gables","RH (S-THB 21114839:20824084-2),%,Cavenish Green Gables","Dew Point (S-THB 21114839:20824084-3),°C,Cavenish Green Gables","Rain (S-RGB 21114839:21092075-1),mm,Cavenish Green Gables","Wind Direction (S-WCF 21114839:21107892-3),°,Cavenish Green Gables","Solar Radiation (S-LIB 21114839:21109518-1),W/m²,Cavenish Green Gables","Battery (RX3000 BATTERY 21114839:21114839-B),V,Cavenish Green Gables","Average wind speed (S-WCF 21114839:21107892-1),Km/h,Cavenish Green Gables","Wind gust speed (S-WCF 21114839:21107892-2),Km/h,Cavenish Green Gables","Wind Speed (S-WCF 21114839:21107892-1),m/s,Cavenish Green Gables","Gust Speed (S-WCF 21114839:21107892-2),m/s,Cavenish Green Gables"
04/01/2023,00:00:00 -0300,-0.87,89.3,-2.42,0,180,1,,13,19,,
04/01/2023,00:00:01 -0300,,,,,,,4.218,,,,
04/01/2023,00:05:00 -0300,-0.9,89.4,-2.43,0,183,1,,13,19,,
04/01/2023,00:05:01 -0300,,,,,,,4.224,,,,
04/01/2023,00:10:00 -0300,-0.93,89.5,-2.44,0,185,1,,13,19,,
04/01/2023,00:10:01 -0300,,,,,,,4.211,,,,
04/01/2023,00:15:00 -0300,-0.96,89.5,-2.47,0,184,1,,12,17,,
04/01/2023,00:15:01 -0300,,,,,,,4.217,,,,
04/01/2023,00:20:00 -0300,-0.99,89.5,-2.5,0,183,1,,14,20,,
04/01/2023,00:20:01 -0300,,,,,,,4.221,,,,
04/01/2023,00:25:00 -0300,-0.96,89.6,-2.45,0,180,1,,14,20,,
04/01/2023,00:25:01 -0300,,,,,,,4.212,,,,
04/01/2023,00:30:00 -0300,-1.01,89.4,-2.54,0,180,1,,13,19,,
04/01/2023,00:30:01 -0300,,,,,,,4.215,,,,
04/01/2023,00:35:00 -0300,-1.04,89.4,-2.57,0,183,1,,12,16,,
04/01/2023,00:35:01 -0300,,,,,,,4.22,,,,
04/01/2023,00:40:00 -0300,-1.01,89.4,-2.54,0,184,1,,12,17,,
04/01/2023,00:40:01 -0300,,,,,,,4.209,,,,
04/01/2023,00:45:00 -0300,-1.04,89.4,-2.57,0,188,1,,11,16,,
04/01/2023,00:45:01 -0300,,,,,,,4.214,,,,
04/01/2023,00:50:00 -0300,-1.07,89.4,-2.6,0,192,1,,11,18,,
04/01/2023,00:50:01 -0300,,,,,,,4.22,,,,
04/01/2023,00:55:00 -0300,-1.07,89.5,-2.58,0,192,1,,10,16,,
04/01/2023,00:55:01 -0300,,,,,,,4.209,,,,
04/01/2023,01:00:00 -0300,-1.04,89.5,-2.55,0,187,1,,13,19,,
04/01/2023,01:00:01 -0300,,,,,,,4.212,,,,
04/01/2023,01:05:00 -0300,-0.99,89.3,-2.53,0,190,1,,14,20,,
04/01/2023,01:05:01 -0300,,,,,,,4.218,,,,
04/01/2023,01:10:00 -0300,-1.01,89.2,-2.57,0,187,1,,12,20,,
04/01/2023,01:10:01 -0300,,,,,,,4.205,,,,
04/01/2023,01:15:00 -0300,-1.01,89.1,-2.59,0,185,1,,13,18,,
04/01/2023,01:15:01 -0300,,,,,,,4.212,,,,
04/01/2023,01:20:00 -0300,-0.96,88.7,-2.59,0,191,1,,12,19,,
04/01/2023,01:20:01 -0300,,,,,,,4.217,,,,
04/01/2023,01:25:00 -0300,-0.96,88.5,-2.62,0,190,1,,12,20,,
04/01/2023,01:25:01 -0300,,,,,,,4.206,,,,
