Date,Time,"Temperature (S-THB 21114839:20824084-1),°C,Cavenish Green Gables","RH (S-THB 21114839:20824084-2),%,Cavenish Green Gables","Dew Point (S-THB 21114839:20824084-3),°C,Cavenish Green Gables","Rain (S-RGB 21114839:21092075-1),mm,Cavenish Green Gables","Wind Direction (S-WCF 21114839:21107892-3),°,Cavenish Green Gables","Solar Radiation (S-LIB 21114839:21109518-1),W/m²,Cavenish Green Gables","Battery (RX3000 BATTERY 21114839:21114839-B),V,Cavenish Green Gables","Average wind speed (S-WCF 21114839:21107892-1),Km/h,Cavenish Green Gables","Wind gust speed (S-WCF 21114839:21107892-2),Km/h,Cavenish Green Gables","Wind Speed (S-WCF 21114839:21107892-1),m/s,Cavenish Green Gables","Gust Speed (S-WCF 21114839:21107892-2),m/s,Cavenish Green Gables"
12/01/2023,00:00:00 -0400,1.7,85.8,-0.42,0,185,1,,11,16,,
12/01/2023,00:02:00 -0400,1.8,86,-0.29,0,194,1,,13,19,,
12/01/2023,00:03:00 -0400,,,,,,,4.163,,,,
12/01/2023,00:04:00 -0400,1.86,85.8,-0.27,0,201,1,,12,19,,
12/01/2023,00:06:00 -0400,1.89,85.8,-0.24,0,195,1,,13,20,,
12/01/2023,00:08:00 -0400,1.86,85.7,-0.28,0,181,1,4.17,11,17,,
12/01/2023,00:10:00 -0400,1.86,85.7,-0.28,0,175,1,,13,19,,
12/01/2023,00:12:00 -0400,1.89,85.6,-0.27,0,174,1,,13,18,,
12/01/2023,00:13:00 -0400,,,,,,,4.175,,,,
12/01/2023,00:14:00 -0400,1.94,85.5,-0.23,0,188,1,,16,24,,
12/01/2023,00:16:00 -0400,1.97,85.5,-0.21,0,192,1,,12,22,,
12/01/2023,00:18:00 -0400,1.94,85.5,-0.23,0,194,1,4.157,12,16,,
12/01/2023,00:20:00 -0400,1.99,85.5,-0.18,0,188,1,,17,24,,
12/01/2023,00:22:00 -0400,2.02,85.2,-0.2,0,185,1,,14,19,,
