Date,Time,"Temperature (S-THB 21114839:20824084-1),°C,Cavenish Green Gables","RH (S-THB 21114839:20824084-2),%,Cavenish Green Gables","Dew Point (S-THB 21114839:20824084-3),°C,Cavenish Green Gables","Rain (S-RGB 21114839:21092075-1),mm,Cavenish Green Gables","Wind Direction (S-WCF 21114839:21107892-3),°,Cavenish Green Gables","Solar Radiation (S-LIB 21114839:21109518-1),W/m²,Cavenish Green Gables","Battery (RX3000 BATTERY 21114839:21114839-B),V,Cavenish Green Gables","Average wind speed (S-WCF 21114839:21107892-1),Km/h,Cavenish Green Gables","Wind gust speed (S-WCF 21114839:21107892-2),Km/h,Cavenish Green Gables","Wind Speed (S-WCF 21114839:21107892-1),m/s,Cavenish Green Gables","Gust Speed (S-WCF 21114839:21107892-2),m/s,Cavenish Green Gables"
01/01/2023,00:00:00 -0400,7.87,97.4,7.49,0,247,1,4.2,6,12,,
01/01/2023,00:05:00 -0400,7.82,97.3,7.43,0,240,1,4.214,6,11,,
01/01/2023,00:10:00 -0400,7.84,97.4,7.47,0,241,1,4.217,6,11,,
01/01/2023,00:15:00 -0400,7.87,97.4,7.49,0,244,1,4.202,6,11,,
01/01/2023,00:20:00 -0400,7.84,97.4,7.47,0,244,1,4.214,6,11,,
01/01/2023,00:25:00 -0400,7.87,97.4,7.49,0,250,1,4.215,6,10,,
01/01/2023,00:30:00 -0400,7.84,97.4,7.47,0,254,1,4.197,5,10,,
01/01/2023,00:35:00 -0400,7.87,97.5,7.51,0,251,1,4.212,5,8,,
01/01/2023,00:40:00 -0400,7.92,97.5,7.56,0,257,1,4.215,6,11,,
01/01/2023,00:45:00 -0400,7.95,97.5,7.58,0,257,1,4.199,6,10,,
01/01/2023,00:50:00 -0400,7.95,97.6,7.6,0,257,1,4.211,6,11,,
01/01/2023,00:55:00 -0400,7.92,97.6,7.57,0,248,1,4.214,5,10,,
01/01/2023,01:00:00 -0400,7.9,97.6,7.55,0,257,1,4.197,4,8,,
01/01/2023,01:05:00 -0400,7.9,97.6,7.55,0,251,1,4.211,6,8,,
01/01/2023,01:10:00 -0400,7.87,97.6,7.52,0,256,1,4.212,5,8,,
01/01/2023,01:15:00 -0400,7.82,97.5,7.46,0,254,1,4.199,5,8,,
01/01/2023,01:20:00 -0400,7.82,97.6,7.47,0,251,1,4.209,5,10,,
01/01/2023,01:25:00 -0400,7.82,97.6,7.47,0,258,1,4.212,6,10,,
01/01/2023,01:30:00 -0400,7.82,97.6,7.47,0,260,1,4.196,5,10,,
01/01/2023,01:35:00 -0400,7.79,97.7,7.46,0,267,1,4.208,6,10,,
01/01/2023,01:40:00 -0400,7.79,97.7,7.46,0,263,1,4.211,6,10,,
01/01/2023,01:45:00 -0400,7.74,97.7,7.41,0,265,1,4.196,4,6,,
01/01/2023,01:50:00 -0400,7.72,97.7,7.39,0,260,1,4.208,4,7,,
01/01/2023,01:55:00 -0400,7.69,97.8,7.38,0,257,1,4.211,5,8,,
01/01/2023,02:00:00 -0400,7.69,97.8,7.38,0,254,1,4.194,4,6,,
01/01/2023,02:05:00 -0400,7.64,97.8,7.33,0,257,1,4.206,2,6,,
01/01/2023,02:10:00 -0400,7.64,97.7,7.31,0,243,1,4.209,2,7,,
01/01/2023,02:15:00 -0400,7.62,97.8,7.3,0,216,1,4.193,2,6,,
01/01/2023,02:20:00 -0400,7.67,97.8,7.35,0,236,1,4.205,4,7,,
01/01/2023,02:25:00 -0400,7.64,97.7,7.31,0,250,1,4.209,2,6,,
01/01/2023,02:30:00 -0400,7.67,97.8,7.35,0,246,1,4.193,2,5,,
01/01/2023,02:35:00 -0400,7.67,97.8,7.35,0,281,1,4.205,2,5,,
01/01/2023,02:40:00 -0400,7.64,97.8,7.33,0,282,1,4.208,2,5,,
01/01/2023,02:45:00 -0400,7.62,97.8,7.3,0,278,1,4.191,2,6,,
01/01/2023,02:50:00 -0400,7.62,97.8,7.3,0,272,1,4.203,1,5,,
01/01/2023,02:55:00 -0400,7.57,97.8,7.25,0,272,1,4.206,1,2,,
01/01/2023,03:00:00 -0400,7.52,97.8,7.2,0,272,1,4.191,0,2,,
01/01/2023,03:05:00 -0400,7.49,97.8,7.18,0,272,1,4.203,0,1,,
01/01/2023,03:10:00 -0400,7.47,97.8,7.15,0,272,1,4.206,0,0,,
01/01/2023,03:15:00 -0400,7.42,97.7,7.09,0,272,1,4.19,0,0,,
01/01/2023,03:20:00 -0400,7.37,97.7,7.04,0,272,1,4.202,0,0,,
01/01/2023,03:25:00 -0400,7.37,97.7,7.04,0,272,1,4.205,0,0,,
01/01/2023,03:30:00 -0400,7.34,97.7,7.01,0,272,1,4.188,0,0,,
01/01/2023,03:35:00 -0400,7.32,97.7,6.98,0,272,1,4.202,0,0,,
01/01/2023,03:40:00 -0400,7.32,97.7,6.98,0,272,1,4.205,0,0,,
01/01/2023,03:45:00 -0400,7.27,97.8,6.95,0,272,1,4.188,0,1,,
01/01/2023,03:50:00 -0400,7.22,97.8,6.9,0,272,1,4.2,0,0,,
01/01/2023,03:55:00 -0400,7.14,97.8,6.82,0,272,1,4.203,0,0,,
01/01/2023,04:00:00 -0400,7.04,97.7,6.71,0,272,1,4.184,0,0,,
01/01/2023,04:05:00 -0400,6.99,97.7,6.66,0,272,1,4.199,0,0,,
01/01/2023,04:10:00 -0400,7.04,97.8,6.72,0,272,1,4.202,0,2,,
01/01/2023,04:15:00 -0400,6.89,97.7,6.56,0,251,1,4.187,2,4,,
01/01/2023,04:20:00 -0400,6.94,97.8,6.62,0,220,1,4.199,1,4,,
01/01/2023,04:25:00 -0400,6.96,97.8,6.65,0,220,1,4.202,1,2,,
01/01/2023,04:30:00 -0400,6.91,97.8,6.6,0,220,1,4.184,0,1,,
01/01/2023,04:35:00 -0400,6.94,97.8,6.62,0,220,1,4.197,0,2,,
01/01/2023,04:40:00 -0400,6.91,97.7,6.58,0,220,1,4.202,1,2,,
01/01/2023,04:45:00 -0400,6.96,97.8,6.65,0,220,1,4.184,1,2,,
01/01/2023,04:50:00 -0400,6.89,97.8,6.57,0.2,220,1,4.197,0,1,,
01/01/2023,04:55:00 -0400,6.89,97.8,6.57,0,220,1,4.2,0,1,,
01/01/2023,05:00:00 -0400,6.94,97.8,6.62,0,220,1,4.182,0,0,,
01/01/2023,05:05:00 -0400,6.91,97.8,6.6,0,220,1,4.197,0,1,,
01/01/2023,05:10:00 -0400,6.86,97.8,6.55,0,220,1,4.199,1,2,,
01/01/2023,05:15:00 -0400,6.71,97.8,6.39,0,220,1,4.182,1,4,,
01/01/2023,05:20:00 -0400,6.66,97.9,6.36,0,220,1,4.196,1,4,,
01/01/2023,05:25:00 -0400,6.56,98,6.27,0,220,1,4.199,1,4,,
01/01/2023,05:30:00 -0400,6.48,97.9,6.18,0,111,1,4.182,1,4,,
01/01/2023,05:35:00 -0400,6.46,98,6.17,0,76,1,4.196,1,5,,
01/01/2023,05:40:00 -0400,6.41,98,6.12,0.2,65,1,4.199,2,6,,
01/01/2023,05:45:00 -0400,6.36,98.1,6.08,0,69,1,4.182,2,6,,
01/01/2023,05:50:00 -0400,6.33,98.1,6.06,0,77,1,4.194,2,5,,
01/01/2023,05:55:00 -0400,6.28,98.2,6.02,0,81,1,4.197,4,6,,
01/01/2023,06:00:00 -0400,6.23,98.1,5.96,0,77,1,4.181,2,7,,
01/01/2023,06:05:00 -0400,6.15,98.2,5.9,0,86,1,4.193,2,6,,
01/01/2023,06:10:00 -0400,6.15,98.2,5.9,0,81,1,4.197,2,7,,
01/01/2023,06:15:00 -0400,6.13,98.2,5.87,0,70,1,4.179,2,7,,
