Date,Time,"Temperature (S-THB 21114839:20824084-1),°C,Cavenish Green Gables","RH (S-THB 21114839:20824084-2),%,Cavenish Green Gables","Dew Point (S-THB 21114839:20824084-3),°C,Cavenish Green Gables","Rain (S-RGB 21114839:21092075-1),mm,Cavenish Green Gables","Wind Direction (S-WCF 21114839:21107892-3),°,Cavenish Green Gables","Solar Radiation (S-LIB 21114839:21109518-1),W/m²,Cavenish Green Gables","Battery (RX3000 BATTERY 21114839:21114839-B),V,Cavenish Green Gables","Average wind speed (S-WCF 21114839:21107892-1),Km/h,Cavenish Green Gables","Wind gust speed (S-WCF 21114839:21107892-2),Km/h,Cavenish Green Gables","Wind Speed (S-WCF 21114839:21107892-1),m/s,Cavenish Green Gables","Gust Speed (S-WCF 21114839:21107892-2),m/s,Cavenish Green Gables"
07/01/2023,00:00:00 -0300,20.63,92.6,19.41,0,180,1,,13,23,,
07/01/2023,00:02:00 -0300,20.6,92.6,19.39,0,187,1,,12,18,,
07/01/2023,00:03:00 -0300,,,,,,,4.268,,,,
07/01/2023,00:04:00 -0300,20.63,92.7,19.43,0,188,1,,14,23,,
07/01/2023,00:06:00 -0300,20.6,92.6,19.39,0,185,1,,12,17,,
07/01/2023,00:08:00 -0300,20.6,92.7,19.4,0,192,1,4.257,12,18,,
07/01/2023,00:10:00 -0300,20.58,92.7,19.38,0,194,1,,12,17,,
07/01/2023,00:12:00 -0300,20.58,92.8,19.4,0,190,1,,18,28,,
07/01/2023,00:13:00 -0300,,,,,,,4.265,,,,
07/01/2023,00:14:00 -0300,20.6,92.6,19.39,0,183,1,,16,23,,
07/01/2023,00:16:00 -0300,20.63,92.6,19.41,0,184,1,,16,22,,
07/01/2023,00:18:00 -0300,20.63,92.7,19.43,0,190,1,4.266,17,26,,
07/01/2023,00:20:00 -0300,20.63,92.7,19.43,0,188,1,,18,26,,
07/01/2023,00:22:00 -0300,20.65,92.6,19.43,0,190,1,,17,22,,
