Date,Time,"Temperature (S-THB 21114839:20824084-1),°C,Cavenish Green Gables","RH (S-THB 21114839:20824084-2),%,Cavenish Green Gables","Dew Point (S-THB 21114839:20824084-3),°C,Cavenish Green Gables","Rain (S-RGB 21114839:21092075-1),mm,Cavenish Green Gables","Wind Direction (S-WCF 21114839:21107892-3),°,Cavenish Green Gables","Solar Radiation (S-LIB 21114839:21109518-1),W/m²,Cavenish Green Gables","Battery (RX3000 BATTERY 21114839:21114839-B),V,Cavenish Green Gables","Average wind speed (S-WCF 21114839:21107892-1),Km/h,Cavenish Green Gables","Wind gust speed (S-WCF 21114839:21107892-2),Km/h,Cavenish Green Gables","Wind Speed (S-WCF 21114839:21107892-1),m/s,Cavenish Green Gables","Gust Speed (S-WCF 21114839:21107892-2),m/s,Cavenish Green Gables"
06/01/2023,00:00:00 -0300,18.22,63.1,11.11,0,226,1,,16,23,,
06/01/2023,00:00:01 -0300,,,,,,,4.254,,,,
06/01/2023,00:02:00 -0300,18.25,62.8,11.06,0,229,1,,14,25,,
06/01/2023,00:04:00 -0300,18.2,62.9,11.03,0,236,1,,14,20,,
06/01/2023,00:05:01 -0300,,,,,,,4.266,,,,
06/01/2023,00:06:00 -0300,18.15,63,11.01,0,234,1,,16,23,,
06/01/2023,00:08:00 -0300,18.15,63,11.01,0,227,1,,16,25,,
06/01/2023,00:10:00 -0300,18.1,63.2,11.02,0,226,1,,17,25,,
06/01/2023,00:10:01 -0300,,,,,,,4.268,,,,
06/01/2023,00:12:00 -0300,17.99,63.4,10.95,0,229,1,,13,20,,
06/01/2023,00:14:00 -0300,17.99,63.6,11,0,230,1,,14,20,,
06/01/2023,00:15:01 -0300,,,,,,,4.25,,,,
06/01/2023,00:16:00 -0300,18.03,63.3,10.97,0,225,1,,14,22,,
06/01/2023,00:18:00 -0300,18.15,63.2,11.06,0,223,1,,16,28,,
06/01/2023,00:20:00 -0300,18.06,63.3,11,0,220,1,,14,25,,
06/01/2023,00:20:01 -0300,,,,,,,4.265,,,,
06/01/2023,00:22:00 -0300,17.99,63.2,10.9,0,229,1,,16,23,,
06/01/2023,00:24:00 -0300,17.89,63.6,10.91,0,229,1,,16,25,,
06/01/2023,00:25:01 -0300,,,,,,,4.268,,,,
06/01/2023,00:26:00 -0300,17.8,63.7,10.84,0,229,1,,14,18,,
06/01/2023,00:28:00 -0300,17.75,63.9,10.84,0,227,1,,14,22,,
06/01/2023,00:30:00 -0300,17.7,64.1,10.85,0,227,1,,14,23,,
06/01/2023,00:30:01 -0300,,,,,,,4.25,,,,
06/01/2023,00:32:00 -0300,17.68,64.1,10.82,0,226,1,,16,24,,
06/01/2023,00:34:00 -0300,17.56,64.3,10.76,0,227,1,,14,19,,
06/01/2023,00:35:01 -0300,,,,,,,4.265,,,,
06/01/2023,00:36:00 -0300,17.42,64.6,10.69,0,223,1,,14,23,,
06/01/2023,00:38:00 -0300,17.37,64.9,10.72,0,223,1,,13,25,,
06/01/2023,00:40:00 -0300,17.44,64.7,10.74,0,223,1,,18,26,,
06/01/2023,00:40:01 -0300,,,,,,,4.266,,,,
06/01/2023,00:42:00 -0300,17.37,64.9,10.72,0,229,1,,14,20,,
06/01/2023,00:44:00 -0300,17.32,65,10.69,0,229,1,,14,22,,
06/01/2023,00:45:01 -0300,,,,,,,4.248,,,,
06/01/2023,00:46:00 -0300,17.13,65.4,10.61,0,226,1,,14,22,,
06/01/2023,00:48:00 -0300,17.13,65.4,10.61,0,226,1,,17,23,,
06/01/2023,00:50:00 -0300,17.11,65.6,10.63,0,227,1,,16,26,,
06/01/2023,00:50:01 -0300,,,,,,,4.263,,,,
06/01/2023,00:52:00 -0300,17.18,65.5,10.67,0,230,1,,16,28,,
06/01/2023,00:54:00 -0300,17.13,65.5,10.63,0,233,1,,14,20,,
06/01/2023,00:55:01 -0300,,,,,,,4.266,,,,
06/01/2023,00:56:00 -0300,17.03,65.7,10.58,0,229,1,,13,18,,
06/01/2023,00:58:00 -0300,17.06,65.8,10.63,0,225,1,,13,19,,
06/01/2023,01:00:00 -0300,17.13,65.8,10.7,0,226,1,,16,25,,
06/01/2023,01:00:01 -0300,,,,,,,4.247,,,,
06/01/2023,01:02:00 -0300,17.25,65.3,10.7,0,227,1,,17,24,,
06/01/2023,01:04:00 -0300,17.27,65.3,10.72,0,225,1,,16,25,,
06/01/2023,01:05:01 -0300,,,,,,,4.262,,,,
06/01/2023,01:06:00 -0300,17.2,65.3,10.65,0,225,1,,14,22,,
06/01/2023,01:08:00 -0300,17.11,65.5,10.61,0,230,1,,16,25,,
