Date,Time,"Temperature (S-THB 21114839:20824084-1),°C,Cavenish Green Gables","RH (S-THB 21114839:20824084-2),%,Cavenish Green Gables","Dew Point (S-THB 21114839:20824084-3),°C,Cavenish Green Gables","Rain (S-RGB 21114839:21092075-1),mm,Cavenish Green Gables","Wind Direction (S-WCF 21114839:21107892-3),°,Cavenish Green Gables","Solar Radiation (S-LIB 21114839:21109518-1),W/m²,Cavenish Green Gables","Battery (RX3000 BATTERY 21114839:21114839-B),V,Cavenish Green Gables","Average wind speed (S-WCF 21114839:21107892-1),Km/h,Cavenish Green Gables","Wind gust speed (S-WCF 21114839:21107892-2),Km/h,Cavenish Green Gables","Wind Speed (S-WCF 21114839:21107892-1),m/s,Cavenish Green Gables","Gust Speed (S-WCF 21114839:21107892-2),m/s,Cavenish Green Gables"
05/01/2023,00:00:00 -0300,5.51,74.2,1.29,0,163,1,,14,19,,
05/01/2023,00:00:01 -0300,,,,,,,4.232,,,,
05/01/2023,00:02:00 -0300,5.49,74.1,1.25,0,168,1,,13,19,,
05/01/2023,00:04:00 -0300,5.46,73.8,1.17,0,161,1,,14,24,,
05/01/2023,00:05:01 -0300,,,,,,,4.238,,,,
05/01/2023,00:06:00 -0300,5.44,73.8,1.14,0,164,1,,14,19,,
05/01/2023,00:08:00 -0300,5.36,73.8,1.07,0,157,1,,12,18,,
05/01/2023,00:10:00 -0300,5.31,73.8,1.02,0,164,1,,13,20,,
05/01/2023,00:10:01 -0300,,,,,,,4.242,,,,
05/01/2023,00:12:00 -0300,5.26,73.8,0.97,0,160,1,,11,16,,
05/01/2023,00:14:00 -0300,5.23,73.7,0.92,0,160,1,,13,18,,
05/01/2023,00:15:01 -0300,,,,,,,4.23,,,,
05/01/2023,00:16:00 -0300,5.13,73.7,0.83,0,150,1,,12,17,,
05/01/2023,00:18:00 -0300,5.08,73.7,0.78,0,160,1,,13,17,,
05/01/2023,00:20:00 -0300,5.08,73.2,0.68,0,164,1,,13,18,,
05/01/2023,00:20:01 -0300,,,,,,,4.238,,,,
05/01/2023,00:22:00 -0300,5.08,72.7,0.59,0,163,1,,12,18,,
05/01/2023,00:24:00 -0300,5.08,72.3,0.51,0,163,1,,12,16,,
05/01/2023,00:25:01 -0300,,,,,,,4.242,,,,
05/01/2023,00:26:00 -0300,5,72.1,0.4,0,163,1,,11,17,,
05/01/2023,00:28:00 -0300,4.95,71.2,0.17,0,156,1,,12,17,,
05/01/2023,00:30:00 -0300,5,69.6,-0.09,0,154,1,,14,19,,
05/01/2023,00:30:01 -0300,,,,,,,4.229,,,,
05/01/2023,00:32:00 -0300,4.97,69.3,-0.17,0,159,1,,11,16,,
05/01/2023,00:34:00 -0300,4.87,68.3,-0.47,0,154,1,,12,20,,
05/01/2023,00:35:01 -0300,,,,,,,4.236,,,,
05/01/2023,00:36:00 -0300,4.84,68.4,-0.48,0,154,1,,11,18,,
05/01/2023,00:38:00 -0300,4.82,67.1,-0.76,0,156,1,,13,18,,
05/01/2023,00:40:00 -0300,4.84,66.9,-0.78,0,161,1,,11,16,,
05/01/2023,00:40:01 -0300,,,,,,,4.239,,,,
05/01/2023,00:42:00 -0300,4.74,66.6,-0.94,0,160,1,,10,12,,
05/01/2023,00:44:00 -0300,4.79,65.6,-1.1,0,150,1,,12,19,,
05/01/2023,00:45:01 -0300,,,,,,,4.227,,,,
05/01/2023,00:46:00 -0300,4.64,65.9,-1.18,0,156,1,,7,12,,
05/01/2023,00:48:00 -0300,4.51,66.2,-1.25,0,149,1,,7,13,,
05/01/2023,00:50:00 -0300,4.48,66.4,-1.23,0,152,1,,8,11,,
05/01/2023,00:50:01 -0300,,,,,,,4.235,,,,
05/01/2023,00:52:00 -0300,4.43,67,-1.16,0,159,1,,8,12,,
