Date,Time,"Temperature (S-THB 21114839:20824084-1),°C,Cavenish Green Gables","RH (S-THB 21114839:20824084-2),%,Cavenish Green Gables","Dew Point (S-THB 21114839:20824084-3),°C,Cavenish Green Gables","Rain (S-RGB 21114839:21092075-1),mm,Cavenish Green Gables","Wind Direction (S-WCF 21114839:21107892-3),°,Cavenish Green Gables","Solar Radiation (S-LIB 21114839:21109518-1),W/m²,Cavenish Green Gables","Battery (RX3000 BATTERY 21114839:21114839-B),V,Cavenish Green Gables","Average wind speed (S-WCF 21114839:21107892-1),Km/h,Cavenish Green Gables","Wind gust speed (S-WCF 21114839:21107892-2),Km/h,Cavenish Green Gables","Wind Speed (S-WCF 21114839:21107892-1),m/s,Cavenish Green Gables","Gust Speed (S-WCF 21114839:21107892-2),m/s,Cavenish Green Gables"
11/01/2023,00:00:00 -0300,1.04,77.2,-2.5,0,236,1,,6,11,,
11/01/2023,00:02:00 -0300,0.96,77.4,-2.54,0,236,1,,5,11,,
11/01/2023,00:03:00 -0300,,,,,,,4.197,,,,
11/01/2023,00:04:00 -0300,0.91,77.5,-2.58,0,247,1,,5,8,,
11/01/2023,00:06:00 -0300,0.88,77.8,-2.55,0,227,1,,6,10,,
11/01/2023,00:08:00 -0300,0.82,77.9,-2.59,0,223,1,4.181,5,7,,
11/01/2023,00:10:00 -0300,0.77,78,-2.63,0,234,1,,6,10,,
11/01/2023,00:12:00 -0300,0.71,78.2,-2.65,0,233,1,,7,10,,
11/01/2023,00:13:00 -0300,,,,,,,4.191,,,,
11/01/2023,00:14:00 -0300,0.74,78.4,-2.58,0,243,1,,7,11,,
11/01/2023,00:16:00 -0300,0.71,78.4,-2.61,0,243,1,,10,14,,
11/01/2023,00:18:00 -0300,0.71,78.5,-2.59,0,244,1,4.196,8,12,,
11/01/2023,00:20:00 -0300,0.74,78.6,-2.55,0,247,1,,8,12,,
11/01/2023,00:22:00 -0300,0.71,78.7,-2.56,0,253,1,,8,12,,
11/01/2023,00:23:00 -0300,,,,,,,4.182,,,,
11/01/2023,00:24:00 -0300,0.66,78.7,-2.61,0,254,1,,8,12,,
11/01/2023,00:26:00 -0300,0.6,78.9,-2.63,0,248,1,,8,11,,
11/01/2023,00:28:00 -0300,0.69,78.9,-2.55,0,236,1,4.191,7,13,,
11/01/2023,00:30:00 -0300,0.66,79,-2.56,0,243,1,,6,11,,
11/01/2023,00:32:00 -0300,0.63,79,-2.59,0,240,1,,6,10,,
11/01/2023,00:33:00 -0300,,,,,,,4.196,,,,
11/01/2023,00:34:00 -0300,0.55,79.1,-2.65,0,248,1,,6,10,,
11/01/2023,00:36:00 -0300,0.63,79.3,-2.54,0,239,1,,7,10,,
11/01/2023,00:38:00 -0300,0.66,79.2,-2.53,0,229,1,4.179,7,10,,
11/01/2023,00:40:00 -0300,0.69,79.2,-2.5,0,234,1,,7,11,,
11/01/2023,00:42:00 -0300,0.66,79.1,-2.55,0,219,1,,7,11,,
11/01/2023,00:43:00 -0300,,,,,,,4.19,,,,
11/01/2023,00:44:00 -0300,0.66,79.2,-2.53,0,236,1,,7,13,,
11/01/2023,00:46:00 -0300,0.69,79.2,-2.5,0,253,1,,7,11,,
11/01/2023,00:48:00 -0300,0.69,79.4,-2.47,0,250,1,4.194,7,10,,
11/01/2023,00:50:00 -0300,0.71,79.4,-2.44,0,248,1,,8,12,,
11/01/2023,00:52:00 -0300,0.71,79.5,-2.42,0,250,1,,8,12,,
11/01/2023,00:53:00 -0300,,,,,,,4.179,,,,
11/01/2023,00:54:00 -0300,0.8,79.5,-2.34,0,243,1,,10,11,,
11/01/2023,00:56:00 -0300,0.77,79.5,-2.37,0,244,1,,7,13,,
11/01/2023,00:58:00 -0300,0.82,79.6,-2.3,0,246,1,4.19,7,10,,
11/01/2023,01:00:00 -0300,0.85,79.5,-2.29,0,244,1,,7,10,,
11/01/2023,01:02:00 -0300,0.85,79.6,-2.27,0,247,1,,8,12,,
11/01/2023,01:03:00 -0300,,,,,,,4.194,,,,
11/01/2023,01:04:00 -0300,0.88,79.6,-2.25,0,243,1,,8,11,,
11/01/2023,01:06:00 -0300,0.88,79.6,-2.25,0,246,1,,7,10,,
11/01/2023,01:08:00 -0300,0.88,79.7,-2.23,0,236,1,4.178,6,10,,
11/01/2023,01:10:00 -0300,0.88,79.7,-2.23,0,241,1,,7,11,,
11/01/2023,01:12:00 -0300,0.93,79.7,-2.18,0,240,1,,6,10,,
11/01/2023,01:13:00 -0300,,,,,,,4.188,,,,
11/01/2023,01:14:00 -0300,0.93,79.8,-2.16,0,241,1,,7,11,,
11/01/2023,01:16:00 -0300,0.93,79.8,-2.16,0,243,1,,6,10,,
11/01/2023,01:18:00 -0300,0.93,79.8,-2.16,0,236,1,4.193,6,8,,
11/01/2023,01:20:00 -0300,0.93,79.8,-2.16,0,230,1,,6,11,,
11/01/2023,01:22:00 -0300,0.93,79.8,-2.16,0,227,1,,7,8,,
11/01/2023,01:23:00 -0300,,,,,,,4.178,,,,
11/01/2023,01:24:00 -0300,0.93,79.9,-2.14,0,226,1,,7,11,,
11/01/2023,01:26:00 -0300,0.96,80,-2.1,0,234,1,,6,11,,
11/01/2023,01:28:00 -0300,0.99,80,-2.07,0,225,1,4.188,7,12,,
11/01/2023,01:30:00 -0300,0.99,80,-2.07,0,232,1,,7,11,,
11/01/2023,01:32:00 -0300,1.02,80.1,-2.03,0,226,1,,7,11,,
11/01/2023,01:33:00 -0300,,,,,,,4.193,,,,
11/01/2023,01:34:00 -0300,1.02,80,-2.04,0,233,1,,6,10,,
11/01/2023,01:36:00 -0300,1.04,80.1,-2,0,236,1,,7,11,,
11/01/2023,01:38:00 -0300,1.04,80.1,-2,0,229,1,4.176,7,11,,
11/01/2023,01:40:00 -0300,1.07,80.1,-1.97,0,229,1,,7,10,,
11/01/2023,01:42:00 -0300,1.13,80,-1.94,0,225,1,,7,13,,
11/01/2023,01:43:00 -0300,,,,,,,4.187,,,,
11/01/2023,01:44:00 -0300,1.15,80,-1.91,0,227,1,,8,11,,
11/01/2023,01:46:00 -0300,1.15,80,-1.91,0,247,1,,7,11,,
11/01/2023,01:48:00 -0300,1.18,80.1,-1.87,0,239,1,4.191,6,10,,
11/01/2023,01:50:00 -0300,1.18,80.1,-1.87,0,236,1,,6,8,,
11/01/2023,01:52:00 -0300,1.21,80.4,-1.79,0,239,1,,5,8,,
11/01/2023,01:53:00 -0300,,,,,,,4.173,,,,
11/01/2023,01:54:00 -0300,1.21,80.5,-1.77,0,240,1,,5,10,,
11/01/2023,01:56:00 -0300,1.26,80.5,-1.72,0,240,1,,8,12,,
11/01/2023,01:58:00 -0300,1.32,80.4,-1.68,0,248,1,4.187,7,10,,
11/01/2023,02:00:00 -0300,1.32,80.4,-1.68,0,246,1,,8,11,,
11/01/2023,02:02:00 -0300,1.34,80.4,-1.66,0,251,1,,8,11,,
11/01/2023,02:03:00 -0300,,,,,,,4.191,,,,
11/01/2023,02:04:00 -0300,1.34,80.4,-1.66,0,236,1,,7,11,,
11/01/2023,02:06:00 -0300,1.32,80.4,-1.68,0,251,1,,8,12,,
11/01/2023,02:08:00 -0300,1.29,80.7,-1.66,0,250,1,4.173,7,11,,
11/01/2023,02:10:00 -0300,1.32,80.9,-1.6,0,251,1,,8,12,,
11/01/2023,02:12:00 -0300,1.34,80.9,-1.57,0,254,1,,8,12,,
11/01/2023,02:13:00 -0300,,,,,,,4.185,,,,
11/01/2023,02:14:00 -0300,1.37,80.9,-1.55,0,253,1,,11,17,,
11/01/2023,02:16:00 -0300,1.43,80.6,-1.54,0,250,1,,10,14,,
11/01/2023,02:18:00 -0300,1.45,80.6,-1.52,0,254,1,4.191,8,16,,
11/01/2023,02:20:00 -0300,1.51,80.4,-1.5,0,253,1,,12,16,,
11/01/2023,02:22:00 -0300,1.45,80.7,-1.5,0,257,1,,8,13,,
