Date,Time,"Temperature (S-THB 21114839:20824084-1),°C,Cavenish Green Gables","RH (S-THB 21114839:20824084-2),%,Cavenish Green Gables","Dew Point (S-THB 21114839:20824084-3),°C,Cavenish Green Gables","Rain (S-RGB 21114839:21092075-1),mm,Cavenish Green Gables","Wind Direction (S-WCF 21114839:21107892-3),°,Cavenish Green Gables","Solar Radiation (S-LIB 21114839:21109518-1),W/m²,Cavenish Green Gables","Battery (RX3000 BATTERY 21114839:21114839-B),V,Cavenish Green Gables","Average wind speed (S-WCF 21114839:21107892-1),Km/h,Cavenish Green Gables","Wind gust speed (S-WCF 21114839:21107892-2),Km/h,Cavenish Green Gables","Wind Speed (S-WCF 21114839:21107892-1),m/s,Cavenish Green Gables","Gust Speed (S-WCF 21114839:21107892-2),m/s,Cavenish Green Gables"
02/01/2024,00:00:00 -0400,-5.29,79.8,-8.24,0,253,1,,12,19,,
02/01/2024,00:02:00 -0400,-5.23,79.8,-8.18,0,257,1,,16,22,,
02/01/2024,00:03:00 -0400,,,,,,,4.145,,,,
02/01/2024,00:04:00 -0400,-5.23,79.8,-8.18,0,248,1,,12,19,,
02/01/2024,00:06:00 -0400,-5.23,79.9,-8.16,0,250,1,,12,19,,
02/01/2024,00:08:00 -0400,-5.17,79.8,-8.12,0,250,1,4.155,13,20,,
02/01/2024,00:10:00 -0400,-5.14,79.9,-8.07,0,248,1,,14,22,,
02/01/2024,00:12:00 -0400,-5.11,79.8,-8.06,0,243,1,,16,29,,
02/01/2024,00:13:00 -0400,,,,,,,4.151,,,,
02/01/2024,00:14:00 -0400,-5.11,79.8,-8.06,0,247,1,,13,22,,
02/01/2024,00:16:00 -0400,-5.08,79.8,-8.03,0,250,1,,14,24,,
02/01/2024,00:18:00 -0400,-5.02,79.7,-7.99,0,253,1,4.146,19,28,,
02/01/2024,00:20:00 -0400,-5.05,79.8,-8,0,248,1,,12,18,,
02/01/2024,00:22:00 -0400,-5.05,79.9,-7.98,0,248,1,,13,17,,
02/01/2024,00:23:00 -0400,,,,,,,4.154,,,,
02/01/2024,00:24:00 -0400,-5.05,79.9,-7.98,0,250,1,,13,20,,
02/01/2024,00:26:00 -0400,-5.05,80,-7.97,0,251,1,,16,23,,
02/01/2024,00:28:00 -0400,-5.05,79.9,-7.98,0,241,1,4.157,12,23,,
02/01/2024,00:30:00 -0400,-5.05,80.1,-7.95,0,246,1,,13,19,,
02/01/2024,00:32:00 -0400,-5.05,80.2,-7.93,0,244,1,,12,19,,
02/01/2024,00:33:00 -0400,,,,,,,4.143,,,,
02/01/2024,00:34:00 -0400,-5.02,80.2,-7.9,0,251,1,,13,22,,
02/01/2024,00:36:00 -0400,-5.05,80.3,-7.92,0,247,1,,13,18,,
02/01/2024,00:38:00 -0400,-5.05,80.5,-7.89,0,241,1,4.152,12,17,,
02/01/2024,00:40:00 -0400,-5.02,80.5,-7.86,0,244,1,,13,23,,
02/01/2024,00:42:00 -0400,-5.02,80.5,-7.86,0,237,1,,12,19,,
02/01/2024,00:43:00 -0400,,,,,,,4.148,,,,
02/01/2024,00:44:00 -0400,-4.99,80.7,-7.79,0,246,1,,13,19,,
02/01/2024,00:46:00 -0400,-4.99,80.7,-7.79,0,243,1,,11,17,,
02/01/2024,00:48:00 -0400,-4.99,80.8,-7.78,0,247,1,4.143,11,18,,
02/01/2024,00:50:00 -0400,-4.96,80.8,-7.75,0,246,1,,14,20,,
02/01/2024,00:52:00 -0400,-4.96,80.9,-7.73,0,247,1,,12,16,,
02/01/2024,00:53:00 -0400,,,,,,,4.152,,,,
02/01/2024,00:54:00 -0400,-4.96,81,-7.72,0,246,1,,11,17,,
02/01/2024,00:56:00 -0400,-4.93,81,-7.69,0,248,1,,13,19,,
02/01/2024,00:58:00 -0400,-4.9,81.2,-7.63,0,250,1,4.148,13,25,,
02/01/2024,01:00:00 -0400,-4.9,81.2,-7.63,0,247,1,,13,19,,
02/01/2024,01:02:00 -0400,-4.86,81.3,-7.58,0,247,1,,16,24,,
02/01/2024,01:03:00 -0400,,,,,,,4.143,,,,
02/01/2024,01:04:00 -0400,-4.86,81.2,-7.6,0,254,1,,13,22,,
02/01/2024,01:06:00 -0400,-4.86,81.4,-7.56,0,253,1,,14,23,,
02/01/2024,01:08:00 -0400,-4.86,81.5,-7.55,0,253,1,4.151,13,18,,
02/01/2024,01:10:00 -0400,-4.86,81.6,-7.53,0,257,1,,13,19,,
02/01/2024,01:12:00 -0400,-4.83,81.8,-7.47,0,250,1,,14,20,,
02/01/2024,01:13:00 -0400,,,,,,,4.154,,,,
02/01/2024,01:14:00 -0400,-4.83,81.9,-7.45,0,251,1,,13,22,,
02/01/2024,01:16:00 -0400,-4.83,81.9,-7.45,0,253,1,,13,24,,
02/01/2024,01:18:00 -0400,-4.8,81.9,-7.42,0,253,1,4.142,14,18,,
02/01/2024,01:20:00 -0400,-4.8,82.1,-7.39,0,254,1,,14,19,,
02/01/2024,01:22:00 -0400,-4.8,82.2,-7.38,0,254,1,,14,20,,
02/01/2024,01:23:00 -0400,,,,,,,4.149,,,,
02/01/2024,01:24:00 -0400,-4.8,82.2,-7.38,0,254,1,,13,22,,
02/01/2024,01:26:00 -0400,-4.8,82.3,-7.36,0,254,1,,12,17,,
02/01/2024,01:28:00 -0400,-4.77,82.4,-7.32,0,253,1,4.145,16,23,,
02/01/2024,01:30:00 -0400,-4.77,82.5,-7.3,0,256,1,,13,22,,
02/01/2024,01:32:00 -0400,-4.77,82.5,-7.3,0,253,1,,12,18,,
02/01/2024,01:33:00 -0400,,,,,,,4.14,,,,
02/01/2024,01:34:00 -0400,-4.74,82.5,-7.27,0,257,1,,14,22,,
02/01/2024,01:36:00 -0400,-4.74,82.6,-7.25,0,256,1,,12,16,,
02/01/2024,01:38:00 -0400,-4.74,82.7,-7.24,0,258,1,4.149,16,22,,
02/01/2024,01:40:00 -0400,-4.74,82.8,-7.22,0,257,1,,13,18,,
02/01/2024,01:42:00 -0400,-4.71,82.9,-7.18,0,253,1,,16,23,,
02/01/2024,01:43:00 -0400,,,,,,,4.145,,,,
02/01/2024,01:44:00 -0400,-4.71,82.9,-7.18,0,254,1,,14,22,,
02/01/2024,01:46:00 -0400,-4.71,83,-7.16,0,254,1,,14,20,,
02/01/2024,01:48:00 -0400,-4.71,83,-7.16,0,254,1,4.139,14,20,,
02/01/2024,01:50:00 -0400,-4.71,83.1,-7.15,0,257,1,,14,20,,
02/01/2024,01:52:00 -0400,-4.71,83.1,-7.15,0,253,1,,13,19,,
02/01/2024,01:53:00 -0400,,,,,,,4.146,,,,
02/01/2024,01:54:00 -0400,-4.71,83.2,-7.13,0,256,1,,13,18,,
02/01/2024,01:56:00 -0400,-4.71,83.3,-7.12,0,248,1,,13,18,,
02/01/2024,01:58:00 -0400,-4.71,83.3,-7.12,0,254,1,4.143,12,18,,
02/01/2024,02:00:00 -0400,-4.71,83.3,-7.12,0,243,1,,12,18,,
02/01/2024,02:02:00 -0400,-4.71,83.4,-7.1,0,258,1,,11,16,,
02/01/2024,02:03:00 -0400,,,,,,,4.139,,,,
02/01/2024,02:04:00 -0400,-4.68,83.6,-7.04,0,253,1,,12,16,,
