Date,Time,"Temperature (S-THB 21114839:20824084-1),°C,Cavenish Green Gables","RH (S-THB 21114839:20824084-2),%,Cavenish Green Gables","Dew Point (S-THB 21114839:20824084-3),°C,Cavenish Green Gables","Rain (S-RGB 21114839:21092075-1),mm,Cavenish Green Gables","Average wind speed (S-WCF 21114839:21107892-1),Km/h,Cavenish Green Gables","Wind gust speed (S-WCF 21114839:21107892-2),Km/h,Cavenish Green Gables","Wind Direction (S-WCF 21114839:21107892-3),°,Cavenish Green Gables","Solar Radiation (S-LIB 21114839:21109518-1),W/m²,Cavenish Green Gables","Battery (RX3000 BATTERY 21114839:21114839-B),V,Cavenish Green Gables","Average wind speed (S-WCF 21114839:21107892-1),Km/h,Cavenish Green Gables","Wind gust speed (S-WCF 21114839:21107892-2),Km/h,Cavenish Green Gables"
06/01/2024,00:00:00 -0300,5.97,93.2,4.96,0,,,65,1,,1,2
06/01/2024,00:02:00 -0300,6.03,93.3,5.03,0,,,65,1,,2,4
06/01/2024,00:03:00 -0300,,,,,,,,,4.22,,
06/01/2024,00:04:00 -0300,6,93.1,4.97,0,,,65,1,,2,4
06/01/2024,00:06:00 -0300,5.82,93,4.78,0,,,65,1,,1,2
06/01/2024,00:08:00 -0300,5.69,93,4.65,0,,,65,1,4.235,0,1
06/01/2024,00:10:00 -0300,5.59,92.9,4.54,0,,,65,1,,0,0
06/01/2024,00:12:00 -0300,5.49,93,4.45,0,,,65,1,,0,1
06/01/2024,00:13:00 -0300,,,,,,,,,4.239,,
06/01/2024,00:14:00 -0300,5.62,93.2,4.61,0,,,65,1,,1,2
06/01/2024,00:16:00 -0300,5.72,93.3,4.73,0,,,65,1,,1,2
06/01/2024,00:18:00 -0300,5.85,93.4,4.87,0,,,65,1,4.221,1,2
06/01/2024,00:20:00 -0300,5.97,93.5,5.01,0,,,65,1,,1,2
06/01/2024,00:22:00 -0300,6.03,93.4,5.05,0,,,65,1,,1,1
06/01/2024,00:23:00 -0300,,,,,,,,,4.233,,
06/01/2024,00:24:00 -0300,6.08,93.4,5.1,0,,,65,1,,1,1
06/01/2024,00:26:00 -0300,6.05,93.4,5.07,0,,,65,1,,0,1
06/01/2024,00:28:00 -0300,6,93.4,5.02,0,,,65,1,4.239,1,2
06/01/2024,00:30:00 -0300,5.82,93.3,4.83,0,,,65,1,,0,1
06/01/2024,00:32:00 -0300,5.64,93.3,4.65,0,,,65,1,,0,1
06/01/2024,00:33:00 -0300,,,,,,,,,4.22,,
06/01/2024,00:34:00 -0300,5.62,93.2,4.61,0,,,65,1,,0,0
06/01/2024,00:36:00 -0300,5.74,93.5,4.78,0,,,65,1,,0,1
06/01/2024,00:38:00 -0300,5.64,93.6,4.7,0,,,65,1,4.233,0,1
06/01/2024,00:40:00 -0300,5.57,93.4,4.59,0,,,65,1,,1,2
