Date,Time,"Temperature (S-THB 21114839:20824084-1),°C,Cavenish Green Gables","RH (S-THB 21114839:20824084-2),%,Cavenish Green Gables","Dew Point (S-THB 21114839:20824084-3),°C,Cavenish Green Gables","Rain (S-RGB 21114839:21092075-1),mm,Cavenish Green Gables","Average wind speed (S-WCF 21114839:21107892-1),Km/h,Cavenish Green Gables","Wind gust speed (S-WCF 21114839:21107892-2),Km/h,Cavenish Green Gables","Wind Direction (S-WCF 21114839:21107892-3),°,Cavenish Green Gables","Solar Radiation (S-LIB 21114839:21109518-1),W/m²,Cavenish Green Gables","Battery (RX3000 BATTERY 21114839:21114839-B),V,Cavenish Green Gables","Average wind speed (S-WCF 21114839:21107892-1),Km/h,Cavenish Green Gables","Wind gust speed (S-WCF 21114839:21107892-2),Km/h,Cavenish Green Gables"
05/01/2024,00:00:00 -0300,2.32,96.2,1.77,0,,,17,1,,12,18
05/01/2024,00:02:00 -0300,2.32,96.2,1.77,0,,,18,1,,14,22
05/01/2024,00:03:00 -0300,,,,,,,,,4.221,,
05/01/2024,00:04:00 -0300,2.32,96.2,1.77,0,,,14,1,,13,19
05/01/2024,00:06:00 -0300,2.29,96.2,1.75,0,,,17,1,,14,24
05/01/2024,00:08:00 -0300,2.29,96.3,1.76,0,,,17,1,4.224,14,19
05/01/2024,00:10:00 -0300,2.29,96.3,1.76,0,,,17,1,,13,19
05/01/2024,00:12:00 -0300,2.29,96.3,1.76,0,,,13,1,,17,23
05/01/2024,00:13:00 -0300,,,,,,,,,4.212,,
05/01/2024,00:14:00 -0300,2.32,96.4,1.8,0,,,11,1,,13,22
05/01/2024,00:16:00 -0300,2.32,96.4,1.8,0,,,10,1,,13,19
05/01/2024,00:18:00 -0300,2.32,96.4,1.8,0,,,17,1,4.22,12,20
05/01/2024,00:20:00 -0300,2.34,96.4,1.83,0,,,7,1,,13,18
05/01/2024,00:22:00 -0300,2.29,96.4,1.77,0,,,10,1,,17,22
05/01/2024,00:23:00 -0300,,,,,,,,,4.223,,
05/01/2024,00:24:00 -0300,2.29,96.5,1.79,0,,,11,1,,16,22
05/01/2024,00:26:00 -0300,2.29,96.5,1.79,0,,,13,1,,12,17
05/01/2024,00:28:00 -0300,2.24,96.5,1.74,0,,,7,1,4.212,18,23
05/01/2024,00:30:00 -0300,2.26,96.5,1.76,0,,,11,1,,14,20
05/01/2024,00:32:00 -0300,2.26,96.6,1.78,0,,,10,1,,12,16
05/01/2024,00:33:00 -0300,,,,,,,,,4.218,,
05/01/2024,00:34:00 -0300,2.26,96.6,1.78,0,,,10,1,,16,20
05/01/2024,00:36:00 -0300,2.29,96.6,1.8,0,,,18,1,,11,16
05/01/2024,00:38:00 -0300,2.29,96.6,1.8,0,,,13,1,4.214,12,19
05/01/2024,00:40:00 -0300,2.24,96.6,1.75,0,,,14,1,,12,17
05/01/2024,00:42:00 -0300,2.21,96.6,1.72,0,,,20,1,,14,19
05/01/2024,00:43:00 -0300,,,,,,,,,4.209,,
05/01/2024,00:44:00 -0300,2.24,96.7,1.76,0,,,18,1,,11,14
05/01/2024,00:46:00 -0300,2.24,96.7,1.76,0,,,10,1,,13,16
