Date,Time,"Temperature (S-THB 21114839:20824084-1),°C,Cavenish Green Gables","RH (S-THB 21114839:20824084-2),%,Cavenish Green Gables","Dew Point (S-THB 21114839:20824084-3),°C,Cavenish Green Gables","Rain (S-RGB 21114839:21092075-1),mm,Cavenish Green Gables","Average wind speed (S-WCF 21114839:21107892-1),Km/h,Cavenish Green Gables","Wind gust speed (S-WCF 21114839:21107892-2),Km/h,Cavenish Green Gables","Wind Direction (S-WCF 21114839:21107892-3),°,Cavenish Green Gables","Solar Radiation (S-LIB 21114839:21109518-1),W/m²,Cavenish Green Gables","Battery (RX3000 BATTERY 21114839:21114839-B),V,Cavenish Green Gables","Average wind speed (S-WCF 21114839:21107892-1),Km/h,Cavenish Green Gables","Wind gust speed (S-WCF 21114839:21107892-2),Km/h,Cavenish Green Gables"
09/01/2024,00:00:00 -0300,17.37,80,13.9,0,,,192,1,,12,20
09/01/2024,00:02:00 -0300,17.42,80.2,13.99,0,,,204,1,,13,17
09/01/2024,00:03:00 -0300,,,,,,,,,4.241,,
09/01/2024,00:04:00 -0300,17.42,80.2,13.99,0,,,195,1,,12,20
09/01/2024,00:06:00 -0300,17.37,80.1,13.92,0,,,206,1,,10,14
09/01/2024,00:08:00 -0300,17.34,80.2,13.92,0,,,204,1,4.25,11,17
09/01/2024,00:10:00 -0300,17.27,80.4,13.89,0,,,222,1,,10,17
09/01/2024,00:12:00 -0300,17.3,80.5,13.93,0,,,208,1,,13,20
09/01/2024,00:13:00 -0300,,,,,,,,,4.254,,
09/01/2024,00:14:00 -0300,17.27,80.6,13.92,0,,,197,1,,12,22
09/01/2024,00:16:00 -0300,17.32,80.6,13.97,0,,,215,1,,13,24
09/01/2024,00:18:00 -0300,17.27,80.7,13.94,0,,,204,1,4.239,10,14
09/01/2024,00:20:00 -0300,17.3,80.8,13.99,0,,,202,1,,10,14
09/01/2024,00:22:00 -0300,17.32,80.9,14.03,0,,,216,1,,11,14
09/01/2024,00:23:00 -0300,,,,,,,,,4.248,,
09/01/2024,00:24:00 -0300,17.27,80.9,13.98,0,,,204,1,,8,14
09/01/2024,00:26:00 -0300,17.3,81,14.02,0,,,213,1,,11,18
09/01/2024,00:28:00 -0300,17.27,81.1,14.02,0,,,197,1,4.253,11,16
09/01/2024,00:30:00 -0300,17.27,81.1,14.02,0,,,197,1,,11,14
09/01/2024,00:32:00 -0300,17.25,81.3,14.03,0,,,205,1,,11,14
09/01/2024,00:33:00 -0300,,,,,,,,,4.242,,
09/01/2024,00:34:00 -0300,17.2,81.4,14.01,0,,,197,1,,12,19
09/01/2024,00:36:00 -0300,17.2,81.7,14.06,0,,,197,1,,11,16
09/01/2024,00:38:00 -0300,17.2,81.9,14.1,0,,,205,1,4.248,11,14
09/01/2024,00:40:00 -0300,17.13,82.1,14.07,0,,,192,1,,10,13
09/01/2024,00:42:00 -0300,17.11,82.3,14.08,0,,,188,1,,12,19
09/01/2024,00:43:00 -0300,,,,,,,,,4.251,,
09/01/2024,00:44:00 -0300,17.15,82.6,14.19,0,,,198,1,,14,24
09/01/2024,00:46:00 -0300,17.27,83.1,14.4,0,,,206,1,,17,29
09/01/2024,00:48:00 -0300,17.22,83.2,14.37,0,,,197,1,4.242,13,20
09/01/2024,00:50:00 -0300,17.2,83.4,14.38,0,,,192,1,,13,18
09/01/2024,00:52:00 -0300,17.22,83.7,14.46,0,,,205,1,,12,17
09/01/2024,00:53:00 -0300,,,,,,,,,4.247,,
09/01/2024,00:54:00 -0300,17.25,84,14.54,0,,,202,1,,12,26
09/01/2024,00:56:00 -0300,17.27,84.2,14.6,0,,,205,1,,13,22
09/01/2024,00:58:00 -0300,17.25,84.4,14.61,0,,,195,1,4.251,13,19
09/01/2024,01:00:00 -0300,17.22,84.5,14.61,0,,,185,1,,12,17
09/01/2024,01:02:00 -0300,17.2,84.7,14.62,0,,,201,1,,12,19
09/01/2024,01:03:00 -0300,,,,,,,,,4.236,,
09/01/2024,01:04:00 -0300,17.18,84.7,14.6,0,,,202,1,,10,17
09/01/2024,01:06:00 -0300,17.13,84.9,14.59,0,,,194,1,,13,18
09/01/2024,01:08:00 -0300,17.06,85,14.54,0,,,197,1,4.245,8,12
09/01/2024,01:10:00 -0300,17.11,85.2,14.62,0,,,204,1,,12,19
09/01/2024,01:12:00 -0300,17.11,85.4,14.66,0,,,201,1,,12,19
09/01/2024,01:13:00 -0300,,,,,,,,,4.25,,
09/01/2024,01:14:00 -0300,17.11,85.6,14.69,0,,,195,1,,11,14
09/01/2024,01:16:00 -0300,17.06,85.7,14.66,0,,,194,1,,12,19
09/01/2024,01:18:00 -0300,17.06,85.8,14.68,0,,,208,1,4.236,11,17
09/01/2024,01:20:00 -0300,17.06,85.9,14.7,0,,,209,1,,14,22
09/01/2024,01:22:00 -0300,17.08,86.1,14.76,0,,,197,1,,12,18
09/01/2024,01:23:00 -0300,,,,,,,,,4.245,,
09/01/2024,01:24:00 -0300,17.11,86.2,14.8,0,,,205,1,,14,20
09/01/2024,01:26:00 -0300,17.08,86.4,14.81,0,,,202,1,,13,19
09/01/2024,01:28:00 -0300,17.06,86.4,14.79,0,,,202,1,4.25,10,17
09/01/2024,01:30:00 -0300,17.11,86.5,14.85,0,,,202,1,,16,25
09/01/2024,01:32:00 -0300,17.08,86.6,14.85,0,,,205,1,,12,20
09/01/2024,01:33:00 -0300,,,,,,,,,4.233,,
09/01/2024,01:34:00 -0300,17.06,86.8,14.86,0,,,198,1,,12,20
09/01/2024,01:36:00 -0300,17.08,86.9,14.9,0,,,219,1,,11,16
09/01/2024,01:38:00 -0300,17.01,87,14.85,0,,,218,1,4.241,8,13
09/01/2024,01:40:00 -0300,17.01,87.2,14.89,0,,,212,1,,12,20
