Date,Time,"Temperature (S-THB 21114839:20824084-1),°C,Cavendish Green Gables","RH (S-THB 21114839:20824084-2),%,Cavendish Green Gables","Dew Point (S-THB 21114839:20824084-3),°C,Cavendish Green Gables","Rain (S-RGB 21114839:21092075-1),mm,Cavendish Green Gables","Average wind speed (S-WCF 21114839:21107892-1),Km/h,Cavendish Green Gables","Wind gust speed (S-WCF 21114839:21107892-2),Km/h,Cavendish Green Gables","Wind Direction (S-WCF 21114839:21107892-3),°,Cavendish Green Gables","Solar Radiation (S-LIB 21114839:21109518-1),W/m²,Cavendish Green Gables","Battery (RX3000 BATTERY 21114839:21114839-B),V,Cavendish Green Gables","Accumulated Rain (C-ACC-RAIN 21114839:21092075-2),mm,Cavendish Green Gables,Cavendish Green Gables"
4/1/2025,00:00:00 -0300,9.34,96.9,8.88,0,10.8,22.8,215,1,,
4/1/2025,00:02:00 -0300,9.34,96.9,8.88,0,10.8,21.6,205,1,4.208,
4/1/2025,00:04:00 -0300,9.31,96.9,8.85,0,9.6,18,209,1,,
4/1/2025,00:06:00 -0300,9.34,96.9,8.88,0,12,22.8,215,1,,
4/1/2025,00:07:00 -0300,,,,,,,,,4.215,
4/1/2025,00:08:00 -0300,9.34,96.9,8.88,0,14.4,24,211,1,,
4/1/2025,00:10:00 -0300,9.31,96.9,8.85,0,13.2,21.6,211,1,,
4/1/2025,00:12:00 -0300,9.26,96.9,8.81,0,13.2,18,215,1,4.218,
4/1/2025,00:14:00 -0300,9.29,96.9,8.83,0,15.6,24,216,1,,
4/1/2025,00:16:00 -0300,9.26,96.9,8.81,0,13.2,20.4,215,1,,
4/1/2025,00:17:00 -0300,,,,,,,,,4.205,
4/1/2025,00:18:00 -0300,9.21,96.9,8.76,0,12,19.2,201,1,,
4/1/2025,00:20:00 -0300,9.21,96.8,8.74,0,12,18,208,1,,
4/1/2025,00:22:00 -0300,9.19,96.8,8.72,0,12,19.2,202,1,4.215,
4/1/2025,00:24:00 -0300,9.16,96.8,8.69,0,10.8,19.2,201,1,,
4/1/2025,00:26:00 -0300,9.19,96.8,8.72,0,12,19.2,199,1,,
4/1/2025,00:27:00 -0300,,,,,,,,,4.217,
4/1/2025,00:28:00 -0300,9.16,96.8,8.69,0,12,18,208,1,,
4/1/2025,00:30:00 -0300,9.16,96.8,8.69,0,9.6,14.4,206,1,,
4/1/2025,00:32:00 -0300,9.16,96.8,8.69,0,10.8,14.4,204,1,4.203,
4/1/2025,00:34:00 -0300,9.14,96.8,8.67,0,9.6,14.4,211,1,,
4/1/2025,00:36:00 -0300,9.14,96.8,8.67,0,9.6,15.6,212,1,,
4/1/2025,00:37:00 -0300,,,,,,,,,4.212,
4/1/2025,00:38:00 -0300,9.14,96.8,8.67,0,10.8,15.6,213,1,,
4/1/2025,00:40:00 -0300,9.14,96.8,8.67,0,10.8,13.2,201,1,,
4/1/2025,00:42:00 -0300,9.11,96.8,8.64,0,10.8,15.6,204,1,4.215,
4/1/2025,00:44:00 -0300,9.14,96.9,8.68,0,13.2,21.6,219,1,,
4/1/2025,00:46:00 -0300,9.16,96.9,8.71,0,14.4,20.4,219,1,,
4/1/2025,00:47:00 -0300,,,,,,,,,4.205,
4/1/2025,00:48:00 -0300,9.16,96.9,8.71,0,10.8,21.6,218,1,,
4/1/2025,00:50:00 -0300,9.14,96.8,8.67,0,10.8,16.8,213,1,,
4/1/2025,00:52:00 -0300,9.11,96.8,8.64,0,10.8,18,215,1,4.212,
4/1/2025,00:54:00 -0300,9.14,96.9,8.68,0,13.2,20.4,218,1,,
4/1/2025,00:56:00 -0300,9.16,96.8,8.69,0,13.2,20.4,219,1,,
4/1/2025,00:57:00 -0300,,,,,,,,,4.214,
4/1/2025,00:58:00 -0300,9.14,96.8,8.67,0,10.8,16.8,223,1,,
4/1/2025,01:00:00 -0300,9.11,96.9,8.66,0,10.8,20.4,226,1,,
4/1/2025,01:02:00 -0300,9.14,96.9,8.68,0,15.6,21.6,225,1,4.203,
4/1/2025,01:04:00 -0300,9.14,96.9,8.68,0,9.6,15.6,227,1,,
4/1/2025,01:06:00 -0300,9.09,96.9,8.63,0,9.6,16.8,225,1,,
4/1/2025,01:07:00 -0300,,,,,,,,,4.211,
4/1/2025,01:08:00 -0300,9.09,97,8.65,0,10.8,18,233,1,,
4/1/2025,01:10:00 -0300,9.06,97,8.62,0,13.2,21.6,219,1,,
4/1/2025,01:12:00 -0300,9.04,97,8.6,0,9.6,15.6,219,1,4.214,
4/1/2025,01:14:00 -0300,9.01,97.1,8.59,0,13.2,22.8,218,1,,
4/1/2025,01:16:00 -0300,8.99,97.1,8.56,0,9.6,14.4,219,1,,
4/1/2025,01:17:00 -0300,,,,,,,,,4.203,
4/1/2025,01:18:00 -0300,8.99,97.1,8.56,0,15.6,22.8,227,1,,
4/1/2025,01:20:00 -0300,8.99,97.1,8.56,0,15.6,21.6,216,1,,
4/1/2025,01:22:00 -0300,8.97,97.1,8.54,0,14.4,22.8,211,1,4.209,
4/1/2025,01:24:00 -0300,8.97,97.1,8.54,0,13.2,22.8,215,1,,
4/1/2025,01:26:00 -0300,8.99,97.2,8.58,0,18,27.7,223,1,,
4/1/2025,01:27:00 -0300,,,,,,,,,4.214,
