Date,Time,"Temperature (S-THB 21114839:20824084-1),°C,Cavendish Green Gables","RH (S-THB 21114839:20824084-2),%,Cavendish Green Gables","Dew Point (S-THB 21114839:20824084-3),°C,Cavendish Green Gables","Rain (S-RGB 21114839:21092075-1),mm,Cavendish Green Gables","Average wind speed (S-WCF 21114839:21107892-1),Km/h,Cavendish Green Gables","Wind gust speed (S-WCF 21114839:21107892-2),Km/h,Cavendish Green Gables","Wind Direction (S-WCF 21114839:21107892-3),°,Cavendish Green Gables","Solar Radiation (S-LIB 21114839:21109518-1),W/m²,Cavendish Green Gables","Battery (RX3000 BATTERY 21114839:21114839-B),V,Cavendish Green Gables","Accumulated Rain (C-ACC-RAIN 21114839:21092075-2),mm,Cavendish Green Gables,Cavendish Green Gables"
7/1/2025,00:00:00 -0300,18.63,89.7,16.92,0,9.6,14.4,197,1,,0
7/1/2025,00:02:00 -0300,18.63,89.7,16.92,0,9.6,15.6,201,1,,
7/1/2025,00:04:00 -0300,18.6,89.8,16.92,0,9.6,14.4,197,1,4.251,
7/1/2025,00:06:00 -0300,18.58,89.8,16.89,0,9.6,14.4,192,1,,
7/1/2025,00:08:00 -0300,18.6,89.9,16.94,0,10.8,15.6,194,1,,
7/1/2025,00:09:00 -0300,,,,,,,,,4.259,
7/1/2025,00:10:00 -0300,18.58,89.8,16.89,0,10.8,15.6,190,1,,
7/1/2025,00:12:00 -0300,18.56,89.9,16.89,0,9.6,10.8,190,1,,
7/1/2025,00:14:00 -0300,18.56,89.9,16.89,0,9.6,13.2,184,1,4.26,
7/1/2025,00:16:00 -0300,18.53,89.9,16.87,0,10.8,14.4,190,1,,
7/1/2025,00:18:00 -0300,18.56,90.1,16.92,0,9.6,14.4,190,1,,
7/1/2025,00:19:00 -0300,,,,,,,,,4.25,
7/1/2025,00:20:00 -0300,18.56,90.1,16.92,0,10.8,14.4,190,1,,
7/1/2025,00:22:00 -0300,18.53,90,16.88,0,9.6,14.4,191,1,,
7/1/2025,00:24:00 -0300,18.53,90,16.88,0,10.8,14.4,187,1,4.257,
7/1/2025,00:26:00 -0300,18.53,90.2,16.92,0,13.2,16.8,190,1,,
7/1/2025,00:28:00 -0300,18.53,90.1,16.9,0,12,15.6,188,1,,
7/1/2025,00:29:00 -0300,,,,,,,,,4.26,
7/1/2025,00:30:00 -0300,18.56,90.1,16.92,0,12,16.8,194,1,,
7/1/2025,00:32:00 -0300,18.51,90,16.86,0,12,16.8,190,1,,
7/1/2025,00:34:00 -0300,18.51,90.1,16.88,0,12,14.4,195,1,4.248,
7/1/2025,00:36:00 -0300,18.51,90.1,16.88,0,10.8,16.8,194,1,,
7/1/2025,00:38:00 -0300,18.51,90.1,16.88,0,12,15.6,194,1,,
7/1/2025,00:39:00 -0300,,,,,,,,,4.256,
7/1/2025,00:40:00 -0300,18.56,90.2,16.94,0,12,18,194,1,,
7/1/2025,00:42:00 -0300,18.58,90.1,16.95,0,12,18,199,1,,
