Date,Time,"Temperature (S-THB 21114839:20824084-1),°C,Cavendish Green Gables","RH (S-THB 21114839:20824084-2),%,Cavendish Green Gables","Dew Point (S-THB 21114839:20824084-3),°C,Cavendish Green Gables","Rain (S-RGB 21114839:21092075-1),mm,Cavendish Green Gables","Average wind speed (S-WCF 21114839:21107892-1),Km/h,Cavendish Green Gables","Wind gust speed (S-WCF 21114839:21107892-2),Km/h,Cavendish Green Gables","Wind Direction (S-WCF 21114839:21107892-3),°,Cavendish Green Gables","Solar Radiation (S-LIB 21114839:21109518-1),W/m²,Cavendish Green Gables","Battery (RX3000 BATTERY 21114839:21114839-B),V,Cavendish Green Gables","Accumulated Rain (C-ACC-RAIN 21114839:21092075-2),mm,Cavendish Green Gables,Cavendish Green Gables"
6/1/2025,00:00:00 -0300,16.22,93.4,15.18,0,19.2,30.1,180,1,,
6/1/2025,00:02:00 -0300,16.27,93.2,15.19,0,25.2,36.1,181,1,,
6/1/2025,00:04:00 -0300,16.32,93.1,15.22,0,20.4,37.3,177,1,4.245,
6/1/2025,00:06:00 -0300,16.34,93.1,15.25,0,21.6,33.7,178,1,,
6/1/2025,00:08:00 -0300,16.32,92.9,15.19,0,21.6,34.9,185,1,,
6/1/2025,00:09:00 -0300,,,,,,,,,4.247,
6/1/2025,00:10:00 -0300,16.32,92.9,15.19,0,19.2,28.9,177,1,,
6/1/2025,00:12:00 -0300,16.27,92.8,15.12,0,24,38.5,167,1,,
6/1/2025,00:14:00 -0300,16.25,92.8,15.1,0,20.4,28.9,183,1,4.251,
6/1/2025,00:16:00 -0300,16.18,92.6,15,0,27.7,37.3,170,1,,
6/1/2025,00:18:00 -0300,16.15,92.5,14.96,0,21.6,31.3,168,1,,
6/1/2025,00:19:00 -0300,,,,,,,,,4.248,
6/1/2025,00:20:00 -0300,16.11,92.3,14.87,0,25.2,42.1,178,1,,
6/1/2025,00:22:00 -0300,16.06,92.2,14.81,0,24,38.5,178,1,,
6/1/2025,00:24:00 -0300,16.06,92,14.78,0,24,33.7,181,1,4.247,
6/1/2025,00:26:00 -0300,16.01,91.9,14.71,0,20.4,26.5,180,1,,
6/1/2025,00:28:00 -0300,15.99,91.7,14.66,0,18,34.9,185,1,,
6/1/2025,00:29:00 -0300,,,,,,,,,4.251,
6/1/2025,00:30:00 -0300,15.99,91.5,14.62,0,20.4,33.7,192,1,,
6/1/2025,00:32:00 -0300,15.99,91.2,14.57,0,20.4,30.1,192,1,,
6/1/2025,00:34:00 -0300,16.01,90.9,14.54,0,27.7,37.3,191,1,4.248,
6/1/2025,00:36:00 -0300,16.03,90.6,14.52,0,22.8,31.3,184,1,,
6/1/2025,00:38:00 -0300,15.96,90.3,14.39,0,22.8,30.1,188,1,,
6/1/2025,00:39:00 -0300,,,,,,,,,4.247,
6/1/2025,00:40:00 -0300,15.94,90.1,14.34,0,22.8,30.1,185,1,,
6/1/2025,00:42:00 -0300,15.89,89.9,14.25,0,19.2,33.7,181,1,,
6/1/2025,00:44:00 -0300,15.84,89.7,14.17,0,19.2,31.3,181,1,4.25,
6/1/2025,00:46:00 -0300,15.77,89.6,14.08,0,19.2,26.5,184,1,,
6/1/2025,00:48:00 -0300,15.72,89.4,14,0,20.4,30.1,188,1,,
6/1/2025,00:49:00 -0300,,,,,,,,,4.247,
6/1/2025,00:50:00 -0300,15.72,89.3,13.99,0,27.7,39.7,183,1,,
6/1/2025,00:52:00 -0300,15.72,89.1,13.95,0,24,33.7,184,1,,
6/1/2025,00:54:00 -0300,15.65,89,13.86,0,22.8,37.3,198,1,4.244,
6/1/2025,00:56:00 -0300,15.63,88.7,13.79,0,22.8,33.7,181,1,,
6/1/2025,00:58:00 -0300,15.58,88.8,13.76,0,22.8,30.1,185,1,,
6/1/2025,00:59:00 -0300,,,,,,,,,4.25,
6/1/2025,01:00:00 -0300,15.49,88.7,13.65,0,19.2,26.5,190,1,,
6/1/2025,01:02:00 -0300,15.46,88.7,13.62,0,24,36.1,188,1,,
6/1/2025,01:04:00 -0300,15.41,88.6,13.56,0,24,33.7,183,1,4.245,
6/1/2025,01:06:00 -0300,15.41,88.5,13.54,0,21.6,28.9,178,1,,
6/1/2025,01:08:00 -0300,15.37,88.4,13.48,0,21.6,37.3,185,1,,
6/1/2025,01:09:00 -0300,,,,,,,,,4.242,
6/1/2025,01:10:00 -0300,15.37,88.2,13.44,0,24,37.3,190,1,,
6/1/2025,01:12:00 -0300,15.37,88.1,13.42,0,18,30.1,184,1,,
