Date,Time,"Temperature (S-THB 21114839:20824084-1),°C,Cavendish Green Gables","RH (S-THB 21114839:20824084-2),%,Cavendish Green Gables","Dew Point (S-THB 21114839:20824084-3),°C,Cavendish Green Gables","Rain (S-RGB 21114839:21092075-1),mm,Cavendish Green Gables","Average wind speed (S-WCF 21114839:21107892-1),Km/h,Cavendish Green Gables","Wind gust speed (S-WCF 21114839:21107892-2),Km/h,Cavendish Green Gables","Wind Direction (S-WCF 21114839:21107892-3),°,Cavendish Green Gables","Solar Radiation (S-LIB 21114839:21109518-1),W/m²,Cavendish Green Gables","Battery (RX3000 BATTERY 21114839:21114839-B),V,Cavendish Green Gables","Accumulated Rain (C-ACC-RAIN 21114839:21092075-2),mm,Cavendish Green Gables,Cavendish Green Gables"
5/1/2025,00:00:00 -0300,4.17,73.5,-0.14,0,20.4,31.3,323,1,,
5/1/2025,00:02:00 -0300,4.14,73.7,-0.13,0,16.8,26.5,327,1,,
5/1/2025,00:04:00 -0300,4.14,73.8,-0.11,0,19.2,27.7,324,1,4.227,
5/1/2025,00:06:00 -0300,4.14,73.7,-0.13,0,21.6,32.5,323,1,,
5/1/2025,00:08:00 -0300,4.12,74,-0.1,0,18,30.1,319,1,,
5/1/2025,00:09:00 -0300,,,,,,,,,4.229,
5/1/2025,00:10:00 -0300,4.12,73.9,-0.12,0,22.8,38.5,330,1,,
5/1/2025,00:12:00 -0300,4.14,73.4,-0.18,0,25.2,38.5,323,1,,
5/1/2025,00:14:00 -0300,4.14,73.3,-0.2,0,21.6,33.7,324,1,4.235,
5/1/2025,00:16:00 -0300,4.14,73.5,-0.17,0,21.6,34.9,323,1,,
5/1/2025,00:18:00 -0300,4.12,73.7,-0.15,0,15.6,30.1,324,1,,
5/1/2025,00:19:00 -0300,,,,,,,,,4.227,
5/1/2025,00:20:00 -0300,4.12,73.7,-0.15,0,20.4,28.9,323,1,,
5/1/2025,00:22:00 -0300,4.09,73.6,-0.2,0,19.2,32.5,329,1,,
5/1/2025,00:24:00 -0300,4.09,73.5,-0.22,0,19.2,33.7,330,1,4.227,
5/1/2025,00:26:00 -0300,4.14,73,-0.26,0,24,37.3,320,1,,
5/1/2025,00:28:00 -0300,4.12,73.2,-0.25,0,21.6,37.3,329,1,,
5/1/2025,00:29:00 -0300,,,,,,,,,4.233,
5/1/2025,00:30:00 -0300,4.06,73.4,-0.26,0,18,28.9,321,1,,
5/1/2025,00:32:00 -0300,4.09,73.4,-0.23,0,21.6,30.1,326,1,,
5/1/2025,00:34:00 -0300,4.09,73.2,-0.27,0,26.5,34.9,323,1,4.226,
5/1/2025,00:36:00 -0300,4.06,73.4,-0.26,0,19.2,32.5,320,1,,
5/1/2025,00:38:00 -0300,4.06,73.4,-0.26,0,21.6,37.3,320,1,,
5/1/2025,00:39:00 -0300,,,,,,,,,4.226,
5/1/2025,00:40:00 -0300,4.09,73.4,-0.23,0,25.2,33.7,327,1,,
5/1/2025,00:42:00 -0300,4.04,73.8,-0.21,0,20.4,34.9,326,1,,
5/1/2025,00:44:00 -0300,4.04,73.9,-0.19,0,19.2,32.5,327,1,4.232,
5/1/2025,00:46:00 -0300,4.04,73.7,-0.23,0,25.2,38.5,326,1,,
5/1/2025,00:48:00 -0300,3.98,74,-0.22,0,16.8,26.5,326,1,,
5/1/2025,00:49:00 -0300,,,,,,,,,4.226,
5/1/2025,00:50:00 -0300,3.98,74.2,-0.19,0,18,30.1,323,1,,
5/1/2025,00:52:00 -0300,4.01,74.3,-0.14,0,22.8,34.9,330,1,,
5/1/2025,00:54:00 -0300,3.98,74.3,-0.17,0,20.4,32.5,324,1,4.224,
5/1/2025,00:56:00 -0300,3.96,74.2,-0.21,0,19.2,31.3,324,1,,
5/1/2025,00:58:00 -0300,3.96,74.6,-0.14,0,18,26.5,324,1,,
5/1/2025,00:59:00 -0300,,,,,,,,,4.23,
5/1/2025,01:00:00 -0300,3.96,74.6,-0.14,0,16.8,27.7,320,1,,
5/1/2025,01:02:00 -0300,3.98,74.3,-0.17,0,20.4,36.1,323,1,,
5/1/2025,01:04:00 -0300,3.98,73.8,-0.26,0,22.8,32.5,327,1,4.22,
5/1/2025,01:06:00 -0300,3.96,73.9,-0.27,0,22.8,36.1,327,1,,
5/1/2025,01:08:00 -0300,3.96,74.1,-0.23,0,16.8,28.9,326,1,,
