Date,Time,"Temperature (S-THB 21114839:20824084-1),°C,Cavendish Green Gables","RH (S-THB 21114839:20824084-2),%,Cavendish Green Gables","Dew Point (S-THB 21114839:20824084-3),°C,Cavendish Green Gables","Rain (S-RGB 21114839:21092075-1),mm,Cavendish Green Gables","Average wind speed (S-WCF 21114839:21107892-1),Km/h,Cavendish Green Gables","Wind gust speed (S-WCF 21114839:21107892-2),Km/h,Cavendish Green Gables","Wind Direction (S-WCF 21114839:21107892-3),°,Cavendish Green Gables","Solar Radiation (S-LIB 21114839:21109518-1),W/m²,Cavendish Green Gables","Battery (RX3000 BATTERY 21114839:21114839-B),V,Cavendish Green Gables","Accumulated Rain (C-ACC-RAIN 21114839:21092075-2),mm,Cavendish Green Gables,Cavendish Green Gables"
10/1/2025,00:00:00 -0300,11.71,76.3,7.69,0,10.8,14.4,8,1,,0.8
10/1/2025,00:02:00 -0300,11.78,75.5,7.61,0,10.8,14.4,15,1,,
10/1/2025,00:04:00 -0300,11.71,75.3,7.5,0,8.4,12,6,1,4.214,
10/1/2025,00:06:00 -0300,11.59,75.3,7.38,0,8.4,10.8,67,1,,
10/1/2025,00:08:00 -0300,11.56,75.5,7.4,0,6,8.4,1,1,,
10/1/2025,00:09:00 -0300,,,,,,,,,4.229,
10/1/2025,00:10:00 -0300,11.52,75.5,7.35,0,4.8,8.4,0,1,,
10/1/2025,00:12:00 -0300,11.49,75.7,7.36,0,4.8,8.4,14,1,,
10/1/2025,00:14:00 -0300,11.47,75.8,7.36,0,6,9.6,6,1,4.233,
10/1/2025,00:16:00 -0300,11.56,75.7,7.43,0,10.8,15.6,358,1,,
10/1/2025,00:18:00 -0300,11.56,75.5,7.4,0,8.4,12,8,1,,
10/1/2025,00:19:00 -0300,,,,,,,,,4.212,
10/1/2025,00:20:00 -0300,11.54,75.4,7.35,0,7.2,10.8,4,1,,
10/1/2025,00:22:00 -0300,11.54,75.3,7.33,0,6,9.6,352,1,,
10/1/2025,00:24:00 -0300,11.66,75.7,7.53,0,8.4,13.2,7,1,4.227,
10/1/2025,00:26:00 -0300,11.76,75.6,7.6,0,8.4,12,1,1,,
10/1/2025,00:28:00 -0300,11.86,75.5,7.68,0,9.6,12,6,1,,
10/1/2025,00:29:00 -0300,,,,,,,,,4.232,
10/1/2025,00:30:00 -0300,11.93,74.9,7.63,0,10.8,14.4,6,1,,
10/1/2025,00:32:00 -0300,11.95,74.4,7.56,0,12,20.4,6,1,,
10/1/2025,00:34:00 -0300,12,73.6,7.44,0,10.8,15.6,6,1,4.211,
10/1/2025,00:36:00 -0300,12.07,73.2,7.43,0,9.6,14.4,4,1,,
10/1/2025,00:38:00 -0300,12.03,73,7.35,0,9.6,14.4,6,1,,
10/1/2025,00:39:00 -0300,,,,,,,,,4.224,
10/1/2025,00:40:00 -0300,12.03,72.8,7.31,0,9.6,13.2,20,1,,
10/1/2025,00:42:00 -0300,11.93,72.9,7.23,0,8.4,10.8,352,1,,
10/1/2025,00:44:00 -0300,11.81,72.9,7.12,0,7.2,9.6,354,1,4.23,
10/1/2025,00:46:00 -0300,11.76,73.3,7.15,0,7.2,10.8,355,1,,
10/1/2025,00:48:00 -0300,11.71,73.4,7.12,0,7.2,10.8,3,1,,
10/1/2025,00:49:00 -0300,,,,,,,,,4.211,
10/1/2025,00:50:00 -0300,11.69,73.7,7.16,0,7.2,13.2,6,1,,
10/1/2025,00:52:00 -0300,11.78,73.8,7.27,0,8.4,12,8,1,,
10/1/2025,00:54:00 -0300,11.73,73.7,7.21,0,7.2,9.6,21,1,4.224,
10/1/2025,00:56:00 -0300,11.76,74,7.29,0,8.4,13.2,7,1,,
10/1/2025,00:58:00 -0300,11.76,74.3,7.35,0,7.2,9.6,20,1,,
10/1/2025,00:59:00 -0300,,,,,,,,,4.229,
10/1/2025,01:00:00 -0300,12,74,7.52,0,10.8,19.2,21,1,,
10/1/2025,01:02:00 -0300,12.1,73.3,7.48,0,10.8,15.6,14,1,,
10/1/2025,01:04:00 -0300,12.07,73.2,7.43,0,8.4,14.4,11,1,4.211,
10/1/2025,01:06:00 -0300,12.12,73.2,7.48,0,10.8,13.2,11,1,,
10/1/2025,01:08:00 -0300,12.1,73.3,7.48,0,8.4,15.6,14,1,,
10/1/2025,01:09:00 -0300,,,,,,,,,4.223,
10/1/2025,01:10:00 -0300,12.12,73,7.44,0,9.6,14.4,18,1,,
10/1/2025,01:12:00 -0300,12.1,72.7,7.36,0,10.8,18,11,1,,
10/1/2025,01:14:00 -0300,12.05,72.6,7.29,0,7.2,15.6,10,1,4.227,
10/1/2025,01:16:00 -0300,12,72.6,7.24,0,7.2,13.2,21,1,,
10/1/2025,01:18:00 -0300,12,72.8,7.28,0,8.4,12,8,1,,
10/1/2025,01:19:00 -0300,,,,,,,,,4.211,
10/1/2025,01:20:00 -0300,12.05,73.7,7.51,0,10.8,15.6,8,1,,
10/1/2025,01:22:00 -0300,12.07,73.8,7.55,0,10.8,15.6,15,1,,
10/1/2025,01:24:00 -0300,12.12,73.7,7.58,0,9.6,14.4,15,1,4.223,
10/1/2025,01:26:00 -0300,12.1,73.5,7.52,0,8.4,12,14,1,,
10/1/2025,01:28:00 -0300,12,73.3,7.38,0,7.2,10.8,13,1,,
10/1/2025,01:29:00 -0300,,,,,,,,,4.227,
10/1/2025,01:30:00 -0300,11.9,73.3,7.29,0,6,10.8,1,1,,
10/1/2025,01:32:00 -0300,11.86,73.3,7.24,0,6,10.8,0,1,,
10/1/2025,01:34:00 -0300,11.83,73.2,7.2,0,6,9.6,3,1,4.206,
10/1/2025,01:36:00 -0300,11.81,72.9,7.12,0,6,9.6,25,1,,
10/1/2025,01:38:00 -0300,11.76,72.8,7.05,0,7.2,10.8,20,1,,
10/1/2025,01:39:00 -0300,,,,,,,,,4.221,
10/1/2025,01:40:00 -0300,11.76,72.6,7.01,0,6,9.6,14,1,,
10/1/2025,01:42:00 -0300,11.73,72.5,6.97,0,7.2,12,17,1,,
10/1/2025,01:44:00 -0300,11.66,72.8,6.96,0,7.2,9.6,4,1,4.226,
10/1/2025,01:46:00 -0300,11.61,73.2,6.99,0,8.4,14.4,17,1,,
10/1/2025,01:48:00 -0300,11.56,73.3,6.96,0,8.4,12,8,1,,
10/1/2025,01:49:00 -0300,,,,,,,,,4.206,
10/1/2025,01:50:00 -0300,11.47,73.6,6.93,0,6,8.4,7,1,,
10/1/2025,01:52:00 -0300,11.44,73.8,6.95,0,3.6,7.2,15,1,,
10/1/2025,01:54:00 -0300,11.56,74,7.1,0,6,8.4,3,1,4.221,
