Date,Time,"Temperature (S-THB 21114839:20824084-1),°C,Cavendish Green Gables","RH (S-THB 21114839:20824084-2),%,Cavendish Green Gables","Dew Point (S-THB 21114839:20824084-3),°C,Cavendish Green Gables","Rain (S-RGB 21114839:21092075-1),mm,Cavendish Green Gables","Average wind speed (S-WCF 21114839:21107892-1),Km/h,Cavendish Green Gables","Wind gust speed (S-WCF 21114839:21107892-2),Km/h,Cavendish Green Gables","Wind Direction (S-WCF 21114839:21107892-3),°,Cavendish Green Gables","Solar Radiation (S-LIB 21114839:21109518-1),W/m²,Cavendish Green Gables","Battery (RX3000 BATTERY 21114839:21114839-B),V,Cavendish Green Gables","Accumulated Rain (C-ACC-RAIN 21114839:21092075-2),mm,Cavendish Green Gables,Cavendish Green Gables"
9/1/2025,00:00:00 -0300,15.99,83.7,13.25,0,6,10.8,226,1,,0
9/1/2025,00:02:00 -0300,15.89,83.8,13.17,0,6,9.6,232,1,,
9/1/2025,00:04:00 -0300,15.91,84.1,13.25,0,6,12,227,1,4.236,
9/1/2025,00:06:00 -0300,15.89,84.2,13.25,0,7.2,10.8,220,1,,
9/1/2025,00:08:00 -0300,15.91,84.3,13.29,0,7.2,10.8,218,1,,
9/1/2025,00:09:00 -0300,,,,,,,,,4.248,
9/1/2025,00:10:00 -0300,15.87,84.5,13.28,0,4.8,8.4,226,1,,
9/1/2025,00:12:00 -0300,15.87,84.6,13.29,0,4.8,7.2,230,1,,
9/1/2025,00:14:00 -0300,15.87,84.7,13.31,0,6,9.6,216,1,4.251,
9/1/2025,00:16:00 -0300,15.8,84.9,13.28,0,4.8,7.2,222,1,,
9/1/2025,00:18:00 -0300,15.84,85.1,13.36,0,6,9.6,232,1,,
9/1/2025,00:19:00 -0300,,,,,,,,,4.238,
9/1/2025,00:20:00 -0300,15.84,85.2,13.38,0,4.8,9.6,229,1,,
9/1/2025,00:22:00 -0300,15.82,85.4,13.39,0,6,8.4,229,1,,
9/1/2025,00:24:00 -0300,15.91,85.6,13.52,0,7.2,14.4,223,1,4.247,
9/1/2025,00:26:00 -0300,15.89,85.7,13.52,0,6,8.4,225,1,,
9/1/2025,00:28:00 -0300,15.87,85.9,13.53,0,6,9.6,230,1,,
9/1/2025,00:29:00 -0300,,,,,,,,,4.25,
9/1/2025,00:30:00 -0300,15.82,86.1,13.52,0,4.8,7.2,225,1,,
9/1/2025,00:32:00 -0300,15.84,86.4,13.59,0,6,8.4,232,1,,
9/1/2025,00:34:00 -0300,15.87,86.5,13.64,0,4.8,9.6,237,1,4.232,
9/1/2025,00:36:00 -0300,15.89,86.6,13.68,0,4.8,7.2,230,1,,
9/1/2025,00:38:00 -0300,15.91,86.7,13.72,0,6,8.4,237,1,,
9/1/2025,00:39:00 -0300,,,,,,,,,4.245,
9/1/2025,00:40:00 -0300,15.94,86.9,13.78,0,4.8,7.2,244,1,,
9/1/2025,00:42:00 -0300,15.87,87,13.72,0,6,8.4,246,1,,
9/1/2025,00:44:00 -0300,15.82,87.2,13.71,0,6,9.6,250,1,4.25,
9/1/2025,00:46:00 -0300,15.82,87.5,13.77,0,6,8.4,250,1,,
