Date,Time,"Rain (S-RGB 21114835:21038371-1),mm,Greenwich PEINP","Solar Radiation (S-LIB 21114835:21105866-1),W/m²,Greenwich PEINP","Battery (RX3000 BATTERY 21114835:21114835-B),V,Greenwich PEINP","Wind Direction (S-WCF 21114835:21135207-3),°,Greenwich PEINP","Average wind speed (S-WCF 21114835:21135207-1),Km/h,Greenwich PEINP","Wind gust speed (S-WCF 21114835:21135207-2),Km/h,Greenwich PEINP","RH (S-THC 21114835:21530608-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21530608-3),°C,Greenwich PEINP","Temperature (S-TMB 21114835:21098926-1),°C,Greenwich PEINP","Wind Speed (S-WCF 21114835:21135207-1),m/s,Greenwich PEINP","Gust Speed (S-WCF 21114835:21135207-2),m/s,Greenwich PEINP","Temperature (S-THC 21114835:21530608-1),°C,Greenwich PEINP","Wind gust speed (S-WCF 21114835:21135207-2),Km/h,Greenwich PEINP","Average wind speed (S-WCF 21114835:21135207-1),Km/h,Greenwich PEINP"
12/01/2022,00:00:00 -0400,0,1,4.212,160,24,38,,,5.95,,,,,
12/01/2022,00:02:00 -0400,0,1,,171,24,34,,,5.97,,,,,
12/01/2022,00:04:00 -0400,0,1,,164,19,35,,,5.95,,,,,
12/01/2022,00:05:00 -0400,,,4.217,,,,,,,,,,,
12/01/2022,00:06:00 -0400,0,1,,163,24,42,,,6.03,,,,,
12/01/2022,00:08:00 -0400,0,1,,163,22,32,,,6,,,,,
12/01/2022,00:10:00 -0400,0,1,4.191,167,25,38,,,6.13,,,,,
12/01/2022,00:12:00 -0400,0,1,,170,24,35,,,6.08,,,,,
12/01/2022,00:14:00 -0400,0,1,,166,25,35,,,6.13,,,,,
12/01/2022,00:15:00 -0400,,,4.212,,,,,,,,,,,
12/01/2022,00:16:00 -0400,0,1,,166,22,32,,,6.13,,,,,
12/01/2022,00:18:00 -0400,0,1,,166,22,40,,,6.18,,,,,
12/01/2022,00:20:00 -0400,0,1,4.215,164,22,31,,,6.15,,,,,
12/01/2022,00:22:00 -0400,0,1,,161,22,37,,,6.13,,,,,
12/01/2022,00:24:00 -0400,0,1,,160,20,31,,,6.13,,,,,
12/01/2022,00:25:00 -0400,,,4.196,,,,,,,,,,,
12/01/2022,00:26:00 -0400,0,1,,173,23,35,,,6.2,,,,,
12/01/2022,00:28:00 -0400,0,1,,167,19,32,,,6.2,,,,,
12/01/2022,00:30:00 -0400,0,1,4.212,160,20,30,,,6.2,,,,,
12/01/2022,00:32:00 -0400,0,1,,163,20,29,,,6.2,,,,,
12/01/2022,00:34:00 -0400,0,1,,160,22,35,,,6.2,,,,,
12/01/2022,00:35:00 -0400,,,4.214,,,,,,,,,,,
12/01/2022,00:36:00 -0400,0,1,,160,20,41,,,6.33,,,,,
12/01/2022,00:38:00 -0400,0,1,,160,19,31,,,6.28,,,,,
12/01/2022,00:40:00 -0400,0,1,4.19,168,23,34,,,6.31,,,,,
12/01/2022,00:42:00 -0400,0,1,,159,22,35,,,6.41,,,,,
12/01/2022,00:44:00 -0400,0,1,,163,22,36,,,6.41,,,,,
12/01/2022,00:45:00 -0400,,,4.211,,,,,,,,,,,
12/01/2022,00:46:00 -0400,0,1,,168,20,38,,,6.53,,,,,
12/01/2022,00:48:00 -0400,0,1,,170,22,34,,,6.53,,,,,
12/01/2022,00:50:00 -0400,0,1,4.214,167,23,37,,,6.61,,,,,
12/01/2022,00:52:00 -0400,0,1,,166,23,41,,,6.61,,,,,
12/01/2022,00:54:00 -0400,0,1,,167,24,50,,,6.61,,,,,
12/01/2022,00:55:00 -0400,,,4.194,,,,,,,,,,,
12/01/2022,00:56:00 -0400,0,1,,168,26,40,,,6.64,,,,,
12/01/2022,00:58:00 -0400,0,1,,168,18,30,,,6.53,,,,,
12/01/2022,01:00:00 -0400,0,1,4.211,171,22,32,,,6.61,,,,,
12/01/2022,01:02:00 -0400,0,1,,171,20,30,,,6.56,,,,,
12/01/2022,01:04:00 -0400,0,1,,163,23,34,,,6.51,,,,,
12/01/2022,01:05:00 -0400,,,4.214,,,,,,,,,,,
12/01/2022,01:06:00 -0400,0,1,,167,22,37,,,6.56,,,,,
12/01/2022,01:08:00 -0400,0,1,,163,23,36,,,6.64,,,,,
12/01/2022,01:10:00 -0400,0,1,4.19,160,19,31,,,6.59,,,,,
12/01/2022,01:12:00 -0400,0,1,,161,22,35,,,6.61,,,,,
12/01/2022,01:14:00 -0400,0,1,,161,19,32,,,6.59,,,,,
12/01/2022,01:15:00 -0400,,,4.211,,,,,,,,,,,
