Date,Time,"Temperature (S-TMB 21114835:21098926-1),°C,Greenwich PEINP","Rain (S-RGB 21114835:21038371-1),mm,Greenwich PEINP","Solar Radiation (S-LIB 21114835:21105866-1),W/m²,Greenwich PEINP","Battery (RX3000 BATTERY 21114835:21114835-B),V,Greenwich PEINP","Wind Direction (S-WCF 21114835:21135207-3),°,Greenwich PEINP","Average wind speed (S-WCF 21114835:21135207-1),Km/h,Greenwich PEINP","Wind gust speed (S-WCF 21114835:21135207-2),Km/h,Greenwich PEINP","RH (S-THC 21114835:21530608-2),%,Greenwich PEINP"
11/01/2022,00:00:00 -0300,7.64,0,1,4.245,74,0,0,
11/01/2022,00:02:00 -0300,7.62,0,1,,74,0,0,
11/01/2022,00:04:00 -0300,7.52,0,1,,74,0,0,
11/01/2022,00:05:00 -0300,,,,4.251,,,,
11/01/2022,00:06:00 -0300,7.52,0,1,,74,0,0,
11/01/2022,00:08:00 -0300,7.49,0,1,,76,0,0,
11/01/2022,00:10:00 -0300,7.67,0,1,4.25,79,0,1,
11/01/2022,00:12:00 -0300,7.64,0,1,,79,0,0,
11/01/2022,00:14:00 -0300,7.64,0,1,,81,0,0,
11/01/2022,00:15:00 -0300,,,,4.245,,,,
11/01/2022,00:16:00 -0300,7.59,0,1,,87,0,0,
11/01/2022,00:18:00 -0300,7.67,0,1,,114,0,1,
11/01/2022,00:20:00 -0300,7.64,0,1,4.251,94,0,0,
11/01/2022,00:22:00 -0300,7.74,0,1,,91,0,1,
11/01/2022,00:24:00 -0300,7.79,0,1,,88,0,0,
11/01/2022,00:25:00 -0300,,,,4.248,,,,
11/01/2022,00:26:00 -0300,7.74,0,1,,93,0,0,
11/01/2022,00:28:00 -0300,7.57,0,1,,100,0,0,
11/01/2022,00:30:00 -0300,7.47,0,1,4.245,119,0,0,
11/01/2022,00:32:00 -0300,7.59,0,1,,90,0,2,
11/01/2022,00:34:00 -0300,7.74,0,1,,88,0,1,
11/01/2022,00:35:00 -0300,,,,4.25,,,,
11/01/2022,00:36:00 -0300,7.87,0,1,,100,0,1,
11/01/2022,00:38:00 -0300,7.87,0,1,,108,0,0,
11/01/2022,00:40:00 -0300,7.72,0,1,4.247,105,0,0,
11/01/2022,00:42:00 -0300,7.69,0,1,,114,0,1,
11/01/2022,00:44:00 -0300,7.79,0,1,,111,0,2,
11/01/2022,00:45:00 -0300,,,,4.244,,,,
11/01/2022,00:46:00 -0300,7.95,0,1,,84,0,1,
11/01/2022,00:48:00 -0300,8,0,1,,93,0,1,
11/01/2022,00:50:00 -0300,8.02,0,1,4.25,74,0,0,
11/01/2022,00:52:00 -0300,8.02,0,1,,79,0,1,
11/01/2022,00:54:00 -0300,7.97,0,1,,111,0,1,
11/01/2022,00:55:00 -0300,,,,4.247,,,,
11/01/2022,00:56:00 -0300,7.87,0,1,,111,0,0,
11/01/2022,00:58:00 -0300,7.9,0,1,,87,0,4,
11/01/2022,01:00:00 -0300,7.87,0,1,4.244,100,0,0,
11/01/2022,01:02:00 -0300,7.9,0,1,,135,0,1,
11/01/2022,01:04:00 -0300,7.9,0,1,,139,0,2,
11/01/2022,01:05:00 -0300,,,,4.248,,,,
11/01/2022,01:06:00 -0300,7.92,0,1,,124,0,2,
11/01/2022,01:08:00 -0300,7.92,0,1,,126,0,0,
11/01/2022,01:10:00 -0300,7.87,0,1,4.247,160,1,4,
11/01/2022,01:12:00 -0300,7.79,0,1,,159,1,5,
11/01/2022,01:14:00 -0300,7.87,0,1,,142,2,5,
11/01/2022,01:15:00 -0300,,,,4.242,,,,
11/01/2022,01:16:00 -0300,7.9,0,1,,170,0,1,
11/01/2022,01:18:00 -0300,7.95,0,1,,174,0,2,
11/01/2022,01:20:00 -0300,7.95,0,1,4.248,168,0,0,
11/01/2022,01:22:00 -0300,7.84,0,1,,168,0,0,
11/01/2022,01:24:00 -0300,8.09,0,1,,160,0,2,
11/01/2022,01:25:00 -0300,,,,4.245,,,,
11/01/2022,01:26:00 -0300,8.44,0,1,,114,1,2,
11/01/2022,01:28:00 -0300,8.57,0,1,,110,0,2,
11/01/2022,01:30:00 -0300,8.59,0,1,4.242,101,0,0,
11/01/2022,01:32:00 -0300,8.59,0,1,,101,0,0,
11/01/2022,01:34:00 -0300,8.62,0,1,,101,0,0,
11/01/2022,01:35:00 -0300,,,,4.247,,,,
11/01/2022,01:36:00 -0300,8.67,0,1,,101,0,0,
11/01/2022,01:38:00 -0300,8.77,0,1,,101,0,0,
11/01/2022,01:40:00 -0300,8.82,0,1,4.244,101,0,0,
11/01/2022,01:42:00 -0300,8.87,0,1,,131,0,0,
11/01/2022,01:44:00 -0300,8.99,0,1,,142,0,0,
11/01/2022,01:45:00 -0300,,,,4.242,,,,
11/01/2022,01:46:00 -0300,9.09,0,1,,142,0,0,
11/01/2022,01:48:00 -0300,9.06,0,1,,143,0,1,
11/01/2022,01:50:00 -0300,9.06,0,1,4.247,146,0,1,
11/01/2022,01:52:00 -0300,9.04,0,1,,174,0,2,
11/01/2022,01:54:00 -0300,9.01,0,1,,173,0,2,
11/01/2022,01:55:00 -0300,,,,4.244,,,,
11/01/2022,01:56:00 -0300,8.99,0,1,,174,0,2,
11/01/2022,01:58:00 -0300,8.99,0,1,,153,0,1,
11/01/2022,02:00:00 -0300,9.04,0,1,4.241,97,0,1,
11/01/2022,02:02:00 -0300,9.16,0,1,,95,0,1,
11/01/2022,02:04:00 -0300,9.24,0,1,,84,0,1,
11/01/2022,02:05:00 -0300,,,,4.247,,,,
11/01/2022,02:06:00 -0300,9.26,0,1,,112,0,2,
11/01/2022,02:08:00 -0300,9.29,0,1,,159,0,4,
11/01/2022,02:10:00 -0300,9.34,0,1,4.244,150,0,2,
11/01/2022,02:12:00 -0300,9.53,0,1,,170,0,1,
11/01/2022,02:14:00 -0300,9.61,0,1,,146,0,1,
11/01/2022,02:15:00 -0300,,,,4.239,,,,
11/01/2022,02:16:00 -0300,9.68,0,1,,129,1,5,
11/01/2022,02:18:00 -0300,9.73,0,1,,150,0,2,
11/01/2022,02:20:00 -0300,9.83,0,1,4.245,126,1,4,
11/01/2022,02:22:00 -0300,9.83,0,1,,62,0,1,
11/01/2022,02:24:00 -0300,9.85,0,1,,143,1,2,
11/01/2022,02:25:00 -0300,,,,4.242,,,,
