Date,Time,"Temperature (S-TMB 21114835:21098926-1),°C,Greenwich PEINP","Rain (S-RGB 21114835:21038371-1),mm,Greenwich PEINP","Solar Radiation (S-LIB 21114835:21105866-1),W/m²,Greenwich PEINP","Battery (RX3000 BATTERY 21114835:21114835-B),V,Greenwich PEINP","Wind Direction (S-WCF 21114835:21135207-3),°,Greenwich PEINP","Average wind speed (S-WCF 21114835:21135207-1),Km/h,Greenwich PEINP","Wind gust speed (S-WCF 21114835:21135207-2),Km/h,Greenwich PEINP","RH (S-THC 21114835:21530608-2),%,Greenwich PEINP"
10/25/2022,12:15:00 -0300,20.56,,,4.223,,,,
10/26/2022,14:30:00 -0300,23.14,0,292,4.254,175,2,5,
10/26/2022,14:32:00 -0300,23.18,0,337,,160,2,6,
10/26/2022,14:34:00 -0300,22.97,0,382,,168,5,7,
10/26/2022,14:35:00 -0300,,,,4.307,,,,
10/26/2022,14:36:00 -0300,23.23,0,428,,168,5,8,
10/26/2022,14:38:00 -0300,23.62,0,451,,166,6,12,
10/26/2022,14:40:00 -0300,24.22,0,456,4.323,167,6,10,
10/26/2022,14:42:00 -0300,24.51,0,443,,170,6,11,
10/26/2022,14:44:00 -0300,24.92,0,417,,178,5,7,
10/26/2022,14:45:00 -0300,,,,4.299,,,,
10/26/2022,14:46:00 -0300,25.09,0,298,,173,5,8,
10/26/2022,14:48:00 -0300,24.44,0,256,,184,5,11,
10/26/2022,14:50:00 -0300,23.76,0,147,4.307,191,6,11,
10/26/2022,14:52:00 -0300,23.47,0,134,,173,4,8,
10/26/2022,14:54:00 -0300,22.68,0,124,,164,5,7,
10/26/2022,14:55:00 -0300,,,,4.323,,,,
10/26/2022,14:56:00 -0300,22.2,0,146,,167,5,8,
10/26/2022,14:58:00 -0300,22.03,0,158,,163,5,8,
10/26/2022,15:00:00 -0300,22.23,0,158,4.304,167,2,7,
10/26/2022,15:02:00 -0300,22.3,0,159,,174,4,7,
10/26/2022,15:04:00 -0300,22.25,0,171,,184,4,6,
10/26/2022,15:05:00 -0300,,,,4.308,,,,
10/26/2022,15:06:00 -0300,22.23,0,207,,195,2,7,
10/26/2022,15:08:00 -0300,22.18,0,234,,194,4,8,
10/26/2022,15:10:00 -0300,22.51,0,259,4.313,194,2,6,
10/26/2022,15:12:00 -0300,23.02,0,373,,183,4,11,
10/26/2022,15:14:00 -0300,23.4,0,451,,167,6,10,
10/26/2022,15:15:00 -0300,,,,4.298,,,,
10/26/2022,15:16:00 -0300,23.28,0,218,,173,7,11,
10/26/2022,15:18:00 -0300,22.9,0,218,,160,6,12,
10/26/2022,15:20:00 -0300,22.35,0,159,4.32,163,7,11,
10/26/2022,15:22:00 -0300,21.91,0,131,,168,5,8,
10/26/2022,15:24:00 -0300,21.72,0,121,,166,4,7,
