Date,Time,"Temperature (S-TMB 21114835:21098926-1),°C,Greenwich PEINP","Rain (S-RGB 21114835:21038371-1),mm,Greenwich PEINP","Solar Radiation (S-LIB 21114835:21105866-1),W/m²,Greenwich PEINP","Battery (RX3000 BATTERY 21114835:21114835-B),V,Greenwich PEINP","Wind Direction (S-WCF 21114835:21135207-3),°,Greenwich PEINP","Average wind speed (S-WCF 21114835:21135207-1),Km/h,Greenwich PEINP","Wind gust speed (S-WCF 21114835:21135207-2),Km/h,Greenwich PEINP","RH (S-THC 21114835:21530608-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21530608-3),°C,Greenwich PEINP","Temperature (S-THC 21114835:21530608-1),°C,Greenwich PEINP"
04/01/2023,00:00:00 -0300,-2.39,0,1,4.227,170,2,4,,,
04/01/2023,00:02:00 -0300,-2.42,0,1,,164,1,4,,,
04/01/2023,00:04:00 -0300,-2.48,0,1,,164,1,4,,,
04/01/2023,00:05:00 -0300,,,,4.212,,,,,,
04/01/2023,00:06:00 -0300,-2.45,0,1,,164,2,4,,,
04/01/2023,00:08:00 -0300,-2.42,0,1,,164,1,4,,,
04/01/2023,00:10:00 -0300,-2.42,0,1,4.221,164,2,2,,,
04/01/2023,00:12:00 -0300,-2.39,0,1,,166,2,4,,,
04/01/2023,00:14:00 -0300,-2.33,0,1,,167,2,4,,,
04/01/2023,00:15:00 -0300,,,,4.224,,,,,,
04/01/2023,00:16:00 -0300,-2.28,0,1,,177,4,6,,,
04/01/2023,00:18:00 -0300,-2.22,0,1,,208,1,4,,,
04/01/2023,00:20:00 -0300,-2.16,0,1,4.211,188,2,5,,,
04/01/2023,00:22:00 -0300,-2.02,0,1,,199,2,4,,,
04/01/2023,00:24:00 -0300,-1.9,0,1,,190,4,7,,,
04/01/2023,00:25:00 -0300,,,,4.22,,,,,,
04/01/2023,00:26:00 -0300,-1.87,0,1,,192,1,4,,,
04/01/2023,00:28:00 -0300,-1.81,0,1,,190,4,7,,,
04/01/2023,00:30:00 -0300,-1.78,0,1,4.223,197,4,6,,,
04/01/2023,00:32:00 -0300,-1.76,0,1,,178,4,5,,,
04/01/2023,00:34:00 -0300,-1.73,0,1,,173,4,8,,,
04/01/2023,00:35:00 -0300,,,,4.208,,,,,,
04/01/2023,00:36:00 -0300,-1.76,0,1,,184,4,7,,,
04/01/2023,00:38:00 -0300,-1.73,0,1,,171,4,8,,,
04/01/2023,00:40:00 -0300,-1.76,0,1,4.218,180,4,7,,,
04/01/2023,00:42:00 -0300,-1.7,0,1,,188,4,7,,,
04/01/2023,00:44:00 -0300,-1.7,0,1,,187,4,7,,,
04/01/2023,00:45:00 -0300,,,,4.223,,,,,,
04/01/2023,00:46:00 -0300,-1.7,0,1,,175,4,7,,,
04/01/2023,00:48:00 -0300,-1.67,0,1,,185,5,10,,,
04/01/2023,00:50:00 -0300,-1.67,0,1,4.208,181,5,10,,,
