Date,Time,"Temperature (S-TMB 21114835:21098926-1),°C,Greenwich PEINP","Rain (S-RGB 21114835:21038371-1),mm,Greenwich PEINP","Solar Radiation (S-LIB 21114835:21105866-1),W/m²,Greenwich PEINP","Battery (RX3000 BATTERY 21114835:21114835-B),V,Greenwich PEINP","Wind Direction (S-WCF 21114835:21135207-3),°,Greenwich PEINP","Average wind speed (S-WCF 21114835:21135207-1),Km/h,Greenwich PEINP","Wind gust speed (S-WCF 21114835:21135207-2),Km/h,Greenwich PEINP","RH (S-THC 21114835:21530608-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21530608-3),°C,Greenwich PEINP","Temperature (S-THC 21114835:21530608-1),°C,Greenwich PEINP"
08/01/2023,00:00:00 -0300,,0,1,4.269,350,0,2,86.532,16.065,
08/01/2023,00:05:00 -0300,,0,1,4.26,350,0,1,86.889,16.003,
08/01/2023,00:10:00 -0300,,0,1,4.268,350,0,2,86.215,16.028,
08/01/2023,00:15:00 -0300,,0,1,4.271,350,0,0,87.057,16.244,
08/01/2023,00:20:00 -0300,,0,1,4.259,350,0,1,88.156,16.167,
08/01/2023,00:25:00 -0300,,0,1,4.268,350,0,1,88.682,16.26,
08/01/2023,00:30:00 -0300,,0,1,4.269,350,0,0,88.711,16.159,
08/01/2023,00:35:00 -0300,,0,1,4.257,350,0,0,89.31,16.095,
08/01/2023,00:40:00 -0300,,0,1,4.266,344,2,4,86.737,15.87,
08/01/2023,00:45:00 -0300,,0,1,4.268,313,1,4,86.871,15.978,
08/01/2023,00:50:00 -0300,,0,1,4.257,307,0,2,88.087,16.091,
08/01/2023,00:55:00 -0300,,0,1,4.265,309,0,1,88.815,16.093,
08/01/2023,01:00:00 -0300,,0,1,4.268,309,0,2,90.024,16.072,
08/01/2023,01:05:00 -0300,,0,1,4.254,302,1,4,91.398,16.14,
08/01/2023,01:10:00 -0300,,0,1,4.265,267,1,4,92.447,16.383,
08/01/2023,01:15:00 -0300,,0,1,4.268,263,2,4,92.395,16.502,
08/01/2023,01:20:00 -0300,,0,1,4.253,248,2,5,92.209,16.364,
08/01/2023,01:25:00 -0300,,0,1,4.265,257,1,5,92.525,16.481,
08/01/2023,01:30:00 -0300,,0,1,4.266,285,2,5,92.657,16.419,
08/01/2023,01:35:00 -0300,,0,1,4.253,253,1,4,92.816,16.339,
08/01/2023,01:40:00 -0300,,0,1,4.263,247,1,4,93.301,16.293,
08/01/2023,01:45:00 -0300,,0,1,4.265,247,4,7,93.445,16.275,
08/01/2023,01:50:00 -0300,,0,1,4.254,247,2,8,93.541,16.078,
08/01/2023,01:55:00 -0300,,0,1,4.263,250,5,11,94.267,16.242,
08/01/2023,02:00:00 -0300,,0,1,4.266,246,2,6,94.501,16.153,
08/01/2023,02:05:00 -0300,,0,1,4.253,260,4,8,95.125,16.278,
08/01/2023,02:10:00 -0300,,0,1,4.262,243,4,8,94.978,16.211,
08/01/2023,02:15:00 -0300,,0,1,4.265,250,4,7,94.626,16.046,
08/01/2023,02:20:00 -0300,,0,1,4.254,244,2,8,93.582,15.808,
08/01/2023,02:25:00 -0300,,0,1,4.26,284,2,7,92.021,15.375,
08/01/2023,02:30:00 -0300,,0,1,4.263,284,2,6,91.449,15.171,
08/01/2023,02:35:00 -0300,,0,1,4.25,270,2,6,91.063,15.021,
08/01/2023,02:40:00 -0300,,0,1,4.26,260,4,8,91.229,15.006,
08/01/2023,02:45:00 -0300,,0,1,4.262,250,6,11,91.504,15.202,
08/01/2023,02:50:00 -0300,,0,1,4.25,246,6,13,89.726,15.024,
08/01/2023,02:55:00 -0300,,0,1,4.26,247,7,12,89.552,14.951,
08/01/2023,03:00:00 -0300,,0,1,4.262,248,5,11,90.024,14.906,
08/01/2023,03:05:00 -0300,,0,1,4.25,256,6,16,89.998,14.901,
08/01/2023,03:10:00 -0300,,0,1,4.259,253,5,10,90.46,14.896,
08/01/2023,03:15:00 -0300,,0,1,4.262,250,6,13,90.477,14.941,
08/01/2023,03:20:00 -0300,,0,1,4.25,256,4,7,90.665,14.931,
08/01/2023,03:25:00 -0300,,0,1,4.259,257,4,8,90.739,14.902,
08/01/2023,03:30:00 -0300,,0,1,4.26,264,4,12,90.674,14.827,
08/01/2023,03:35:00 -0300,,0,1,4.248,261,4,10,90.816,14.766,
08/01/2023,03:40:00 -0300,,0,1,4.257,285,2,10,91.385,14.693,
08/01/2023,03:45:00 -0300,,0,1,4.26,264,4,8,91.865,14.711,
08/01/2023,03:50:00 -0300,,0,1,4.25,268,1,6,92.277,14.631,
08/01/2023,03:55:00 -0300,,0,1,4.257,281,2,6,92.969,14.619,
08/01/2023,04:00:00 -0300,,0,1,4.26,254,4,8,93.582,14.679,
08/01/2023,04:05:00 -0300,,0,1,4.245,254,4,8,94.118,14.81,
08/01/2023,04:10:00 -0300,,0,1,4.257,250,4,10,94.542,14.944,
08/01/2023,04:15:00 -0300,,0,1,4.26,247,4,10,94.754,15,
08/01/2023,04:20:00 -0300,,0,1,4.247,282,2,6,94.881,14.914,
08/01/2023,04:25:00 -0300,,0,1,4.256,264,2,7,95.303,15.026,
08/01/2023,04:30:00 -0300,,0,1,4.26,260,2,7,95.203,14.945,
08/01/2023,04:35:00 -0300,,0,1,4.247,247,4,8,95.517,15.125,
08/01/2023,04:40:00 -0300,,0,1,4.256,256,2,7,95.463,15.009,
08/01/2023,04:45:00 -0300,,0,1,4.259,268,2,6,95.691,14.94,
08/01/2023,04:50:00 -0300,,0,1,4.247,257,2,5,95.88,14.757,
08/01/2023,04:55:00 -0300,,0,1,4.256,248,4,7,96.405,14.927,
08/01/2023,05:00:00 -0300,,0,1,4.259,258,2,6,96.58,14.998,
08/01/2023,05:05:00 -0300,,0,1,4.245,237,4,8,96.631,15.006,
08/01/2023,05:10:00 -0300,,0,1,4.254,246,5,8,96.872,15.088,
08/01/2023,05:15:00 -0300,,0,1,4.257,248,5,11,97.288,15.304,
08/01/2023,05:20:00 -0300,,0,1,4.247,247,5,8,97.139,15.259,
08/01/2023,05:25:00 -0300,,0,1,4.254,256,4,8,96.849,15.148,
08/01/2023,05:30:00 -0300,,0,1,4.257,256,5,13,97.16,15.198,
08/01/2023,05:35:00 -0300,,0,1,4.242,244,5,10,97.215,15.121,
08/01/2023,05:40:00 -0300,,0,1,4.253,241,6,11,97.581,15.223,
08/01/2023,05:45:00 -0300,,0,2,4.257,243,6,11,97.421,15.261,
08/01/2023,05:50:00 -0300,,0,2,4.244,244,6,11,97.646,15.276,
08/01/2023,05:55:00 -0300,,0,4,4.257,248,4,8,97.687,15.197,
08/01/2023,06:00:00 -0300,,0,6,4.266,240,6,12,97.807,15.302,
08/01/2023,06:05:00 -0300,,0,8,4.254,244,6,11,97.972,15.371,
08/01/2023,06:10:00 -0300,,0,12,4.272,240,7,11,97.819,15.282,
08/01/2023,06:15:00 -0300,,0,14,4.287,240,7,11,97.826,15.262,
08/01/2023,06:20:00 -0300,,0,18,4.275,246,7,11,97.819,15.218,
08/01/2023,06:25:00 -0300,,0,57,4.302,243,5,10,97.865,15.354,
08/01/2023,06:30:00 -0300,,0,72,4.302,250,5,7,97.165,15.477,
08/01/2023,06:35:00 -0300,,0,74,4.289,246,6,10,96.443,15.553,
08/01/2023,06:40:00 -0300,,0,91,4.298,241,7,11,95.491,15.676,
08/01/2023,06:45:00 -0300,,0,111,4.298,246,7,11,94.791,15.668,
08/01/2023,06:50:00 -0300,,0,121,4.313,244,6,10,94.044,15.779,
08/01/2023,06:55:00 -0300,,0,117,4.304,247,6,10,94.127,15.728,
08/01/2023,07:00:00 -0300,,0,144,4.307,244,6,10,93.495,15.943,
08/01/2023,07:05:00 -0300,,0,154,4.305,241,7,10,93.248,16.114,
08/01/2023,07:10:00 -0300,,0,173,4.299,241,7,10,92.821,16.212,
08/01/2023,07:15:00 -0300,,0,187,4.302,244,7,11,91.369,16.093,
08/01/2023,07:20:00 -0300,,0,201,4.308,244,8,11,91.673,16.315,
