Date,Time,"Temperature (S-TMB 21114835:21098926-1),°C,Greenwich PEINP","Rain (S-RGB 21114835:21038371-1),mm,Greenwich PEINP","Solar Radiation (S-LIB 21114835:21105866-1),W/m²,Greenwich PEINP","Battery (RX3000 BATTERY 21114835:21114835-B),V,Greenwich PEINP","Wind Direction (S-WCF 21114835:21135207-3),°,Greenwich PEINP","Average wind speed (S-WCF 21114835:21135207-1),Km/h,Greenwich PEINP","Wind gust speed (S-WCF 21114835:21135207-2),Km/h,Greenwich PEINP","RH (S-THC 21114835:21530608-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21530608-3),°C,Greenwich PEINP","Temperature (S-THC 21114835:21530608-1),°C,Greenwich PEINP"
12/01/2023,00:00:00 -0400,,0,1,4.127,211,10,19,84.329,-0.292,
12/01/2023,00:05:00 -0400,,0,1,4.128,212,10,20,84.265,-0.282,
12/01/2023,00:10:00 -0400,,0,1,4.128,215,8,16,84.549,-0.257,
12/01/2023,00:15:00 -0400,,0,1,4.125,209,10,17,84.585,-0.272,
12/01/2023,00:20:00 -0400,,0,1,4.125,212,10,20,84.443,-0.253,
12/01/2023,00:25:00 -0400,,0,1,4.127,206,8,17,84.613,-0.246,
12/01/2023,00:30:00 -0400,,0,1,4.125,206,10,17,85.02,-0.244,
12/01/2023,00:35:00 -0400,,0,1,4.122,206,7,16,85.267,-0.309,
12/01/2023,00:40:00 -0400,,0,1,4.122,202,7,13,85.772,-0.355,
12/01/2023,00:45:00 -0400,,0,1,4.122,205,7,13,86.281,-0.274,
12/01/2023,00:50:00 -0400,,0,1,4.119,194,10,19,86.12,-0.299,
12/01/2023,00:55:00 -0400,,0,1,4.12,192,8,17,86.317,-0.373,
12/01/2023,01:00:00 -0400,,0,1,4.12,195,7,17,86.986,-0.289,
12/01/2023,01:05:00 -0400,,0,1,4.117,190,8,17,86.517,-0.215,
12/01/2023,01:10:00 -0400,,0,1,4.117,198,8,18,86.439,-0.206,
12/01/2023,01:15:00 -0400,,0,1,4.116,208,8,14,86.448,-0.205,
12/01/2023,01:20:00 -0400,,0,1,4.113,205,7,16,86.404,-0.191,
12/01/2023,01:25:00 -0400,,0,1,4.114,199,7,13,86.381,-0.173,
12/01/2023,01:30:00 -0400,,0,1,4.11,201,7,13,86.226,-0.177,
12/01/2023,01:35:00 -0400,,0,1,4.111,208,7,12,86.394,-0.108,
12/01/2023,01:40:00 -0400,,0,1,4.113,204,6,11,86.439,-0.143,
12/01/2023,01:45:00 -0400,,0,1,4.11,209,6,12,86.242,-0.09,
12/01/2023,01:50:00 -0400,,0,1,4.11,205,6,12,86.299,-0.059,
12/01/2023,01:55:00 -0400,,0,1,4.111,202,6,12,85.978,0.016,
12/01/2023,02:00:00 -0400,,0,1,4.11,195,7,13,85.653,0.048,
12/01/2023,02:05:00 -0400,,0,1,4.108,202,6,12,85.574,0.057,
12/01/2023,02:10:00 -0400,,0,1,4.108,197,6,13,85.484,0.105,
12/01/2023,02:15:00 -0400,,0,1,4.108,194,6,12,85.148,0.093,
12/01/2023,02:20:00 -0400,,0,1,4.105,194,6,14,85.071,0.165,
12/01/2023,02:25:00 -0400,,0,1,4.105,197,8,18,84.768,0.221,
12/01/2023,02:30:00 -0400,,0,1,4.102,197,7,13,84.715,0.234,
12/01/2023,02:35:00 -0400,,0,1,4.102,195,7,17,84.45,0.275,
12/01/2023,02:40:00 -0400,,0,1,4.102,192,8,18,84.404,0.331,
12/01/2023,02:45:00 -0400,,0,1,4.102,211,8,16,84.036,0.376,
12/01/2023,02:50:00 -0400,,0,1,4.101,209,8,16,84.06,0.443,
12/01/2023,02:55:00 -0400,,0,1,4.101,213,11,20,83.809,0.549,
12/01/2023,03:00:00 -0400,,0,1,4.102,215,8,14,83.5,0.519,
12/01/2023,03:05:00 -0400,,0,1,4.099,209,8,16,83.754,0.518,
12/01/2023,03:10:00 -0400,,0,1,4.101,205,8,14,83.74,0.537,
12/01/2023,03:15:00 -0400,,0,1,4.099,206,8,22,84.038,0.544,
12/01/2023,03:20:00 -0400,,0,1,4.098,211,10,18,84.221,0.616,
12/01/2023,03:25:00 -0400,,0,1,4.099,216,10,16,84.05,0.609,
12/01/2023,03:30:00 -0400,,0,1,4.099,212,8,16,84.26,0.728,
12/01/2023,03:35:00 -0400,,0,1,4.096,216,7,14,84.44,0.716,
12/01/2023,03:40:00 -0400,,0,1,4.098,215,7,22,85.054,0.689,
12/01/2023,03:45:00 -0400,,0,1,4.093,215,7,12,85.405,0.704,
12/01/2023,03:50:00 -0400,,0,1,4.096,219,7,12,85.464,0.651,
12/01/2023,03:55:00 -0400,,0,1,4.096,216,7,12,85.826,0.667,
12/01/2023,04:00:00 -0400,,0,1,4.093,215,7,13,86.13,0.758,
12/01/2023,04:05:00 -0400,,0,1,4.095,213,8,14,86.261,0.758,
12/01/2023,04:10:00 -0400,,0,1,4.096,216,8,16,86,0.8,
12/01/2023,04:15:00 -0400,,0,1,4.095,209,10,17,86.091,0.9,
12/01/2023,04:20:00 -0400,,0,1,4.095,212,8,14,85.859,0.904,
12/01/2023,04:25:00 -0400,,0,1,4.095,205,8,17,85.896,0.995,
12/01/2023,04:30:00 -0400,,0,1,4.095,211,10,19,85.777,1.06,
12/01/2023,04:35:00 -0400,,0,1,4.093,202,10,19,85.226,1.181,
