Date,Time,"Temperature (S-TMB 21114835:21098926-1),°C,Greenwich PEINP","Rain (S-RGB 21114835:21038371-1),mm,Greenwich PEINP","Solar Radiation (S-LIB 21114835:21105866-1),W/m²,Greenwich PEINP","Battery (RX3000 BATTERY 21114835:21114835-B),V,Greenwich PEINP","Wind Direction (S-WCF 21114835:21135207-3),°,Greenwich PEINP","Average wind speed (S-WCF 21114835:21135207-1),Km/h,Greenwich PEINP","Wind gust speed (S-WCF 21114835:21135207-2),Km/h,Greenwich PEINP","RH (S-THC 21114835:21530608-2),%,Greenwich PEINP"
02/01/2023,00:00:00 -0400,-6.77,0,1,4.185,338,6,13,
02/01/2023,00:02:00 -0400,-6.64,0,1,,316,10,17,
02/01/2023,00:04:00 -0400,-6.52,0,1,,320,12,22,
02/01/2023,00:05:00 -0400,,,,4.193,,,,
02/01/2023,00:06:00 -0400,-6.67,0,1,,321,11,20,
02/01/2023,00:08:00 -0400,-6.9,0,1,,307,12,25,
02/01/2023,00:10:00 -0400,-6.83,0,1,4.197,330,14,23,
02/01/2023,00:12:00 -0400,-6.96,0,1,,316,11,23,
02/01/2023,00:14:00 -0400,-6.93,0,1,,319,12,22,
02/01/2023,00:15:00 -0400,,,,4.184,,,,
02/01/2023,00:16:00 -0400,-6.93,0,1,,317,12,22,
02/01/2023,00:18:00 -0400,-7.06,0,1,,314,13,26,
02/01/2023,00:20:00 -0400,-6.96,0,1,4.193,319,13,20,
02/01/2023,00:22:00 -0400,-6.93,0,1,,317,12,25,
02/01/2023,00:24:00 -0400,-6.99,0,1,,323,12,22,
02/01/2023,00:25:00 -0400,,,,4.196,,,,
02/01/2023,00:26:00 -0400,-7.03,0,1,,319,11,18,
02/01/2023,00:28:00 -0400,-7.06,0,1,,324,12,22,
02/01/2023,00:30:00 -0400,-6.93,0,1,4.182,316,12,22,
02/01/2023,00:32:00 -0400,-6.77,0,1,,314,8,16,
02/01/2023,00:34:00 -0400,-6.74,0,1,,313,10,17,
02/01/2023,00:35:00 -0400,,,,4.191,,,,
02/01/2023,00:36:00 -0400,-6.67,0,1,,327,12,20,
02/01/2023,00:38:00 -0400,-6.67,0,1,,312,10,14,
02/01/2023,00:40:00 -0400,-6.67,0,1,4.194,324,14,28,
02/01/2023,00:42:00 -0400,-6.67,0,1,,317,12,23,
02/01/2023,00:44:00 -0400,-6.71,0,1,,309,10,16,
02/01/2023,00:45:00 -0400,,,,4.179,,,,
02/01/2023,00:46:00 -0400,-6.74,0,1,,313,11,22,
02/01/2023,00:48:00 -0400,-6.83,0,1,,299,8,16,
02/01/2023,00:50:00 -0400,-6.74,0,1,4.188,312,10,16,
02/01/2023,00:52:00 -0400,-6.77,0,1,,316,11,18,
02/01/2023,00:54:00 -0400,-6.83,0,1,,310,8,14,
02/01/2023,00:55:00 -0400,,,,4.193,,,,
02/01/2023,00:56:00 -0400,-6.87,0,1,,307,11,20,
02/01/2023,00:58:00 -0400,-6.8,0,1,,307,12,24,
02/01/2023,01:00:00 -0400,-6.83,0,1,4.179,306,10,22,
02/01/2023,01:02:00 -0400,-6.8,0,1,,309,8,19,
02/01/2023,01:04:00 -0400,-6.8,0,1,,317,11,23,
02/01/2023,01:05:00 -0400,,,,4.188,,,,
02/01/2023,01:06:00 -0400,-6.77,0,1,,319,11,18,
02/01/2023,01:08:00 -0400,-6.8,0,1,,306,8,13,
02/01/2023,01:10:00 -0400,-6.8,0,1,4.191,310,14,24,
02/01/2023,01:12:00 -0400,-6.77,0,1,,309,12,22,
02/01/2023,01:14:00 -0400,-6.74,0,1,,314,12,24,
02/01/2023,01:15:00 -0400,,,,4.178,,,,
02/01/2023,01:16:00 -0400,-6.74,0,1,,320,12,24,
02/01/2023,01:18:00 -0400,-6.74,0,1,,317,14,24,
02/01/2023,01:20:00 -0400,-6.8,0,1,4.187,327,12,20,
02/01/2023,01:22:00 -0400,-6.83,0,1,,319,10,19,
02/01/2023,01:24:00 -0400,-6.77,0,1,,313,11,20,
02/01/2023,01:25:00 -0400,,,,4.19,,,,
02/01/2023,01:26:00 -0400,-6.74,0,1,,314,8,17,
02/01/2023,01:28:00 -0400,-6.67,0,1,,317,11,23,
02/01/2023,01:30:00 -0400,-6.67,0,1,4.178,312,10,20,
02/01/2023,01:32:00 -0400,-6.77,0,1,,316,8,20,
