Date,Time,"Temperature (S-TMB 21114835:21098926-1),°C,Greenwich PEINP","Rain (S-RGB 21114835:21038371-1),mm,Greenwich PEINP","Solar Radiation (S-LIB 21114835:21105866-1),W/m²,Greenwich PEINP","Battery (RX3000 BATTERY 21114835:21114835-B),V,Greenwich PEINP","Wind Direction (S-WCF 21114835:21135207-3),°,Greenwich PEINP","Average wind speed (S-WCF 21114835:21135207-1),Km/h,Greenwich PEINP","Wind gust speed (S-WCF 21114835:21135207-2),Km/h,Greenwich PEINP","RH (S-THC 21114835:21530608-2),%,Greenwich PEINP"
01/01/2023,00:00:00 -0400,7.22,0,1,4.223,209,0,1,
01/01/2023,00:02:00 -0400,7.12,0,1,,209,0,0,
01/01/2023,00:04:00 -0400,7.12,0,1,,209,0,0,
01/01/2023,00:05:00 -0400,,,,4.218,,,,
01/01/2023,00:06:00 -0400,7.12,0,1,,209,0,0,
01/01/2023,00:08:00 -0400,7.07,0,1,,209,0,0,
01/01/2023,00:10:00 -0400,7.07,0,1,4.217,209,0,0,
01/01/2023,00:12:00 -0400,7.07,0,1,,209,0,0,
01/01/2023,00:14:00 -0400,7.07,0,1,,209,0,0,
01/01/2023,00:15:00 -0400,,,,4.221,,,,
01/01/2023,00:16:00 -0400,7.04,0,1,,209,0,0,
01/01/2023,00:18:00 -0400,7.04,0,1,,209,0,0,
01/01/2023,00:20:00 -0400,7.04,0,1,4.217,209,0,0,
01/01/2023,00:22:00 -0400,7.04,0,1,,209,0,0,
01/01/2023,00:24:00 -0400,7.02,0,1,,209,0,0,
01/01/2023,00:25:00 -0400,,,,4.215,,,,
01/01/2023,00:26:00 -0400,7.04,0,1,,209,0,0,
01/01/2023,00:28:00 -0400,7.07,0,1,,209,0,0,
01/01/2023,00:30:00 -0400,7.07,0,1,4.221,209,0,0,
01/01/2023,00:32:00 -0400,7.07,0,1,,209,0,0,
01/01/2023,00:34:00 -0400,7.07,0,1,,209,0,0,
01/01/2023,00:35:00 -0400,,,,4.217,,,,
01/01/2023,00:36:00 -0400,7.12,0,1,,209,0,0,
01/01/2023,00:38:00 -0400,7.12,0,1,,209,0,1,
01/01/2023,00:40:00 -0400,7.14,0,1,4.215,209,0,1,
01/01/2023,00:42:00 -0400,7.19,0,1,,209,1,1,
01/01/2023,00:44:00 -0400,7.22,0,1,,209,1,1,
01/01/2023,00:45:00 -0400,,,,4.22,,,,
01/01/2023,00:46:00 -0400,7.22,0,1,,209,1,2,
01/01/2023,00:48:00 -0400,7.19,0,1,,209,1,2,
01/01/2023,00:50:00 -0400,7.14,0,1,4.215,209,1,1,
01/01/2023,00:52:00 -0400,7.07,0,1,,209,0,1,
01/01/2023,00:54:00 -0400,6.94,0,1,,209,1,2,
01/01/2023,00:55:00 -0400,,,,4.214,,,,
01/01/2023,00:56:00 -0400,6.81,0,1,,209,1,2,
01/01/2023,00:58:00 -0400,6.69,0,1,,209,1,2,
01/01/2023,01:00:00 -0400,6.61,0,1,4.218,209,1,2,
01/01/2023,01:02:00 -0400,6.53,0,1,,209,1,4,
01/01/2023,01:04:00 -0400,6.48,0,1,,209,1,2,
01/01/2023,01:05:00 -0400,,,,4.215,,,,
01/01/2023,01:06:00 -0400,6.43,0,1,,209,1,2,
01/01/2023,01:08:00 -0400,6.41,0,1,,209,1,2,
01/01/2023,01:10:00 -0400,6.41,0,1,4.214,209,1,4,
01/01/2023,01:12:00 -0400,6.46,0,1,,209,1,4,
01/01/2023,01:14:00 -0400,6.48,0,1,,209,1,2,
