Date,Time,"Temperature (S-TMB 21114835:21098926-1),°C,Greenwich PEINP","Rain (S-RGB 21114835:21038371-1),mm,Greenwich PEINP","Solar Radiation (S-LIB 21114835:21105866-1),W/m²,Greenwich PEINP","Battery (RX3000 BATTERY 21114835:21114835-B),V,Greenwich PEINP","Wind Direction (S-WCF 21114835:21135207-3),°,Greenwich PEINP","Average wind speed (S-WCF 21114835:21135207-1),Km/h,Greenwich PEINP","Wind gust speed (S-WCF 21114835:21135207-2),Km/h,Greenwich PEINP","RH (S-THC 21114835:21530608-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21530608-3),°C,Greenwich PEINP","Temperature (S-THC 21114835:21530608-1),°C,Greenwich PEINP"
07/01/2023,00:00:00 -0300,,0,1,4.274,190,8,20,95.088,19.431,
07/01/2023,00:05:00 -0300,,0,1,4.275,180,8,17,95.175,19.425,
07/01/2023,00:10:00 -0300,,0,1,4.262,184,8,13,95.308,19.404,
07/01/2023,00:15:00 -0300,,0,1,4.272,187,7,14,95.329,19.408,
07/01/2023,00:20:00 -0300,,0,1,4.274,185,8,13,95.435,19.362,
07/01/2023,00:25:00 -0300,,0,1,4.263,184,8,13,95.592,19.345,
07/01/2023,00:30:00 -0300,,0,1,4.271,177,7,14,95.784,19.335,
07/01/2023,00:35:00 -0300,,0,1,4.274,178,7,14,95.953,19.342,
07/01/2023,00:40:00 -0300,,0,1,4.263,177,8,16,96.071,19.383,
07/01/2023,00:45:00 -0300,,0,1,4.271,178,10,17,96.036,19.377,
07/01/2023,00:50:00 -0300,,0,1,4.272,180,8,16,96.159,19.334,
07/01/2023,00:55:00 -0300,,0,1,4.262,183,10,17,96.112,19.305,
07/01/2023,01:00:00 -0300,,0,1,4.269,187,10,17,96.368,19.305,
07/01/2023,01:05:00 -0300,,0,1,4.272,187,10,16,96.327,19.276,
07/01/2023,01:10:00 -0300,,0,1,4.262,187,10,18,96.26,19.265,
07/01/2023,01:15:00 -0300,,0,1,4.269,187,8,13,96.345,19.258,
07/01/2023,01:20:00 -0300,,0,1,4.271,183,8,16,96.242,19.241,
07/01/2023,01:25:00 -0300,,0,1,4.263,185,7,12,96.497,19.198,
07/01/2023,01:30:00 -0300,,0,1,4.269,184,7,11,96.533,19.225,
07/01/2023,01:35:00 -0300,,0,1,4.271,184,7,16,96.617,19.218,
07/01/2023,01:40:00 -0300,,0,1,4.259,180,8,14,96.695,19.252,
07/01/2023,01:45:00 -0300,,0,1,4.268,188,10,16,96.648,19.244,
07/01/2023,01:50:00 -0300,,0,1,4.269,188,10,14,96.62,19.282,
07/01/2023,01:55:00 -0300,,0,1,4.259,185,8,16,96.516,19.244,
07/01/2023,02:00:00 -0300,,0,1,4.266,185,8,22,96.556,19.272,
07/01/2023,02:05:00 -0300,,0,1,4.269,184,10,16,96.466,19.257,
07/01/2023,02:10:00 -0300,,0,1,4.259,185,8,16,96.503,19.284,
07/01/2023,02:15:00 -0300,,0,1,4.266,178,7,14,96.64,19.286,
07/01/2023,02:20:00 -0300,,0,1,4.268,184,8,14,96.631,19.306,
07/01/2023,02:25:00 -0300,,0,1,4.259,177,8,14,96.681,19.271,
07/01/2023,02:30:00 -0300,,0,1,4.265,187,8,14,96.634,19.242,
07/01/2023,02:35:00 -0300,,0,1,4.268,181,8,14,96.579,19.276,
07/01/2023,02:40:00 -0300,,0,1,4.259,178,7,14,96.695,19.252,
07/01/2023,02:45:00 -0300,,0,1,4.265,181,7,13,96.757,19.284,
07/01/2023,02:50:00 -0300,,0,1,4.266,181,8,13,96.759,19.241,
07/01/2023,02:55:00 -0300,,0,1,4.259,177,8,14,96.846,19.234,
07/01/2023,03:00:00 -0300,,0,1,4.265,183,7,13,96.84,19.212,
07/01/2023,03:05:00 -0300,,0,1,4.266,187,7,13,96.895,19.2,
07/01/2023,03:10:00 -0300,,0,1,4.256,190,7,13,96.863,19.173,
07/01/2023,03:15:00 -0300,,0,1,4.263,188,8,17,96.767,19.2,
07/01/2023,03:20:00 -0300,,0,1,4.266,190,7,14,96.703,19.104,
07/01/2023,03:25:00 -0300,,0,1,4.256,199,6,12,96.777,19.073,
07/01/2023,03:30:00 -0300,,0,1,4.263,187,6,13,96.905,19.073,
07/01/2023,03:35:00 -0300,,0,1,4.265,181,5,8,96.89,19.028,
07/01/2023,03:40:00 -0300,,0,1,4.254,190,5,11,96.959,18.975,
07/01/2023,03:45:00 -0300,,0,1,4.263,191,6,11,97.162,19.009,
07/01/2023,03:50:00 -0300,,0,1,4.265,188,6,16,97.234,19.02,
07/01/2023,03:55:00 -0300,,0,1,4.256,177,6,11,97.201,18.972,
07/01/2023,04:00:00 -0300,,0,1,4.262,177,5,10,97.444,18.969,
07/01/2023,04:05:00 -0300,,0,1,4.265,178,6,11,97.505,18.958,
07/01/2023,04:10:00 -0300,,0,1,4.253,187,6,13,97.652,18.918,
07/01/2023,04:15:00 -0300,,0,1,4.262,180,6,12,97.61,18.933,
07/01/2023,04:20:00 -0300,,0,1,4.263,181,6,11,97.6,18.909,
07/01/2023,04:25:00 -0300,,0,1,4.254,188,5,11,97.633,18.894,
07/01/2023,04:30:00 -0300,,0,1,4.262,177,5,7,97.778,18.874,
07/01/2023,04:35:00 -0300,,0,1,4.263,175,5,8,97.881,18.848,
07/01/2023,04:40:00 -0300,,0,1,4.253,173,4,7,97.92,18.812,
07/01/2023,04:45:00 -0300,,0,1,4.262,170,6,10,98.132,18.825,
07/01/2023,04:50:00 -0300,,0,1,4.263,175,5,7,98.112,18.822,
07/01/2023,04:55:00 -0300,,0,1,4.254,177,5,8,98.178,18.833,
07/01/2023,05:00:00 -0300,,0,1,4.26,183,6,8,98.265,18.826,
07/01/2023,05:05:00 -0300,,0,1,4.262,178,6,11,98.264,18.825,
07/01/2023,05:10:00 -0300,,0,1,4.256,175,6,12,98.273,18.848,
07/01/2023,05:15:00 -0300,,0,1,4.26,181,6,10,98.154,18.807,
07/01/2023,05:20:00 -0300,,0,2,4.265,180,6,13,98.238,18.821,
07/01/2023,05:25:00 -0300,,0,3,4.253,180,7,11,98.265,18.826,
07/01/2023,05:30:00 -0300,,0,6,4.266,175,6,13,98.32,18.813,
07/01/2023,05:35:00 -0300,,0,11,4.274,187,7,13,98.291,18.83,
07/01/2023,05:40:00 -0300,,0,14,4.266,188,7,12,98.169,18.853,
07/01/2023,05:45:00 -0300,,0,21,4.287,194,7,13,98.08,18.86,
07/01/2023,05:50:00 -0300,,0,24,4.299,192,6,12,98.058,18.877,
07/01/2023,05:55:00 -0300,,0,43,4.284,194,6,12,97.87,18.868,
07/01/2023,06:00:00 -0300,,0,37,4.299,195,6,12,97.752,18.87,
07/01/2023,06:05:00 -0300,,0,34,4.299,191,5,10,97.375,18.915,
07/01/2023,06:10:00 -0300,,0,34,4.292,190,7,14,97.44,18.862,
07/01/2023,06:15:00 -0300,,0,32,4.298,185,6,10,97.395,18.833,
07/01/2023,06:20:00 -0300,,0,34,4.301,188,7,16,97.453,18.8,
07/01/2023,06:25:00 -0300,,0,43,4.301,187,8,16,97.473,18.782,
07/01/2023,06:30:00 -0300,,0,38,4.298,188,7,13,97.487,18.827,
07/01/2023,06:35:00 -0300,,0,39,4.301,190,7,12,97.574,18.841,
07/01/2023,06:40:00 -0300,,0,36,4.302,190,7,12,97.609,18.911,
07/01/2023,06:45:00 -0300,,0,43,4.302,197,7,14,97.641,18.916,
07/01/2023,06:50:00 -0300,,0,46,4.304,192,7,12,97.707,19.055,
07/01/2023,06:55:00 -0300,,0,39,4.292,194,7,16,97.345,19.039,
07/01/2023,07:00:00 -0300,,0,43,4.304,185,6,14,97.501,19.086,
07/01/2023,07:05:00 -0300,,0,76,4.313,183,6,12,97.134,19.175,
07/01/2023,07:10:00 -0300,,0,66,4.304,180,7,11,96.764,19.264,
07/01/2023,07:15:00 -0300,,0,77,4.302,187,7,14,96.526,19.288,
07/01/2023,07:20:00 -0300,,0,73,4.313,190,7,14,96.231,19.367,
07/01/2023,07:25:00 -0300,,0,114,4.31,190,6,13,95.363,19.435,
07/01/2023,07:30:00 -0300,,0,81,4.304,190,6,12,95.436,19.469,
07/01/2023,07:35:00 -0300,,0,119,4.314,187,7,13,95.192,19.363,
07/01/2023,07:40:00 -0300,,0,121,4.304,192,7,12,94.647,19.42,
07/01/2023,07:45:00 -0300,,0,143,4.304,198,7,12,94.319,19.556,
07/01/2023,07:50:00 -0300,,0,133,4.313,198,7,13,93.64,19.504,
07/01/2023,07:55:00 -0300,,0,127,4.304,204,8,17,93.559,19.469,
07/01/2023,08:00:00 -0300,,0,149,4.316,192,7,13,93.307,19.51,
07/01/2023,08:05:00 -0300,,0,187,4.305,199,7,12,92.863,19.583,
07/01/2023,08:10:00 -0300,,0,153,4.319,194,8,16,91.453,19.548,
07/01/2023,08:15:00 -0300,,0,258,4.308,197,8,19,90.198,19.644,
07/01/2023,08:20:00 -0300,,0,302,4.302,206,8,16,90.556,19.814,
07/01/2023,08:25:00 -0300,,0,184,4.325,206,7,13,87.771,20.282,
07/01/2023,08:30:00 -0300,,0,532,4.311,215,8,17,88.248,19.99,
07/01/2023,08:35:00 -0300,,0,506,4.304,218,8,16,85.519,20.199,
07/01/2023,08:40:00 -0300,,0,156,4.326,218,7,13,84.526,20.262,
07/01/2023,08:45:00 -0300,,0,543,4.311,209,8,14,84.504,20.111,
07/01/2023,08:50:00 -0300,,0,561,4.304,213,8,14,83.775,20.432,
07/01/2023,08:55:00 -0300,,0,594,4.328,205,6,14,80.905,20.788,
07/01/2023,09:00:00 -0300,,0,217,4.311,192,7,13,82.21,21.07,
07/01/2023,09:05:00 -0300,,0,249,4.305,198,7,14,81.088,20.616,
07/01/2023,09:10:00 -0300,,0,472,4.317,202,8,17,82.577,20.681,
07/01/2023,09:15:00 -0300,,0,398,4.314,199,7,17,82.589,20.495,
07/01/2023,09:20:00 -0300,,0,167,4.305,199,7,12,84.184,20.385,
07/01/2023,09:25:00 -0300,,0,439,4.319,212,10,19,83.63,19.837,
07/01/2023,09:30:00 -0300,,0,233,4.313,209,10,17,83.981,20.094,
07/01/2023,09:35:00 -0300,,0,537,4.305,215,10,17,82.8,20.033,
07/01/2023,09:40:00 -0300,,0,582,4.322,223,10,17,82.765,20.424,
07/01/2023,09:45:00 -0300,,0,502,4.316,220,10,18,82.078,20.436,
07/01/2023,09:50:00 -0300,,0,574,4.308,212,8,13,81.456,20.689,
07/01/2023,09:55:00 -0300,,0,487,4.323,219,8,12,81.524,20.41,
07/01/2023,10:00:00 -0300,,0,676,4.316,205,7,14,80.69,20.828,
07/01/2023,10:05:00 -0300,,0,668,4.308,218,7,13,80.058,21.076,
07/01/2023,10:10:00 -0300,,0,701,4.325,218,8,16,79.762,21.141,
07/01/2023,10:15:00 -0300,,0,708,4.316,213,10,16,78.387,20.879,
07/01/2023,10:20:00 -0300,,0,836,4.308,215,10,17,77.501,20.985,
07/01/2023,10:25:00 -0300,,0,736,4.32,215,12,17,78.27,21.062,
07/01/2023,10:30:00 -0300,,0,746,4.317,219,11,18,78.27,21.083,
07/01/2023,10:35:00 -0300,,0,752,4.31,215,10,20,76.464,20.724,
07/01/2023,10:40:00 -0300,,0,761,4.322,215,11,18,76.928,20.822,
07/01/2023,10:45:00 -0300,,0,766,4.316,216,12,20,77.816,20.739,
07/01/2023,10:50:00 -0300,,0,788,4.31,215,12,24,75.375,20.387,
07/01/2023,10:55:00 -0300,,0,857,4.323,222,12,19,78.63,20.783,
07/01/2023,11:00:00 -0300,,0,622,4.317,219,11,18,75.636,20.609,
07/01/2023,11:05:00 -0300,,0,943,4.31,222,12,19,78.37,21.042,
07/01/2023,11:10:00 -0300,,0,257,4.325,223,10,19,75.601,20.498,
07/01/2023,11:15:00 -0300,,0,872,4.317,227,11,17,78.105,20.757,
07/01/2023,11:20:00 -0300,,0,287,4.31,216,11,18,74.29,20.545,
07/01/2023,11:25:00 -0300,,0,909,4.317,220,10,17,77.931,21.012,
07/01/2023,11:30:00 -0300,,0,256,4.319,223,11,18,75.448,20.879,
07/01/2023,11:35:00 -0300,,0,808,4.311,213,8,14,74.911,21.094,
07/01/2023,11:40:00 -0300,,0,879,4.317,219,11,17,73.214,20.866,
07/01/2023,11:45:00 -0300,,0,954,4.319,222,10,17,71.987,21.188,
07/01/2023,11:50:00 -0300,,0,919,4.311,227,12,19,74.83,21.242,
07/01/2023,11:55:00 -0300,,0,757,4.296,232,13,19,75.196,21.26,
07/01/2023,12:00:00 -0300,,0,723,4.323,229,13,20,74.824,21.138,
07/01/2023,12:05:00 -0300,,0,949,4.313,222,10,16,74.742,21.575,
07/01/2023,12:10:00 -0300,,0,"1,066",4.316,236,12,19,75.224,21.66,
07/01/2023,12:15:00 -0300,,0,942,4.319,227,11,17,75.395,21.303,
07/01/2023,12:20:00 -0300,,0,497,4.313,220,10,22,73.648,21.602,
07/01/2023,12:25:00 -0300,,0,981,4.319,209,8,13,73.405,21.631,
07/01/2023,12:30:00 -0300,,0,614,4.32,208,10,16,73.146,21.181,
07/01/2023,12:35:00 -0300,,0,498,4.311,198,6,13,72.087,21.396,
07/01/2023,12:40:00 -0300,,0,381,4.32,204,7,11,74.665,21.165,
07/01/2023,12:45:00 -0300,,0,143,4.32,208,6,17,77.485,20.94,
07/01/2023,12:50:00 -0300,,0,144,4.313,191,6,11,79.706,21.15,
07/01/2023,12:55:00 -0300,,0,148,4.31,188,5,8,79.863,21.183,
07/01/2023,13:00:00 -0300,,0,218,4.32,185,4,7,79.574,21.499,
07/01/2023,13:05:00 -0300,,0,272,4.313,181,2,6,76.301,21.457,
07/01/2023,13:10:00 -0300,,0,172,4.311,181,4,7,77.185,21.687,
07/01/2023,13:15:00 -0300,,0,168,4.322,147,2,5,78.222,21.989,
07/01/2023,13:20:00 -0300,,0,216,4.313,163,4,8,75.473,21.196,
07/01/2023,13:25:00 -0300,,0,93,4.298,154,6,12,77.33,21.073,
07/01/2023,13:30:00 -0300,,0,58,4.313,195,7,11,80.218,20.921,
07/01/2023,13:35:00 -0300,,0,63,4.308,215,6,12,83.772,20.978,
07/01/2023,13:40:00 -0300,,0.4,93,4.305,199,10,19,87.446,21.025,
07/01/2023,13:45:00 -0300,,1.4,156,4.307,167,5,13,90.694,21.027,
07/01/2023,13:50:00 -0300,,0,154,4.305,206,5,7,91.879,21.345,
07/01/2023,13:55:00 -0300,,0,146,4.317,178,5,10,90.497,21.097,
07/01/2023,14:00:00 -0300,,0,302,4.308,150,6,11,86.876,20.686,
07/01/2023,14:05:00 -0300,,0,421,4.305,160,5,11,86.436,22.249,
