Date,Time,"Temperature (S-TMB 21114835:21098926-1),°C,Greenwich PEINP","Rain (S-RGB 21114835:21038371-1),mm,Greenwich PEINP","Solar Radiation (S-LIB 21114835:21105866-1),W/m²,Greenwich PEINP","Battery (RX3000 BATTERY 21114835:21114835-B),V,Greenwich PEINP","Wind Direction (S-WCF 21114835:21135207-3),°,Greenwich PEINP","Average wind speed (S-WCF 21114835:21135207-1),Km/h,Greenwich PEINP","Wind gust speed (S-WCF 21114835:21135207-2),Km/h,Greenwich PEINP","RH (S-THC 21114835:21530608-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21530608-3),°C,Greenwich PEINP","Temperature (S-THC 21114835:21530608-1),°C,Greenwich PEINP"
06/01/2023,00:00:00 -0300,,0,1,4.269,236,10,13,69.296,11.128,
06/01/2023,00:05:00 -0300,,0,1,4.268,233,11,14,68.095,10.988,
06/01/2023,00:10:00 -0300,,0,1,4.266,232,10,14,68.408,10.914,
06/01/2023,00:15:00 -0300,,0,1,4.269,229,8,13,68.809,10.837,
06/01/2023,00:20:00 -0300,,0,1,4.268,229,7,13,69.612,10.848,
06/01/2023,00:25:00 -0300,,0,1,4.265,229,7,12,69.812,10.768,
06/01/2023,00:30:00 -0300,,0,1,4.268,226,7,10,69.63,10.728,
06/01/2023,00:35:00 -0300,,0,1,4.269,226,6,10,69.804,10.745,
06/01/2023,00:40:00 -0300,,0,1,4.265,225,7,11,69.598,10.763,
06/01/2023,00:45:00 -0300,,0,1,4.266,215,6,10,69.79,10.66,
06/01/2023,00:50:00 -0300,,0,1,4.263,213,6,10,69.958,10.696,
06/01/2023,00:55:00 -0300,,0,1,4.263,220,7,12,69.355,10.669,
06/01/2023,01:00:00 -0300,,0,1,4.266,212,7,13,69.305,10.658,
06/01/2023,01:05:00 -0300,,0,1,4.263,213,7,14,69.978,10.577,
06/01/2023,01:10:00 -0300,,0,1,4.26,216,7,10,70.445,10.574,
06/01/2023,01:15:00 -0300,,0,1,4.263,219,8,16,70.372,10.558,
06/01/2023,01:20:00 -0300,,0,1,4.263,219,8,12,70.228,10.487,
06/01/2023,01:25:00 -0300,,0,1,4.262,212,8,12,71.049,10.476,
06/01/2023,01:30:00 -0300,,0,1,4.265,213,7,10,71.841,10.477,
06/01/2023,01:35:00 -0300,,0,1,4.263,215,7,12,71.475,10.565,
06/01/2023,01:40:00 -0300,,0,1,4.26,218,7,11,71.661,10.46,
06/01/2023,01:45:00 -0300,,0,1,4.263,225,7,12,71.603,10.51,
06/01/2023,01:50:00 -0300,,0,1,4.265,219,7,10,71.492,10.507,
06/01/2023,01:55:00 -0300,,0,1,4.26,220,6,11,72.07,10.546,
06/01/2023,02:00:00 -0300,,0,1,4.263,226,6,10,72.045,10.623,
06/01/2023,02:05:00 -0300,,0,1,4.259,230,7,11,71.466,10.481,
06/01/2023,02:10:00 -0300,,0,1,4.26,226,8,12,70.925,10.511,
06/01/2023,02:15:00 -0300,,0,1,4.262,234,11,14,69.935,10.568,
06/01/2023,02:20:00 -0300,,0,1,4.259,237,12,17,69.245,10.563,
06/01/2023,02:25:00 -0300,,0,1,4.257,237,12,16,70.12,10.525,
06/01/2023,02:30:00 -0300,,0,1,4.262,239,12,18,69.574,10.593,
06/01/2023,02:35:00 -0300,,0,1,4.259,236,13,17,69.941,10.466,
06/01/2023,02:40:00 -0300,,0,1,4.257,240,14,22,69.638,10.422,
06/01/2023,02:45:00 -0300,,0,1,4.26,239,12,17,70.362,10.33,
06/01/2023,02:50:00 -0300,,0,1,4.259,237,13,17,70.976,10.316,
06/01/2023,02:55:00 -0300,,0,1,4.256,237,12,18,71.244,10.208,
06/01/2023,03:00:00 -0300,,0,1,4.259,234,11,16,72.404,10.202,
06/01/2023,03:05:00 -0300,,0,1,4.26,234,11,14,72.853,10.191,
06/01/2023,03:10:00 -0300,,0,1,4.254,236,11,14,73.025,10.165,
06/01/2023,03:15:00 -0300,,0,1,4.259,236,11,16,72.811,10.245,
06/01/2023,03:20:00 -0300,,0,1,4.256,234,11,14,72.265,10.215,
06/01/2023,03:25:00 -0300,,0,1,4.256,236,11,16,72.093,10.303,
06/01/2023,03:30:00 -0300,,0,1,4.259,236,11,17,71.633,10.289,
06/01/2023,03:35:00 -0300,,0,1,4.256,237,12,17,71.15,10.291,
06/01/2023,03:40:00 -0300,,0,1,4.254,240,12,17,70.805,10.28,
