Date,Time,"Temperature (S-TMB 21114835:21098926-1),°C,Greenwich PEINP","Rain (S-RGB 21114835:21038371-1),mm,Greenwich PEINP","Solar Radiation (S-LIB 21114835:21105866-1),W/m²,Greenwich PEINP","Battery (RX3000 BATTERY 21114835:21114835-B),V,Greenwich PEINP","Wind Direction (S-WCF 21114835:21135207-3),°,Greenwich PEINP","Average wind speed (S-WCF 21114835:21135207-1),Km/h,Greenwich PEINP","Wind gust speed (S-WCF 21114835:21135207-2),Km/h,Greenwich PEINP","RH (S-THC 21114835:21530608-2),%,Greenwich PEINP"
03/01/2023,00:00:00 -0400,-7.9,0,1,4.185,79,5,8,
03/01/2023,00:02:00 -0400,-7.9,0,1,,73,5,7,
03/01/2023,00:04:00 -0400,-7.87,0,1,,79,5,7,
03/01/2023,00:05:00 -0400,,,,4.188,,,,
03/01/2023,00:06:00 -0400,-7.87,0,1,,83,5,8,
03/01/2023,00:08:00 -0400,-7.87,0,1,,74,5,10,
03/01/2023,00:10:00 -0400,-7.9,0,1,4.17,73,5,7,
03/01/2023,00:12:00 -0400,-7.9,0,1,,76,5,8,
03/01/2023,00:14:00 -0400,-7.93,0,1,,87,4,6,
03/01/2023,00:15:00 -0400,,,,4.184,,,,
03/01/2023,00:16:00 -0400,-7.93,0,1,,76,4,6,
03/01/2023,00:18:00 -0400,-7.93,0,1,,86,5,7,
03/01/2023,00:20:00 -0400,-7.93,0,1,4.188,81,4,6,
03/01/2023,00:22:00 -0400,-7.9,0,1,,76,5,7,
03/01/2023,00:24:00 -0400,-7.87,0,1,,73,5,6,
03/01/2023,00:25:00 -0400,,,,4.17,,,,
03/01/2023,00:26:00 -0400,-7.87,0,1,,83,5,7,
03/01/2023,00:28:00 -0400,-7.87,0,1,,76,5,7,
03/01/2023,00:30:00 -0400,-7.9,0,1,4.182,69,5,6,
03/01/2023,00:32:00 -0400,-7.87,0,1,,72,5,7,
03/01/2023,00:34:00 -0400,-7.84,0,1,,72,6,7,
03/01/2023,00:35:00 -0400,,,,4.187,,,,
03/01/2023,00:36:00 -0400,-7.87,0,1,,76,5,8,
03/01/2023,00:38:00 -0400,-7.87,0,1,,74,6,8,
03/01/2023,00:40:00 -0400,-7.87,0,1,4.169,76,5,7,
03/01/2023,00:42:00 -0400,-7.9,0,1,,77,5,6,
03/01/2023,00:44:00 -0400,-7.84,0,1,,76,6,10,
03/01/2023,00:45:00 -0400,,,,4.182,,,,
03/01/2023,00:46:00 -0400,-7.84,0,1,,74,7,10,
03/01/2023,00:48:00 -0400,-7.8,0,1,,79,6,8,
03/01/2023,00:50:00 -0400,-7.8,0,1,4.185,74,6,10,
03/01/2023,00:52:00 -0400,-7.84,0,1,,76,5,7,
03/01/2023,00:54:00 -0400,-7.77,0,1,,73,6,8,
03/01/2023,00:55:00 -0400,,,,4.167,,,,
03/01/2023,00:56:00 -0400,-7.77,0,1,,76,5,10,
03/01/2023,00:58:00 -0400,-7.8,0,1,,74,5,7,
03/01/2023,01:00:00 -0400,-7.8,0,1,4.181,72,5,7,
03/01/2023,01:02:00 -0400,-7.74,0,1,,76,5,8,
03/01/2023,01:04:00 -0400,-7.77,0,1,,72,5,6,
03/01/2023,01:05:00 -0400,,,,4.185,,,,
03/01/2023,01:06:00 -0400,-7.77,0,1,,76,5,7,
03/01/2023,01:08:00 -0400,-7.74,0,1,,74,6,8,
03/01/2023,01:10:00 -0400,-7.74,0,1,4.166,67,6,8,
03/01/2023,01:12:00 -0400,-7.67,0,1,,69,6,10,
03/01/2023,01:14:00 -0400,-7.71,0,1,,72,5,6,
03/01/2023,01:15:00 -0400,,,,4.179,,,,
03/01/2023,01:16:00 -0400,-7.71,0,1,,72,6,11,
03/01/2023,01:18:00 -0400,-7.74,0,1,,79,5,6,
03/01/2023,01:20:00 -0400,-7.74,0,1,4.184,74,5,7,
03/01/2023,01:22:00 -0400,-7.74,0,1,,69,5,6,
03/01/2023,01:24:00 -0400,-7.71,0,1,,72,6,7,
03/01/2023,01:25:00 -0400,,,,4.164,,,,
03/01/2023,01:26:00 -0400,-7.71,0,1,,77,5,7,
03/01/2023,01:28:00 -0400,-7.71,0,1,,76,5,8,
03/01/2023,01:30:00 -0400,-7.71,0,1,4.179,81,4,6,
03/01/2023,01:32:00 -0400,-7.67,0,1,,67,6,8,
03/01/2023,01:34:00 -0400,-7.71,0,1,,76,5,7,
03/01/2023,01:35:00 -0400,,,,4.184,,,,
