Date,Time,"Temperature (S-TMB 21114835:21098926-1),°C,Greenwich PEINP","Rain (S-RGB 21114835:21038371-1),mm,Greenwich PEINP","Solar Radiation (S-LIB 21114835:21105866-1),W/m²,Greenwich PEINP","Battery (RX3000 BATTERY 21114835:21114835-B),V,Greenwich PEINP","Wind Direction (S-WCF 21114835:21135207-3),°,Greenwich PEINP","Average wind speed (S-WCF 21114835:21135207-1),Km/h,Greenwich PEINP","Wind gust speed (S-WCF 21114835:21135207-2),Km/h,Greenwich PEINP","RH (S-THC 21114835:21530608-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21530608-3),°C,Greenwich PEINP","Temperature (S-THC 21114835:21530608-1),°C,Greenwich PEINP"
05/01/2023,00:00:00 -0300,,,,4.25,,,,,,
05/01/2023,00:05:00 -0300,,,,4.253,,,,,,
05/01/2023,00:10:00 -0300,,,,4.248,,,,,,
05/01/2023,00:15:00 -0300,,,,4.248,,,,,,
05/01/2023,00:20:00 -0300,,,,4.251,,,,,,
05/01/2023,00:25:00 -0300,,,,4.247,,,,,,
05/01/2023,00:30:00 -0300,,,,4.247,,,,,,
05/01/2023,00:35:00 -0300,,,,4.251,,,,,,
05/01/2023,00:40:00 -0300,,,,4.245,,,,,,
05/01/2023,00:45:00 -0300,,,,4.247,,,,,,
05/01/2023,00:50:00 -0300,,,,4.25,,,,,,
05/01/2023,00:55:00 -0300,,,,4.242,,,,,,
05/01/2023,01:00:00 -0300,,,,4.245,,,,,,
05/01/2023,01:05:00 -0300,,,,4.248,,,,,,
05/01/2023,01:10:00 -0300,,,,4.242,,,,,,
05/01/2023,01:15:00 -0300,,,,4.244,,,,,,
05/01/2023,01:20:00 -0300,,,,4.247,,,,,,
05/01/2023,01:25:00 -0300,,,,4.241,,,,,,
05/01/2023,01:30:00 -0300,,,,4.242,,,,,,
05/01/2023,01:35:00 -0300,,,,4.247,,,,,,
05/01/2023,01:40:00 -0300,,,,4.239,,,,,,
05/01/2023,01:45:00 -0300,,,,4.242,,,,,,
05/01/2023,01:50:00 -0300,,,,4.245,,,,,,
05/01/2023,01:55:00 -0300,,,,4.239,,,,,,
05/01/2023,02:00:00 -0300,,,,4.241,,,,,,
05/01/2023,02:05:00 -0300,,,,4.244,,,,,,
05/01/2023,02:10:00 -0300,,,,4.238,,,,,,
05/01/2023,02:15:00 -0300,,,,4.239,,,,,,
05/01/2023,02:20:00 -0300,,,,4.242,,,,,,
05/01/2023,02:25:00 -0300,,,,4.233,,,,,,
05/01/2023,02:30:00 -0300,,,,4.238,,,,,,
05/01/2023,02:35:00 -0300,,,,4.241,,,,,,
05/01/2023,02:40:00 -0300,,,,4.235,,,,,,
05/01/2023,02:45:00 -0300,,,,4.236,,,,,,
05/01/2023,02:50:00 -0300,,,,4.241,,,,,,
05/01/2023,02:55:00 -0300,,,,4.235,,,,,,
05/01/2023,03:00:00 -0300,,,,4.236,,,,,,
05/01/2023,03:05:00 -0300,,,,4.239,,,,,,
05/01/2023,03:10:00 -0300,,,,4.235,,,,,,
05/01/2023,03:15:00 -0300,,,,4.235,,,,,,
05/01/2023,03:20:00 -0300,,,,4.239,,,,,,
05/01/2023,03:25:00 -0300,,,,4.233,,,,,,
05/01/2023,03:30:00 -0300,,,,4.233,,,,,,
05/01/2023,03:35:00 -0300,,,,4.238,,,,,,
05/01/2023,03:40:00 -0300,,,,4.23,,,,,,
05/01/2023,03:45:00 -0300,,,,4.233,,,,,,
05/01/2023,03:50:00 -0300,,,,4.238,,,,,,
05/01/2023,03:55:00 -0300,,,,4.229,,,,,,
