Date,Time,"Temperature (S-TMB 21114835:21098926-1),°C,Greenwich PEINP","Rain (S-RGB 21114835:21038371-1),mm,Greenwich PEINP","Solar Radiation (S-LIB 21114835:21105866-1),W/m²,Greenwich PEINP","Battery (RX3000 BATTERY 21114835:21114835-B),V,Greenwich PEINP","Wind Direction (S-WCF 21114835:21135207-3),°,Greenwich PEINP","Average wind speed (S-WCF 21114835:21135207-1),Km/h,Greenwich PEINP","Wind gust speed (S-WCF 21114835:21135207-2),Km/h,Greenwich PEINP","RH (S-THC 21114835:21530608-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21530608-3),°C,Greenwich PEINP","Temperature (S-THC 21114835:21530608-1),°C,Greenwich PEINP"
11/01/2023,00:00:00 -0300,,0,1,4.208,250,8,16,80.026,-1.428,
11/01/2023,00:05:00 -0300,,0,1,4.217,250,8,16,79.239,-1.5,
11/01/2023,00:10:00 -0300,,0,1,4.22,243,10,14,79.522,-1.409,
11/01/2023,00:15:00 -0300,,0,1,4.206,243,8,13,79.203,-1.548,
11/01/2023,00:20:00 -0300,,0,1,4.215,246,8,14,78.676,-1.576,
11/01/2023,00:25:00 -0300,,0,1,4.22,250,6,12,79.771,-1.534,
11/01/2023,00:30:00 -0300,,0,1,4.206,246,7,16,79.034,-1.66,
11/01/2023,00:35:00 -0300,,0,1,4.215,247,8,16,79.698,-1.609,
11/01/2023,00:40:00 -0300,,0,1,4.22,248,7,12,79.788,-1.531,
11/01/2023,00:45:00 -0300,,0,1,4.205,256,7,14,79.591,-1.418,
11/01/2023,00:50:00 -0300,,0,1,4.214,246,8,16,78.778,-1.516,
11/01/2023,00:55:00 -0300,,0,1,4.217,248,8,14,79.069,-1.529,
11/01/2023,01:00:00 -0300,,0,1,4.202,250,11,16,79.271,-1.515,
11/01/2023,01:05:00 -0300,,0,1,4.212,243,11,17,80.041,-1.488,
11/01/2023,01:10:00 -0300,,0,1,4.217,246,13,18,79.445,-1.569,
