Date,Time,"Temperature (S-TMB 21114835:21098926-1),°C,Greenwich PEINP","Rain (S-RGB 21114835:21038371-1),mm,Greenwich PEINP","Solar Radiation (S-LIB 21114835:21105866-1),W/m²,Greenwich PEINP","Battery (RX3000 BATTERY 21114835:21114835-B),V,Greenwich PEINP","Wind Direction (S-WCF 21114835:21135207-3),°,Greenwich PEINP","Average wind speed (S-WCF 21114835:21135207-1),Km/h,Greenwich PEINP","Wind gust speed (S-WCF 21114835:21135207-2),Km/h,Greenwich PEINP","RH (S-THC 21114835:21530608-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21530608-3),°C,Greenwich PEINP","Temperature (S-THC 21114835:21530608-1),°C,Greenwich PEINP"
10/01/2023,00:00:00 -0300,,0,1,4.251,170,1,4,100,10.342,
10/01/2023,00:05:00 -0300,,0,1,4.254,170,2,5,100,10.342,
10/01/2023,00:10:00 -0300,,0,1,4.244,171,4,5,100,10.578,
10/01/2023,00:15:00 -0300,,0,1,4.251,170,2,5,100,10.492,
10/01/2023,00:20:00 -0300,,0,1,4.253,166,2,4,100,10.556,
10/01/2023,00:25:00 -0300,,0,1,4.244,166,2,4,100,10.449,
10/01/2023,00:30:00 -0300,,0,1,4.25,160,2,5,100,10.363,
10/01/2023,00:35:00 -0300,,0,1,4.253,157,2,4,100,10.428,
10/01/2023,00:40:00 -0300,,0,1,4.242,157,2,4,100,10.471,
10/01/2023,00:45:00 -0300,,0,1,4.248,157,1,2,100,10.428,
10/01/2023,00:50:00 -0300,,0,1,4.251,157,1,4,100,10.406,
10/01/2023,00:55:00 -0300,,0,1,4.242,164,2,5,100,10.406,
10/01/2023,01:00:00 -0300,,0,1,4.248,170,2,4,100,10.385,
10/01/2023,01:05:00 -0300,,0,1,4.251,171,2,5,100,10.299,
10/01/2023,01:10:00 -0300,,0,1,4.242,194,2,5,100,10.234,
10/01/2023,01:15:00 -0300,,0,1,4.248,184,2,5,100,10.277,
10/01/2023,01:20:00 -0300,,0,1,4.25,181,2,4,100,10.148,
10/01/2023,01:25:00 -0300,,0,1,4.242,174,2,4,100,9.976,
10/01/2023,01:30:00 -0300,,0,1,4.247,168,1,4,100,9.955,
10/01/2023,01:35:00 -0300,,0,1,4.25,168,0,1,100,9.998,
10/01/2023,01:40:00 -0300,,0,1,4.239,168,0,1,100,9.976,
10/01/2023,01:45:00 -0300,,0,1,4.245,168,0,1,100,9.934,
10/01/2023,01:50:00 -0300,,0,1,4.248,168,1,2,100,9.482,
10/01/2023,01:55:00 -0300,,0,1,4.239,168,2,4,100,9.482,
10/01/2023,02:00:00 -0300,,0,1,4.244,168,2,4,100,9.439,
10/01/2023,02:05:00 -0300,,0,1,4.247,168,0,1,100,9.504,
10/01/2023,02:10:00 -0300,,0,1,4.236,168,0,2,100,9.934,
10/01/2023,02:15:00 -0300,,0,1,4.244,168,0,0,100,9.934,
10/01/2023,02:20:00 -0300,,0,1,4.247,168,0,0,100,9.912,
10/01/2023,02:25:00 -0300,,0,1,4.238,168,0,0,100,9.891,
10/01/2023,02:30:00 -0300,,0,1,4.242,168,0,0,100,9.912,
10/01/2023,02:35:00 -0300,,0,1,4.245,168,0,0,100,10.191,
10/01/2023,02:40:00 -0300,,0,1,4.235,168,0,0,100,9.955,
10/01/2023,02:45:00 -0300,,0,1,4.242,168,0,0,100,9.719,
10/01/2023,02:50:00 -0300,,0,1,4.245,168,1,2,100,9.311,
10/01/2023,02:55:00 -0300,,0,1,4.235,168,1,2,100,9.268,
10/01/2023,03:00:00 -0300,,0,1,4.242,168,0,1,100,9.096,
10/01/2023,03:05:00 -0300,,0,1,4.245,168,1,1,100,9.289,
10/01/2023,03:10:00 -0300,,0,1,4.235,168,0,2,100,9.482,
10/01/2023,03:15:00 -0300,,0,1,4.242,168,1,2,100,9.504,
