Date,Time,"Temperature (S-TMB 21114835:21098926-1),°C,Greenwich PEINP","Rain (S-RGB 21114835:21038371-1),mm,Greenwich PEINP","Solar Radiation (S-LIB 21114835:21105866-1),W/m²,Greenwich PEINP","Battery (RX3000 BATTERY 21114835:21114835-B),V,Greenwich PEINP","Wind Direction (S-WCF 21114835:21135207-3),°,Greenwich PEINP","Average wind speed (S-WCF 21114835:21135207-1),Km/h,Greenwich PEINP","Wind gust speed (S-WCF 21114835:21135207-2),Km/h,Greenwich PEINP","RH (S-THC 21114835:21530608-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21530608-3),°C,Greenwich PEINP","Temperature (S-THC 21114835:21530608-1),°C,Greenwich PEINP"
09/01/2023,00:00:00 -0300,,0,1,4.256,6,4,8,70.806,7.747,
09/01/2023,00:05:00 -0300,,0,1,4.259,11,2,7,72.453,7.919,
09/01/2023,00:10:00 -0300,,0,1,4.245,15,2,6,72.398,7.97,
09/01/2023,00:15:00 -0300,,0,1,4.256,17,4,8,71.867,8.027,
09/01/2023,00:20:00 -0300,,0,1,4.259,21,2,6,71.814,7.933,
09/01/2023,00:25:00 -0300,,0,1,4.245,25,2,5,72.357,7.941,
09/01/2023,00:30:00 -0300,,0,1,4.254,3,2,8,74.455,8.071,
09/01/2023,00:35:00 -0300,,0,1,4.257,7,4,8,72.522,7.995,
09/01/2023,00:40:00 -0300,,0,1,4.245,3,4,10,72.775,8.129,
09/01/2023,00:45:00 -0300,,0,1,4.254,8,2,5,73.602,8.13,
09/01/2023,00:50:00 -0300,,0,1,4.256,10,4,10,72.441,7.979,
09/01/2023,00:55:00 -0300,,0,1,4.247,88,2,6,73.227,8.261,
09/01/2023,01:00:00 -0300,,0,1,4.253,351,1,5,75.106,8.428,
09/01/2023,01:05:00 -0300,,0,1,4.256,0,2,7,74.697,8.14,
09/01/2023,01:10:00 -0300,,0,1,4.239,3,2,7,74.188,8.06,
09/01/2023,01:15:00 -0300,,0,1,4.251,0,4,8,74.212,8.148,
09/01/2023,01:20:00 -0300,,0,1,4.254,341,2,7,74.403,8.061,
09/01/2023,01:25:00 -0300,,0,1,4.241,3,2,5,74.395,8.246,
