Date,Time,"Rain (S-RGB 21114835:21038371-1),mm,Greenwich PEINP","Solar Radiation (S-LIB 21114835:21105866-1),W/m²,Greenwich PEINP","Battery (RX3000 BATTERY 21114835:21114835-B),V,Greenwich PEINP","Average wind speed (S-WCF 21114835:21135207-1),Km/h,Greenwich PEINP","Wind gust speed (S-WCF 21114835:21135207-2),Km/h,Greenwich PEINP","Wind Direction (S-WCF 21114835:21135207-3),°,Greenwich PEINP","Temperature (S-THC 21114835:21648577-1),°C,Greenwich PEINP","RH (S-THC 21114835:21648577-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21648577-3),°C,Greenwich PEINP","Accumulated Rain (C-ACC-RAIN 21114835:21038371-2),mm,Greenwich PEINP,Greenwich","Average wind speed (S-WCF 21114835:21135207-1),Km/h,Greenwich PEINP","Wind gust speed (S-WCF 21114835:21135207-2),Km/h,Greenwich PEINP","Temperature (S-THC 21114835:21530604-1),°C,Greenwich PEINP","RH (S-THC 21114835:21530604-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21530604-3),°C,Greenwich PEINP"
04/01/2024,00:00:00 -0300,0,1,4.16,,,303,,,,,5,12,ERROR,ERROR,ERROR
04/01/2024,00:05:00 -0300,0,1,4.16,,,302,,,,,5,10,ERROR,ERROR,ERROR
04/01/2024,00:10:00 -0300,0,1,4.149,,,302,,,,,6,11,ERROR,ERROR,ERROR
04/01/2024,00:15:00 -0300,0,1,4.158,,,296,,,,,6,12,ERROR,ERROR,ERROR
04/01/2024,00:20:00 -0300,0,1,4.158,,,305,,,,,6,12,ERROR,ERROR,ERROR
04/01/2024,00:25:00 -0300,0,1,4.149,,,305,,,,,5,11,ERROR,ERROR,ERROR
04/01/2024,00:30:00 -0300,0,1,4.155,,,302,,,,,7,13,ERROR,ERROR,ERROR
04/01/2024,00:35:00 -0300,0,1,4.157,,,303,,,,,7,18,ERROR,ERROR,ERROR
04/01/2024,00:40:00 -0300,0,1,4.148,,,299,,,,,8,16,ERROR,ERROR,ERROR
04/01/2024,00:45:00 -0300,0,1,4.154,,,309,,,,,6,12,ERROR,ERROR,ERROR
04/01/2024,00:50:00 -0300,0,1,4.155,,,298,,,,,7,16,ERROR,ERROR,ERROR
04/01/2024,00:55:00 -0300,0,1,4.148,,,305,,,,,8,13,ERROR,ERROR,ERROR
04/01/2024,01:00:00 -0300,0,1,4.154,,,309,,,,,6,13,ERROR,ERROR,ERROR
04/01/2024,01:05:00 -0300,0,1,4.154,,,302,,,,,6,19,ERROR,ERROR,ERROR
04/01/2024,01:10:00 -0300,0,1,4.142,,,295,,,,,7,16,ERROR,ERROR,ERROR
04/01/2024,01:15:00 -0300,0,1,4.152,,,298,,,,,7,13,ERROR,ERROR,ERROR
04/01/2024,01:20:00 -0300,0,1,4.154,,,302,,,,,8,18,ERROR,ERROR,ERROR
