Date,Time,"Rain (S-RGB 21114835:21038371-1),mm,Greenwich PEINP","Solar Radiation (S-LIB 21114835:21105866-1),W/m²,Greenwich PEINP","Battery (RX3000 BATTERY 21114835:21114835-B),V,Greenwich PEINP","Wind Direction (S-WCF 21114835:21135207-3),°,Greenwich PEINP","Temperature (S-THC 21114835:21648577-1),°C,Greenwich PEINP","RH (S-THC 21114835:21648577-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21648577-3),°C,Greenwich PEINP","Accumulated Rain (C-ACC-RAIN 21114835:21038371-2),mm,Greenwich PEINP,Greenwich","Average wind speed (S-WCF 21114835:21135207-1),Km/h,Greenwich PEINP","Wind gust speed (S-WCF 21114835:21135207-2),Km/h,Greenwich PEINP","Temperature (S-THC 21114835:21530604-1),°C,Greenwich PEINP","RH (S-THC 21114835:21530604-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21530604-3),°C,Greenwich PEINP"
08/01/2024,00:00:00 -0300,0,1,4.265,213,21.397,87.123,19.191,,4,7,,,
08/01/2024,00:05:00 -0300,0,1,4.268,211,21.397,87.63,19.284,,4,7,,,
08/01/2024,00:10:00 -0300,0,1,4.259,216,21.483,87.506,19.346,,5,8,,,
08/01/2024,00:15:00 -0300,0,1,4.265,219,21.483,87.778,19.396,,5,8,,,
08/01/2024,00:20:00 -0300,0,1,4.266,213,21.526,87.868,19.455,,5,7,,,
08/01/2024,00:25:00 -0300,0,1,4.257,211,21.547,88.231,19.542,,5,7,,,
08/01/2024,00:30:00 -0300,0,1,4.263,209,21.569,88.234,19.564,,5,8,,,
08/01/2024,00:35:00 -0300,0,1,4.265,215,21.655,88.162,19.636,,6,8,,,
08/01/2024,00:40:00 -0300,0,1,4.256,218,21.74,88.005,19.691,,6,10,,,
08/01/2024,00:45:00 -0300,0,1,4.262,223,21.869,87.773,19.776,,7,11,,,
08/01/2024,00:50:00 -0300,0,1,4.263,213,21.891,87.356,19.72,,7,14,,,
08/01/2024,00:55:00 -0300,0,1,4.256,220,21.891,87.425,19.733,,7,14,,,
08/01/2024,01:00:00 -0300,0,1,4.262,219,21.933,87.402,19.771,,6,12,,,
08/01/2024,01:05:00 -0300,0,1,4.263,216,21.891,87.59,19.763,,6,10,,,
08/01/2024,01:10:00 -0300,0,1,4.254,209,21.976,87.301,19.794,,6,13,,,
08/01/2024,01:15:00 -0300,0,1,4.26,218,21.955,87.407,19.793,,6,8,,,
08/01/2024,01:20:00 -0300,0,1,4.262,213,21.848,87.727,19.746,,5,10,,,
08/01/2024,01:25:00 -0300,0,1,4.254,218,21.869,87.909,19.801,,6,11,,,
08/01/2024,01:30:00 -0300,0,1,4.259,216,21.869,87.723,19.766,,6,12,,,
08/01/2024,01:35:00 -0300,0,1,4.262,215,21.826,87.919,19.76,,6,8,,,
08/01/2024,01:40:00 -0300,0,1,4.251,216,21.976,87.388,19.81,,8,13,,,
08/01/2024,01:45:00 -0300,0,1,4.259,215,21.955,87.456,19.802,,8,14,,,
08/01/2024,01:50:00 -0300,0,1,4.26,215,21.998,87.3,19.815,,8,13,,,
08/01/2024,01:55:00 -0300,0,1,4.253,212,21.976,87.469,19.825,,7,12,,,
08/01/2024,02:00:00 -0300,0,1,4.257,213,21.955,87.475,19.805,,7,13,,,
08/01/2024,02:05:00 -0300,0,1,4.26,209,21.891,87.681,19.78,,7,11,,,
08/01/2024,02:10:00 -0300,0,1,4.251,212,21.933,87.602,19.807,,7,14,,,
08/01/2024,02:15:00 -0300,0,1,4.257,216,21.933,87.7,19.825,,7,13,,,
08/01/2024,02:20:00 -0300,0,1,4.26,215,21.955,87.677,19.842,,8,13,,,
08/01/2024,02:25:00 -0300,0,1,4.251,216,21.955,87.588,19.826,,10,16,,,
08/01/2024,02:30:00 -0300,0,1,4.256,219,21.912,88.025,19.864,,7,11,,,
08/01/2024,02:35:00 -0300,0,1,4.259,218,21.912,88.048,19.868,,8,12,,,
08/01/2024,02:40:00 -0300,0,1,4.25,218,21.912,88.106,19.879,,8,13,,,
08/01/2024,02:45:00 -0300,0,1,4.256,216,21.976,87.945,19.913,,11,16,,,
08/01/2024,02:50:00 -0300,0,1,4.257,219,21.998,88.243,19.989,,10,16,,,
08/01/2024,02:55:00 -0300,0,1,4.25,215,21.933,88.554,19.982,,10,16,,,
08/01/2024,03:00:00 -0300,0,1,4.254,219,21.976,88.504,20.015,,10,17,,,
08/01/2024,03:05:00 -0300,0,1,4.259,219,22.019,88.602,20.075,,10,17,,,
08/01/2024,03:10:00 -0300,0,1,4.248,220,22.105,88.423,20.127,,10,17,,,
08/01/2024,03:15:00 -0300,0,1,4.256,216,22.126,88.481,20.159,,10,17,,,
08/01/2024,03:20:00 -0300,0,1,4.257,220,22.341,88.281,20.334,,11,17,,,
08/01/2024,03:25:00 -0300,0,1,4.248,222,22.47,87.805,20.373,,12,26,,,
08/01/2024,03:30:00 -0300,0,1,4.254,223,22.555,87.712,20.44,,13,18,,,
08/01/2024,03:35:00 -0300,0,1,4.257,222,22.663,87.707,20.545,,13,20,,,
08/01/2024,03:40:00 -0300,0,1,4.248,225,22.663,87.666,20.538,,13,20,,,
08/01/2024,03:45:00 -0300,0,1,4.254,222,22.62,87.755,20.512,,13,20,,,
08/01/2024,03:50:00 -0300,0,1,4.256,222,22.555,88.087,20.51,,13,24,,,
08/01/2024,03:55:00 -0300,0,1,4.248,223,22.577,88.052,20.525,,12,20,,,
08/01/2024,04:00:00 -0300,0,1,4.254,220,22.513,88.348,20.516,,11,20,,,
08/01/2024,04:05:00 -0300,0,1,4.256,226,22.577,88.125,20.538,,12,18,,,
08/01/2024,04:10:00 -0300,0,1,4.248,225,22.641,87.974,20.574,,13,19,,,
08/01/2024,04:15:00 -0300,0,1,4.254,223,22.663,87.817,20.566,,14,26,,,
08/01/2024,04:20:00 -0300,0,1,4.256,220,22.534,88.066,20.485,,13,23,,,
08/01/2024,04:25:00 -0300,0,1,4.247,222,22.47,88.341,20.472,,13,24,,,
08/01/2024,04:30:00 -0300,0,1,4.253,222,22.513,88.034,20.458,,14,25,,,
08/01/2024,04:35:00 -0300,0,1,4.256,222,22.405,88.547,20.446,,13,20,,,
08/01/2024,04:40:00 -0300,0,1,4.247,219,22.405,88.579,20.452,,13,20,,,
08/01/2024,04:45:00 -0300,0,1,4.253,218,22.298,89.085,20.439,,12,19,,,
08/01/2024,04:50:00 -0300,0,1,4.254,222,22.234,89.581,20.465,,11,17,,,
08/01/2024,04:55:00 -0300,0,1,4.247,219,22.234,89.517,20.454,,12,18,,,
08/01/2024,05:00:00 -0300,0,1,4.253,220,22.234,89.645,20.477,,13,19,,,
08/01/2024,05:05:00 -0300,0,1,4.254,218,22.234,89.717,20.49,,13,19,,,
08/01/2024,05:10:00 -0300,0,1,4.247,220,22.212,89.883,20.499,,13,19,,,
08/01/2024,05:15:00 -0300,0,1,4.253,220,22.148,90.097,20.474,,12,18,,,
08/01/2024,05:20:00 -0300,0,1,4.254,218,22.148,90.198,20.492,,12,24,,,
08/01/2024,05:25:00 -0300,0,1,4.247,219,22.212,90.176,20.552,,13,20,,,
08/01/2024,05:30:00 -0300,0,1,4.251,222,22.212,89.97,20.515,,13,19,,,
08/01/2024,05:35:00 -0300,0,1,4.254,220,22.148,90.195,20.491,,12,20,,,
08/01/2024,05:40:00 -0300,0,1,4.244,222,22.212,90.195,20.555,,14,23,,,
08/01/2024,05:45:00 -0300,0,1,4.251,220,22.212,90.193,20.555,,13,22,,,
08/01/2024,05:50:00 -0300,0,2,4.254,218,22.169,90.472,20.563,,11,20,,,
08/01/2024,05:55:00 -0300,0,4,4.247,219,22.169,90.678,20.6,,11,22,,,
08/01/2024,06:00:00 -0300,0,8,4.256,218,22.234,90.509,20.633,,12,20,,,
08/01/2024,06:05:00 -0300,0,12,4.265,215,22.234,90.616,20.652,,13,20,,,
08/01/2024,06:10:00 -0300,0,17,4.259,218,22.277,90.587,20.689,,12,24,,,
08/01/2024,06:15:00 -0300,0,22,4.28,215,22.298,90.515,20.698,,12,24,,,
08/01/2024,06:20:00 -0300,0,31,4.299,215,22.298,90.564,20.706,,12,22,,,
08/01/2024,06:25:00 -0300,0,48,4.302,218,22.405,90.321,20.769,,13,20,,,
08/01/2024,06:30:00 -0300,0,52,4.301,218,22.534,89.804,20.802,,13,22,,,
08/01/2024,06:35:00 -0300,0,68,4.304,218,22.555,89.639,20.794,,13,24,,,
08/01/2024,06:40:00 -0300,0,41,4.304,220,22.555,89.769,20.817,,11,20,,,
08/01/2024,06:45:00 -0300,0,43,4.304,219,22.577,89.557,20.8,,13,22,,,
08/01/2024,06:50:00 -0300,0,33,4.301,223,22.513,90.007,20.818,,13,22,,,
08/01/2024,06:55:00 -0300,0,41,4.31,218,22.47,90.138,20.799,,13,19,,,
08/01/2024,07:00:00 -0300,0,144,4.304,220,22.727,89.662,20.967,,13,20,,,
08/01/2024,07:05:00 -0300,0,92,4.307,220,22.941,88.766,21.016,,13,24,,,
08/01/2024,07:10:00 -0300,0,54,4.319,220,22.984,88.423,20.995,,16,23,,,
08/01/2024,07:15:00 -0300,0,69,4.299,222,22.984,88.659,21.038,,14,24,,,
