Date,Time,"Rain (S-RGB 21114835:21038371-1),mm,Greenwich PEINP","Solar Radiation (S-LIB 21114835:21105866-1),W/m²,Greenwich PEINP","Battery (RX3000 BATTERY 21114835:21114835-B),V,Greenwich PEINP","Wind Direction (S-WCF 21114835:21135207-3),°,Greenwich PEINP","Temperature (S-THC 21114835:21648577-1),°C,Greenwich PEINP","RH (S-THC 21114835:21648577-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21648577-3),°C,Greenwich PEINP","Accumulated Rain (C-ACC-RAIN 21114835:21038371-2),mm,Greenwich PEINP,Greenwich","Average wind speed (S-WCF 21114835:21135207-1),Km/h,Greenwich PEINP","Wind gust speed (S-WCF 21114835:21135207-2),Km/h,Greenwich PEINP","Temperature (S-THC 21114835:21530604-1),°C,Greenwich PEINP","RH (S-THC 21114835:21530604-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21530604-3),°C,Greenwich PEINP"
12/01/2024,00:00:00 -0400,0,1,4.182,246,-0.694,88.147,-2.414,,6,12,,,
12/01/2024,00:05:00 -0400,0,1,4.185,248,-0.694,88.611,-2.343,,4,8,,,
12/01/2024,00:10:00 -0400,0,1,4.173,260,-0.823,88.705,-2.456,,4,10,,,
12/01/2024,00:15:00 -0400,0,1,4.181,271,-0.758,89.58,-2.26,,4,10,,,
12/01/2024,00:20:00 -0400,0,1,4.184,253,-0.587,88.573,-2.243,,7,14,,,
12/01/2024,00:25:00 -0400,0,1,4.173,248,-0.523,88.495,-2.191,,10,16,,,
12/01/2024,00:30:00 -0400,0,1,4.179,247,-0.587,88.309,-2.283,,10,14,,,
12/01/2024,00:35:00 -0400,0,1,4.172,246,-0.758,88.408,-2.438,,8,13,,,
12/01/2024,00:40:00 -0400,0,1,4.167,244,-0.93,88.811,-2.546,,7,11,,,
12/01/2024,00:45:00 -0400,0,1,4.176,248,-1.016,88.808,-2.631,,7,13,,,
12/01/2024,00:50:00 -0400,0,1,4.173,250,-1.037,89.433,-2.558,,7,13,,,
12/01/2024,00:55:00 -0400,0,1,4.169,247,-1.123,89.726,-2.599,,7,12,,,
12/01/2024,01:00:00 -0400,0,1,4.176,247,-1.08,89.97,-2.52,,7,12,,,
12/01/2024,01:05:00 -0400,0,1,4.179,247,-0.994,90.181,-2.403,,8,12,,,
12/01/2024,01:10:00 -0400,0,1,4.169,246,-1.059,90.115,-2.477,,10,14,,,
12/01/2024,01:15:00 -0400,0,1,4.175,250,-1.166,90.391,-2.542,,8,16,,,
12/01/2024,01:20:00 -0400,0,1,4.178,248,-1.166,90.944,-2.459,,8,13,,,
12/01/2024,01:25:00 -0400,0,1,4.167,247,-1.252,90.779,-2.569,,7,13,,,
12/01/2024,01:30:00 -0400,0,1,4.175,251,-1.402,91.344,-2.634,,6,12,,,
12/01/2024,01:35:00 -0400,0,1,4.167,251,-1.359,92.337,-2.446,,6,11,,,
12/01/2024,01:40:00 -0400,0,1,4.164,246,-1.252,91.617,-2.445,,10,16,,,
12/01/2024,01:45:00 -0400,0,1,4.173,244,-1.295,91.498,-2.505,,8,16,,,
12/01/2024,01:50:00 -0400,0,1,4.169,247,-1.016,91.223,-2.269,,11,19,,,
12/01/2024,01:55:00 -0400,0,1,4.163,244,-0.887,90.954,-2.182,,12,17,,,
12/01/2024,02:00:00 -0400,0,1,4.172,246,-0.909,90.877,-2.214,,11,18,,,
12/01/2024,02:05:00 -0400,0,1,4.169,244,-0.866,90.518,-2.225,,12,19,,,
12/01/2024,02:10:00 -0400,0,1,4.163,243,-0.909,90.675,-2.244,,13,18,,,
12/01/2024,02:15:00 -0400,0,1,4.172,244,-0.887,90.199,-2.294,,13,18,,,
12/01/2024,02:20:00 -0400,0,1,4.167,244,-1.016,90.497,-2.377,,12,17,,,
12/01/2024,02:25:00 -0400,0,1,4.161,244,-0.973,90.712,-2.303,,11,18,,,
12/01/2024,02:30:00 -0400,0,1,4.17,248,-1.102,90.803,-2.417,,10,16,,,
12/01/2024,02:35:00 -0400,0,1,4.173,250,-1.08,90.637,-2.42,,10,16,,,
12/01/2024,02:40:00 -0400,0,1,4.161,248,-1.187,91.055,-2.464,,8,16,,,
12/01/2024,02:45:00 -0400,0,1,4.169,246,-1.166,90.971,-2.455,,11,18,,,
12/01/2024,02:50:00 -0400,0,1,4.172,244,-1.187,91.151,-2.45,,11,16,,,
12/01/2024,02:55:00 -0400,0,1,4.163,244,-1.166,91,-2.451,,11,17,,,
12/01/2024,03:00:00 -0400,0,1,4.169,247,-1.187,90.559,-2.538,,10,17,,,
12/01/2024,03:05:00 -0400,0,1,4.163,244,-1.316,90.817,-2.627,,8,16,,,
12/01/2024,03:10:00 -0400,0,1,4.158,246,-1.23,90.488,-2.591,,11,16,,,
12/01/2024,03:15:00 -0400,0,1,4.167,243,-1.187,90.488,-2.548,,11,16,,,
12/01/2024,03:20:00 -0400,0,1,4.163,243,-1.273,90.703,-2.601,,11,14,,,
12/01/2024,03:25:00 -0400,0,1,4.16,244,-1.295,91.104,-2.563,,8,14,,,
12/01/2024,03:30:00 -0400,0,1,4.167,247,-1.359,90.719,-2.684,,10,14,,,
12/01/2024,03:35:00 -0400,0,1,4.164,246,-1.166,90.014,-2.598,,11,20,,,
12/01/2024,03:40:00 -0400,0,1,4.16,247,-1.123,89.673,-2.607,,12,19,,,
12/01/2024,03:45:00 -0400,0,1,4.167,246,-1.209,89.722,-2.684,,10,17,,,
12/01/2024,03:50:00 -0400,0,1,4.164,251,-1.209,89.401,-2.732,,7,14,,,
12/01/2024,03:55:00 -0400,0,1,4.158,248,-1.273,89.274,-2.815,,10,17,,,
12/01/2024,04:00:00 -0400,0,1,4.166,247,-1.209,89.091,-2.779,,10,17,,,
12/01/2024,04:05:00 -0400,0,1,4.169,246,-1.252,89.407,-2.774,,8,14,,,
12/01/2024,04:10:00 -0400,0,1,4.158,246,-1.338,89.126,-2.901,,8,14,,,
12/01/2024,04:15:00 -0400,0,1,4.167,250,-1.402,89.039,-2.978,,8,13,,,
12/01/2024,04:20:00 -0400,0,1,4.169,248,-1.466,89.352,-2.994,,7,12,,,
12/01/2024,04:25:00 -0400,0,1,4.158,247,-1.423,89.238,-2.969,,7,14,,,
12/01/2024,04:30:00 -0400,0,1,4.166,244,-1.445,89.47,-2.955,,10,14,,,
12/01/2024,04:35:00 -0400,0,1,4.161,246,-1.445,89.393,-2.967,,10,14,,,
12/01/2024,04:40:00 -0400,0,1,4.157,240,-1.423,88.945,-3.013,,11,14,,,
12/01/2024,04:45:00 -0400,0,1,4.164,243,-1.423,88.815,-3.033,,11,14,,,
12/01/2024,04:50:00 -0400,0,1,4.161,240,-1.316,88.478,-2.978,,12,17,,,
12/01/2024,04:55:00 -0400,0,1,4.155,239,-1.23,88.602,-2.874,,11,16,,,
12/01/2024,05:00:00 -0400,0,1,4.164,241,-1.123,87.446,-2.945,,13,19,,,
12/01/2024,05:05:00 -0400,0,1,4.16,244,-1.123,87.268,-2.972,,13,19,,,
12/01/2024,05:10:00 -0400,0,1,4.155,240,-1.23,87.645,-3.02,,11,18,,,
12/01/2024,05:15:00 -0400,0,1,4.163,241,-1.209,87.333,-3.047,,12,18,,,
12/01/2024,05:20:00 -0400,0,1,4.163,240,-1.145,87.068,-3.024,,11,16,,,
12/01/2024,05:25:00 -0400,0,1,4.155,241,-1.08,86.627,-3.029,,12,17,,,
12/01/2024,05:30:00 -0400,0,1,4.164,239,-1.123,86.705,-3.059,,11,16,,,
12/01/2024,05:35:00 -0400,0,1,4.167,237,-1.209,86.828,-3.124,,10,14,,,
12/01/2024,05:40:00 -0400,0,1,4.155,240,-1.295,87.176,-3.155,,10,14,,,
12/01/2024,05:45:00 -0400,0,1,4.164,236,-1.316,87.419,-3.139,,10,14,,,
12/01/2024,05:50:00 -0400,0,1,4.167,237,-1.38,87.32,-3.218,,10,14,,,
12/01/2024,05:55:00 -0400,0,1,4.157,240,-1.402,88.023,-3.132,,10,14,,,
12/01/2024,06:00:00 -0400,0,1,4.164,237,-1.531,88.368,-3.206,,8,12,,,
12/01/2024,06:05:00 -0400,0,1,4.157,232,-1.531,88.295,-3.217,,7,11,,,
12/01/2024,06:10:00 -0400,0,1,4.154,237,-1.531,88.289,-3.218,,7,12,,,
12/01/2024,06:15:00 -0400,0,1,4.163,234,-1.638,88.394,-3.308,,7,11,,,
12/01/2024,06:20:00 -0400,0,1,4.158,230,-1.616,88.432,-3.281,,8,13,,,
