Date,Time,"Rain (S-RGB 21114835:21038371-1),mm,Greenwich PEINP","Solar Radiation (S-LIB 21114835:21105866-1),W/m²,Greenwich PEINP","Battery (RX3000 BATTERY 21114835:21114835-B),V,Greenwich PEINP","Wind Direction (S-WCF 21114835:21135207-3),°,Greenwich PEINP","Temperature (S-THC 21114835:21648577-1),°C,Greenwich PEINP","RH (S-THC 21114835:21648577-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21648577-3),°C,Greenwich PEINP","Accumulated Rain (C-ACC-RAIN 21114835:21038371-2),mm,Greenwich PEINP,Greenwich","Average wind speed (S-WCF 21114835:21135207-1),Km/h,Greenwich PEINP","Wind gust speed (S-WCF 21114835:21135207-2),Km/h,Greenwich PEINP","Temperature (S-THC 21114835:21530604-1),°C,Greenwich PEINP","RH (S-THC 21114835:21530604-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21530604-3),°C,Greenwich PEINP"
07/01/2024,00:00:00 -0300,0,1,4.26,240,20.196,91.481,18.789,,18,25,,,
07/01/2024,00:05:00 -0300,0,1,4.251,241,20.067,91.305,18.63,,19,26,,,
07/01/2024,00:10:00 -0300,0,1,4.257,239,20.046,91.438,18.632,,18,25,,,
07/01/2024,00:15:00 -0300,0,1,4.259,236,19.982,91.691,18.613,,16,20,,,
07/01/2024,00:20:00 -0300,0,1,4.25,237,19.96,91.333,18.529,,17,26,,,
07/01/2024,00:25:00 -0300,0,1,4.256,239,19.832,91.476,18.427,,17,25,,,
07/01/2024,00:30:00 -0300,0,1,4.257,240,19.746,91.475,18.341,,17,24,,,
07/01/2024,00:35:00 -0300,0,1,4.247,241,19.681,91.273,18.242,,14,25,,,
07/01/2024,00:40:00 -0300,0,1,4.256,241,19.596,90.568,18.034,,17,25,,,
07/01/2024,00:45:00 -0300,0,1,4.257,241,19.553,90.518,17.983,,18,28,,,
07/01/2024,00:50:00 -0300,0,1,4.248,243,19.403,91.22,17.957,,14,23,,,
07/01/2024,00:55:00 -0300,0,1,4.254,241,19.188,91.836,17.852,,13,20,,,
07/01/2024,01:00:00 -0300,0,1,4.256,241,19.102,92.062,17.806,,16,24,,,
07/01/2024,01:05:00 -0300,0,1,4.248,244,19.081,92.193,17.807,,13,19,,,
07/01/2024,01:10:00 -0300,0,1,4.253,241,18.974,92.313,17.721,,11,18,,,
07/01/2024,01:15:00 -0300,0,1,4.256,243,18.931,92.198,17.659,,11,14,,,
07/01/2024,01:20:00 -0300,0,1,4.239,239,18.802,92.149,17.523,,12,16,,,
07/01/2024,01:25:00 -0300,0,1,4.253,243,18.781,91.54,17.397,,11,18,,,
07/01/2024,01:30:00 -0300,0,1,4.254,253,18.716,91.673,17.356,,7,16,,,
07/01/2024,01:35:00 -0300,0,1,4.244,244,18.695,91.06,17.228,,8,14,,,
07/01/2024,01:40:00 -0300,0,1,4.251,247,18.63,91.22,17.193,,8,13,,,
07/01/2024,01:45:00 -0300,0,1,4.254,248,18.523,91.408,17.119,,7,14,,,
07/01/2024,01:50:00 -0300,0,1,4.244,246,18.48,91.536,17.098,,7,13,,,
07/01/2024,01:55:00 -0300,0,1,4.25,244,18.352,91.884,17.031,,7,14,,,
07/01/2024,02:00:00 -0300,0,1,4.253,246,18.266,92.03,16.971,,7,12,,,
07/01/2024,02:05:00 -0300,0,1,4.244,244,18.18,92.313,16.934,,7,13,,,
07/01/2024,02:10:00 -0300,0,1,4.25,243,18.116,92.724,16.941,,8,12,,,
07/01/2024,02:15:00 -0300,0,1,4.253,241,18.073,92.744,16.902,,11,14,,,
