Date,Time,"Rain (S-RGB 21114835:21038371-1),mm,Greenwich PEINP","Solar Radiation (S-LIB 21114835:21105866-1),W/m²,Greenwich PEINP","Battery (RX3000 BATTERY 21114835:21114835-B),V,Greenwich PEINP","Wind Direction (S-WCF 21114835:21135207-3),°,Greenwich PEINP","Temperature (S-THC 21114835:21648577-1),°C,Greenwich PEINP","RH (S-THC 21114835:21648577-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21648577-3),°C,Greenwich PEINP","Accumulated Rain (C-ACC-RAIN 21114835:21038371-2),mm,Greenwich PEINP,Greenwich","Average wind speed (S-WCF 21114835:21135207-1),Km/h,Greenwich PEINP","Wind gust speed (S-WCF 21114835:21135207-2),Km/h,Greenwich PEINP","Temperature (S-THC 21114835:21530604-1),°C,Greenwich PEINP","RH (S-THC 21114835:21530604-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21530604-3),°C,Greenwich PEINP"
06/01/2024,00:00:00 -0300,0,1,4.254,42,8.035,87.031,6.017,,6,12,,,
06/01/2024,00:05:00 -0300,0,1,4.244,41,8.078,87.199,6.087,,6,11,,,
06/01/2024,00:10:00 -0300,0,1,4.248,39,7.885,87.465,5.94,,5,8,,,
06/01/2024,00:15:00 -0300,0,1,4.253,45,7.842,87.726,5.941,,5,10,,,
06/01/2024,00:20:00 -0300,0,1,4.244,41,7.928,87.782,6.035,,6,10,,,
06/01/2024,00:25:00 -0300,0,1,4.247,39,7.928,87.988,6.069,,5,11,,,
06/01/2024,00:30:00 -0300,0,1,4.251,31,7.864,87.842,5.981,,5,8,,,
06/01/2024,00:35:00 -0300,0,1,4.242,38,7.778,87.955,5.915,,4,7,,,
06/01/2024,00:40:00 -0300,0,1,4.247,45,7.756,87.694,5.851,,5,8,,,
06/01/2024,00:45:00 -0300,0,1,4.25,45,7.671,86.867,5.63,,4,8,,,
06/01/2024,00:50:00 -0300,0,1,4.236,39,7.671,87.286,5.7,,4,7,,,
06/01/2024,00:55:00 -0300,0,1,4.245,35,7.606,86.761,5.549,,2,5,,,
06/01/2024,01:00:00 -0300,0,1,4.25,25,7.671,86.7,5.602,,4,8,,,
06/01/2024,01:05:00 -0300,0,1,4.239,20,7.628,86.784,5.574,,2,7,,,
06/01/2024,01:10:00 -0300,0,1,4.244,21,7.842,86.294,5.704,,4,8,,,
06/01/2024,01:15:00 -0300,0,1,4.248,25,7.864,85.515,5.594,,2,7,,,
06/01/2024,01:20:00 -0300,0,1,4.238,20,7.885,84.857,5.504,,4,7,,,
06/01/2024,01:25:00 -0300,0,1,4.244,24,8.078,84.907,5.702,,4,10,,,
06/01/2024,01:30:00 -0300,0,1,4.247,22,8.142,84.628,5.717,,4,10,,,
06/01/2024,01:35:00 -0300,0,1,4.239,15,8.185,84.709,5.773,,6,13,,,
06/01/2024,01:40:00 -0300,0,1,4.242,27,8.314,85.295,5.999,,5,11,,,
06/01/2024,01:45:00 -0300,0,1,4.245,17,8.228,84.636,5.803,,4,10,,,
06/01/2024,01:50:00 -0300,0,1,4.236,13,8.25,85.158,5.913,,6,13,,,
06/01/2024,01:55:00 -0300,0,1,4.241,18,8.228,85.592,5.965,,6,11,,,
06/01/2024,02:00:00 -0300,0,1,4.244,15,8.142,85.386,5.846,,6,16,,,
06/01/2024,02:05:00 -0300,0,1,4.236,24,8.207,85.1,5.861,,7,13,,,
06/01/2024,02:10:00 -0300,0,1,4.241,10,8.185,85.132,5.845,,6,14,,,
06/01/2024,02:15:00 -0300,0,1,4.244,27,8.057,85.328,5.752,,6,14,,,
06/01/2024,02:20:00 -0300,0,1,4.23,18,7.949,85.354,5.651,,5,10,,,
06/01/2024,02:25:00 -0300,0,1,4.239,22,7.864,85.443,5.582,,6,11,,,
06/01/2024,02:30:00 -0300,0,1,4.244,21,7.885,85.049,5.536,,6,11,,,
06/01/2024,02:35:00 -0300,0,1,4.235,17,7.842,85.789,5.619,,5,7,,,
06/01/2024,02:40:00 -0300,0,1,4.239,14,7.778,86.674,5.704,,4,10,,,
06/01/2024,02:45:00 -0300,0,1,4.244,22,7.821,86.894,5.782,,5,10,,,
06/01/2024,02:50:00 -0300,0,1,4.235,28,7.778,84.86,5.399,,5,12,,,
06/01/2024,02:55:00 -0300,0,1,4.239,28,7.735,84.631,5.318,,4,11,,,
06/01/2024,03:00:00 -0300,0,1,4.242,21,7.778,84.132,5.275,,5,10,,,
06/01/2024,03:05:00 -0300,0,1,4.233,18,7.799,83.227,5.14,,5,12,,,
06/01/2024,03:10:00 -0300,0,1,4.238,25,7.864,83.583,5.265,,5,11,,,
06/01/2024,03:15:00 -0300,0,1,4.242,15,7.992,84.21,5.499,,4,10,,,
06/01/2024,03:20:00 -0300,0,1,4.233,17,8.1,83.552,5.491,,4,8,,,
06/01/2024,03:25:00 -0300,0,1,4.238,8,8.078,83.267,5.42,,4,12,,,
06/01/2024,03:30:00 -0300,0,1,4.241,24,8.142,83.546,5.532,,5,10,,,
06/01/2024,03:35:00 -0300,0,1,4.233,14,8.207,83.525,5.591,,4,8,,,
06/01/2024,03:40:00 -0300,0,1,4.236,17,8.228,82.187,5.38,,5,11,,,
06/01/2024,03:45:00 -0300,0,1,4.241,7,8.185,81.962,5.298,,5,10,,,
06/01/2024,03:50:00 -0300,0,1,4.226,6,8.207,82.882,5.48,,5,12,,,
06/01/2024,03:55:00 -0300,0,1,4.236,10,8.185,82.678,5.423,,5,12,,,
06/01/2024,04:00:00 -0300,0,1,4.239,20,8.228,82.66,5.462,,7,13,,,
06/01/2024,04:05:00 -0300,0,1,4.23,17,8.293,82.934,5.573,,5,10,,,
06/01/2024,04:10:00 -0300,0,1,4.236,14,8.293,82.861,5.56,,6,17,,,
06/01/2024,04:15:00 -0300,0,1,4.239,14,8.314,81.959,5.424,,6,12,,,
06/01/2024,04:20:00 -0300,0,1,4.23,8,8.4,81.166,5.367,,6,16,,,
06/01/2024,04:25:00 -0300,0,1,4.236,28,8.314,81.802,5.396,,5,16,,,
06/01/2024,04:30:00 -0300,0,1,4.239,24,8.443,81.381,5.447,,6,13,,,
06/01/2024,04:35:00 -0300,0,1,4.23,20,8.486,80.685,5.366,,6,13,,,
06/01/2024,04:40:00 -0300,0,1,4.235,24,8.507,81.605,5.55,,5,13,,,
06/01/2024,04:45:00 -0300,0,1,4.238,22,8.528,81.559,5.563,,6,11,,,
06/01/2024,04:50:00 -0300,0,1,4.23,20,8.528,81.857,5.615,,6,14,,,
06/01/2024,04:55:00 -0300,0,1,4.233,31,8.55,81.637,5.598,,6,12,,,
06/01/2024,05:00:00 -0300,0,1,4.238,24,8.528,82.211,5.678,,6,13,,,
06/01/2024,05:05:00 -0300,0,1,4.229,18,8.464,81.463,5.483,,5,12,,,
06/01/2024,05:10:00 -0300,0,1,4.233,13,8.421,81.212,5.396,,7,14,,,
06/01/2024,05:15:00 -0300,0,2,4.238,17,8.378,81.584,5.42,,7,14,,,
06/01/2024,05:20:00 -0300,0,3,4.226,15,8.421,81.715,5.485,,7,14,,,
06/01/2024,05:25:00 -0300,0,4,4.239,27,8.4,82.312,5.569,,6,12,,,
06/01/2024,05:30:00 -0300,0,6,4.245,22,8.378,82.797,5.633,,6,12,,,
06/01/2024,05:35:00 -0300,0,8,4.235,18,8.464,82.6,5.683,,7,17,,,
06/01/2024,05:40:00 -0300,0,22,4.248,25,8.593,82.91,5.863,,7,11,,,
