Date,Time,"Rain (S-RGB 21114835:21038371-1),mm,Greenwich PEINP","Solar Radiation (S-LIB 21114835:21105866-1),W/m²,Greenwich PEINP","Battery (RX3000 BATTERY 21114835:21114835-B),V,Greenwich PEINP","Wind Direction (S-WCF 21114835:21135207-3),°,Greenwich PEINP","Average wind speed (S-WCF 21114835:21135207-1),Km/h,Greenwich PEINP","Wind gust speed (S-WCF 21114835:21135207-2),Km/h,Greenwich PEINP","Temperature (S-THC 21114835:21530604-1),°C,Greenwich PEINP","RH (S-THC 21114835:21530604-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21530604-3),°C,Greenwich PEINP","Temperature (S-THC 21114835:21530608-1),°C,Greenwich PEINP","RH (S-THC 21114835:21530608-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21530608-3),°C,Greenwich PEINP","Temperature (S-TMB 21114835:21098926-1),°C,Greenwich PEINP"
03/01/2024,00:00:00 -0400,,,4.166,,,,,,,,,,
03/01/2024,00:05:00 -0400,,,4.173,,,,,,,,,,
03/01/2024,00:10:00 -0400,,,4.164,,,,,,,,,,
03/01/2024,00:15:00 -0400,,,4.164,,,,,,,,,,
03/01/2024,00:20:00 -0400,,,4.172,,,,,,,,,,
03/01/2024,00:25:00 -0400,,,4.167,,,,,,,,,,
03/01/2024,00:30:00 -0400,,,4.161,,,,,,,,,,
03/01/2024,00:35:00 -0400,,,4.17,,,,,,,,,,
03/01/2024,00:40:00 -0400,,,4.158,,,,,,,,,,
03/01/2024,00:45:00 -0400,,,4.161,,,,,,,,,,
03/01/2024,00:50:00 -0400,,,4.169,,,,,,,,,,
03/01/2024,00:55:00 -0400,,,4.158,,,,,,,,,,
03/01/2024,01:00:00 -0400,,,4.158,,,,,,,,,,
03/01/2024,01:05:00 -0400,,,4.169,,,,,,,,,,
03/01/2024,01:10:00 -0400,,,4.155,,,,,,,,,,
03/01/2024,01:15:00 -0400,,,4.157,,,,,,,,,,
03/01/2024,01:20:00 -0400,,,4.166,,,,,,,,,,
03/01/2024,01:25:00 -0400,,,4.157,,,,,,,,,,
03/01/2024,01:30:00 -0400,,,4.157,,,,,,,,,,
03/01/2024,01:35:00 -0400,,,4.166,,,,,,,,,,
03/01/2024,01:40:00 -0400,,,4.155,,,,,,,,,,
03/01/2024,01:45:00 -0400,,,4.155,,,,,,,,,,
03/01/2024,01:50:00 -0400,,,4.164,,,,,,,,,,
03/01/2024,01:55:00 -0400,,,4.154,,,,,,,,,,
03/01/2024,02:00:00 -0400,,,4.155,,,,,,,,,,
03/01/2024,02:05:00 -0400,,,4.163,,,,,,,,,,
