Date,Time,"Rain (S-RGB 21114835:21038371-1),mm,Greenwich PEINP","Solar Radiation (S-LIB 21114835:21105866-1),W/m²,Greenwich PEINP","Battery (RX3000 BATTERY 21114835:21114835-B),V,Greenwich PEINP","Wind Direction (S-WCF 21114835:21135207-3),°,Greenwich PEINP","Temperature (S-THC 21114835:21648577-1),°C,Greenwich PEINP","RH (S-THC 21114835:21648577-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21648577-3),°C,Greenwich PEINP","Accumulated Rain (C-ACC-RAIN 21114835:21038371-2),mm,Greenwich PEINP,Greenwich","Average wind speed (S-WCF 21114835:21135207-1),Km/h,Greenwich PEINP","Wind gust speed (S-WCF 21114835:21135207-2),Km/h,Greenwich PEINP"
05/01/2024,00:00:00 -0300,0,1,4.178,11,,,,,10,23
05/01/2024,00:05:00 -0300,0,1,4.178,0,,,,,8,23
05/01/2024,00:10:00 -0300,0,1,4.179,17,,,,,8,20
05/01/2024,00:15:00 -0300,0,1,4.176,6,,,,,11,23
05/01/2024,00:20:00 -0300,0,1,4.175,355,,,,,7,17
05/01/2024,00:25:00 -0300,0,1,4.176,352,,,,,8,24
05/01/2024,00:30:00 -0300,0,1,4.173,357,,,,,10,19
05/01/2024,00:35:00 -0300,0,1,4.173,355,,,,,7,19
05/01/2024,00:40:00 -0300,0,1,4.173,6,,,,,7,18
05/01/2024,00:45:00 -0300,0,1,4.17,0,,,,,7,19
05/01/2024,00:50:00 -0300,0,1,4.169,18,,,,,6,20
05/01/2024,00:55:00 -0300,0,1,4.17,4,,,,,6,14
05/01/2024,01:00:00 -0300,0,1,4.166,358,,,,,7,20
05/01/2024,01:05:00 -0300,0,1,4.167,10,,,,,7,16
05/01/2024,01:10:00 -0300,0,1,4.169,4,,,,,8,18
05/01/2024,01:15:00 -0300,0,1,4.164,3,,,,,8,18
05/01/2024,01:20:00 -0300,0,1,4.166,3,,,,,10,20
05/01/2024,01:25:00 -0300,0,1,4.167,1,,,,,7,18
05/01/2024,01:30:00 -0300,0,1,4.163,11,,,,,8,20
05/01/2024,01:35:00 -0300,0,1,4.163,4,,,,,10,22
05/01/2024,01:40:00 -0300,0,1,4.164,358,,,,,8,19
05/01/2024,01:45:00 -0300,0,1,4.161,350,,,,,8,16
05/01/2024,01:50:00 -0300,0,1,4.16,354,,,,,6,17
05/01/2024,01:55:00 -0300,0,1,4.161,355,,,,,8,17
05/01/2024,02:00:00 -0300,0,1,4.158,348,,,,,5,13
05/01/2024,02:05:00 -0300,0,1,4.157,347,,,,,7,17
05/01/2024,02:10:00 -0300,0,1,4.16,354,,,,,7,14
05/01/2024,02:15:00 -0300,0,1,4.157,347,,,,,6,16
05/01/2024,02:20:00 -0300,0,1,4.155,340,,,,,8,19
05/01/2024,02:25:00 -0300,0,1,4.157,354,,,,,7,13
05/01/2024,02:30:00 -0300,0,1,4.154,0,,,,,8,18
05/01/2024,02:35:00 -0300,0,1,4.154,352,,,,,7,16
05/01/2024,02:40:00 -0300,0,1,4.155,6,,,,,7,18
05/01/2024,02:45:00 -0300,0,1,4.152,358,,,,,7,20
05/01/2024,02:50:00 -0300,0,1,4.152,4,,,,,7,17
05/01/2024,02:55:00 -0300,0,1,4.155,3,,,,,7,16
05/01/2024,03:00:00 -0300,0,1,4.151,355,,,,,8,18
05/01/2024,03:05:00 -0300,0,1,4.151,350,,,,,7,17
05/01/2024,03:10:00 -0300,0,1,4.154,352,,,,,6,16
05/01/2024,03:15:00 -0300,0,1,4.151,354,,,,,7,17
05/01/2024,03:20:00 -0300,0,1,4.151,358,,,,,8,17
05/01/2024,03:25:00 -0300,0,1,4.152,355,,,,,7,20
05/01/2024,03:30:00 -0300,0,1,4.149,350,,,,,8,19
05/01/2024,03:35:00 -0300,0,1,4.149,348,,,,,7,16
05/01/2024,03:40:00 -0300,0,1,4.152,355,,,,,7,16
05/01/2024,03:45:00 -0300,0,1,4.148,347,,,,,8,17
05/01/2024,03:50:00 -0300,0,1,4.148,355,,,,,8,18
05/01/2024,03:55:00 -0300,0,1,4.151,358,,,,,7,19
05/01/2024,04:00:00 -0300,0,1,4.146,347,,,,,6,16
05/01/2024,04:05:00 -0300,0,1,4.148,354,,,,,7,19
05/01/2024,04:10:00 -0300,0,1,4.149,354,,,,,7,19
05/01/2024,04:15:00 -0300,0,1,4.146,355,,,,,7,18
05/01/2024,04:20:00 -0300,0,1,4.148,352,,,,,7,20
05/01/2024,04:25:00 -0300,0,1,4.148,7,,,,,7,13
05/01/2024,04:30:00 -0300,0,1,4.146,357,,,,,7,14
05/01/2024,04:35:00 -0300,0,1,4.146,354,,,,,6,12
05/01/2024,04:40:00 -0300,0,1,4.148,351,,,,,6,12
05/01/2024,04:45:00 -0300,0,1,4.145,350,,,,,5,10
05/01/2024,04:50:00 -0300,0,1,4.146,352,,,,,7,16
05/01/2024,04:55:00 -0300,0,1,4.148,341,,,,,7,14
05/01/2024,05:00:00 -0300,0,1,4.145,345,,,,,6,18
05/01/2024,05:05:00 -0300,0,1,4.145,345,,,,,6,13
05/01/2024,05:10:00 -0300,0,1,4.148,1,,,,,5,12
05/01/2024,05:15:00 -0300,0,1,4.145,348,,,,,6,13
05/01/2024,05:20:00 -0300,0,1,4.145,355,,,,,6,16
05/01/2024,05:25:00 -0300,0,1,4.146,347,,,,,7,13
05/01/2024,05:30:00 -0300,0,1,4.142,351,,,,,5,10
