Date,Time,"Rain (S-RGB 21114835:21038371-1),mm,Greenwich PEINP","Solar Radiation (S-LIB 21114835:21105866-1),W/m²,Greenwich PEINP","Battery (RX3000 BATTERY 21114835:21114835-B),V,Greenwich PEINP","Wind Direction (S-WCF 21114835:21135207-3),°,Greenwich PEINP","Temperature (S-THC 21114835:21648577-1),°C,Greenwich PEINP","RH (S-THC 21114835:21648577-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21648577-3),°C,Greenwich PEINP","Accumulated Rain (C-ACC-RAIN 21114835:21038371-2),mm,Greenwich PEINP,Greenwich","Average wind speed (S-WCF 21114835:21135207-1),Km/h,Greenwich PEINP","Wind gust speed (S-WCF 21114835:21135207-2),Km/h,Greenwich PEINP","Temperature (S-THC 21114835:21530604-1),°C,Greenwich PEINP","RH (S-THC 21114835:21530604-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21530604-3),°C,Greenwich PEINP"
11/01/2024,00:00:00 -0300,0,1,4.266,239,14.555,85.185,12.112,,13,19,,,
11/01/2024,00:05:00 -0300,0,1,4.266,237,14.705,84.651,12.164,,13,20,,,
11/01/2024,00:10:00 -0300,0,1,4.268,237,14.577,84.773,12.059,,13,19,,,
11/01/2024,00:15:00 -0300,0,1,4.266,234,14.534,85.208,12.095,,13,20,,,
11/01/2024,00:20:00 -0300,0,1,4.266,234,14.577,85.116,12.121,,13,19,,,
11/01/2024,00:25:00 -0300,0,1,4.266,237,14.512,85.493,12.125,,12,24,,,
11/01/2024,00:30:00 -0300,0,1,4.266,236,14.405,85.267,11.979,,12,18,,,
11/01/2024,00:35:00 -0300,0,1,4.266,232,14.319,85.759,11.982,,12,18,,,
11/01/2024,00:40:00 -0300,0,1,4.265,234,14.427,85.608,12.061,,14,23,,,
11/01/2024,00:45:00 -0300,0,1,4.265,239,14.384,85.617,12.02,,16,23,,,
11/01/2024,00:50:00 -0300,0,1,4.265,239,14.341,85.711,11.995,,14,24,,,
11/01/2024,00:55:00 -0300,0,1,4.265,240,14.405,85.589,12.037,,17,26,,,
11/01/2024,01:00:00 -0300,0,1,4.265,240,14.319,85.612,11.956,,16,28,,,
11/01/2024,01:05:00 -0300,0,1,4.265,241,14.234,85.885,11.92,,16,23,,,
11/01/2024,01:10:00 -0300,0,1,4.265,241,14.405,85.686,12.054,,18,25,,,
11/01/2024,01:15:00 -0300,0,1,4.265,239,14.362,85.592,11.995,,17,30,,,
11/01/2024,01:20:00 -0300,0,1,4.263,240,14.234,85.772,11.9,,17,24,,,
11/01/2024,01:25:00 -0300,0,1,4.263,237,14.212,86.015,11.922,,16,23,,,
11/01/2024,01:30:00 -0300,0,1,4.265,236,14.041,86.302,11.804,,14,22,,,
11/01/2024,01:35:00 -0300,0,1,4.265,234,14.105,86.473,11.897,,16,23,,,
11/01/2024,01:40:00 -0300,0,1,4.263,240,14.319,85.876,12.003,,18,28,,,
11/01/2024,01:45:00 -0300,0,1,4.263,237,14.148,86.082,11.871,,17,26,,,
11/01/2024,01:50:00 -0300,0,1,4.263,237,14.212,86.041,11.927,,16,23,,,
11/01/2024,01:55:00 -0300,0,1,4.263,241,14.255,85.689,11.907,,16,24,,,
11/01/2024,02:00:00 -0300,0,1,4.263,239,14.277,85.612,11.914,,16,22,,,
11/01/2024,02:05:00 -0300,0,1,4.263,240,14.319,85.37,11.913,,16,24,,,
11/01/2024,02:10:00 -0300,0,1,4.263,239,14.384,85.267,11.958,,17,26,,,
11/01/2024,02:15:00 -0300,0,1,4.263,243,14.319,85.281,11.897,,17,24,,,
11/01/2024,02:20:00 -0300,0,1,4.262,240,14.277,85.652,11.921,,16,23,,,
11/01/2024,02:25:00 -0300,0,1,4.263,237,14.191,86.174,11.929,,16,23,,,
11/01/2024,02:30:00 -0300,0,1,4.262,234,14.169,86.326,11.935,,16,25,,,
11/01/2024,02:35:00 -0300,0,1,4.262,236,14.191,86.024,11.903,,16,24,,,
11/01/2024,02:40:00 -0300,0,1,4.262,234,14.191,86.038,11.905,,14,22,,,
11/01/2024,02:45:00 -0300,0,1,4.262,237,14.126,86.152,11.862,,14,26,,,
11/01/2024,02:50:00 -0300,0,1,4.262,234,14.148,85.878,11.835,,13,23,,,
11/01/2024,02:55:00 -0300,0,1,4.262,233,14.148,85.972,11.851,,13,24,,,
11/01/2024,03:00:00 -0300,0,1,4.262,236,14.234,85.521,11.856,,12,19,,,
11/01/2024,03:05:00 -0300,0,1,4.262,233,14.126,85.748,11.791,,10,14,,,
11/01/2024,03:10:00 -0300,0,1,4.262,236,14.148,85.772,11.816,,11,20,,,
11/01/2024,03:15:00 -0300,0,1,4.26,234,14.062,86.128,11.794,,11,16,,,
11/01/2024,03:20:00 -0300,0,1,4.262,232,14.191,85.864,11.874,,13,19,,,
11/01/2024,03:25:00 -0300,0,1,4.26,232,14.191,85.679,11.842,,12,23,,,
11/01/2024,03:30:00 -0300,0,1,4.26,232,14.148,85.704,11.804,,11,22,,,
11/01/2024,03:35:00 -0300,0,1,4.26,232,14.191,85.972,11.894,,10,18,,,
11/01/2024,03:40:00 -0300,0,1,4.26,229,14.148,86.101,11.874,,10,17,,,
11/01/2024,03:45:00 -0300,0,1,4.26,233,14.234,85.716,11.89,,11,17,,,
11/01/2024,03:50:00 -0300,0,1,4.26,237,14.126,86.006,11.836,,10,16,,,
11/01/2024,03:55:00 -0300,0,1,4.26,234,14.319,85.727,11.977,,12,20,,,
11/01/2024,04:00:00 -0300,0,1,4.26,234,14.362,85.4,11.961,,12,17,,,
11/01/2024,04:05:00 -0300,0,1,4.26,233,14.341,85.277,11.918,,12,19,,,
11/01/2024,04:10:00 -0300,0,1,4.26,232,14.319,85.731,11.977,,12,20,,,
11/01/2024,04:15:00 -0300,0,1,4.26,234,14.255,85.754,11.918,,11,17,,,
11/01/2024,04:20:00 -0300,0,1,4.26,233,14.319,85.663,11.965,,13,20,,,
11/01/2024,04:25:00 -0300,0,1,4.26,236,14.405,85.185,11.965,,13,23,,,
11/01/2024,04:30:00 -0300,0,1,4.26,233,14.341,85.501,11.958,,13,24,,,
11/01/2024,04:35:00 -0300,0,1,4.259,227,14.405,85.475,12.016,,14,22,,,
11/01/2024,04:40:00 -0300,0,1,4.26,230,14.298,85.798,11.968,,13,18,,,
11/01/2024,04:45:00 -0300,0,1,4.259,227,14.255,85.643,11.898,,12,19,,,
11/01/2024,04:50:00 -0300,0,1,4.259,227,14.341,85.937,12.035,,12,17,,,
11/01/2024,04:55:00 -0300,0,1,4.259,227,14.362,85.592,11.995,,14,20,,,
11/01/2024,05:00:00 -0300,0,1,4.259,232,14.491,85.098,12.033,,14,22,,,
11/01/2024,05:05:00 -0300,0,1,4.259,226,14.748,84.115,12.109,,16,26,,,
11/01/2024,05:10:00 -0300,0,1,4.257,226,14.77,83.987,12.107,,14,24,,,
11/01/2024,05:15:00 -0300,0,1,4.257,226,14.856,83.674,12.135,,16,25,,,
11/01/2024,05:20:00 -0300,0,1,4.259,225,14.941,83.186,12.13,,16,25,,,
11/01/2024,05:25:00 -0300,0,1,4.257,226,14.963,82.957,12.109,,16,25,,,
11/01/2024,05:30:00 -0300,0,1,4.259,225,14.856,83.209,12.05,,14,20,,,
11/01/2024,05:35:00 -0300,0,1,4.259,223,14.834,83.418,12.067,,13,20,,,
11/01/2024,05:40:00 -0300,0,1,4.257,230,14.748,83.259,11.954,,14,20,,,
11/01/2024,05:45:00 -0300,0,1,4.259,227,15.113,82.033,12.085,,16,23,,,
11/01/2024,05:50:00 -0300,0,1,4.259,230,15.07,82.129,12.061,,17,23,,,
11/01/2024,05:55:00 -0300,0,1,4.257,227,14.984,82.271,12.003,,14,22,,,
11/01/2024,06:00:00 -0300,0,1,4.257,229,15.177,81.477,12.045,,14,23,,,
11/01/2024,06:05:00 -0300,0,1,4.257,232,15.306,81.028,12.087,,16,25,,,
11/01/2024,06:10:00 -0300,0,1,4.257,233,15.521,80.127,12.126,,17,31,,,
11/01/2024,06:15:00 -0300,0,1,4.257,230,15.306,80.645,12.015,,16,23,,,
11/01/2024,06:20:00 -0300,0,1,4.257,233,15.37,80.163,11.986,,14,24,,,
11/01/2024,06:25:00 -0300,0,1,4.257,230,15.22,80.502,11.904,,12,19,,,
11/01/2024,06:30:00 -0300,0,1,4.257,232,15.263,80.417,11.93,,13,19,,,
11/01/2024,06:35:00 -0300,0,1,4.257,230,15.413,79.66,11.932,,14,22,,,
11/01/2024,06:40:00 -0300,0,1,4.257,232,15.263,79.861,11.825,,14,20,,,
11/01/2024,06:45:00 -0300,0,1,4.257,233,15.242,79.863,11.804,,14,22,,,
11/01/2024,06:50:00 -0300,0,1,4.257,230,15.306,79.838,11.862,,13,20,,,
11/01/2024,06:55:00 -0300,0,1,4.257,233,15.263,80.026,11.856,,13,22,,,
11/01/2024,07:00:00 -0300,0,1,4.257,239,15.134,80.008,11.727,,13,18,,,
11/01/2024,07:05:00 -0300,0,1,4.257,233,15.242,79.71,11.775,,13,18,,,
11/01/2024,07:10:00 -0300,0,1,4.257,232,15.177,79.884,11.745,,16,28,,,
11/01/2024,07:15:00 -0300,0,1,4.256,233,15.22,79.648,11.742,,14,29,,,
11/01/2024,07:20:00 -0300,0,1,4.256,230,15.156,79.715,11.692,,12,23,,,
11/01/2024,07:25:00 -0300,0,1,4.257,234,15.263,79.483,11.752,,12,20,,,
11/01/2024,07:30:00 -0300,0,1,4.257,236,15.306,79.408,11.78,,14,23,,,
11/01/2024,07:35:00 -0300,0,1,4.256,234,15.263,79.332,11.724,,13,19,,,
11/01/2024,07:40:00 -0300,0,1,4.257,239,15.199,79.339,11.662,,12,20,,,
11/01/2024,07:45:00 -0300,0,1,4.256,234,15.156,79.565,11.664,,11,19,,,
11/01/2024,07:50:00 -0300,0,1,4.256,233,15.285,79.268,11.732,,12,20,,,
11/01/2024,07:55:00 -0300,0,2,4.256,237,15.199,79.286,11.652,,10,16,,,
11/01/2024,08:00:00 -0300,0,6,4.262,233,15.049,79.747,11.594,,8,12,,,
11/01/2024,08:05:00 -0300,0,3,4.265,234,15.07,79.742,11.614,,8,18,,,
11/01/2024,08:10:00 -0300,0,7,4.265,240,15.113,79.71,11.65,,10,13,,,
11/01/2024,08:15:00 -0300,0,8,4.272,243,15.027,79.902,11.602,,10,14,,,
11/01/2024,08:20:00 -0300,0,6,4.281,243,15.006,79.982,11.597,,12,17,,,
11/01/2024,08:25:00 -0300,0,4,4.278,244,14.92,80.237,11.561,,8,16,,,
11/01/2024,08:30:00 -0300,0,9,4.283,246,14.748,80.906,11.52,,7,12,,,
11/01/2024,08:35:00 -0300,0,14,4.295,246,14.727,81.25,11.563,,7,12,,,
11/01/2024,08:40:00 -0300,0,18,4.298,247,14.748,80.818,11.503,,6,11,,,
11/01/2024,08:45:00 -0300,0,24,4.302,243,14.748,81.216,11.577,,6,10,,,
11/01/2024,08:50:00 -0300,0,18,4.302,246,14.748,81.367,11.605,,6,10,,,
11/01/2024,08:55:00 -0300,0,41,4.296,246,14.813,82.347,11.85,,5,8,,,
11/01/2024,09:00:00 -0300,0,39,4.302,241,14.727,82.672,11.826,,7,13,,,
11/01/2024,09:05:00 -0300,0,16,4.302,246,14.577,83.154,11.767,,8,12,,,
11/01/2024,09:10:00 -0300,0,11,4.299,243,14.555,83.043,11.725,,7,13,,,
11/01/2024,09:15:00 -0300,0,9,4.298,240,14.512,83.09,11.692,,7,11,,,
11/01/2024,09:20:00 -0300,0,12,4.301,234,14.684,83.223,11.884,,8,11,,,
11/01/2024,09:25:00 -0300,0,7,4.301,234,14.62,84.7,12.088,,7,12,,,
