Date,Time,"Rain (S-RGB 21114835:21038371-1),mm,Greenwich PEINP","Solar Radiation (S-LIB 21114835:21105866-1),W/m²,Greenwich PEINP","Battery (RX3000 BATTERY 21114835:21114835-B),V,Greenwich PEINP","Wind Direction (S-WCF 21114835:21135207-3),°,Greenwich PEINP","Temperature (S-THC 21114835:21648577-1),°C,Greenwich PEINP","RH (S-THC 21114835:21648577-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21648577-3),°C,Greenwich PEINP","Accumulated Rain (C-ACC-RAIN 21114835:21038371-2),mm,Greenwich PEINP,Greenwich","Average wind speed (S-WCF 21114835:21135207-1),Km/h,Greenwich PEINP","Wind gust speed (S-WCF 21114835:21135207-2),Km/h,Greenwich PEINP","Temperature (S-THC 21114835:21530604-1),°C,Greenwich PEINP","RH (S-THC 21114835:21530604-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21530604-3),°C,Greenwich PEINP"
10/01/2024,00:00:00 -0300,0,1,4.227,37,14.684,78.025,10.91,,11,24,,,
10/01/2024,00:05:00 -0300,0,1,4.235,37,14.684,78.535,11.008,,8,22,,,
10/01/2024,00:10:00 -0300,0,1,4.236,35,14.684,78.625,11.025,,10,20,,,
10/01/2024,00:15:00 -0300,0,1,4.227,29,14.705,78.819,11.083,,12,22,,,
10/01/2024,00:20:00 -0300,0,1,4.233,28,14.663,79.574,11.185,,8,19,,,
10/01/2024,00:25:00 -0300,0,1,4.236,46,14.62,80.511,11.32,,8,18,,,
10/01/2024,00:30:00 -0300,0,1,4.223,37,14.641,79.693,11.187,,11,25,,,
10/01/2024,00:35:00 -0300,0,1,4.233,38,14.62,79.01,11.036,,10,22,,,
10/01/2024,00:40:00 -0300,0,1,4.236,35,14.577,78.924,10.978,,10,18,,,
10/01/2024,00:45:00 -0300,0,1,4.224,44,14.641,79.559,11.161,,10,20,,,
10/01/2024,00:50:00 -0300,0,1,4.233,32,14.598,79.609,11.129,,10,19,,,
10/01/2024,00:55:00 -0300,0,1,4.235,32,14.62,80.072,11.237,,8,14,,,
10/01/2024,01:00:00 -0300,0,1,4.224,35,14.684,79.556,11.202,,8,18,,,
10/01/2024,01:05:00 -0300,0,1,4.232,42,14.663,80.38,11.337,,10,16,,,
10/01/2024,01:10:00 -0300,0,1,4.235,38,14.684,80.371,11.356,,8,16,,,
10/01/2024,01:15:00 -0300,0,1,4.224,42,14.705,81.337,11.558,,11,22,,,
10/01/2024,01:20:00 -0300,0,1,4.232,45,14.534,80.595,11.252,,13,24,,,
10/01/2024,01:25:00 -0300,0,1,4.235,39,14.491,80.323,11.159,,12,22,,,
10/01/2024,01:30:00 -0300,0,1,4.224,44,14.341,81.862,11.299,,13,22,,,
10/01/2024,01:35:00 -0300,0,1,4.23,49,14.019,84.427,11.45,,12,25,,,
10/01/2024,01:40:00 -0300,0,1,4.233,48,13.805,86.477,11.603,,11,19,,,
10/01/2024,01:45:00 -0300,0,1,4.224,55,13.998,84.604,11.461,,11,23,,,
10/01/2024,01:50:00 -0300,0,1,4.23,46,14.083,83.665,11.376,,10,19,,,
10/01/2024,01:55:00 -0300,0,1,4.233,51,14.191,83.333,11.421,,10,18,,,
10/01/2024,02:00:00 -0300,0,1,4.221,44,14.405,81.143,11.229,,11,25,,,
10/01/2024,02:05:00 -0300,0,1,4.23,46,14.448,81.213,11.284,,12,24,,,
10/01/2024,02:10:00 -0300,0,1,4.232,39,14.341,80.554,11.056,,11,22,,,
10/01/2024,02:15:00 -0300,0,1,4.22,38,14.298,80.47,10.998,,11,19,,,
10/01/2024,02:20:00 -0300,0,1,4.229,41,14.319,81.035,11.125,,11,22,,,
10/01/2024,02:25:00 -0300,0,1,4.232,34,14.405,83.333,11.631,,11,16,,,
