Date,Time,"Rain (S-RGB 21114835:21038371-1),mm,Greenwich PEINP","Solar Radiation (S-LIB 21114835:21105866-1),W/m²,Greenwich PEINP","Battery (RX3000 BATTERY 21114835:21114835-B),V,Greenwich PEINP","Wind Direction (S-WCF 21114835:21135207-3),°,Greenwich PEINP","Temperature (S-THC 21114835:21648577-1),°C,Greenwich PEINP","RH (S-THC 21114835:21648577-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21648577-3),°C,Greenwich PEINP","Accumulated Rain (C-ACC-RAIN 21114835:21038371-2),mm,Greenwich PEINP,Greenwich","Average wind speed (S-WCF 21114835:21135207-1),Km/h,Greenwich PEINP","Wind gust speed (S-WCF 21114835:21135207-2),Km/h,Greenwich PEINP","Temperature (S-THC 21114835:21530604-1),°C,Greenwich PEINP","RH (S-THC 21114835:21530604-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21530604-3),°C,Greenwich PEINP"
09/01/2024,00:00:00 -0300,0,1,4.254,212,16.915,87.593,14.861,,10,18,,,
09/01/2024,00:05:00 -0300,0,1,4.244,213,16.893,87.845,14.885,,8,16,,,
09/01/2024,00:10:00 -0300,0,1,4.25,211,16.786,87.945,14.797,,10,14,,,
09/01/2024,00:15:00 -0300,0,1,4.253,211,16.743,88.354,14.827,,10,16,,,
09/01/2024,00:20:00 -0300,0,1,4.242,216,16.7,88.656,14.837,,10,20,,,
09/01/2024,00:25:00 -0300,0,1,4.247,212,16.722,88.806,14.885,,11,23,,,
09/01/2024,00:30:00 -0300,0,1,4.251,209,16.657,88.885,14.835,,11,20,,,
09/01/2024,00:35:00 -0300,0,1,4.244,212,16.571,89.117,14.791,,10,17,,,
09/01/2024,00:40:00 -0300,0,1,4.247,213,16.636,89.174,14.864,,12,19,,,
09/01/2024,00:45:00 -0300,0,1,4.251,215,16.593,89.155,14.819,,11,18,,,
09/01/2024,00:50:00 -0300,0,1,4.245,219,16.614,89.577,14.913,,12,22,,,
09/01/2024,00:55:00 -0300,0,1,4.247,216,16.593,89.842,14.938,,10,16,,,
09/01/2024,01:00:00 -0300,0,1,4.25,215,16.486,89.9,14.842,,10,18,,,
09/01/2024,01:05:00 -0300,0,1,4.239,216,16.507,90.166,14.909,,11,18,,,
09/01/2024,01:10:00 -0300,0,1,4.245,208,16.421,90.249,14.839,,11,20,,,
09/01/2024,01:15:00 -0300,0,1,4.25,209,16.357,90.529,14.823,,10,22,,,
09/01/2024,01:20:00 -0300,0,1,4.239,211,16.378,90.619,14.86,,11,18,,,
09/01/2024,01:25:00 -0300,0,1,4.244,209,16.378,90.683,14.871,,11,19,,,
09/01/2024,01:30:00 -0300,0,1,4.248,209,16.293,90.936,14.829,,10,17,,,
09/01/2024,01:35:00 -0300,0,1,4.238,205,16.185,91.287,14.783,,10,18,,,
09/01/2024,01:40:00 -0300,0,1,4.244,205,16.25,91.627,14.904,,10,14,,,
09/01/2024,01:45:00 -0300,0,1,4.248,199,16.164,91.824,14.853,,8,17,,,
09/01/2024,01:50:00 -0300,0,1,4.239,208,16.142,92.177,14.891,,7,14,,,
09/01/2024,01:55:00 -0300,0,1,4.244,209,16.035,91.992,14.753,,8,16,,,
09/01/2024,02:00:00 -0300,0,1,4.247,212,16.035,92.049,14.763,,10,14,,,
09/01/2024,02:05:00 -0300,0,1,4.239,212,16.014,92.317,14.787,,8,14,,,
09/01/2024,02:10:00 -0300,0,1,4.244,209,15.992,92.41,14.781,,10,19,,,
09/01/2024,02:15:00 -0300,0,1,4.247,211,15.928,92.779,14.779,,8,17,,,
09/01/2024,02:20:00 -0300,0,1,4.241,213,16.014,92.712,14.853,,10,16,,,
09/01/2024,02:25:00 -0300,0,1,4.242,208,16.014,92.685,14.849,,10,18,,,
09/01/2024,02:30:00 -0300,0,1,4.247,206,15.949,92.699,14.787,,8,14,,,
09/01/2024,02:35:00 -0300,0,1,4.235,206,15.992,92.656,14.822,,10,18,,,
09/01/2024,02:40:00 -0300,0,1,4.242,205,15.885,92.955,14.766,,8,14,,,
09/01/2024,02:45:00 -0300,0,1,4.245,208,15.864,92.912,14.738,,8,17,,,
09/01/2024,02:50:00 -0300,0,1,4.235,211,15.821,93.013,14.712,,8,17,,,
09/01/2024,02:55:00 -0300,0,1,4.241,213,15.799,93.079,14.702,,8,18,,,
09/01/2024,03:00:00 -0300,0,1,4.245,215,15.714,93.225,14.641,,7,18,,,
09/01/2024,03:05:00 -0300,0,1,4.236,212,15.692,93.399,14.648,,8,14,,,
09/01/2024,03:10:00 -0300,0,1,4.241,206,15.671,93.159,14.587,,10,14,,,
09/01/2024,03:15:00 -0300,0,1,4.245,205,15.628,93.449,14.593,,7,13,,,
09/01/2024,03:20:00 -0300,0,1,4.236,201,15.606,93.402,14.564,,7,16,,,
09/01/2024,03:25:00 -0300,0,1,4.241,198,15.542,93.706,14.55,,7,13,,,
09/01/2024,03:30:00 -0300,0,1,4.244,199,15.499,94.063,14.566,,6,11,,,
09/01/2024,03:35:00 -0300,0,1,4.236,190,15.413,94.217,14.507,,7,13,,,
09/01/2024,03:40:00 -0300,0,1,4.239,198,15.306,94.368,14.425,,6,14,,,
09/01/2024,03:45:00 -0300,0,1,4.244,194,15.285,94.9,14.491,,6,12,,,
09/01/2024,03:50:00 -0300,0,1,4.238,195,15.22,94.867,14.421,,7,11,,,
09/01/2024,03:55:00 -0300,0,1,4.239,195,15.156,94.789,14.344,,7,12,,,
09/01/2024,04:00:00 -0300,0,1,4.244,184,15.027,94.99,14.249,,5,8,,,
09/01/2024,04:05:00 -0300,0,1,4.232,174,14.899,95.077,14.135,,5,8,,,
09/01/2024,04:10:00 -0300,0,1,4.239,177,14.77,95.537,14.081,,6,10,,,
09/01/2024,04:15:00 -0300,0,1,4.244,178,14.684,95.824,14.042,,5,10,,,
09/01/2024,04:20:00 -0300,0,1,4.232,181,14.641,95.81,13.997,,5,10,,,
