Date,Time,"Rain (S-RGB 21114835:21038371-1),mm,Greenwich PEINP","Solar Radiation (S-LIB 21114835:21105866-1),W/m²,Greenwich PEINP","Battery (RX3000 BATTERY 21114835:21114835-B),V,Greenwich PEINP","Average wind speed (S-WCF 21114835:21135207-1),Km/h,Greenwich PEINP","Wind gust speed (S-WCF 21114835:21135207-2),Km/h,Greenwich PEINP","Wind Direction (S-WCF 21114835:21135207-3),°,Greenwich PEINP","Temperature (S-THC 21114835:21648577-1),°C,Greenwich PEINP","RH (S-THC 21114835:21648577-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21648577-3),°C,Greenwich PEINP","Accumulated Rain (C-ACC-RAIN 21114835:21038371-2),mm,Greenwich PEINP,Greenwich"
4/1/2025,00:00:00 -0300,0,1,4.215,18,25.2,241,10.502,98.92,10.351,
4/1/2025,00:05:00 -0300,0,1,4.217,18,25.2,240,10.63,98.698,10.446,
4/1/2025,00:10:00 -0300,0,1,4.211,16.8,22.8,241,10.545,99.092,10.42,
4/1/2025,00:15:00 -0300,0,1,4.214,16.8,25.2,236,10.566,98.804,10.397,
4/1/2025,00:20:00 -0300,0,1,4.215,18,30.1,236,10.587,98.709,10.404,
4/1/2025,00:25:00 -0300,0,1,4.209,16.8,28.9,234,10.437,98.424,10.211,
4/1/2025,00:30:00 -0300,0,1,4.214,15.6,26.5,229,10.309,98.37,10.074,
4/1/2025,00:35:00 -0300,0,1,4.206,19.2,31.3,232,10.523,98.676,10.335,
4/1/2025,00:40:00 -0300,0,1,4.206,19.2,33.7,232,10.48,98.126,10.209,
4/1/2025,00:45:00 -0300,0,1,4.212,18,25.2,233,10.566,97.725,10.233,
4/1/2025,00:50:00 -0300,0,1,4.209,16.8,26.5,233,10.48,97.478,10.109,
4/1/2025,00:55:00 -0300,0,1,4.206,14.4,22.8,232,10.523,98.103,10.248,
4/1/2025,01:00:00 -0300,0,1,4.211,13.2,20.4,227,10.309,98.325,10.067,
4/1/2025,01:05:00 -0300,0,1,4.208,15.6,24,227,10.48,98.27,10.23,
4/1/2025,01:10:00 -0300,0,1,4.206,14.4,27.7,230,10.609,97.881,10.3,
4/1/2025,01:15:00 -0300,0,1,4.209,15.6,26.5,227,10.523,98.676,10.335,
4/1/2025,01:20:00 -0300,0,1,4.206,13.2,21.6,230,10.309,98.126,10.037,
4/1/2025,01:25:00 -0300,0,1,4.205,12,22.8,226,10.18,98.668,9.991,
4/1/2025,01:30:00 -0300,0,1,4.209,13.2,20.4,227,10.116,98.682,9.928,
4/1/2025,01:35:00 -0300,0,1,4.211,15.6,27.7,229,10.33,98.575,10.127,
4/1/2025,01:40:00 -0300,0,1,4.205,16.8,30.1,227,10.223,98.758,10.047,
4/1/2025,01:45:00 -0300,0,1,4.206,15.6,22.8,227,10.116,98.595,9.915,
4/1/2025,01:50:00 -0300,0,1,4.203,14.4,24,230,10.051,98.735,9.872,
4/1/2025,01:55:00 -0300,0,1,4.202,14.4,21.6,233,10.137,99.304,10.044,
4/1/2025,02:00:00 -0300,0,1,4.208,13.2,19.2,236,10.094,98.982,9.952,
4/1/2025,02:05:00 -0300,0,1,4.203,14.4,24,232,10.266,99.272,10.168,
4/1/2025,02:10:00 -0300,0,1,4.203,13.2,18,229,9.901,98.801,9.732,
4/1/2025,02:15:00 -0300,0,1,4.206,12,18,227,9.708,99.376,9.625,
4/1/2025,02:20:00 -0300,0,1,4.203,12,20.4,222,9.751,99.657,9.71,
4/1/2025,02:25:00 -0300,0,1,4.202,12,18,223,9.73,99.413,9.652,
4/1/2025,02:30:00 -0300,0,1,4.206,13.2,21.6,226,9.794,99.863,9.784,
4/1/2025,02:35:00 -0300,0,1,4.203,13.2,20.4,227,9.537,99.591,9.486,
4/1/2025,02:40:00 -0300,0,1,4.202,10.8,20.4,227,9.772,99.628,9.727,
4/1/2025,02:45:00 -0300,0,1,4.205,13.2,21.6,225,9.923,99.619,9.876,
4/1/2025,02:50:00 -0300,0,1,4.206,14.4,22.8,226,10.094,99.568,10.041,
4/1/2025,02:55:00 -0300,0,1,4.2,13.2,21.6,219,9.944,99.261,9.844,
4/1/2025,03:00:00 -0300,0,1,4.205,12,22.8,218,9.966,99.167,9.852,
4/1/2025,03:05:00 -0300,0,1,4.206,9.6,16.8,222,9.751,99.583,9.699,
4/1/2025,03:10:00 -0300,0,1,4.2,8.4,16.8,218,9.751,99.934,9.752,
4/1/2025,03:15:00 -0300,0,1,4.205,9.6,19.2,215,9.665,100,9.676,
