Date,Time,"Rain (S-RGB 21114835:21038371-1),mm,Greenwich PEINP","Solar Radiation (S-LIB 21114835:21105866-1),W/m²,Greenwich PEINP","Battery (RX3000 BATTERY 21114835:21114835-B),V,Greenwich PEINP","Average wind speed (S-WCF 21114835:21135207-1),Km/h,Greenwich PEINP","Wind gust speed (S-WCF 21114835:21135207-2),Km/h,Greenwich PEINP","Wind Direction (S-WCF 21114835:21135207-3),°,Greenwich PEINP","Temperature (S-THC 21114835:21648577-1),°C,Greenwich PEINP","RH (S-THC 21114835:21648577-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21648577-3),°C,Greenwich PEINP","Accumulated Rain (C-ACC-RAIN 21114835:21038371-2),mm,Greenwich PEINP,Greenwich"
8/1/2025,00:00:00 -0300,0,1,4.251,1.2,2.4,159,15.692,83.89,12.994,0
8/1/2025,00:05:00 -0300,0,1,4.241,0,2.4,159,15.585,83.766,12.866,
8/1/2025,00:10:00 -0300,0,1,4.247,1.2,2.4,159,15.606,84.852,13.084,
8/1/2025,00:15:00 -0300,0,1,4.25,0,1.2,159,15.435,85.342,13.004,
8/1/2025,00:20:00 -0300,0,1,4.241,2.4,4.8,153,15.22,85.423,12.808,
8/1/2025,00:25:00 -0300,0,1,4.247,3.6,6,91,15.156,85.46,12.751,
8/1/2025,00:30:00 -0300,0,1,4.248,2.4,4.8,73,15.156,85.635,12.782,
8/1/2025,00:35:00 -0300,0,1,4.238,2.4,3.6,74,15.113,85.763,12.763,
8/1/2025,00:40:00 -0300,0,1,4.245,1.2,2.4,74,15.027,86.22,12.76,
8/1/2025,00:45:00 -0300,0,1,4.247,1.2,3.6,74,14.899,86.59,12.699,
8/1/2025,00:50:00 -0300,0,1,4.235,2.4,3.6,74,14.856,86.352,12.615,
8/1/2025,00:55:00 -0300,0,1,4.244,1.2,2.4,74,14.62,86.201,12.356,
8/1/2025,01:00:00 -0300,0,1,4.245,1.2,3.6,74,14.577,86.059,12.288,
8/1/2025,01:05:00 -0300,0,1,4.235,0,2.4,74,14.534,86.087,12.251,
8/1/2025,01:10:00 -0300,0,1,4.242,1.2,3.6,74,14.598,85.917,12.284,
8/1/2025,01:15:00 -0300,0,1,4.244,1.2,3.6,74,14.62,86.183,12.353,
8/1/2025,01:20:00 -0300,0,1,4.233,2.4,6,65,14.684,85.945,12.374,
8/1/2025,01:25:00 -0300,0,1,4.241,1.2,2.4,62,14.534,86.262,12.282,
8/1/2025,01:30:00 -0300,0,1,4.242,1.2,2.4,62,14.491,86.435,12.27,
8/1/2025,01:35:00 -0300,0,1,4.233,1.2,3.6,62,14.555,86.851,12.407,
8/1/2025,01:40:00 -0300,0,1,4.239,1.2,2.4,62,14.577,86.673,12.397,
8/1/2025,01:45:00 -0300,0,1,4.242,2.4,3.6,62,14.663,86.935,12.527,
8/1/2025,01:50:00 -0300,0,1,4.233,2.4,4.8,62,14.684,86.664,12.501,
8/1/2025,01:55:00 -0300,0,1,4.239,1.2,3.6,62,14.727,86.496,12.513,
8/1/2025,02:00:00 -0300,0,1,4.242,2.4,4.8,62,14.77,86.439,12.546,
8/1/2025,02:05:00 -0300,0,1,4.23,1.2,3.6,62,14.791,86.801,12.63,
8/1/2025,02:10:00 -0300,0,1,4.238,2.4,3.6,62,14.877,86.638,12.686,
8/1/2025,02:15:00 -0300,0,1,4.241,1.2,2.4,62,14.834,86.957,12.7,
8/1/2025,02:20:00 -0300,0,1,4.23,1.2,4.8,62,14.877,87.155,12.777,
8/1/2025,02:25:00 -0300,0,1,4.238,1.2,4.8,65,15.027,86.874,12.875,
8/1/2025,02:30:00 -0300,0,1,4.241,2.4,4.8,87,15.435,85.354,13.006,
8/1/2025,02:35:00 -0300,0,1,4.23,1.2,3.6,88,15.521,85.1,13.045,
8/1/2025,02:40:00 -0300,0,1,4.236,2.4,4.8,88,15.606,84.912,13.095,
8/1/2025,02:45:00 -0300,0,1,4.239,2.4,4.8,74,15.435,85.707,13.069,
8/1/2025,02:50:00 -0300,0,1,4.229,1.2,3.6,80,15.521,85.786,13.168,
8/1/2025,02:55:00 -0300,0,1,4.236,1.2,3.6,80,15.37,86.146,13.084,
8/1/2025,03:00:00 -0300,0,1,4.239,1.2,3.6,80,15.177,86.732,12.998,
8/1/2025,03:05:00 -0300,0,1,4.229,1.2,3.6,80,15.092,87.721,13.087,
8/1/2025,03:10:00 -0300,0,1,4.236,2.4,3.6,80,14.963,88.225,13.048,
8/1/2025,03:15:00 -0300,0,1,4.238,1.2,3.6,80,14.813,88.875,13.012,
8/1/2025,03:20:00 -0300,0,1,4.229,2.4,4.8,80,14.791,89.483,13.096,
8/1/2025,03:25:00 -0300,0,1,4.235,2.4,4.8,73,14.834,89.833,13.198,
8/1/2025,03:30:00 -0300,0,1,4.238,1.2,3.6,67,14.77,90.222,13.201,
8/1/2025,03:35:00 -0300,0,1,4.227,1.2,4.8,67,14.791,90.765,13.314,
8/1/2025,03:40:00 -0300,0,1,4.235,2.4,4.8,67,14.856,90.799,13.383,
8/1/2025,03:45:00 -0300,0,1,4.238,2.4,3.6,67,14.963,90.779,13.486,
8/1/2025,03:50:00 -0300,0,1,4.226,1.2,3.6,67,15.027,90.872,13.566,
8/1/2025,03:55:00 -0300,0,1,4.235,2.4,4.8,70,15.113,90.82,13.642,
8/1/2025,04:00:00 -0300,0,1,4.238,2.4,6,67,15.156,90.829,13.686,
8/1/2025,04:05:00 -0300,0,1,4.227,3.6,6,76,15.349,90.335,13.793,
8/1/2025,04:10:00 -0300,0,1,4.233,3.6,7.2,72,15.413,89.54,13.72,
8/1/2025,04:15:00 -0300,0,1,4.236,3.6,6,70,15.392,89.332,13.663,
8/1/2025,04:20:00 -0300,0,1,4.227,3.6,9.6,72,15.392,89.168,13.635,
8/1/2025,04:25:00 -0300,0,1,4.233,3.6,7.2,63,15.199,89.213,13.452,
8/1/2025,04:30:00 -0300,0,1,4.238,3.6,6,65,15.092,89.85,13.455,
8/1/2025,04:35:00 -0300,0,1,4.227,3.6,7.2,67,15.113,89.85,13.476,
8/1/2025,04:40:00 -0300,0,1,4.233,3.6,7.2,72,15.134,89.474,13.433,
8/1/2025,04:45:00 -0300,0,1,4.236,2.4,6,65,14.963,89.387,13.249,
8/1/2025,04:50:00 -0300,0,1,4.227,3.6,7.2,67,14.984,89.526,13.294,
8/1/2025,04:55:00 -0300,0,1,4.235,3.6,7.2,77,15.22,87.451,13.167,
8/1/2025,05:00:00 -0300,0,1,4.235,4.8,8.4,74,15.263,86.609,13.061,
8/1/2025,05:05:00 -0300,0,1,4.224,4.8,8.4,70,15.156,86.439,12.925,
8/1/2025,05:10:00 -0300,0,1,4.233,4.8,9.6,73,15.156,85.826,12.816,
8/1/2025,05:15:00 -0300,0,1,4.235,3.6,8.4,73,15.242,84.498,12.662,
8/1/2025,05:20:00 -0300,0,1,4.226,3.6,6,79,15.263,84.092,12.61,
8/1/2025,05:25:00 -0300,0,1,4.233,2.4,6,81,15.199,84.175,12.562,
8/1/2025,05:30:00 -0300,0,1,4.235,2.4,6,83,15.156,84.631,12.602,
8/1/2025,05:35:00 -0300,0,1,4.226,3.6,7.2,77,15.156,85.278,12.719,
8/1/2025,05:40:00 -0300,0,1,4.233,3.6,6,70,15.049,85.676,12.684,
8/1/2025,05:45:00 -0300,0,1,4.235,3.6,6,70,15.092,86.18,12.816,
8/1/2025,05:50:00 -0300,0,1,4.226,3.6,6,86,15.07,86.874,12.918,
8/1/2025,05:55:00 -0300,0,2,4.233,2.4,6,81,15.006,87.233,12.917,
8/1/2025,06:00:00 -0300,0,4,4.239,4.8,7.2,69,15.134,87.076,13.016,
8/1/2025,06:05:00 -0300,0,4,4.232,4.8,7.2,63,15.177,87.118,13.066,
8/1/2025,06:10:00 -0300,0,7,4.241,4.8,6,65,15.113,86.674,12.925,
8/1/2025,06:15:00 -0300,0,11,4.251,3.6,6,79,15.07,87.306,12.994,
8/1/2025,06:20:00 -0300,0,14,4.245,4.8,6,67,15.07,86.921,12.926,
8/1/2025,06:25:00 -0300,0,21,4.269,4.8,7.2,69,15.027,86.531,12.815,
8/1/2025,06:30:00 -0300,0,21,4.289,3.6,6,65,15.006,86.043,12.707,
8/1/2025,06:35:00 -0300,0,28,4.284,3.6,7.2,67,14.984,85.505,12.591,
8/1/2025,06:40:00 -0300,0,37,4.298,3.6,4.8,77,14.984,84.811,12.466,
8/1/2025,06:45:00 -0300,0,41,4.296,3.6,4.8,69,15.092,83.369,12.31,
8/1/2025,06:50:00 -0300,0,44,4.314,3.6,6,72,15.177,82.145,12.169,
8/1/2025,06:55:00 -0300,0,51,4.302,2.4,4.8,69,15.285,81.266,12.11,
8/1/2025,07:00:00 -0300,0,63,4.302,3.6,6,66,15.285,80.467,11.96,
8/1/2025,07:05:00 -0300,0,82,4.323,3.6,6,73,15.37,79.962,11.948,
8/1/2025,07:10:00 -0300,0,74,4.304,3.6,6,72,15.521,79.368,11.981,
8/1/2025,07:15:00 -0300,0,67,4.298,3.6,6,72,15.456,79.373,11.919,
8/1/2025,07:20:00 -0300,0,72,4.32,3.6,6,76,15.37,79.995,11.955,
8/1/2025,07:25:00 -0300,0,89,4.311,2.4,4.8,81,15.37,80.229,11.999,
8/1/2025,07:30:00 -0300,0,89,4.304,3.6,6,73,15.521,80.612,12.218,
8/1/2025,07:35:00 -0300,0,86,4.323,3.6,8.4,73,15.521,80.562,12.208,
8/1/2025,07:40:00 -0300,0,137,4.313,4.8,10.8,70,15.628,79.826,12.173,
8/1/2025,07:45:00 -0300,0,132,4.31,4.8,9.6,70,16.121,77.661,12.235,
8/1/2025,07:50:00 -0300,0,114,4.323,4.8,9.6,69,16.336,76.208,12.155,
8/1/2025,07:55:00 -0300,0,202,4.299,4.8,8.4,67,16.593,75.537,12.27,
8/1/2025,08:00:00 -0300,0,206,4.313,4.8,7.2,74,16.85,74.231,12.253,
8/1/2025,08:05:00 -0300,0,421,4.328,3.6,8.4,74,17.58,72.247,12.543,
8/1/2025,08:10:00 -0300,0,267,4.302,3.6,9.6,81,18.18,72.16,13.103,
8/1/2025,08:15:00 -0300,0,237,4.32,2.4,6,90,18.073,71.112,12.776,
8/1/2025,08:20:00 -0300,0,206,4.325,3.6,7.2,81,18.03,70.312,12.562,
8/1/2025,08:25:00 -0300,0,272,4.305,2.4,6,79,18.094,71.575,12.896,
8/1/2025,08:30:00 -0300,0,202,4.319,2.4,7.2,76,18.266,69.378,12.584,
8/1/2025,08:35:00 -0300,0,257,4.329,2.4,4.8,72,18.244,68.47,12.363,
8/1/2025,08:40:00 -0300,0,411,4.31,3.6,7.2,70,18.716,66.632,12.398,
8/1/2025,08:45:00 -0300,0,218,4.301,3.6,7.2,74,18.63,63.453,11.574,
8/1/2025,08:50:00 -0300,0,258,4.313,3.6,6,74,18.352,66.879,12.107,
