Date,Time,"Rain (S-RGB 21114835:21038371-1),mm,Greenwich PEINP","Solar Radiation (S-LIB 21114835:21105866-1),W/m²,Greenwich PEINP","Battery (RX3000 BATTERY 21114835:21114835-B),V,Greenwich PEINP","Wind Direction (S-WCF 21114835:21135207-3),°,Greenwich PEINP","Dew Point (S-THC 21114835:21530608-3),°C,Greenwich PEINP","Average wind speed (S-WCF 21114835:21135207-1),Km/h,Greenwich PEINP","Wind gust speed (S-WCF 21114835:21135207-2),Km/h,Greenwich PEINP","Temperature (S-THC 21114835:21648577-1),°C,Greenwich PEINP","RH (S-THC 21114835:21648577-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21648577-3),°C,Greenwich PEINP","Accumulated Rain (C-ACC-RAIN 21114835:21038371-2),mm,Greenwich PEINP,Greenwich"
12/01/2025,00:00:00 -0400,0.2,1,4.157,170,,12,25.2,2.309,95.239,1.625,9.2
12/01/2025,00:05:00 -0400,0,1,4.16,167,,13.2,21.6,2.394,95.454,1.742,
12/01/2025,00:10:00 -0400,0,1,4.143,175,,12,21.6,2.437,95.59,1.804,
12/01/2025,00:15:00 -0400,0,1,4.154,174,,10.8,19.2,2.502,95.816,1.901,
12/01/2025,00:20:00 -0400,0,1,4.158,166,,13.2,20.4,2.63,95.885,2.04,
12/01/2025,00:25:00 -0400,0,1,4.143,164,,13.2,20.4,2.673,95.908,2.086,
12/01/2025,00:30:00 -0400,0,1,4.152,164,,12,21.6,2.716,96.02,2.145,
12/01/2025,00:35:00 -0400,0,1,4.157,163,,13.2,20.4,2.823,96.095,2.263,
12/01/2025,00:40:00 -0400,0,1,4.139,166,,13.2,24,2.909,96.178,2.36,
12/01/2025,00:45:00 -0400,0,1,4.151,167,,14.4,24,3.016,96.291,2.484,
12/01/2025,00:50:00 -0400,0,1,4.155,164,,13.2,21.6,3.167,96.356,2.643,
12/01/2025,00:55:00 -0400,0,1,4.14,170,,13.2,25.2,3.209,96.423,2.696,
12/01/2025,01:00:00 -0400,0,1,4.149,170,,14.4,28.9,3.295,96.492,2.791,
12/01/2025,01:05:00 -0400,0,1,4.154,175,,13.2,24,3.381,96.501,2.878,
12/01/2025,01:10:00 -0400,0,1,4.14,173,,14.4,31.3,3.445,96.478,2.939,
12/01/2025,01:15:00 -0400,0,1,4.149,168,,14.4,25.2,3.574,96.469,3.066,
12/01/2025,01:20:00 -0400,0,1,4.152,171,,14.4,26.5,3.617,96.42,3.102,
12/01/2025,01:25:00 -0400,0,1,4.136,173,,13.2,25.2,3.681,96.429,3.167,
12/01/2025,01:30:00 -0400,0,1,4.148,170,,14.4,27.7,3.81,96.388,3.29,
12/01/2025,01:35:00 -0400,0,1,4.152,174,,13.2,24,3.81,96.361,3.285,
12/01/2025,01:40:00 -0400,0,1,4.136,174,,13.2,22.8,4.003,96.336,3.474,
12/01/2025,01:45:00 -0400,0,1,4.146,173,,14.4,25.2,4.067,96.265,3.528,
12/01/2025,01:50:00 -0400,0,1,4.152,184,,13.2,24,4.153,96.292,3.618,
12/01/2025,01:55:00 -0400,0.2,1,4.137,170,,13.2,25.2,4.196,96.356,3.67,
12/01/2025,02:00:00 -0400,0,1,4.146,168,,14.4,25.2,4.239,96.411,3.721,
12/01/2025,02:05:00 -0400,0,1,4.152,173,,10.8,20.4,4.346,96.506,3.842,
12/01/2025,02:10:00 -0400,0,1,4.131,171,,13.2,25.2,4.41,96.551,3.912,
12/01/2025,02:15:00 -0400,0,1,4.145,175,,12,21.6,4.475,96.635,3.989,
12/01/2025,02:20:00 -0400,0.2,1,4.151,174,,12,24,4.539,96.762,4.072,
12/01/2025,02:25:00 -0400,0,1,4.134,167,,13.2,22.8,4.604,96.883,4.154,
12/01/2025,02:30:00 -0400,0.2,1,4.146,177,,12,25.2,4.668,96.951,4.228,
12/01/2025,02:35:00 -0400,0,1,4.151,178,,12,22.8,4.689,97.069,4.267,
12/01/2025,02:40:00 -0400,0.2,1,4.136,163,,10.8,21.6,4.775,97.229,4.376,
12/01/2025,02:45:00 -0400,0,1,4.146,174,,13.2,24,4.861,97.322,4.475,
12/01/2025,02:50:00 -0400,0.2,1,4.151,173,,13.2,22.8,4.925,97.339,4.542,
12/01/2025,02:55:00 -0400,0,1,4.133,177,,12,19.2,4.99,97.476,4.626,
12/01/2025,03:00:00 -0400,0,1,4.145,173,,13.2,26.5,5.118,97.505,4.759,
12/01/2025,03:05:00 -0400,0.2,1,4.149,171,,13.2,24,5.183,97.581,4.835,
12/01/2025,03:10:00 -0400,0,1,4.134,174,,12,21.6,5.247,97.586,4.9,
12/01/2025,03:15:00 -0400,0,1,4.145,166,,13.2,20.4,5.333,97.609,4.989,
12/01/2025,03:20:00 -0400,0,1,4.151,167,,13.2,25.2,5.483,97.574,5.133,
12/01/2025,03:25:00 -0400,0,1,4.136,177,,12,25.2,5.504,97.514,5.146,
12/01/2025,03:30:00 -0400,0,1,4.145,171,,10.8,20.4,5.547,97.597,5.201,
12/01/2025,03:35:00 -0400,0,1,4.149,175,,10.8,20.4,5.633,97.61,5.289,
12/01/2025,03:40:00 -0400,0,1,4.133,178,,13.2,24,5.762,97.618,5.418,
12/01/2025,03:45:00 -0400,0,1,4.146,174,,9.6,18,5.74,97.623,5.398,
12/01/2025,03:50:00 -0400,0,1,4.149,174,,12,22.8,5.955,97.743,5.63,
12/01/2025,03:55:00 -0400,0,1,4.134,183,,13.2,28.9,6.041,97.519,5.682,
12/01/2025,04:00:00 -0400,0,1,4.145,184,,13.2,22.8,6.212,97.609,5.867,
12/01/2025,04:05:00 -0400,0.2,1,4.148,184,,13.2,27.7,6.362,97.469,5.996,
