Date,Time,"Rain (S-RGB 21114835:21038371-1),mm,Greenwich PEINP","Solar Radiation (S-LIB 21114835:21105866-1),W/m²,Greenwich PEINP","Battery (RX3000 BATTERY 21114835:21114835-B),V,Greenwich PEINP","Wind Direction (S-WCF 21114835:21135207-3),°,Greenwich PEINP","Temperature (S-THC 21114835:21648577-1),°C,Greenwich PEINP","RH (S-THC 21114835:21648577-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21648577-3),°C,Greenwich PEINP","Accumulated Rain (C-ACC-RAIN 21114835:21038371-2),mm,Greenwich PEINP,Greenwich","Average wind speed (S-WCF 21114835:21135207-1),Km/h,Greenwich PEINP","Wind gust speed (S-WCF 21114835:21135207-2),Km/h,Greenwich PEINP","Temperature (S-THC 21114835:21530604-1),°C,Greenwich PEINP","RH (S-THC 21114835:21530604-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21530604-3),°C,Greenwich PEINP"
02/01/2025,00:00:00 -0400,0,1,4.137,6,-7.15,77.806,-10.37,,5,10,,,
02/01/2025,00:05:00 -0400,0,1,4.119,3,-7.15,78.149,-10.315,,4,11,,,
02/01/2025,00:10:00 -0400,0,1,4.128,10,-7.128,78.434,-10.248,,4,10,,,
02/01/2025,00:15:00 -0400,0,1,4.134,21,-7.15,78.387,-10.276,,4,7,,,
02/01/2025,00:20:00 -0400,0,1,4.119,0,-7.107,78.46,-10.223,,4,11,,,
02/01/2025,00:25:00 -0400,0,1,4.127,6,-7,78.556,-10.103,,6,13,,,
02/01/2025,00:30:00 -0400,0,1,4.134,20,-7.043,77.774,-10.271,,5,8,,,
02/01/2025,00:35:00 -0400,0,1,4.123,14,-7.107,77.592,-10.363,,4,7,,,
02/01/2025,00:40:00 -0400,0,1,4.127,27,-7.064,77.316,-10.366,,2,7,,,
02/01/2025,00:45:00 -0400,0,1,4.134,8,-6.978,76.849,-10.359,,5,13,,,
02/01/2025,00:50:00 -0400,0,1,4.123,13,-6.935,76.782,-10.328,,5,8,,,
02/01/2025,00:55:00 -0400,0,1,4.125,15,-6.978,76.965,-10.34,,5,8,,,
02/01/2025,01:00:00 -0400,0,1,4.133,10,-6.893,77.565,-10.159,,5,10,,,
02/01/2025,01:05:00 -0400,0,1,4.123,1,-6.914,76.855,-10.295,,5,10,,,
02/01/2025,01:10:00 -0400,0,1,4.125,1,-6.871,75.985,-10.397,,5,12,,,
02/01/2025,01:15:00 -0400,0,1,4.133,13,-6.893,75.998,-10.416,,4,10,,,
02/01/2025,01:20:00 -0400,0,1,4.123,22,-6.871,76.602,-10.295,,5,10,,,
02/01/2025,01:25:00 -0400,0,1,4.123,10,-6.85,77.656,-10.102,,6,14,,,
02/01/2025,01:30:00 -0400,0,1,4.133,10,-6.85,77.279,-10.163,,5,12,,,
02/01/2025,01:35:00 -0400,0,1,4.113,17,-6.871,76.698,-10.279,,4,12,,,
02/01/2025,01:40:00 -0400,0,1,4.123,8,-6.85,77.156,-10.184,,5,12,,,
02/01/2025,01:45:00 -0400,0,1,4.131,18,-6.807,76.924,-10.18,,5,16,,,
02/01/2025,01:50:00 -0400,0,1,4.116,14,-6.828,75.517,-10.433,,6,12,,,
02/01/2025,01:55:00 -0400,0,1,4.123,21,-6.828,76.228,-10.315,,5,10,,,
02/01/2025,02:00:00 -0400,0,1,4.131,14,-6.828,77.467,-10.112,,5,12,,,
02/01/2025,02:05:00 -0400,0,1,4.12,7,-6.785,77.119,-10.127,,6,13,,,
02/01/2025,02:10:00 -0400,0,1,4.122,24,-6.764,78.022,-9.959,,7,13,,,
02/01/2025,02:15:00 -0400,0,1,4.13,29,-6.742,79.217,-9.746,,6,16,,,
02/01/2025,02:20:00 -0400,0,1,4.12,27,-6.742,78.636,-9.839,,5,11,,,
02/01/2025,02:25:00 -0400,0,1,4.122,17,-6.721,78.114,-9.902,,6,14,,,
02/01/2025,02:30:00 -0400,0,1,4.13,20,-6.678,76.809,-10.073,,6,14,,,
02/01/2025,02:35:00 -0400,0,1,4.122,28,-6.657,79.179,-9.668,,7,13,,,
02/01/2025,02:40:00 -0400,0,1,4.122,34,-6.7,78.869,-9.76,,6,13,,,
02/01/2025,02:45:00 -0400,0,1,4.13,29,-6.7,79.414,-9.673,,6,16,,,
02/01/2025,02:50:00 -0400,0,1,4.113,25,-6.742,78.357,-9.884,,7,13,,,
02/01/2025,02:55:00 -0400,0,1,4.122,28,-6.721,78.282,-9.875,,7,16,,,
02/01/2025,03:00:00 -0400,0,1,4.13,24,-6.742,78.471,-9.866,,7,13,,,
02/01/2025,03:05:00 -0400,0,1,4.113,31,-6.764,78.315,-9.912,,6,13,,,
02/01/2025,03:10:00 -0400,0,1,4.122,18,-6.721,78.183,-9.891,,6,13,,,
02/01/2025,03:15:00 -0400,0,1,4.128,11,-6.721,77.559,-9.993,,6,13,,,
02/01/2025,03:20:00 -0400,0,1,4.119,18,-6.742,77.263,-10.062,,6,13,,,
02/01/2025,03:25:00 -0400,0,1,4.122,29,-6.742,77.015,-10.102,,6,12,,,
02/01/2025,03:30:00 -0400,0,1,4.128,29,-6.785,75.958,-10.318,,7,17,,,
02/01/2025,03:35:00 -0400,0,1,4.119,35,-6.785,76.347,-10.254,,6,12,,,
02/01/2025,03:40:00 -0400,0,1,4.122,28,-6.742,76.19,-10.238,,6,13,,,
02/01/2025,03:45:00 -0400,0,1,4.13,35,-6.785,76.661,-10.202,,7,13,,,
02/01/2025,03:50:00 -0400,0,1,4.119,27,-6.828,77.179,-10.159,,6,12,,,
02/01/2025,03:55:00 -0400,0,1,4.122,28,-6.828,76.565,-10.26,,7,14,,,
02/01/2025,04:00:00 -0400,0,1,4.13,21,-6.85,76.071,-10.362,,5,11,,,
02/01/2025,04:05:00 -0400,0,1,4.12,31,-6.807,75.196,-10.466,,6,11,,,
02/01/2025,04:10:00 -0400,0,1,4.12,13,-6.828,75.019,-10.516,,5,14,,,
02/01/2025,04:15:00 -0400,0,1,4.128,25,-6.871,74.957,-10.568,,6,13,,,
02/01/2025,04:20:00 -0400,0,1,4.11,3,-6.957,74.853,-10.669,,5,11,,,
02/01/2025,04:25:00 -0400,0,1,4.12,7,-7,75.187,-10.655,,4,7,,,
02/01/2025,04:30:00 -0400,0,1,4.128,13,-7,75.032,-10.681,,4,8,,,
02/01/2025,04:35:00 -0400,0,1,4.116,11,-7,74.272,-10.808,,4,12,,,
02/01/2025,04:40:00 -0400,0,1,4.12,35,-6.978,74.144,-10.809,,2,7,,,
02/01/2025,04:45:00 -0400,0,1,4.127,24,-6.893,77.317,-10.199,,5,11,,,
02/01/2025,04:50:00 -0400,0,1,4.117,27,-6.893,78.791,-9.961,,6,12,,,
02/01/2025,04:55:00 -0400,0,1,4.117,13,-6.893,79.678,-9.819,,5,13,,,
02/01/2025,05:00:00 -0400,0,1,4.128,13,-6.978,80.188,-9.822,,6,14,,,
02/01/2025,05:05:00 -0400,0,1,4.119,18,-7.043,79.684,-9.965,,5,11,,,
02/01/2025,05:10:00 -0400,0,1,4.12,14,-7.021,79.266,-10.01,,5,10,,,
02/01/2025,05:15:00 -0400,0,1,4.127,15,-6.957,78.822,-10.018,,5,12,,,
