Date,Time,"Rain (S-RGB 21114835:21038371-1),mm,Greenwich PEINP","Solar Radiation (S-LIB 21114835:21105866-1),W/m²,Greenwich PEINP","Battery (RX3000 BATTERY 21114835:21114835-B),V,Greenwich PEINP","Wind Direction (S-WCF 21114835:21135207-3),°,Greenwich PEINP","Temperature (S-THC 21114835:21648577-1),°C,Greenwich PEINP","RH (S-THC 21114835:21648577-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21648577-3),°C,Greenwich PEINP","Accumulated Rain (C-ACC-RAIN 21114835:21038371-2),mm,Greenwich PEINP,Greenwich","Average wind speed (S-WCF 21114835:21135207-1),Km/h,Greenwich PEINP","Wind gust speed (S-WCF 21114835:21135207-2),Km/h,Greenwich PEINP","Temperature (S-THC 21114835:21530604-1),°C,Greenwich PEINP","RH (S-THC 21114835:21530604-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21530604-3),°C,Greenwich PEINP"
01/01/2025,00:00:00 -0400,0,1,4.202,208,-0.437,100,-0.442,,0,1,,,
01/01/2025,00:05:00 -0400,0,1,4.196,208,-0.287,100,-0.292,,1,2,,,
01/01/2025,00:10:00 -0400,0,1,4.193,208,-0.287,100,-0.292,,1,2,,,
01/01/2025,00:15:00 -0400,0,1,4.199,190,-0.051,100,-0.056,,4,6,,,
01/01/2025,00:20:00 -0400,0,1,4.202,180,-0.051,100,-0.056,,1,5,,,
01/01/2025,00:25:00 -0400,0,1,4.194,181,-0.051,100,-0.056,,2,5,,,
01/01/2025,00:30:00 -0400,0,1,4.199,181,-0.051,100,-0.056,,2,4,,,
01/01/2025,00:35:00 -0400,0,1,4.193,181,-0.051,100,-0.056,,2,4,,,
01/01/2025,00:40:00 -0400,0,1,4.191,181,-0.051,100,-0.056,,1,4,,,
01/01/2025,00:45:00 -0400,0,1,4.197,181,-0.287,100,-0.292,,1,2,,,
01/01/2025,00:50:00 -0400,0,1,4.2,181,-0.222,100,-0.228,,0,1,,,
01/01/2025,00:55:00 -0400,0,1,4.19,181,-0.587,100,-0.593,,0,2,,,
01/01/2025,01:00:00 -0400,0,1,4.197,181,-1.016,100,-1.022,,1,2,,,
01/01/2025,01:05:00 -0400,0,1,4.191,181,-0.758,100,-0.765,,1,4,,,
01/01/2025,01:10:00 -0400,0,1,4.19,181,-0.651,100,-0.657,,1,4,,,
01/01/2025,01:15:00 -0400,0,1,4.196,181,-0.329,100,-0.335,,2,4,,,
01/01/2025,01:20:00 -0400,0,1,4.193,181,-0.372,100,-0.378,,2,4,,,
01/01/2025,01:25:00 -0400,0,1,4.19,181,-0.565,100,-0.571,,1,2,,,
01/01/2025,01:30:00 -0400,0,1,4.194,181,-0.394,100,-0.399,,1,2,,,
01/01/2025,01:35:00 -0400,0,1,4.197,181,-0.244,100,-0.249,,1,2,,,
01/01/2025,01:40:00 -0400,0,1,4.187,181,-0.265,100,-0.271,,1,2,,,
01/01/2025,01:45:00 -0400,0,1,4.194,181,-0.222,100,-0.228,,1,2,,,
01/01/2025,01:50:00 -0400,0,1,4.188,181,-0.265,100,-0.271,,1,2,,,
