Date,Time,"Rain (S-RGB 21114835:21038371-1),mm,Greenwich PEINP","Solar Radiation (S-LIB 21114835:21105866-1),W/m²,Greenwich PEINP","Battery (RX3000 BATTERY 21114835:21114835-B),V,Greenwich PEINP","Average wind speed (S-WCF 21114835:21135207-1),Km/h,Greenwich PEINP","Wind gust speed (S-WCF 21114835:21135207-2),Km/h,Greenwich PEINP","Wind Direction (S-WCF 21114835:21135207-3),°,Greenwich PEINP","Temperature (S-THC 21114835:21648577-1),°C,Greenwich PEINP","RH (S-THC 21114835:21648577-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21648577-3),°C,Greenwich PEINP","Accumulated Rain (C-ACC-RAIN 21114835:21038371-2),mm,Greenwich PEINP,Greenwich"
7/1/2025,00:00:00 -0300,0,1,4.247,3.6,7.2,163,15.842,97.29,15.433,0
7/1/2025,00:05:00 -0300,0,1,4.253,4.8,8.4,168,15.799,97.366,15.402,
7/1/2025,00:10:00 -0300,0,1,4.256,4.8,8.4,174,15.799,97.485,15.422,
7/1/2025,00:15:00 -0300,0,1,4.245,3.6,6,168,15.756,97.629,15.402,
7/1/2025,00:20:00 -0300,0,1,4.251,2.4,6,171,15.714,97.656,15.363,
7/1/2025,00:25:00 -0300,0,1,4.253,3.6,7.2,173,15.671,97.787,15.341,
7/1/2025,00:30:00 -0300,0,1,4.244,3.6,7.2,170,15.649,97.816,15.324,
7/1/2025,00:35:00 -0300,0,1,4.25,3.6,7.2,167,15.628,97.874,15.312,
7/1/2025,00:40:00 -0300,0,1,4.253,3.6,7.2,167,15.542,97.885,15.228,
7/1/2025,00:45:00 -0300,0,1,4.242,3.6,8.4,160,15.585,98.126,15.309,
7/1/2025,00:50:00 -0300,0,1,4.248,4.8,8.4,167,15.563,98.105,15.285,
7/1/2025,00:55:00 -0300,0,1,4.251,3.6,6,159,15.521,98.167,15.252,
7/1/2025,01:00:00 -0300,0,1,4.241,3.6,9.6,152,15.456,98.247,15.2,
7/1/2025,01:05:00 -0300,0,1,4.247,3.6,6,145,15.456,98.323,15.212,
7/1/2025,01:10:00 -0300,0,1,4.25,3.6,9.6,145,15.413,98.424,15.185,
7/1/2025,01:15:00 -0300,0,1,4.239,3.6,7.2,138,15.413,98.412,15.183,
7/1/2025,01:20:00 -0300,0,1,4.247,3.6,7.2,143,15.456,98.741,15.278,
7/1/2025,01:25:00 -0300,0,1,4.248,3.6,8.4,142,15.435,98.576,15.231,
7/1/2025,01:30:00 -0300,0,1,4.238,3.6,9.6,140,15.456,98.618,15.259,
7/1/2025,01:35:00 -0300,0,1,4.245,3.6,8.4,143,15.478,98.618,15.28,
7/1/2025,01:40:00 -0300,0,1,4.247,3.6,6,166,15.563,98.636,15.369,
7/1/2025,01:45:00 -0300,0,1,4.236,3.6,6,160,15.563,98.868,15.406,
7/1/2025,01:50:00 -0300,0,1,4.244,3.6,8.4,143,15.563,98.636,15.369,
7/1/2025,01:55:00 -0300,0,1,4.245,3.6,7.2,143,15.456,98.657,15.265,
7/1/2025,02:00:00 -0300,0,1,4.238,4.8,10.8,147,15.606,98.639,15.412,
7/1/2025,02:05:00 -0300,0,1,4.242,3.6,8.4,154,15.585,98.721,15.404,
7/1/2025,02:10:00 -0300,0,1,4.245,2.4,6,156,15.478,98.604,15.278,
7/1/2025,02:15:00 -0300,0,1,4.236,3.6,6,167,15.521,98.593,15.319,
7/1/2025,02:20:00 -0300,0,1,4.241,3.6,6,168,15.563,98.653,15.372,
7/1/2025,02:25:00 -0300,0,1,4.242,4.8,7.2,192,15.671,98.672,15.482,
7/1/2025,02:30:00 -0300,0,1,4.233,4.8,7.2,194,15.606,98.502,15.39,
7/1/2025,02:35:00 -0300,0,1,4.241,4.8,9.6,188,15.606,98.599,15.406,
7/1/2025,02:40:00 -0300,0,1,4.242,3.6,6,199,15.606,98.616,15.409,
7/1/2025,02:45:00 -0300,0,1,4.233,3.6,6,191,15.585,98.663,15.395,
7/1/2025,02:50:00 -0300,0,1,4.239,3.6,6,183,15.499,98.604,15.299,
7/1/2025,02:55:00 -0300,0,1,4.242,2.4,4.8,177,15.478,98.708,15.294,
7/1/2025,03:00:00 -0300,0,1,4.232,2.4,4.8,180,15.478,98.805,15.31,
7/1/2025,03:05:00 -0300,0,1,4.239,2.4,4.8,178,15.478,98.895,15.324,
7/1/2025,03:10:00 -0300,0,1,4.241,2.4,4.8,174,15.563,98.938,15.417,
7/1/2025,03:15:00 -0300,0,1,4.232,2.4,6,180,15.563,98.959,15.42,
7/1/2025,03:20:00 -0300,0,1,4.238,1.2,4.8,184,15.649,99.039,15.518,
7/1/2025,03:25:00 -0300,0,1,4.241,4.8,9.6,206,15.885,99.258,15.789,
7/1/2025,03:30:00 -0300,0,1,4.232,6,9.6,209,16.207,99.355,16.126,
7/1/2025,03:35:00 -0300,0,1,4.238,6,9.6,211,16.4,98.924,16.251,
7/1/2025,03:40:00 -0300,0,1,4.239,6,9.6,211,16.507,98.433,16.28,
7/1/2025,03:45:00 -0300,0,1,4.23,4.8,7.2,209,16.507,98.32,16.262,
7/1/2025,03:50:00 -0300,0,1,4.238,6,9.6,215,16.614,97.981,16.315,
7/1/2025,03:55:00 -0300,0,1,4.239,6,9.6,212,16.722,97.954,16.418,
7/1/2025,04:00:00 -0300,0,1,4.23,6,9.6,198,16.679,97.487,16.3,
7/1/2025,04:05:00 -0300,0,1,4.236,6,12,205,16.722,97.22,16.299,
7/1/2025,04:10:00 -0300,0,1,4.239,4.8,8.4,201,16.679,97.166,16.248,
7/1/2025,04:15:00 -0300,0,1,4.229,6,10.8,205,16.7,97.224,16.279,
7/1/2025,04:20:00 -0300,0,1,4.236,4.8,9.6,198,16.722,96.965,16.258,
7/1/2025,04:25:00 -0300,0,1,4.238,4.8,7.2,211,16.807,96.794,16.316,
7/1/2025,04:30:00 -0300,0,1,4.227,3.6,8.4,206,16.722,96.721,16.219,
7/1/2025,04:35:00 -0300,0,1,4.235,3.6,7.2,205,16.807,96.699,16.301,
7/1/2025,04:40:00 -0300,0,1,4.238,3.6,10.8,192,16.829,96.368,16.268,
7/1/2025,04:45:00 -0300,0,1,4.23,2.4,4.8,195,16.722,96.217,16.137,
7/1/2025,04:50:00 -0300,0,1,4.235,3.6,4.8,198,16.722,96.309,16.152,
7/1/2025,04:55:00 -0300,0,1,4.238,3.6,6,218,16.85,96.223,16.266,
7/1/2025,05:00:00 -0300,0,1,4.227,4.8,6,222,16.679,96.03,16.063,
7/1/2025,05:05:00 -0300,0,1,4.235,6,8.4,225,16.636,96.022,16.019,
7/1/2025,05:10:00 -0300,0,1,4.238,6,9.6,226,16.679,95.793,16.025,
7/1/2025,05:15:00 -0300,0,2,4.23,4.8,9.6,219,16.764,95.908,16.129,
7/1/2025,05:20:00 -0300,0,3,4.238,4.8,9.6,209,16.764,95.851,16.12,
7/1/2025,05:25:00 -0300,0,4,4.244,6,8.4,208,16.872,95.425,16.157,
7/1/2025,05:30:00 -0300,0,7,4.238,4.8,7.2,201,16.786,95.279,16.047,
7/1/2025,05:35:00 -0300,0,9,4.251,4.8,8.4,192,16.807,95.459,16.098,
