Date,Time,"Rain (S-RGB 21114835:21038371-1),mm,Greenwich PEINP","Solar Radiation (S-LIB 21114835:21105866-1),W/m²,Greenwich PEINP","Battery (RX3000 BATTERY 21114835:21114835-B),V,Greenwich PEINP","Average wind speed (S-WCF 21114835:21135207-1),Km/h,Greenwich PEINP","Wind gust speed (S-WCF 21114835:21135207-2),Km/h,Greenwich PEINP","Wind Direction (S-WCF 21114835:21135207-3),°,Greenwich PEINP","Temperature (S-THC 21114835:21648577-1),°C,Greenwich PEINP","RH (S-THC 21114835:21648577-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21648577-3),°C,Greenwich PEINP","Accumulated Rain (C-ACC-RAIN 21114835:21038371-2),mm,Greenwich PEINP,Greenwich"
6/1/2025,00:00:00 -0300,0,1,4.244,9.6,16.8,180,16.078,97.482,15.699,
6/1/2025,00:05:00 -0300,0,1,4.251,12,26.5,180,16.035,97.258,15.621,
6/1/2025,00:10:00 -0300,0,1,4.253,12,18,187,15.992,97.116,15.555,
6/1/2025,00:15:00 -0300,0,1,4.244,14.4,28.9,188,16.121,96.423,15.571,
6/1/2025,00:20:00 -0300,0,1,4.25,16.8,32.5,202,16.142,94.208,15.23,
6/1/2025,00:25:00 -0300,0,1,4.251,13.2,30.1,202,16.164,93.17,15.079,
6/1/2025,00:30:00 -0300,0,1,4.242,15.6,32.5,192,16.164,92.227,14.921,
6/1/2025,00:35:00 -0300,0,1,4.248,13.2,26.5,195,16.078,92.088,14.812,
6/1/2025,00:40:00 -0300,0,1,4.25,13.2,25.2,190,15.992,91.994,14.711,
6/1/2025,00:45:00 -0300,0,1,4.244,13.2,28.9,192,15.907,91.737,14.583,
6/1/2025,00:50:00 -0300,0,1,4.248,14.4,30.1,191,15.885,91.22,14.474,
6/1/2025,00:55:00 -0300,0,1,4.25,15.6,27.7,195,15.907,90.739,14.413,
6/1/2025,01:00:00 -0300,0,1,4.241,13.2,25.2,204,15.842,90.684,14.34,
6/1/2025,01:05:00 -0300,0,1,4.247,14.4,32.5,206,15.778,90.431,14.233,
6/1/2025,01:10:00 -0300,0,1,4.248,14.4,28.9,208,15.649,90.021,14.036,
6/1/2025,01:15:00 -0300,0,1,4.239,14.4,26.5,194,15.521,89.731,13.859,
6/1/2025,01:20:00 -0300,0,1,4.247,14.4,30.1,198,15.413,89.584,13.728,
6/1/2025,01:25:00 -0300,0,1,4.248,14.4,25.2,198,15.263,89.108,13.497,
6/1/2025,01:30:00 -0300,0,1,4.239,14.4,28.9,190,15.199,88.902,13.398,
