Date,Time,"Rain (S-RGB 21114835:21038371-1),mm,Greenwich PEINP","Solar Radiation (S-LIB 21114835:21105866-1),W/m²,Greenwich PEINP","Battery (RX3000 BATTERY 21114835:21114835-B),V,Greenwich PEINP","Average wind speed (S-WCF 21114835:21135207-1),Km/h,Greenwich PEINP","Wind gust speed (S-WCF 21114835:21135207-2),Km/h,Greenwich PEINP","Wind Direction (S-WCF 21114835:21135207-3),°,Greenwich PEINP","Temperature (S-THC 21114835:21648577-1),°C,Greenwich PEINP","RH (S-THC 21114835:21648577-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21648577-3),°C,Greenwich PEINP","Accumulated Rain (C-ACC-RAIN 21114835:21038371-2),mm,Greenwich PEINP,Greenwich"
5/1/2025,00:00:00 -0300,0,1,4.239,15.6,27.7,307,3.36,80.929,0.401,
5/1/2025,00:05:00 -0300,0,1,4.23,13.2,30.1,312,3.338,81.314,0.446,
5/1/2025,00:10:00 -0300,0,1,4.236,14.4,28.9,314,3.381,81.364,0.496,
5/1/2025,00:15:00 -0300,0,1,4.238,14.4,28.9,316,3.36,82.237,0.623,
5/1/2025,00:20:00 -0300,0,1,4.23,14.4,28.9,312,3.36,82.069,0.595,
5/1/2025,00:25:00 -0300,0,1,4.235,14.4,31.3,309,3.338,81.692,0.51,
5/1/2025,00:30:00 -0300,0,1,4.23,15.6,30.1,312,3.402,81.122,0.476,
5/1/2025,00:35:00 -0300,0,1,4.227,15.6,27.7,314,3.381,80.929,0.422,
5/1/2025,00:40:00 -0300,0,1,4.235,13.2,33.7,314,3.338,81.305,0.444,
5/1/2025,00:45:00 -0300,0,1,4.23,13.2,28.9,309,3.295,81.41,0.42,
5/1/2025,00:50:00 -0300,0,1,4.226,13.2,25.2,307,3.295,81.935,0.509,
5/1/2025,00:55:00 -0300,0,1,4.233,14.4,25.2,309,3.252,81.99,0.476,
5/1/2025,01:00:00 -0300,0,1,4.229,14.4,27.7,309,3.295,81.703,0.47,
5/1/2025,01:05:00 -0300,0,1,4.224,18,31.3,312,3.252,81.012,0.311,
5/1/2025,01:10:00 -0300,0,1,4.23,16.8,30.1,313,3.317,80.598,0.303,
5/1/2025,01:15:00 -0300,0,1,4.229,15.6,27.7,313,3.295,80.682,0.296,
5/1/2025,01:20:00 -0300,0,1,4.224,15.6,32.5,312,3.252,80.392,0.205,
5/1/2025,01:25:00 -0300,0,1,4.23,15.6,28.9,307,3.252,80.177,0.168,
5/1/2025,01:30:00 -0300,0,1,4.232,13.2,30.1,312,3.231,79.973,0.112,
