Date,Time,"Rain (S-RGB 21114835:21038371-1),mm,Greenwich PEINP","Solar Radiation (S-LIB 21114835:21105866-1),W/m²,Greenwich PEINP","Battery (RX3000 BATTERY 21114835:21114835-B),V,Greenwich PEINP","Wind Direction (S-WCF 21114835:21135207-3),°,Greenwich PEINP","Dew Point (S-THC 21114835:21530608-3),°C,Greenwich PEINP","Average wind speed (S-WCF 21114835:21135207-1),Km/h,Greenwich PEINP","Wind gust speed (S-WCF 21114835:21135207-2),Km/h,Greenwich PEINP","Temperature (S-THC 21114835:21648577-1),°C,Greenwich PEINP","RH (S-THC 21114835:21648577-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21648577-3),°C,Greenwich PEINP","Accumulated Rain (C-ACC-RAIN 21114835:21038371-2),mm,Greenwich PEINP,Greenwich"
11/01/2025,00:00:00 -0300,0,1,4.206,212,,7.2,16.8,11.767,91.489,10.439,0.2
11/01/2025,00:05:00 -0300,0,1,4.209,215,,9.6,15.6,11.81,91.507,10.485,
11/01/2025,00:10:00 -0300,0,1,4.203,213,,8.4,16.8,11.703,91.466,10.372,
11/01/2025,00:15:00 -0300,0,1,4.205,220,,10.8,19.2,11.853,90.552,10.37,
11/01/2025,00:20:00 -0300,0,1,4.206,220,,9.6,15.6,11.81,90.358,10.296,
11/01/2025,00:25:00 -0300,0,1,4.196,220,,10.8,21.6,11.853,89.891,10.26,
11/01/2025,00:30:00 -0300,0,1,4.202,218,,12,18,11.853,89.657,10.221,
11/01/2025,00:35:00 -0300,0,1,4.206,218,,12,24,11.853,89.728,10.233,
11/01/2025,00:40:00 -0300,0,1,4.194,220,,13.2,20.4,11.853,89.291,10.16,
11/01/2025,00:45:00 -0300,0,1,4.2,219,,12,21.6,11.831,89.406,10.158,
11/01/2025,00:50:00 -0300,0,1,4.205,222,,12,21.6,11.789,89.397,10.114,
11/01/2025,00:55:00 -0300,0,1,4.193,222,,14.4,22.8,11.746,89.187,10.037,
11/01/2025,01:00:00 -0300,0,1,4.2,222,,14.4,22.8,11.789,89.195,10.08,
11/01/2025,01:05:00 -0300,0,1,4.203,225,,13.2,25.2,11.789,88.93,10.036,
11/01/2025,01:10:00 -0300,0,1,4.197,223,,12,18,11.767,89.187,10.058,
11/01/2025,01:15:00 -0300,0,1,4.2,223,,13.2,22.8,11.81,89.099,10.086,
11/01/2025,01:20:00 -0300,0,1,4.203,218,,13.2,25.2,11.831,88.444,9.996,
11/01/2025,01:25:00 -0300,0,1,4.19,216,,14.4,28.9,11.81,88.522,9.988,
11/01/2025,01:30:00 -0300,0,1,4.196,218,,14.4,25.2,11.81,88.833,10.041,
11/01/2025,01:35:00 -0300,0,1,4.202,219,,15.6,26.5,11.746,89.252,10.048,
11/01/2025,01:40:00 -0300,0,1,4.191,223,,15.6,26.5,11.51,90.982,10.101,
11/01/2025,01:45:00 -0300,0,1,4.197,223,,16.8,24,11.488,91.086,10.097,
11/01/2025,01:50:00 -0300,0,1,4.202,220,,18,26.5,11.531,90.404,10.027,
11/01/2025,01:55:00 -0300,0,1,4.193,226,,16.8,26.5,11.488,90.55,10.009,
11/01/2025,02:00:00 -0300,0,1,4.196,223,,14.4,28.9,11.381,91.096,9.993,
11/01/2025,02:05:00 -0300,0,1,4.2,220,,14.4,25.2,11.36,90.958,9.949,
11/01/2025,02:10:00 -0300,0,1,4.187,225,,15.6,25.2,11.338,90.529,9.857,
11/01/2025,02:15:00 -0300,0,1,4.194,226,,16.8,27.7,11.403,90.309,9.884,
11/01/2025,02:20:00 -0300,0,1,4.199,222,,16.8,28.9,11.424,89.603,9.788,
11/01/2025,02:25:00 -0300,0,1,4.187,220,,18,32.5,11.574,88.925,9.823,
11/01/2025,02:30:00 -0300,0,1,4.194,223,,18,26.5,11.638,88.853,9.875,
11/01/2025,02:35:00 -0300,0,1,4.199,226,,18,32.5,11.724,88.066,9.827,
11/01/2025,02:40:00 -0300,0,1,4.191,227,,18,27.7,11.703,88.688,9.911,
11/01/2025,02:45:00 -0300,0,1,4.193,232,,22.8,33.7,11.681,89.297,9.992,
11/01/2025,02:50:00 -0300,0,1,4.197,232,,21.6,32.5,11.274,90.935,9.86,
11/01/2025,02:55:00 -0300,0,1,4.185,236,,26.5,43.3,11.295,89.534,9.65,
11/01/2025,03:00:00 -0300,0,1,4.193,234,,25.2,40.9,11.338,89.348,9.661,
11/01/2025,03:05:00 -0300,0,1,4.197,230,,20.4,38.5,11.167,89.247,9.475,
11/01/2025,03:10:00 -0300,0,1,4.187,232,,26.5,37.3,11.295,87.649,9.333,
11/01/2025,03:15:00 -0300,0,1,4.193,236,,24,36.1,11.209,87.475,9.219,
11/01/2025,03:20:00 -0300,0,1,4.196,233,,25.2,42.1,11.231,87.031,9.164,
11/01/2025,03:25:00 -0300,0,1,4.19,234,,24,36.1,11.167,86.984,9.093,
11/01/2025,03:30:00 -0300,0,1,4.193,237,,28.9,38.5,11.188,86.363,9.008,
11/01/2025,03:35:00 -0300,0,1,4.196,236,,30.1,44.5,11.167,85.443,8.828,
11/01/2025,03:40:00 -0300,0,1,4.184,233,,25.2,37.3,11.167,86.229,8.964,
11/01/2025,03:45:00 -0300,0,1,4.191,236,,27.7,44.5,11.167,86.851,9.07,
11/01/2025,03:50:00 -0300,0,1,4.196,236,,22.8,33.7,11.059,87.414,9.061,
