Date,Time,"Rain (S-RGB 21114835:21038371-1),mm,Greenwich PEINP","Solar Radiation (S-LIB 21114835:21105866-1),W/m²,Greenwich PEINP","Battery (RX3000 BATTERY 21114835:21114835-B),V,Greenwich PEINP","Average wind speed (S-WCF 21114835:21135207-1),Km/h,Greenwich PEINP","Wind gust speed (S-WCF 21114835:21135207-2),Km/h,Greenwich PEINP","Wind Direction (S-WCF 21114835:21135207-3),°,Greenwich PEINP","Temperature (S-THC 21114835:21648577-1),°C,Greenwich PEINP","RH (S-THC 21114835:21648577-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21648577-3),°C,Greenwich PEINP","Accumulated Rain (C-ACC-RAIN 21114835:21038371-2),mm,Greenwich PEINP,Greenwich"
10/1/2025,00:00:00 -0300,0,1,4.23,6,14.4,13,12.046,74.398,7.646,1.8
10/1/2025,00:05:00 -0300,0,1,4.232,6,10.8,11,12.153,73.867,7.644,
10/1/2025,00:10:00 -0300,0,1,4.224,6,15.6,15,12.132,73.776,7.605,
10/1/2025,00:15:00 -0300,0,1,4.229,3.6,14.4,29,12.025,74.336,7.613,
10/1/2025,00:20:00 -0300,0,1,4.232,3.6,9.6,13,12.025,74.638,7.672,
10/1/2025,00:25:00 -0300,0,1,4.221,6,13.2,24,12.11,73.684,7.567,
10/1/2025,00:30:00 -0300,0,1,4.227,4.8,13.2,17,12.196,73.581,7.629,
10/1/2025,00:35:00 -0300,0,1,4.23,4.8,9.6,18,12.196,73.8,7.672,
10/1/2025,00:40:00 -0300,0,1,4.221,6,14.4,20,12.196,73.397,7.592,
10/1/2025,00:45:00 -0300,0,1,4.226,6,16.8,13,12.132,73.286,7.508,
10/1/2025,00:50:00 -0300,0,1,4.227,6,16.8,18,12.025,73.887,7.524,
10/1/2025,00:55:00 -0300,0,1,4.218,6,14.4,15,11.982,73.036,7.313,
10/1/2025,01:00:00 -0300,0,1,4.226,3.6,14.4,24,11.81,74.206,7.38,
10/1/2025,01:05:00 -0300,0,1,4.22,4.8,12,20,11.96,75.087,7.698,
10/1/2025,01:10:00 -0300,0,1,4.218,6,13.2,7,11.917,74.931,7.626,
10/1/2025,01:15:00 -0300,0,1,4.224,6,16.8,24,11.874,74.403,7.481,
10/1/2025,01:20:00 -0300,0,1,4.224,6,12,25,11.789,75.161,7.546,
10/1/2025,01:25:00 -0300,0,1,4.217,6,15.6,21,11.853,75.486,7.672,
10/1/2025,01:30:00 -0300,0,1,4.223,6,15.6,24,11.917,75.024,7.644,
10/1/2025,01:35:00 -0300,0,1,4.224,4.8,10.8,10,11.896,75.395,7.696,
10/1/2025,01:40:00 -0300,0,1,4.215,4.8,12,18,11.831,75.119,7.58,
10/1/2025,01:45:00 -0300,0,1,4.223,4.8,9.6,14,11.767,75.619,7.615,
10/1/2025,01:50:00 -0300,0,1,4.224,4.8,12,11,11.789,75.334,7.58,
10/1/2025,01:55:00 -0300,0,1,4.214,4.8,14.4,0,11.703,75.256,7.482,
10/1/2025,02:00:00 -0300,0,1,4.221,4.8,13.2,6,11.638,75.724,7.51,
10/1/2025,02:05:00 -0300,0,1,4.223,6,14.4,7,11.789,74.604,7.437,
10/1/2025,02:10:00 -0300,0,1,4.214,4.8,12,4,11.767,75.119,7.517,
10/1/2025,02:15:00 -0300,0,1,4.22,3.6,10.8,7,11.917,75.409,7.719,
10/1/2025,02:20:00 -0300,0,1,4.223,6,13.2,0,12.089,73.634,7.536,
10/1/2025,02:25:00 -0300,0,1,4.214,6,12,4,12.025,73.365,7.42,
10/1/2025,02:30:00 -0300,0,1,4.218,6,13.2,6,12.067,72.084,7.204,
10/1/2025,02:35:00 -0300,0,1,4.214,4.8,10.8,354,12.046,72.596,7.287,
10/1/2025,02:40:00 -0300,0,1,4.212,4.8,14.4,3,12.067,73.272,7.443,
10/1/2025,02:45:00 -0300,0,1,4.218,7.2,15.6,13,12.132,76.208,8.082,
10/1/2025,02:50:00 -0300,0,1,4.221,7.2,16.8,14,11.982,78.36,8.346,
10/1/2025,02:55:00 -0300,0,1,4.212,8.4,20.4,10,11.831,78.456,8.218,
10/1/2025,03:00:00 -0300,0,1,4.217,8.4,18,14,11.51,78.65,7.942,
10/1/2025,03:05:00 -0300,0,1,4.22,8.4,16.8,27,11.424,75.851,7.327,
10/1/2025,03:10:00 -0300,0,1,4.212,7.2,16.8,31,11.424,75.366,7.233,
10/1/2025,03:15:00 -0300,0,1,4.217,8.4,18,32,11.36,74.842,7.069,
10/1/2025,03:20:00 -0300,0,1,4.22,7.2,20.4,25,11.467,76.727,7.537,
10/1/2025,03:25:00 -0300,0,1,4.209,8.4,16.8,28,11.467,72.958,6.801,
10/1/2025,03:30:00 -0300,0,1,4.217,7.2,16.8,31,11.424,71.717,6.51,
10/1/2025,03:35:00 -0300,0,1,4.22,8.4,19.2,34,11.124,72.335,6.346,
10/1/2025,03:40:00 -0300,0,1,4.209,7.2,12,45,10.888,73.901,6.429,
10/1/2025,03:45:00 -0300,0,1,4.217,3.6,8.4,28,10.823,76.052,6.784,
10/1/2025,03:50:00 -0300,0,1,4.218,2.4,4.8,37,10.652,77.775,6.944,
10/1/2025,03:55:00 -0300,0,1,4.208,1.2,4.8,29,10.373,78.822,6.867,
10/1/2025,04:00:00 -0300,0,1,4.217,1.2,3.6,18,10.244,79.202,6.812,
10/1/2025,04:05:00 -0300,0,1,4.212,1.2,2.4,18,10.008,80.209,6.766,
10/1/2025,04:10:00 -0300,0,1,4.209,0,0,18,9.708,81.799,6.759,
10/1/2025,04:15:00 -0300,0,1,4.215,0,1.2,18,9.494,82.243,6.628,
10/1/2025,04:20:00 -0300,0,1,4.217,1.2,6,31,9.644,83.04,6.915,
10/1/2025,04:25:00 -0300,0,1,4.208,0,2.4,45,9.772,84.178,7.24,
10/1/2025,04:30:00 -0300,0,1,4.214,0,1.2,45,9.644,85.534,7.347,
10/1/2025,04:35:00 -0300,0,1,4.217,0,0,45,9.408,86.329,7.25,
10/1/2025,04:40:00 -0300,0,1,4.208,1.2,8.4,22,9.708,87.951,7.819,
10/1/2025,04:45:00 -0300,0,1,4.214,3.6,8.4,41,10.287,86.455,8.137,
10/1/2025,04:50:00 -0300,0,1,4.215,6,12,45,10.759,83.876,8.155,
10/1/2025,04:55:00 -0300,0,1,4.206,3.6,7.2,48,10.781,83.363,8.086,
10/1/2025,05:00:00 -0300,0,1,4.214,2.4,6,44,10.545,83.941,7.956,
10/1/2025,05:05:00 -0300,0,1,4.217,2.4,6,29,10.502,84.768,8.058,
10/1/2025,05:10:00 -0300,0,1,4.205,3.6,7.2,45,10.673,85.15,8.293,
10/1/2025,05:15:00 -0300,0,1,4.214,2.4,7.2,44,10.974,84.411,8.459,
10/1/2025,05:20:00 -0300,0,1,4.215,1.2,8.4,83,11.188,83.845,8.57,
10/1/2025,05:25:00 -0300,0,1,4.205,3.6,10.8,24,11.403,84.146,8.833,
10/1/2025,05:30:00 -0300,0,1,4.212,4.8,10.8,17,11.638,82.631,8.795,
10/1/2025,05:35:00 -0300,0,1,4.208,4.8,9.6,14,11.724,80.508,8.495,
10/1/2025,05:40:00 -0300,0,1,4.206,4.8,12,10,11.66,76.822,7.742,
10/1/2025,05:45:00 -0300,0,1,4.212,4.8,10.8,21,11.767,77.041,7.888,
10/1/2025,05:50:00 -0300,0,1,4.214,4.8,9.6,21,11.767,77.394,7.955,
10/1/2025,05:55:00 -0300,0,1,4.205,4.8,10.8,11,11.767,77.235,7.925,
10/1/2025,06:00:00 -0300,0,1,4.212,3.6,7.2,22,11.746,78.238,8.094,
10/1/2025,06:05:00 -0300,0,1,4.215,8.4,20.4,22,11.939,80.983,8.791,
10/1/2025,06:10:00 -0300,0,1,4.206,8.4,15.6,41,11.617,83.029,8.846,
10/1/2025,06:15:00 -0300,0,1,4.212,7.2,10.8,51,11.167,83.85,8.55,
10/1/2025,06:20:00 -0300,0,1,4.215,6,10.8,41,10.995,83.818,8.376,
10/1/2025,06:25:00 -0300,0,1,4.205,6,10.8,51,10.931,84.21,8.382,
