Date,Time,"Rain (S-RGB 21114835:21038371-1),mm,Greenwich PEINP","Solar Radiation (S-LIB 21114835:21105866-1),W/m²,Greenwich PEINP","Battery (RX3000 BATTERY 21114835:21114835-B),V,Greenwich PEINP","Average wind speed (S-WCF 21114835:21135207-1),Km/h,Greenwich PEINP","Wind gust speed (S-WCF 21114835:21135207-2),Km/h,Greenwich PEINP","Wind Direction (S-WCF 21114835:21135207-3),°,Greenwich PEINP","Temperature (S-THC 21114835:21648577-1),°C,Greenwich PEINP","RH (S-THC 21114835:21648577-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21648577-3),°C,Greenwich PEINP","Accumulated Rain (C-ACC-RAIN 21114835:21038371-2),mm,Greenwich PEINP,Greenwich"
9/1/2025,00:00:00 -0300,0,1,4.245,0,1.2,267,13.869,97.679,13.525,0
9/1/2025,00:05:00 -0300,0,1,4.247,0,1.2,267,13.998,98.361,13.76,
9/1/2025,00:10:00 -0300,0,1,4.236,0,2.4,267,13.89,98.071,13.608,
9/1/2025,00:15:00 -0300,0,1,4.244,0,1.2,267,13.783,98.21,13.522,
9/1/2025,00:20:00 -0300,0,1,4.245,0,1.2,267,13.848,98.581,13.645,
9/1/2025,00:25:00 -0300,0,1,4.236,0,1.2,267,13.933,98.268,13.681,
9/1/2025,00:30:00 -0300,0,1,4.242,0,1.2,267,13.569,98.228,13.311,
9/1/2025,00:35:00 -0300,0,1,4.238,0,2.4,267,13.397,98.412,13.168,
9/1/2025,00:40:00 -0300,0,1,4.235,0,1.2,267,13.612,98.556,13.405,
9/1/2025,00:45:00 -0300,0,1,4.239,0,1.2,267,13.333,98.52,13.12,
9/1/2025,00:50:00 -0300,0,1,4.242,0,1.2,267,13.14,98.607,12.941,
9/1/2025,00:55:00 -0300,0,1,4.233,0,1.2,267,13.376,98.791,13.206,
9/1/2025,01:00:00 -0300,0,1,4.239,0,0,267,13.504,99.522,13.447,
9/1/2025,01:05:00 -0300,0,1,4.241,0,1.2,267,13.29,98.791,13.12,
9/1/2025,01:10:00 -0300,0,1,4.233,0,0,267,13.011,99.043,12.88,
9/1/2025,01:15:00 -0300,0,1,4.238,0,0,267,12.925,99.101,12.803,
9/1/2025,01:20:00 -0300,0,1,4.239,0,1.2,267,13.183,99.249,13.083,
9/1/2025,01:25:00 -0300,0,1,4.23,0,2.4,267,13.226,99.721,13.199,
9/1/2025,01:30:00 -0300,0,1,4.238,0,2.4,267,13.226,99.225,13.122,
9/1/2025,01:35:00 -0300,0,1,4.239,0,0,267,13.054,99.35,12.97,
9/1/2025,01:40:00 -0300,0,1,4.23,0,0,267,13.011,99.382,12.932,
9/1/2025,01:45:00 -0300,0,1,4.235,0,0,267,12.904,99.353,12.82,
9/1/2025,01:50:00 -0300,0,1,4.238,0,0,267,12.947,99.353,12.863,
9/1/2025,01:55:00 -0300,0,1,4.229,0,1.2,267,12.882,99.432,12.811,
9/1/2025,02:00:00 -0300,0,1,4.235,0,2.4,267,12.882,99.38,12.803,
9/1/2025,02:05:00 -0300,0,1,4.23,0,1.2,267,12.668,99.464,12.601,
9/1/2025,02:10:00 -0300,0,1,4.227,0,1.2,267,12.518,99.536,12.462,
9/1/2025,02:15:00 -0300,0,1,4.233,0,1.2,267,12.582,99.829,12.571,
9/1/2025,02:20:00 -0300,0,1,4.236,0,1.2,267,13.097,100,13.113,
9/1/2025,02:25:00 -0300,0,1,4.227,0,0,267,13.161,99.982,13.175,
9/1/2025,02:30:00 -0300,0,1,4.233,0,0,267,12.797,99.561,12.745,
9/1/2025,02:35:00 -0300,0,1,4.235,0,0,267,12.689,99.895,12.689,
9/1/2025,02:40:00 -0300,0,1,4.226,0,2.4,267,12.861,99.916,12.864,
9/1/2025,02:45:00 -0300,0,1,4.23,1.2,3.6,267,12.775,100,12.791,
9/1/2025,02:50:00 -0300,0,1,4.233,0,2.4,267,12.582,99.742,12.558,
9/1/2025,02:55:00 -0300,0,1,4.224,0,0,267,12.432,99.998,12.447,
9/1/2025,03:00:00 -0300,0,1,4.23,0,0,267,12.453,99.84,12.444,
9/1/2025,03:05:00 -0300,0,1,4.233,0,1.2,267,12.453,99.931,12.458,
9/1/2025,03:10:00 -0300,0,1,4.223,0,0,267,12.389,99.994,12.403,
9/1/2025,03:15:00 -0300,0,1,4.229,0,0,267,12.689,100,12.705,
9/1/2025,03:20:00 -0300,0,1,4.232,0,0,267,12.797,100,12.812,
9/1/2025,03:25:00 -0300,0,1,4.221,0,1.2,267,12.711,99.986,12.724,
9/1/2025,03:30:00 -0300,0,1,4.229,0,1.2,267,12.775,100,12.791,
9/1/2025,03:35:00 -0300,0,1,4.224,0,0,267,12.496,99.934,12.501,
9/1/2025,03:40:00 -0300,0,1,4.221,0,0,267,12.411,100,12.425,
9/1/2025,03:45:00 -0300,0,1,4.229,0,1.2,267,12.389,100,12.404,
9/1/2025,03:50:00 -0300,0,1,4.23,0,2.4,267,12.411,100,12.425,
9/1/2025,03:55:00 -0300,0,1,4.223,0,2.4,267,12.389,100,12.404,
9/1/2025,04:00:00 -0300,0,1,4.227,0,1.2,267,12.239,100,12.254,
9/1/2025,04:05:00 -0300,0,1,4.229,0,1.2,267,12.067,100,12.082,
9/1/2025,04:10:00 -0300,0,1,4.223,0,1.2,267,12.218,100,12.232,
9/1/2025,04:15:00 -0300,0,1,4.227,0,1.2,267,12.26,100,12.275,
9/1/2025,04:20:00 -0300,0,1,4.23,0,0,267,12.175,100,12.189,
9/1/2025,04:25:00 -0300,0,1,4.221,0,1.2,267,12.153,100,12.168,
9/1/2025,04:30:00 -0300,0,1,4.229,0,1.2,267,12.239,100,12.254,
9/1/2025,04:35:00 -0300,0,1,4.23,0,0,267,12.368,100,12.382,
9/1/2025,04:40:00 -0300,0,1,4.221,0,1.2,267,12.196,100,12.211,
9/1/2025,04:45:00 -0300,0,1,4.227,0,1.2,267,12.089,100,12.103,
9/1/2025,04:50:00 -0300,0,1,4.229,0,1.2,267,12.153,100,12.168,
9/1/2025,04:55:00 -0300,0,1,4.221,0,1.2,267,12.346,100,12.361,
9/1/2025,05:00:00 -0300,0,1,4.227,0,2.4,267,13.054,100,13.07,
9/1/2025,05:05:00 -0300,0,1,4.221,0,1.2,267,13.14,100,13.156,
9/1/2025,05:10:00 -0300,0,1,4.22,0,1.2,267,12.968,100,12.984,
9/1/2025,05:15:00 -0300,0,1,4.226,0,0,267,13.161,100,13.177,
9/1/2025,05:20:00 -0300,0,1,4.229,0,1.2,267,13.204,100,13.22,
9/1/2025,05:25:00 -0300,0,1,4.22,0,0,267,13.033,100,13.048,
9/1/2025,05:30:00 -0300,0,1,4.226,0,1.2,267,13.226,100,13.242,
9/1/2025,05:35:00 -0300,0,1,4.229,0,0,267,13.204,100,13.22,
9/1/2025,05:40:00 -0300,0,1,4.22,0,1.2,267,13.011,100,13.027,
9/1/2025,05:45:00 -0300,0,1,4.226,0,1.2,267,13.333,100,13.349,
9/1/2025,05:50:00 -0300,0,1,4.229,0,1.2,267,13.633,100,13.65,
9/1/2025,05:55:00 -0300,0,1,4.218,0,3.6,293,13.955,100,13.972,
9/1/2025,06:00:00 -0300,0,1,4.226,1.2,6,3,15.263,100,15.283,
9/1/2025,06:05:00 -0300,0,1,4.227,1.2,4.8,3,15.435,100,15.454,
9/1/2025,06:10:00 -0300,0,1,4.22,1.2,4.8,0,15.113,100,15.132,
9/1/2025,06:15:00 -0300,0,1,4.226,1.2,3.6,358,15.563,100,15.583,
9/1/2025,06:20:00 -0300,0,1,4.227,1.2,4.8,3,15.478,100,15.497,
9/1/2025,06:25:00 -0300,0,2,4.22,1.2,7.2,347,15.778,100,15.798,
9/1/2025,06:30:00 -0300,0,3,4.229,0,2.4,0,15.478,100,15.497,
9/1/2025,06:35:00 -0300,0,6,4.227,0,2.4,0,15.306,100,15.326,
9/1/2025,06:40:00 -0300,0,8,4.232,0,4.8,0,15.242,100,15.261,
9/1/2025,06:45:00 -0300,0,12,4.25,1.2,3.6,1,15.349,100,15.369,
9/1/2025,06:50:00 -0300,0,16,4.265,0,1.2,7,14.92,100,14.939,
9/1/2025,06:55:00 -0300,0,19,4.271,1.2,3.6,7,15.027,100,15.046,
9/1/2025,07:00:00 -0300,0,22,4.299,1.2,4.8,8,15.349,100,15.369,
9/1/2025,07:05:00 -0300,0,24,4.304,1.2,3.6,14,15.778,100,15.798,
9/1/2025,07:10:00 -0300,0,32,4.307,1.2,4.8,1,15.949,99.861,15.948,
9/1/2025,07:15:00 -0300,0,44,4.305,2.4,6,350,16.228,99.634,16.192,
9/1/2025,07:20:00 -0300,0,44,4.31,2.4,4.8,6,16.443,98.767,16.269,
9/1/2025,07:25:00 -0300,0,103,4.32,1.2,6,3,16.614,98.178,16.347,
9/1/2025,07:30:00 -0300,0,46,4.305,3.6,7.2,4,16.958,96.287,16.383,
9/1/2025,07:35:00 -0300,0,86,4.308,3.6,7.2,10,17.193,95.618,16.509,
9/1/2025,07:40:00 -0300,0,167,4.319,2.4,9.6,6,17.558,93.912,16.588,
9/1/2025,07:45:00 -0300,0,181,4.323,3.6,8.4,0,18.008,91.548,16.633,
9/1/2025,07:50:00 -0300,0,194,4.302,3.6,8.4,350,18.373,89.696,16.672,
9/1/2025,07:55:00 -0300,0,208,4.302,3.6,7.2,352,18.609,88.643,16.719,
9/1/2025,08:00:00 -0300,0,222,4.322,4.8,10.8,355,18.781,87.543,16.691,
9/1/2025,08:05:00 -0300,0,231,4.293,4.8,9.6,3,18.931,86.188,16.593,
9/1/2025,08:10:00 -0300,0,247,4.307,4.8,8.4,350,19.124,85.287,16.617,
9/1/2025,08:15:00 -0300,0,259,4.331,3.6,8.4,358,19.274,84.498,16.618,
9/1/2025,08:20:00 -0300,0,276,4.308,4.8,12,351,19.317,82.974,16.373,
9/1/2025,08:25:00 -0300,0,296,4.313,4.8,10.8,348,19.467,82.997,16.525,
9/1/2025,08:30:00 -0300,0,313,4.299,3.6,12,354,19.896,81.749,16.705,
9/1/2025,08:35:00 -0300,0,331,4.32,4.8,9.6,0,19.96,79.77,16.382,
9/1/2025,08:40:00 -0300,0,344,4.323,4.8,12,7,20.046,79.693,16.451,
