Date,Time,"Rain (S-RGB 21114831:21035308-1),mm,North Rustico Wharf","Solar Radiation (S-LIB 21114831:21105865-1),W/m²,North Rustico Wharf","Avg Wind speed (S-WCF 21114831:21113174-1),Km/h,North Rustico Wharf","Wind gust speed (S-WCF 21114831:21113174-2),Km/h,North Rustico Wharf","Wind Direction (S-WCF 21114831:21113174-3),°,North Rustico Wharf","Temperature (S-THC 21114831:21648581-1),°C,North Rustico Wharf","RH (S-THC 21114831:21648581-2),%,North Rustico Wharf","Dew Point (S-THC 21114831:21648581-3),°C,North Rustico Wharf","Battery (RX3000 BATTERY 21114831:21114831-B),V,North Rustico Wharf","Water Pressure (M-WP01 21114831:21411214-1),kPa,North Rustico Wharf","Diff Pressure (M-DP01 21114831:21411214-2),kPa,North Rustico Wharf","Water Flow (M-WF-VNW 21114831:21411214-5),l/s,North Rustico Wharf","Gust Speed (S-WCF 21114831:21135217-2),m/s,North Rustico Wharf","Water Level (M-WL01 21114831:21411214-4),meters,North Rustico Wharf","Wind Speed (S-WCF 21114831:21135217-1),m/s,North Rustico Wharf","Gust Speed (S-WCF 21114831:21113174-2),m/s,North Rustico Wharf","Wind Speed (S-WCF 21114831:21113174-1),m/s,North Rustico Wharf","Temperature (S-TMB 21114831:21038284-1),°C,North Rustico Wharf","Water Level (M-WL01 21114831:21411214-4),meters,North Rustico Wharf,Water Level Below Top of Wharf","Wind Direction (S-WCF 21114831:21135217-3),°,North Rustico Wharf","Wind Gust Speed (S-WCF 21114831:21135217-2),km/h,North Rustico Wharf","Average Wind Speed (S-WCF 21114831:21135217-1),Km/h,North Rustico Wharf","Wind gust speed (S-WCF 21114831:21113174-2),Km/h,North Rustico Wharf","Avg Wind speed (S-WCF 21114831:21113174-1),Km/h,North Rustico Wharf","Accumulated Rain (C-ACC-RAIN 21114831:21035308-2),mm,North Rustico Wharf,North Rustico","Barometric Pressure (M-BP 21114831:21548413-1),kPa,North Rustico Wharf","Water Level (M-WL01 21114831:21411214-4),meters,North Rustico Wharf,Water Level CGVD28","Water Temperature (M-WT 21114831:21411214-3),°C,North Rustico Wharf"
12/01/2023,00:00:00 -0400,,,,,,,,,4.247,107.015,5.074,,,,,,,,,,,,,,,101.941,,4.01
12/01/2023,00:05:00 -0400,,,,,,,,,4.248,106.954,5.013,,,,,,,,,,,,,,,101.941,,4.01
12/01/2023,00:10:00 -0400,,,,,,,,,4.247,106.742,4.811,,,,,,,,,,,,,,,101.931,,4.01
12/01/2023,00:15:00 -0400,,,,,,,,,4.247,106.586,4.662,,,,,,,,,,,,,,,101.924,,4.01
12/01/2023,00:20:00 -0400,0,1,,,,2.802,82.408,0.106,4.247,106.554,4.627,,,,,,,,,199,31,17,,,,101.927,,3.8
12/01/2023,00:25:00 -0400,,,,,,,,,4.218,106.274,4.346,,,,,,,,,,,,,,,101.928,,3.59
12/01/2023,00:30:00 -0400,,,,,,,,,4.23,106.225,4.306,,,,,,,,,,,,,,,101.919,,3.48
12/01/2023,00:35:00 -0400,,,,,,,,,4.235,106.087,4.169,,,,,,,,,,,,,,,101.918,,3.48
12/01/2023,00:40:00 -0400,,,,,,,,,4.238,105.891,3.978,,,,,,,,,,,,,,,101.913,,3.38
12/01/2023,00:45:00 -0400,,,,,,,,,4.238,105.772,3.864,,,,,,,,,,,,,,,101.908,,3.59
12/01/2023,00:50:00 -0400,0,1,,,,2.931,82.237,0.203,4.239,105.625,3.717,,,,,,,,,199,31,17,,,,101.908,,3.59
12/01/2023,00:55:00 -0400,,,,,,,,,4.241,105.557,3.657,,,,,,,,,,,,,,,101.9,,3.69
12/01/2023,01:00:00 -0400,,,,,,,,,4.242,105.314,3.41,,,,,,,,,,,,,,,101.904,,3.69
12/01/2023,01:05:00 -0400,,,,,,,,,4.242,105.245,3.334,,,,,,,,,,,,,,,101.911,,3.69
12/01/2023,01:10:00 -0400,,,,,,,,,4.242,105.115,3.205,,,,,,,,,,,,,,,101.91,,3.69
12/01/2023,01:15:00 -0400,,,,,,,,,4.242,105.063,3.154,,,,,,,,,,,,,,,101.909,,3.69
12/01/2023,01:20:00 -0400,0,1,,,,3.081,81.386,0.206,4.242,104.773,2.868,,,,,,,,,199,31,17,,,,101.905,,3.69
12/01/2023,01:25:00 -0400,,,,,,,,,4.244,104.846,2.946,,,,,,,,,,,,,,,101.9,,3.59
12/01/2023,01:30:00 -0400,,,,,,,,,4.244,104.689,2.79,,,,,,,,,,,,,,,101.899,,3.48
12/01/2023,01:35:00 -0400,,,,,,,,,4.244,104.512,2.609,,,,,,,,,,,,,,,101.903,,3.16
12/01/2023,01:40:00 -0400,,,,,,,,,4.244,104.415,2.519,,,,,,,,,,,,,,,101.896,,2.95
12/01/2023,01:45:00 -0400,,,,,,,,,4.244,104.427,2.524,,,,,,,,,,,,,,,101.903,,2.85
12/01/2023,01:50:00 -0400,0,1,,,,3.016,82.449,0.323,4.244,104.223,2.315,,,,,,,,,199,31,17,,,,101.908,,2.85
12/01/2023,01:55:00 -0400,,,,,,,,,4.244,104.099,2.202,,,,,,,,,,,,,,,101.897,,2.95
12/01/2023,02:00:00 -0400,,,,,,,,,4.244,104.043,2.138,,,,,,,,,,,,,,,101.905,,2.95
12/01/2023,02:05:00 -0400,,,,,,,,,4.244,103.976,2.068,,,,,,,,,,,,,,,101.908,,3.16
12/01/2023,02:10:00 -0400,,,,,,,,,4.244,103.834,1.925,,,,,,,,,,,,,,,101.909,,3.27
12/01/2023,02:15:00 -0400,,,,,,,,,4.244,103.795,1.886,,,,,,,,,,,,,,,101.909,,3.69
12/01/2023,02:20:00 -0400,0,1,,,,3.252,82.065,0.489,4.245,103.629,1.731,,,,,,,,,199,31,17,,,,101.898,,3.9
12/01/2023,02:25:00 -0400,,,,,,,,,4.244,103.52,1.623,,,,,,,,,,,,,,,101.897,,3.8
12/01/2023,02:30:00 -0400,,,,,,,,,4.245,103.533,1.633,,,,,,,,,,,,,,,101.9,,3.48
12/01/2023,02:35:00 -0400,,,,,,,,,4.244,103.485,1.59,,,,,,,,,,,,,,,101.895,,3.38
12/01/2023,02:40:00 -0400,,,,,,,,,4.244,103.374,1.474,,,,,,,,,,,,,,,101.9,,3.16
12/01/2023,02:45:00 -0400,,,,,,,,,4.244,103.197,1.305,,,,,,,,,,,,,,,101.892,,3.16
12/01/2023,02:50:00 -0400,0,1,,,,3.317,83.258,0.752,4.244,103.136,1.239,,,,,,,,,199,31,17,,,,101.897,,3.16
12/01/2023,02:55:00 -0400,,,,,,,,,4.245,103.155,1.265,,,,,,,,,,,,,,,101.89,,3.27
12/01/2023,03:00:00 -0400,,,,,,,,,4.244,102.958,1.075,,,,,,,,,,,,,,,101.883,,3.48
12/01/2023,03:05:00 -0400,,,,,,,,,4.244,102.934,1.057,,,,,,,,,,,,,,,101.877,,3.69
