Serial_number:
2150753
Project ID:

Location:

LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/10/2022,02:00:00 pm,0,10.6143,21.051
7/10/2022,02:05:00 pm,0,10.6162,20.992
7/10/2022,02:10:00 pm,0,10.6098,21.117
7/10/2022,02:15:00 pm,0,10.6188,21.095
7/10/2022,02:20:00 pm,0,10.6280,21.089
7/10/2022,02:25:00 pm,0,10.6271,21.106
7/10/2022,02:30:00 pm,0,10.6343,21.132
7/10/2022,02:35:00 pm,0,10.6384,21.148
7/10/2022,02:40:00 pm,0,10.6364,21.186
7/10/2022,02:45:00 pm,0,10.6394,21.235
7/10/2022,02:50:00 pm,0,10.6422,21.269
7/10/2022,02:55:00 pm,0,10.6467,21.334
7/10/2022,03:00:00 pm,0,10.6485,21.272
7/10/2022,03:05:00 pm,0,10.6480,21.325
7/10/2022,03:10:00 pm,0,10.6476,21.443
7/10/2022,03:15:00 pm,0,10.6489,21.513
7/10/2022,03:20:00 pm,0,10.6474,21.566
7/10/2022,03:25:00 pm,0,10.6488,21.585
7/10/2022,03:30:00 pm,0,10.6447,21.560
7/10/2022,03:35:00 pm,0,10.6559,21.497
7/10/2022,03:40:00 pm,0,10.6553,21.515
7/10/2022,03:45:00 pm,0,10.6526,21.555
7/10/2022,03:50:00 pm,0,10.6535,21.695
7/10/2022,03:55:00 pm,0,10.6574,21.575
7/10/2022,04:00:00 pm,0,10.6582,21.512
7/10/2022,04:05:00 pm,0,10.6535,21.584
7/10/2022,04:10:00 pm,0,10.6511,21.529
7/10/2022,04:15:00 pm,0,10.6531,21.664
7/10/2022,04:20:00 pm,0,10.6557,21.591
7/10/2022,04:25:00 pm,0,10.6536,21.597
7/10/2022,04:30:00 pm,0,10.6512,21.726
7/10/2022,04:35:00 pm,0,10.6437,21.680
7/10/2022,04:40:00 pm,0,10.6433,21.564
7/10/2022,04:45:00 pm,0,10.6489,21.583
7/10/2022,04:50:00 pm,0,10.6492,21.583
7/10/2022,04:55:00 pm,0,10.6361,21.435
7/10/2022,05:00:00 pm,0,10.6333,21.417
7/10/2022,05:05:00 pm,0,10.6369,21.458
7/10/2022,05:10:00 pm,0,10.6358,21.502
7/10/2022,05:15:00 pm,0,10.6276,21.515
7/10/2022,05:20:00 pm,0,10.6161,21.532
7/10/2022,05:25:00 pm,0,10.6180,21.531
7/10/2022,05:30:00 pm,0,10.6186,21.544
7/10/2022,05:35:00 pm,0,10.6144,21.517
7/10/2022,05:40:00 pm,0,10.6137,21.528
7/10/2022,05:45:00 pm,0,10.6156,21.537
7/10/2022,05:50:00 pm,0,10.6152,21.550
7/10/2022,05:55:00 pm,0,10.6097,21.582
7/10/2022,06:00:00 pm,0,10.6090,21.614
7/10/2022,06:05:00 pm,0,10.6112,21.635
7/10/2022,06:10:00 pm,0,10.6106,21.643
7/10/2022,06:15:00 pm,0,10.6107,21.630
7/10/2022,06:20:00 pm,0,10.6073,21.654
7/10/2022,06:25:00 pm,0,10.6057,21.666
7/10/2022,06:30:00 pm,0,10.6069,21.682
7/10/2022,06:35:00 pm,0,10.6111,21.642
7/10/2022,06:40:00 pm,0,10.6054,21.617
7/10/2022,06:45:00 pm,0,10.6052,21.624
7/10/2022,06:50:00 pm,0,10.6028,21.622
7/10/2022,06:55:00 pm,0,10.6038,21.642
7/10/2022,07:00:00 pm,0,10.6077,21.683
7/10/2022,07:05:00 pm,0,10.6043,21.692
7/10/2022,07:10:00 pm,0,10.6033,21.700
7/10/2022,07:15:00 pm,0,10.5997,21.698
7/10/2022,07:20:00 pm,0,10.6052,21.691
7/10/2022,07:25:00 pm,0,10.6028,21.679
7/10/2022,07:30:00 pm,0,10.5985,21.686
7/10/2022,07:35:00 pm,0,10.5973,21.694
7/10/2022,07:40:00 pm,0,10.5977,21.685
7/10/2022,07:45:00 pm,0,10.5997,21.599
7/10/2022,07:50:00 pm,0,10.5986,21.506
7/10/2022,07:55:00 pm,0,10.5997,21.476
