Date,Time,"Rain (S-RGB 21038161:21038325-1),mm,Stanley Bridge Harbour","Average Wind Speed (S-WCF 21038161:21038468-1),Km/h,Stanley Bridge Harbour","Wind Gust Speed (S-WCF 21038161:21038468-2),Km/h,Stanley Bridge Harbour","Wind Direction (S-WCF 21038161:21038468-3),°,Stanley Bridge Harbour","Solar Radiation (S-LIB 21038161:21109516-1),W/m²,Stanley Bridge Harbour","Battery (RX3000 BATTERY 21038161:21038161-B),V,Stanley Bridge Harbour","Barometric Pressure (M-BP 21038161:20735209-1),kPa,Stanley Bridge Harbour","Water Pressure (M-WP01 21038161:21411213-1),kPa,Stanley Bridge Harbour","Diff Pressure (M-DP01 21038161:21411213-2),kPa,Stanley Bridge Harbour","Water Temperature (M-WT 21038161:21411213-3),°C,Stanley Bridge Harbour","Water Level (M-WL01 21038161:21411213-4),meters,Stanley Bridge Harbour","Accumulated Rain (C-ACC-RAIN 21038161:21038325-2),mm,Stanley Bridge Harbour,Stanley Bridge","Temperature (S-TMB 21038161:21098957-1),°C,Stanley Bridge Harbour","Average Wind Speed (S-WCF 21038161:21038468-1),Km/h,Stanley Bridge Harbour","Wind Gust Speed (S-WCF 21038161:21038468-2),Km/h,Stanley Bridge Harbour","Wind Speed (S-WCF 21038161:21038468-1),m/s,Stanley Bridge Harbour","Gust Speed (S-WCF 21038161:21038468-2),m/s,Stanley Bridge Harbour","Water Flow (M-WF-VNW 21038161:21411213-5),l/s,Stanley Bridge Harbour"
12/01/2023,00:00:00 -0400,0,,,147,1,,,,,,,,2.24,,,,,
12/01/2023,00:01:00 -0400,,,,,,4.176,,,,,,,,,,,,
12/01/2023,00:02:00 -0400,0,,,152,1,,,,,,,,2.18,,,,,
12/01/2023,00:04:00 -0400,0,,,154,1,,,,,,,,2.16,,,,,
12/01/2023,00:06:00 -0400,0,,,149,1,4.181,,,,,,,2.18,,,,,
12/01/2023,00:08:00 -0400,0,,,154,1,,,,,,,,2.21,,,,,
12/01/2023,00:10:00 -0400,0,,,157,1,,,,,,,,2.18,,,,,
12/01/2023,00:11:00 -0400,,,,,,4.163,,,,,,,,,,,,
12/01/2023,00:12:00 -0400,0,,,154,1,,,,,,,,2.24,,,,,
12/01/2023,00:14:00 -0400,0,,,160,1,,,,,,,,2.26,,,,,
12/01/2023,00:16:00 -0400,0,,,159,1,4.176,,,,,,,2.29,,,,,
12/01/2023,00:18:00 -0400,0,,,160,1,,,,,,,,2.29,,,,,
12/01/2023,00:20:00 -0400,0,,,163,1,,,,,,,,2.37,,,,,
12/01/2023,00:21:00 -0400,,,,,,4.181,,,,,,,,,,,,
12/01/2023,00:22:00 -0400,0,,,159,1,,,,,,,,2.37,,,,,
12/01/2023,00:24:00 -0400,0,,,156,1,,,,,,,,2.32,,,,,
12/01/2023,00:26:00 -0400,0,,,154,1,4.163,,,,,,,2.4,,,,,
12/01/2023,00:28:00 -0400,0,,,163,1,,,,,,,,2.53,,,,,
12/01/2023,00:30:00 -0400,0,,,154,1,,,,,,,,2.53,,,,,
12/01/2023,00:31:00 -0400,,,,,,4.175,,,,,,,,,,,,
12/01/2023,00:32:00 -0400,0,,,154,1,,,,,,,,2.56,,,,,
12/01/2023,00:34:00 -0400,0,,,163,1,,,,,,,,2.53,,,,,
12/01/2023,00:36:00 -0400,0,,,161,1,4.179,,,,,,,2.58,,,,,
12/01/2023,00:38:00 -0400,0,,,159,1,,,,,,,,2.58,,,,,
12/01/2023,00:40:00 -0400,0,,,157,1,,,,,,,,2.64,,,,,
12/01/2023,00:41:00 -0400,,,,,,4.163,,,,,,,,,,,,
12/01/2023,00:42:00 -0400,0,,,160,1,,,,,,,,2.66,,,,,
12/01/2023,00:44:00 -0400,0,,,157,1,,,,,,,,2.61,,,,,
12/01/2023,00:46:00 -0400,0,,,157,1,4.175,,,,,,,2.64,,,,,
12/01/2023,00:48:00 -0400,0,,,154,1,,,,,,,,2.64,,,,,
12/01/2023,00:50:00 -0400,0,,,157,1,,,,,,,,2.66,,,,,
12/01/2023,00:51:00 -0400,,,,,,4.179,,,,,,,,,,,,
12/01/2023,00:52:00 -0400,0,,,164,1,,,,,,,,2.72,,,,,
12/01/2023,00:54:00 -0400,0,,,160,1,,,,,,,,2.72,,,,,
12/01/2023,00:56:00 -0400,0,,,159,1,4.163,,,,,,,2.74,,,,,
12/01/2023,00:58:00 -0400,0,,,161,1,,,,,,,,2.72,,,,,
12/01/2023,01:00:00 -0400,0,,,156,1,,,,,,,,2.74,,,,,
12/01/2023,01:01:00 -0400,,,,,,4.175,,,,,,,,,,,,
12/01/2023,01:02:00 -0400,0,,,160,1,,,,,,,,2.82,,,,,
12/01/2023,01:04:00 -0400,0,,,157,1,,,,,,,,2.82,,,,,
12/01/2023,01:06:00 -0400,0,,,160,1,4.178,,,,,,,2.8,,,,,
12/01/2023,01:08:00 -0400,0,,,152,1,,,,,,,,2.82,,,,,
12/01/2023,01:10:00 -0400,0,,,157,1,,,,,,,,2.77,,,,,
12/01/2023,01:11:00 -0400,,,,,,4.163,,,,,,,,,,,,
12/01/2023,01:12:00 -0400,0,,,157,1,,,,,,,,2.8,,,,,
12/01/2023,01:14:00 -0400,0,,,159,1,,,,,,,,2.8,,,,,
12/01/2023,01:16:00 -0400,0,,,164,1,4.173,,,,,,,2.82,,,,,
12/01/2023,01:18:00 -0400,0,,,163,1,,,,,,,,2.82,,,,,
12/01/2023,01:20:00 -0400,0,,,164,1,,,,,,,,2.8,,,,,
12/01/2023,01:21:00 -0400,,,,,,4.178,,,,,,,,,,,,
12/01/2023,01:22:00 -0400,0,,,154,1,,,,,,,,2.82,,,,,
12/01/2023,01:24:00 -0400,0,,,156,1,,,,,,,,2.82,,,,,
12/01/2023,01:26:00 -0400,0,,,154,1,4.157,,,,,,,2.88,,,,,
12/01/2023,01:28:00 -0400,0,,,154,1,,,,,,,,2.82,,,,,
12/01/2023,01:30:00 -0400,0,,,154,1,,,,,,,,2.8,,,,,
12/01/2023,01:31:00 -0400,,,,,,4.173,,,,,,,,,,,,
12/01/2023,01:32:00 -0400,0,,,159,1,,,,,,,,2.82,,,,,
12/01/2023,01:34:00 -0400,0,,,164,1,,,,,,,,2.85,,,,,
12/01/2023,01:36:00 -0400,0,,,163,1,4.176,,,,,,,2.88,,,,,
12/01/2023,01:38:00 -0400,0,,,168,1,,,,,,,,2.9,,,,,
12/01/2023,01:40:00 -0400,0,,,164,1,,,,,,,,2.93,,,,,
