Date,Time,"Rain (S-RGB 21038161:21038325-1),mm,Stanley Bridge Harbour","Average Wind Speed (S-WCF 21038161:21038468-1),Km/h,Stanley Bridge Harbour","Wind Gust Speed (S-WCF 21038161:21038468-2),Km/h,Stanley Bridge Harbour","Wind Direction (S-WCF 21038161:21038468-3),°,Stanley Bridge Harbour","Temperature (S-TMB 21038161:21098954-1),°C,Stanley Bridge Harbour","Solar Radiation (S-LIB 21038161:21109516-1),W/m²,Stanley Bridge Harbour","Battery (RX3000 BATTERY 21038161:21038161-B),V,Stanley Bridge Harbour","Barometric Pressure (M-BP 21038161:20735209-1),kPa,Stanley Bridge Harbour","Water Pressure (M-WP01 21038161:21411213-1),kPa,Stanley Bridge Harbour","Diff Pressure (M-DP01 21038161:21411213-2),kPa,Stanley Bridge Harbour","Water Temperature (M-WT 21038161:21411213-3),°C,Stanley Bridge Harbour","Water Level (M-WL01 21038161:21411213-4),meters,Stanley Bridge Harbour","Accumulated Rain (C-ACC-RAIN 21038161:21038325-2),mm,Stanley Bridge Harbour,Stanley Bridge","Temperature (S-TMB 21038161:21098957-1),°C,Stanley Bridge Harbour","Average Wind Speed (S-WCF 21038161:21038468-1),Km/h,Stanley Bridge Harbour","Wind Gust Speed (S-WCF 21038161:21038468-2),Km/h,Stanley Bridge Harbour","Wind Speed (S-WCF 21038161:21038468-1),m/s,Stanley Bridge Harbour","Gust Speed (S-WCF 21038161:21038468-2),m/s,Stanley Bridge Harbour","Temperature (S-TMB 21038161:21038284-1),°C,Stanley Bridge Harbour","Water Flow (M-WF-VNW 21038161:21411213-5),l/s,Stanley Bridge Harbour"
07/25/2023,07:35:00 -0300,0,,,,,,4.308,,,,,,,,,,,,19.03,
07/25/2023,07:40:00 -0300,0,,,,,,4.313,,,,,,,,,,,,19.13,
07/25/2023,07:45:00 -0300,0,,,,,,4.314,,,,,,,,,,,,18.96,
07/25/2023,07:50:00 -0300,0,,,,,,4.302,,,,,,,,,,,,19.13,
07/25/2023,12:34:00 -0300,0,,,178,,794,4.242,,,,,,,,,,4.7,6.3,,
07/25/2023,12:36:00 -0300,0,,,187,,796,,,,,,,,,,,5.3,7.3,,
07/25/2023,12:38:00 -0300,0,,,185,,801,,,,,,,,,,,5,6.7,,
07/25/2023,12:39:00 -0300,,,,,,,4.316,,,,,,,,,,,,,
07/25/2023,12:40:00 -0300,0,,,190,,797,,,,,,,,,,,4.3,6.7,,
07/25/2023,12:42:00 -0300,0,,,180,,797,,,,,,,,,,,6.3,8.7,,
07/25/2023,12:44:00 -0300,0,,,191,,799,4.319,,,,,,,,,,5.7,8.3,,
07/25/2023,12:46:00 -0300,0,,,195,,799,,,,,,,,,,,5.3,7,,
07/25/2023,12:48:00 -0300,0,,,188,,798,,,,,,,,,,,5.7,8.7,,
07/25/2023,12:49:00 -0300,,,,,,,4.305,,,,,,,,,,,,,
07/25/2023,12:50:00 -0300,0,,,184,,803,,,,,,,,,,,4.7,6.7,,
07/25/2023,12:52:00 -0300,0,,,185,,806,,,,,,,,,,,4.7,6.7,,
07/25/2023,12:54:00 -0300,0,,,174,,809,4.314,,,,,,,,,,4.7,6.3,,
07/25/2023,12:56:00 -0300,0,,,174,,809,,,,,,,,,,,4,5.3,,
07/25/2023,12:58:00 -0300,0,,,184,,811,,,,,,,,,,,3.7,5,,
07/25/2023,12:59:00 -0300,,,,,,,4.298,,,,,,,,,,,,,
07/25/2023,13:00:00 -0300,0,,,178,,809,,,,,,,,,,,5,7.7,,
07/25/2023,13:02:00 -0300,0,,,183,,811,,,,,,,,,,,4.7,7,,
07/25/2023,13:04:00 -0300,0,,,198,,812,4.296,,,,,,,,,,4,6.7,,
07/25/2023,13:06:00 -0300,0,,,185,,812,,,,,,,,,,,4.7,6.7,,
07/25/2023,13:08:00 -0300,0,,,204,,814,,,,,,,,,,,4.3,6.7,,
07/25/2023,13:09:00 -0300,,,,,,,4.304,,,,,,,,,,,,,
07/25/2023,13:10:00 -0300,0,,,197,,814,,,,,,,,,,,5.7,9.4,,
07/25/2023,13:12:00 -0300,0,,,190,,809,,,,,,,,,,,5.3,7.3,,
07/25/2023,13:14:00 -0300,0,,,198,,813,4.311,,,,,,,,,,5.3,8,,
07/25/2023,13:16:00 -0300,0,,,192,,809,,,,,,,,,,,4.7,6.7,,
07/25/2023,13:18:00 -0300,0,,,197,,817,,,,,,,,,,,5,8.3,,
07/25/2023,13:19:00 -0300,,,,,,,4.329,,,,,,,,,,,,,
07/25/2023,13:20:00 -0300,0,,,197,,814,,,,,,,,,,,4,7,,
07/25/2023,13:22:00 -0300,0,,,187,,814,,,,,,,,,,,5,7.3,,
07/25/2023,13:24:00 -0300,0,,,183,,814,4.32,,,,,,,,,,5.3,7.7,,
07/25/2023,13:26:00 -0300,0,,,187,,813,,,,,,,,,,,5.3,7.3,,
07/25/2023,13:28:00 -0300,0,,,183,,814,,,,,,,,,,,6,8.7,,
07/25/2023,13:29:00 -0300,,,,,,,4.331,,,,,,,,,,,,,
07/25/2023,13:30:00 -0300,0,,,192,,812,,,,,,,,,,,6.7,9,,
07/25/2023,13:32:00 -0300,0,,,201,,811,,,,,,,,,,,6,9,,
07/25/2023,13:34:00 -0300,0,,,197,,807,4.314,,,,,,,,,,5.7,8.7,,
07/25/2023,13:36:00 -0300,0,,,202,,811,,,,,,,,,,,6,8.7,,
07/25/2023,13:38:00 -0300,0,,,192,,809,,,,,,,,,,,3.7,5.7,,
07/25/2023,13:39:00 -0300,,,,,,,4.301,,,,,,,,,,,,,
07/25/2023,13:40:00 -0300,0,,,177,,809,,,,,,,,,,,6,8.3,,
07/25/2023,13:42:00 -0300,0,,,188,,806,,,,,,,,,,,5.3,8.3,,
07/25/2023,13:44:00 -0300,0,,,195,,806,4.314,,,,,,,,,,4,7,,
07/25/2023,13:46:00 -0300,0,,,195,,804,,,,,,,,,,,5.3,8.3,,
07/25/2023,13:48:00 -0300,0,,,190,,803,,,,,,,,,,,5.3,8.7,,
07/25/2023,13:49:00 -0300,,,,,,,4.317,,,,,,,,,,,,,
07/25/2023,13:50:00 -0300,0,,,183,,801,,,,,,,,,,,4.3,7.3,,
07/25/2023,13:52:00 -0300,0,,,170,,799,,,,,,,,,,,4.3,6,,
07/25/2023,13:54:00 -0300,0,,,184,,801,4.308,,,,,,,,,,4,5.7,,
07/25/2023,13:56:00 -0300,0,,,185,,797,,,,,,,,,,,4.7,6.7,,
07/25/2023,13:58:00 -0300,0,,,178,,796,,,,,,,,,,,5,8.3,,
07/25/2023,13:59:00 -0300,,,,,,,4.34,,,,,,,,,,,,,
