Date,Time,"Rain (S-RGB 21038161:21038325-1),mm,Stanley Bridge Harbour","Average Wind Speed (S-WCF 21038161:21038468-1),Km/h,Stanley Bridge Harbour","Wind Gust Speed (S-WCF 21038161:21038468-2),Km/h,Stanley Bridge Harbour","Wind Direction (S-WCF 21038161:21038468-3),°,Stanley Bridge Harbour","Solar Radiation (S-LIB 21038161:21109516-1),W/m²,Stanley Bridge Harbour","Battery (RX3000 BATTERY 21038161:21038161-B),V,Stanley Bridge Harbour","Barometric Pressure (M-BP 21038161:20735209-1),kPa,Stanley Bridge Harbour","Water Pressure (M-WP01 21038161:21411213-1),kPa,Stanley Bridge Harbour","Diff Pressure (M-DP01 21038161:21411213-2),kPa,Stanley Bridge Harbour","Water Temperature (M-WT 21038161:21411213-3),°C,Stanley Bridge Harbour","Water Level (M-WL01 21038161:21411213-4),meters,Stanley Bridge Harbour","Accumulated Rain (C-ACC-RAIN 21038161:21038325-2),mm,Stanley Bridge Harbour,Stanley Bridge","Temperature (S-TMB 21038161:21098957-1),°C,Stanley Bridge Harbour","Average Wind Speed (S-WCF 21038161:21038468-1),Km/h,Stanley Bridge Harbour","Wind Gust Speed (S-WCF 21038161:21038468-2),Km/h,Stanley Bridge Harbour","Wind Speed (S-WCF 21038161:21038468-1),m/s,Stanley Bridge Harbour","Gust Speed (S-WCF 21038161:21038468-2),m/s,Stanley Bridge Harbour","Water Flow (M-WF-VNW 21038161:21411213-5),l/s,Stanley Bridge Harbour"
11/01/2023,00:00:00 -0300,0,,,218,1,,,,,,,,1.51,,,,,
11/01/2023,00:01:00 -0300,,,,,,4.199,,,,,,,,,,,,
11/01/2023,00:02:00 -0300,0,,,220,1,,,,,,,,1.56,,,,,
11/01/2023,00:04:00 -0300,0,,,218,1,,,,,,,,1.51,,,,,
11/01/2023,00:06:00 -0300,0,,,209,1,4.205,,,,,,,1.48,,,,,
11/01/2023,00:08:00 -0300,0,,,209,1,,,,,,,,1.43,,,,,
11/01/2023,00:10:00 -0300,0,,,211,1,,,,,,,,1.43,,,,,
11/01/2023,00:11:00 -0300,,,,,,4.184,,,,,,,,,,,,
11/01/2023,00:12:00 -0300,0,,,218,1,,,,,,,,1.43,,,,,
11/01/2023,00:14:00 -0300,0,,,213,1,,,,,,,,1.4,,,,,
11/01/2023,00:16:00 -0300,0,,,218,1,4.197,,,,,,,1.48,,,,,
11/01/2023,00:18:00 -0300,0,,,219,1,,,,,,,,1.37,,,,,
11/01/2023,00:20:00 -0300,0,,,216,1,,,,,,,,1.34,,,,,
11/01/2023,00:21:00 -0300,,,,,,4.203,,,,,,,,,,,,
11/01/2023,00:22:00 -0300,0,,,211,1,,,,,,,,1.32,,,,,
11/01/2023,00:24:00 -0300,0,,,215,1,,,,,,,,1.29,,,,,
11/01/2023,00:26:00 -0300,0,,,212,1,4.184,,,,,,,1.29,,,,,
11/01/2023,00:28:00 -0300,0,,,205,1,,,,,,,,1.34,,,,,
11/01/2023,00:30:00 -0300,0,,,212,1,,,,,,,,1.43,,,,,
11/01/2023,00:31:00 -0300,,,,,,4.197,,,,,,,,,,,,
11/01/2023,00:32:00 -0300,0,,,206,1,,,,,,,,1.67,,,,,
11/01/2023,00:34:00 -0300,0,,,206,1,,,,,,,,1.62,,,,,
11/01/2023,00:36:00 -0300,0,,,212,1,4.202,,,,,,,1.7,,,,,
11/01/2023,00:38:00 -0300,0,,,211,1,,,,,,,,1.53,,,,,
11/01/2023,00:40:00 -0300,0,,,199,1,,,,,,,,1.53,,,,,
11/01/2023,00:41:00 -0300,,,,,,4.181,,,,,,,,,,,,
11/01/2023,00:42:00 -0300,0,,,195,1,,,,,,,,1.62,,,,,
11/01/2023,00:44:00 -0300,0,,,199,1,,,,,,,,1.62,,,,,
11/01/2023,00:46:00 -0300,0,,,197,1,4.197,,,,,,,1.62,,,,,
11/01/2023,00:48:00 -0300,0,,,199,1,,,,,,,,1.59,,,,,
11/01/2023,00:50:00 -0300,0,,,197,1,,,,,,,,1.59,,,,,
11/01/2023,00:51:00 -0300,,,,,,4.202,,,,,,,,,,,,
11/01/2023,00:52:00 -0300,0,,,202,1,,,,,,,,1.64,,,,,
11/01/2023,00:54:00 -0300,0,,,195,1,,,,,,,,1.62,,,,,
11/01/2023,00:56:00 -0300,0,,,188,1,4.181,,,,,,,1.51,,,,,
11/01/2023,00:58:00 -0300,0,,,178,1,,,,,,,,1.43,,,,,
11/01/2023,01:00:00 -0300,0,,,174,1,,,,,,,,1.32,,,,,
11/01/2023,01:01:00 -0300,,,,,,4.196,,,,,,,,,,,,
11/01/2023,01:02:00 -0300,0,,,183,1,,,,,,,,1.32,,,,,
11/01/2023,01:04:00 -0300,0,,,188,1,,,,,,,,1.43,,,,,
11/01/2023,01:06:00 -0300,0,,,192,1,4.2,,,,,,,1.45,,,,,
11/01/2023,01:08:00 -0300,0,,,187,1,,,,,,,,1.48,,,,,
11/01/2023,01:10:00 -0300,0,,,173,1,,,,,,,,1.4,,,,,
11/01/2023,01:11:00 -0300,,,,,,4.182,,,,,,,,,,,,
11/01/2023,01:12:00 -0300,0,,,174,1,,,,,,,,1.34,,,,,
11/01/2023,01:14:00 -0300,0,,,181,1,,,,,,,,1.43,,,,,
11/01/2023,01:16:00 -0300,0,,,184,1,4.196,,,,,,,1.51,,,,,
11/01/2023,01:18:00 -0300,0,,,181,1,,,,,,,,1.48,,,,,
11/01/2023,01:20:00 -0300,0,,,191,1,,,,,,,,1.53,,,,,
11/01/2023,01:21:00 -0300,,,,,,4.199,,,,,,,,,,,,
11/01/2023,01:22:00 -0300,0,,,188,1,,,,,,,,1.45,,,,,
11/01/2023,01:24:00 -0300,0,,,194,1,,,,,,,,1.51,,,,,
11/01/2023,01:26:00 -0300,0,,,197,1,4.175,,,,,,,1.64,,,,,
11/01/2023,01:28:00 -0300,0,,,191,1,,,,,,,,1.59,,,,,
11/01/2023,01:30:00 -0300,0,,,197,1,,,,,,,,1.59,,,,,
11/01/2023,01:31:00 -0300,,,,,,4.194,,,,,,,,,,,,
11/01/2023,01:32:00 -0300,0,,,199,1,,,,,,,,1.56,,,,,
11/01/2023,01:34:00 -0300,0,,,195,1,,,,,,,,1.56,,,,,
11/01/2023,01:36:00 -0300,0,,,192,1,4.199,,,,,,,1.53,,,,,
11/01/2023,01:38:00 -0300,0,,,185,1,,,,,,,,1.51,,,,,
11/01/2023,01:40:00 -0300,0,,,187,1,,,,,,,,1.56,,,,,
11/01/2023,01:41:00 -0300,,,,,,4.178,,,,,,,,,,,,
11/01/2023,01:42:00 -0300,0,,,187,1,,,,,,,,1.56,,,,,
11/01/2023,01:44:00 -0300,0,,,192,1,,,,,,,,1.67,,,,,
11/01/2023,01:46:00 -0300,0,,,197,1,4.194,,,,,,,1.75,,,,,
11/01/2023,01:48:00 -0300,0,,,194,1,,,,,,,,1.8,,,,,
11/01/2023,01:50:00 -0300,0,,,199,1,,,,,,,,1.89,,,,,
11/01/2023,01:51:00 -0300,,,,,,4.199,,,,,,,,,,,,
11/01/2023,01:52:00 -0300,0,,,208,1,,,,,,,,1.94,,,,,
11/01/2023,01:54:00 -0300,0,,,219,1,,,,,,,,2.07,,,,,
11/01/2023,01:56:00 -0300,0,,,211,1,4.175,,,,,,,2.18,,,,,
11/01/2023,01:58:00 -0300,0,,,211,1,,,,,,,,2.24,,,,,
11/01/2023,02:00:00 -0300,0,,,222,1,,,,,,,,2.29,,,,,
11/01/2023,02:01:00 -0300,,,,,,4.191,,,,,,,,,,,,
11/01/2023,02:02:00 -0300,0,,,225,1,,,,,,,,2.24,,,,,
11/01/2023,02:04:00 -0300,0,,,229,1,,,,,,,,2.34,,,,,
11/01/2023,02:06:00 -0300,0,,,216,1,4.197,,,,,,,2.24,,,,,
11/01/2023,02:08:00 -0300,0,,,212,1,,,,,,,,2.24,,,,,
11/01/2023,02:10:00 -0300,0,,,208,1,,,,,,,,2.24,,,,,
11/01/2023,02:11:00 -0300,,,,,,4.176,,,,,,,,,,,,
11/01/2023,02:12:00 -0300,0,,,206,1,,,,,,,,2.18,,,,,
11/01/2023,02:14:00 -0300,0,,,205,1,,,,,,,,2.13,,,,,
11/01/2023,02:16:00 -0300,0,,,201,1,4.193,,,,,,,2.16,,,,,
11/01/2023,02:18:00 -0300,0,,,198,1,,,,,,,,2.13,,,,,
11/01/2023,02:20:00 -0300,0,,,199,1,,,,,,,,2.1,,,,,
11/01/2023,02:21:00 -0300,,,,,,4.196,,,,,,,,,,,,
11/01/2023,02:22:00 -0300,0,,,190,1,,,,,,,,2.1,,,,,
11/01/2023,02:24:00 -0300,0,,,183,1,,,,,,,,1.97,,,,,
11/01/2023,02:26:00 -0300,0,,,173,1,4.175,,,,,,,1.83,,,,,
11/01/2023,02:28:00 -0300,0,,,173,1,,,,,,,,1.75,,,,,
11/01/2023,02:30:00 -0300,0,,,174,1,,,,,,,,1.7,,,,,
11/01/2023,02:31:00 -0300,,,,,,4.191,,,,,,,,,,,,
11/01/2023,02:32:00 -0300,0,,,171,1,,,,,,,,1.67,,,,,
11/01/2023,02:34:00 -0300,0,,,177,1,,,,,,,,1.7,,,,,
11/01/2023,02:36:00 -0300,0,,,185,1,4.196,,,,,,,1.75,,,,,
11/01/2023,02:38:00 -0300,0,,,199,1,,,,,,,,1.86,,,,,
11/01/2023,02:40:00 -0300,0,,,199,1,,,,,,,,1.75,,,,,
11/01/2023,02:41:00 -0300,,,,,,4.178,,,,,,,,,,,,
11/01/2023,02:42:00 -0300,0,,,197,1,,,,,,,,1.67,,,,,
11/01/2023,02:44:00 -0300,0,,,191,1,,,,,,,,1.62,,,,,
11/01/2023,02:46:00 -0300,0,,,184,1,4.191,,,,,,,1.59,,,,,
11/01/2023,02:48:00 -0300,0,,,181,1,,,,,,,,1.64,,,,,
11/01/2023,02:50:00 -0300,0,,,180,1,,,,,,,,1.67,,,,,
11/01/2023,02:51:00 -0300,,,,,,4.196,,,,,,,,,,,,
11/01/2023,02:52:00 -0300,0,,,191,1,,,,,,,,1.7,,,,,
11/01/2023,02:54:00 -0300,0,,,194,1,,,,,,,,1.75,,,,,
11/01/2023,02:56:00 -0300,0,,,211,1,4.178,,,,,,,1.83,,,,,
11/01/2023,02:58:00 -0300,0,,,202,1,,,,,,,,1.97,,,,,
11/01/2023,03:00:00 -0300,0,,,225,1,,,,,,,,1.89,,,,,
11/01/2023,03:01:00 -0300,,,,,,4.191,,,,,,,,,,,,
11/01/2023,03:02:00 -0300,0,,,222,1,,,,,,,,1.91,,,,,
11/01/2023,03:04:00 -0300,0,,,220,1,,,,,,,,2.02,,,,,
11/01/2023,03:06:00 -0300,0,,,213,1,4.197,,,,,,,1.97,,,,,
11/01/2023,03:08:00 -0300,0,,,211,1,,,,,,,,2.02,,,,,
11/01/2023,03:10:00 -0300,0,,,220,1,,,,,,,,2.16,,,,,
11/01/2023,03:11:00 -0300,,,,,,4.172,,,,,,,,,,,,
11/01/2023,03:12:00 -0300,0,,,208,1,,,,,,,,2.13,,,,,
11/01/2023,03:14:00 -0300,0,,,222,1,,,,,,,,2.24,,,,,
11/01/2023,03:16:00 -0300,0,,,194,1,4.191,,,,,,,2.07,,,,,
11/01/2023,03:18:00 -0300,0,,,205,1,,,,,,,,2.05,,,,,
11/01/2023,03:20:00 -0300,0,,,187,1,,,,,,,,1.83,,,,,
11/01/2023,03:21:00 -0300,,,,,,4.194,,,,,,,,,,,,
11/01/2023,03:22:00 -0300,0,,,194,1,,,,,,,,1.67,,,,,
11/01/2023,03:24:00 -0300,0,,,195,1,,,,,,,,1.7,,,,,
11/01/2023,03:26:00 -0300,0,,,212,1,4.175,,,,,,,1.72,,,,,
11/01/2023,03:28:00 -0300,0,,,211,1,,,,,,,,1.67,,,,,
11/01/2023,03:30:00 -0300,0,,,211,1,,,,,,,,1.59,,,,,
11/01/2023,03:31:00 -0300,,,,,,4.191,,,,,,,,,,,,
11/01/2023,03:32:00 -0300,0,,,197,1,,,,,,,,1.51,,,,,
11/01/2023,03:34:00 -0300,0,,,197,1,,,,,,,,1.53,,,,,
11/01/2023,03:36:00 -0300,0,,,192,1,4.197,,,,,,,1.48,,,,,
11/01/2023,03:38:00 -0300,0,,,197,1,,,,,,,,1.45,,,,,
11/01/2023,03:40:00 -0300,0,,,188,1,,,,,,,,1.34,,,,,
11/01/2023,03:41:00 -0300,,,,,,4.176,,,,,,,,,,,,
11/01/2023,03:42:00 -0300,0,,,183,1,,,,,,,,1.23,,,,,
11/01/2023,03:44:00 -0300,0,,,187,1,,,,,,,,1.13,,,,,
11/01/2023,03:46:00 -0300,0,,,181,1,4.191,,,,,,,1.04,,,,,
11/01/2023,03:48:00 -0300,0,,,173,1,,,,,,,,0.88,,,,,
11/01/2023,03:50:00 -0300,0,,,183,1,,,,,,,,0.99,,,,,
11/01/2023,03:51:00 -0300,,,,,,4.196,,,,,,,,,,,,
11/01/2023,03:52:00 -0300,0,,,197,1,,,,,,,,1.1,,,,,
11/01/2023,03:54:00 -0300,0,,,188,1,,,,,,,,1.13,,,,,
11/01/2023,03:56:00 -0300,0,,,194,1,4.173,,,,,,,1.15,,,,,
11/01/2023,03:58:00 -0300,0,,,199,1,,,,,,,,1.15,,,,,
11/01/2023,04:00:00 -0300,0,,,198,1,,,,,,,,1.15,,,,,
11/01/2023,04:01:00 -0300,,,,,,4.193,,,,,,,,,,,,
11/01/2023,04:02:00 -0300,0,,,202,1,,,,,,,,1.15,,,,,
11/01/2023,04:04:00 -0300,0,,,213,1,,,,,,,,1.21,,,,,
11/01/2023,04:06:00 -0300,0,,,209,1,4.196,,,,,,,1.21,,,,,
11/01/2023,04:08:00 -0300,0,,,206,1,,,,,,,,1.18,,,,,
11/01/2023,04:10:00 -0300,0,,,209,1,,,,,,,,1.21,,,,,
11/01/2023,04:11:00 -0300,,,,,,4.173,,,,,,,,,,,,
11/01/2023,04:12:00 -0300,0,,,215,1,,,,,,,,1.26,,,,,
11/01/2023,04:14:00 -0300,0,,,206,1,,,,,,,,1.29,,,,,
11/01/2023,04:16:00 -0300,0,,,205,1,4.19,,,,,,,1.32,,,,,
11/01/2023,04:18:00 -0300,0,,,206,1,,,,,,,,1.26,,,,,
11/01/2023,04:20:00 -0300,0,,,204,1,,,,,,,,1.29,,,,,
11/01/2023,04:21:00 -0300,,,,,,4.194,,,,,,,,,,,,
11/01/2023,04:22:00 -0300,0,,,216,1,,,,,,,,1.34,,,,,
11/01/2023,04:24:00 -0300,0,,,220,1,,,,,,,,1.45,,,,,
11/01/2023,04:26:00 -0300,0,,,220,1,4.176,,,,,,,1.48,,,,,
