Date,Time,"Battery (RX3000 BATTERY 21038161:21038161-B),V,Stanley Bridge Harbour","Barometric Pressure (M-BP 21038161:20735209-1),kPa,Stanley Bridge Harbour","Rain (S-RGB 21038161:21038325-1),mm,Stanley Bridge Harbour","Wind Direction (S-WCF 21038161:21038468-3),°,Stanley Bridge Harbour","Solar Radiation (S-LIB 21038161:21109516-1),W/m²,Stanley Bridge Harbour","Water Pressure (M-WP01 21038161:21411213-1),kPa,Stanley Bridge Harbour","Diff Pressure (M-DP01 21038161:21411213-2),kPa,Stanley Bridge Harbour","Water Temperature (M-WT 21038161:21411213-3),°C,Stanley Bridge Harbour","Water Level (M-WL01 21038161:21411213-4),meters,Stanley Bridge Harbour","Accumulated Rain (C-ACC-RAIN 21038161:21038325-2),mm,Stanley Bridge Harbour,Stanley Bridge","Temperature (S-TMB 21038161:21098957-1),°C,Stanley Bridge Harbour","Average Wind Speed (S-WCF 21038161:21038468-1),Km/h,Stanley Bridge Harbour","Wind Gust Speed (S-WCF 21038161:21038468-2),Km/h,Stanley Bridge Harbour"
1/1/2024,00:00:00 -0400,,,0,268,1,,,,,,-1.76,14,19
1/1/2024,00:01:00 -0400,4.173,,,,,,,,,,,,
1/1/2024,00:02:00 -0400,,,0,260,1,,,,,,-1.78,13,20
1/1/2024,00:04:00 -0400,,,0,257,1,,,,,,-1.76,16,20
1/1/2024,00:06:00 -0400,4.178,,0,268,1,,,,,,-1.7,16,20
1/1/2024,00:08:00 -0400,,,0,264,1,,,,,,-1.76,11,17
1/1/2024,00:10:00 -0400,,,0,261,1,,,,,,-1.81,13,18
1/1/2024,00:11:00 -0400,4.157,,,,,,,,,,,,
1/1/2024,00:12:00 -0400,,,0,268,1,,,,,,-1.84,16,24
1/1/2024,00:14:00 -0400,,,0,268,1,,,,,,-1.84,11,18
1/1/2024,00:16:00 -0400,4.172,,0,260,1,,,,,,-1.81,13,18
1/1/2024,00:18:00 -0400,,,0,258,1,,,,,,-1.84,13,17
1/1/2024,00:20:00 -0400,,,0,267,1,,,,,,-1.87,13,18
1/1/2024,00:21:00 -0400,4.176,,,,,,,,,,,,
1/1/2024,00:22:00 -0400,,,0,264,1,,,,,,-1.84,12,18
1/1/2024,00:24:00 -0400,,,0,270,1,,,,,,-1.87,13,19
1/1/2024,00:26:00 -0400,4.158,,0,270,1,,,,,,-1.93,12,18
1/1/2024,00:28:00 -0400,,,0,267,1,,,,,,-1.93,16,20
1/1/2024,00:30:00 -0400,,,0,272,1,,,,,,-1.81,12,14
1/1/2024,00:31:00 -0400,4.17,,,,,,,,,,,,
1/1/2024,00:32:00 -0400,,,0,271,1,,,,,,-1.99,12,18
1/1/2024,00:34:00 -0400,,,0,268,1,,,,,,-1.99,12,18
1/1/2024,00:36:00 -0400,4.175,,0,264,1,,,,,,-1.99,12,19
1/1/2024,00:38:00 -0400,,,0,281,1,,,,,,-2.04,13,17
1/1/2024,00:40:00 -0400,,,0,271,1,,,,,,-1.87,11,14
1/1/2024,00:41:00 -0400,4.16,,,,,,,,,,,,
