Date,Time,"Battery (RX3000 BATTERY 21038161:21038161-B),V,Stanley Bridge Harbour","Barometric Pressure (M-BP 21038161:20735209-1),kPa,Stanley Bridge Harbour","Rain (S-RGB 21038161:21038325-1),mm,Stanley Bridge Harbour","Wind Direction (S-WCF 21038161:21038468-3),°,Stanley Bridge Harbour","Solar Radiation (S-LIB 21038161:21109516-1),W/m²,Stanley Bridge Harbour","Water Pressure (M-WP01 21038161:21411213-1),kPa,Stanley Bridge Harbour","Diff Pressure (M-DP01 21038161:21411213-2),kPa,Stanley Bridge Harbour","Water Temperature (M-WT 21038161:21411213-3),°C,Stanley Bridge Harbour","Water Level (M-WL01 21038161:21411213-4),meters,Stanley Bridge Harbour","Accumulated Rain (C-ACC-RAIN 21038161:21038325-2),mm,Stanley Bridge Harbour,Stanley Bridge","Temperature (S-TMB 21038161:21098957-1),°C,Stanley Bridge Harbour","Average Wind Speed (S-WCF 21038161:21038468-1),Km/h,Stanley Bridge Harbour","Wind Gust Speed (S-WCF 21038161:21038468-2),Km/h,Stanley Bridge Harbour"
11/1/2024,00:00:00 -0300,,,0,171,1,,,,,,14.22,14,20
11/1/2024,00:02:00 -0300,4.215,100.904,0,171,1,104.837,3.933,9.68,0.47,,14.27,16,20
11/1/2024,00:04:00 -0300,,,0,170,1,,,,,,14.19,14,19
11/1/2024,00:06:00 -0300,,,0,173,1,,,,,,14.03,12,18
11/1/2024,00:07:00 -0300,4.22,100.893,,,,104.87,3.977,9.68,0.4744,,,,
11/1/2024,00:08:00 -0300,,,0,171,1,,,,,,13.98,13,17
11/1/2024,00:10:00 -0300,,,0,174,1,,,,,,13.98,14,18
11/1/2024,00:12:00 -0300,4.197,100.884,0,171,1,104.776,3.892,9.68,0.4659,,13.98,13,18
11/1/2024,00:14:00 -0300,,,0,174,1,,,,,,13.93,12,17
11/1/2024,00:16:00 -0300,,,0,170,1,,,,,,14.03,13,19
11/1/2024,00:17:00 -0300,4.214,100.88,,,,104.681,3.801,9.68,0.4569,,,,
11/1/2024,00:18:00 -0300,,,0,174,1,,,,,,13.88,12,19
11/1/2024,00:20:00 -0300,,,0,178,1,,,,,,13.91,13,17
11/1/2024,00:22:00 -0300,4.218,100.884,0,178,1,104.639,3.755,9.68,0.4523,,13.86,12,18
11/1/2024,00:24:00 -0300,,,0,180,1,,,,,,13.88,12,19
11/1/2024,00:26:00 -0300,,,0,178,1,,,,,,13.93,13,20
11/1/2024,00:27:00 -0300,4.196,100.888,,,,104.611,3.723,9.68,0.4491,,,,
11/1/2024,00:28:00 -0300,,,0,174,1,,,,,,13.86,12,18
11/1/2024,00:30:00 -0300,,,0,174,1,,,,,,13.86,12,17
11/1/2024,00:32:00 -0300,4.214,100.885,0,170,1,104.526,3.641,9.68,0.4409,,14,13,18
11/1/2024,00:34:00 -0300,,,0,173,1,,,,,,14.05,14,22
11/1/2024,00:36:00 -0300,,,0,173,1,,,,,,14.07,14,18
11/1/2024,00:37:00 -0300,4.217,100.889,,,,104.455,3.566,9.68,0.4335,,,,
11/1/2024,00:38:00 -0300,,,0,175,1,,,,,,14.05,13,18
11/1/2024,00:40:00 -0300,,,0,174,1,,,,,,13.98,11,16
11/1/2024,00:42:00 -0300,4.196,100.894,0,171,1,104.417,3.523,9.68,0.4293,,13.93,12,17
11/1/2024,00:44:00 -0300,,,0,170,1,,,,,,14.03,13,18
11/1/2024,00:46:00 -0300,,,0,177,1,,,,,,13.86,12,18
11/1/2024,00:47:00 -0300,4.212,100.887,,,,104.323,3.436,9.68,0.4206,,,,
