Date,Time,"Gust Speed (S-WCF 21038195:21038470-2),m/s,Tracadie Wharf","Solar Radiation (S-LIB 21038195:21025504-1),W/m²,Tracadie Wharf","Rain (S-RGB 21038195:21038368-1),mm,Tracadie Wharf","Temperature (S-TMB 21038195:21098956-1),°C,Tracadie Wharf","Battery (RX3000 BATTERY 21038195:21038195-B),V,Tracadie Wharf","Wind Direction (S-WCF 21038195:21038454-3),°,Tracadie Wharf","Barometric Pressure (M-BP 21038195:21548412-1),kPa,Tracadie Wharf","Water Pressure (M-WP04 21038195:21558158-1),kPa,Tracadie Wharf","Diff Pressure (M-DP04 21038195:21558158-2),kPa,Tracadie Wharf","Water Temperature (M-WT 21038195:21558158-3),°C,Tracadie Wharf","Water Level (M-WL04 21038195:21558158-4),meters,Tracadie Wharf","Average wind speed (S-WCF 21038195:21038454-1),Km/h,Tracadie Wharf","Wind gust  speed (S-WCF 21038195:21038454-2),Km/h,Tracadie Wharf","Average Wind Speed (S-WCF 21038195:21038470-1),Km/h,Tracadie Wharf","Wind Gust Speed (S-WCF 21038195:21038470-2),Km/h,Tracadie Wharf","Wind Direction (S-WCF 21038195:21038470-3),°,Tracadie Wharf","Rain (S-RGB 21038195:20698368-1),mm,Tracadie Wharf","Temperature (S-TMB 21038195:21038284-1),°C,Tracadie Wharf","Wind Speed (S-WCF 21038195:21038470-1),m/s,Tracadie Wharf"
12/01/2023,00:00:00 -0400,,1,0,3.14,,161,,,,,,17,22,,,,,,
12/01/2023,00:02:00 -0400,,1,0,3.12,4.26,159,101.962,110.458,8.496,1.01,-0.06956,17,20,,,,,,
12/01/2023,00:04:00 -0400,,1,0,3.09,,161,,,,,,17,22,,,,,,
12/01/2023,00:06:00 -0400,,1,0,3.09,,159,,,,,,14,20,,,,,,
12/01/2023,00:07:00 -0400,,,,,4.268,,101.956,110.25,8.294,1.01,-0.08964,,,,,,,,
12/01/2023,00:08:00 -0400,,1,0,3.09,,160,,,,,,17,25,,,,,,
12/01/2023,00:10:00 -0400,,1,0,3.09,,166,,,,,,16,22,,,,,,
12/01/2023,00:12:00 -0400,,1,0,3.12,4.25,159,101.961,110.06,8.099,1.01,-0.10905,17,22,,,,,,
12/01/2023,00:14:00 -0400,,1,0,3.14,,159,,,,,,17,20,,,,,,
12/01/2023,00:16:00 -0400,,1,0,3.12,,159,,,,,,17,22,,,,,,
12/01/2023,00:17:00 -0400,,,,,4.254,,101.957,109.972,8.015,1.01,-0.11745,,,,,,,,
12/01/2023,00:18:00 -0400,,1,0,3.09,,160,,,,,,14,19,,,,,,
12/01/2023,00:20:00 -0400,,1,0,3.06,,159,,,,,,13,18,,,,,,
12/01/2023,00:22:00 -0400,,1,0,3.09,4.26,159,101.937,109.773,7.836,1.01,-0.13525,17,24,,,,,,
12/01/2023,00:24:00 -0400,,1,0,3.06,,164,,,,,,14,23,,,,,,
12/01/2023,00:26:00 -0400,,1,0,3.06,,157,,,,,,14,19,,,,,,
12/01/2023,00:27:00 -0400,,,,,4.247,,101.951,109.578,7.627,1.01,-0.15599,,,,,,,,
12/01/2023,00:28:00 -0400,,1,0,3.06,,160,,,,,,16,23,,,,,,
12/01/2023,00:30:00 -0400,,1,0,3.06,,161,,,,,,16,23,,,,,,
12/01/2023,00:32:00 -0400,,1,0,3.06,4.254,164,101.944,109.393,7.449,1.01,-0.17376,16,23,,,,,,
12/01/2023,00:34:00 -0400,,1,0,3.06,,161,,,,,,14,19,,,,,,
