Date,Time,"Gust Speed (S-WCF 21038195:21038470-2),m/s,Tracadie Wharf","Solar Radiation (S-LIB 21038195:21025504-1),W/m²,Tracadie Wharf","Rain (S-RGB 21038195:21038368-1),mm,Tracadie Wharf","Temperature (S-TMB 21038195:21098956-1),°C,Tracadie Wharf","Battery (RX3000 BATTERY 21038195:21038195-B),V,Tracadie Wharf","Wind Direction (S-WCF 21038195:21038454-3),°,Tracadie Wharf","Barometric Pressure (M-BP 21038195:21548412-1),kPa,Tracadie Wharf","Water Pressure (M-WP04 21038195:21558158-1),kPa,Tracadie Wharf","Diff Pressure (M-DP04 21038195:21558158-2),kPa,Tracadie Wharf","Water Temperature (M-WT 21038195:21558158-3),°C,Tracadie Wharf","Water Level (M-WL04 21038195:21558158-4),meters,Tracadie Wharf","Average wind speed (S-WCF 21038195:21038454-1),Km/h,Tracadie Wharf","Wind gust  speed (S-WCF 21038195:21038454-2),Km/h,Tracadie Wharf","Average Wind Speed (S-WCF 21038195:21038470-1),Km/h,Tracadie Wharf","Wind Gust Speed (S-WCF 21038195:21038470-2),Km/h,Tracadie Wharf","Wind Direction (S-WCF 21038195:21038470-3),°,Tracadie Wharf","Rain (S-RGB 21038195:20698368-1),mm,Tracadie Wharf","Temperature (S-TMB 21038195:21038284-1),°C,Tracadie Wharf","Wind Speed (S-WCF 21038195:21038470-1),m/s,Tracadie Wharf"
11/01/2023,00:00:00 -0300,,1,0,1.23,,213,,,,,,12,14,,,,,,
11/01/2023,00:02:00 -0300,,1,0,1.32,4.295,212,101.879,112.05,10.171,9.29,0.84565,12,13,,,,,,
11/01/2023,00:04:00 -0300,,1,0,1.26,,213,,,,,,12,14,,,,,,
11/01/2023,00:06:00 -0300,,1,0,1.29,,209,,,,,,12,16,,,,,,
11/01/2023,00:07:00 -0300,,,,,4.286,,101.873,111.92,10.047,9.19,0.8333,,,,,,,,
11/01/2023,00:08:00 -0300,,1,0,1.15,,209,,,,,,12,16,,,,,,
11/01/2023,00:10:00 -0300,,1,0,1.1,,206,,,,,,12,14,,,,,,
11/01/2023,00:12:00 -0300,,1,0,1.26,4.284,204,101.867,111.765,9.898,9.19,0.81847,11,14,,,,,,
11/01/2023,00:14:00 -0300,,1,0,1.23,,212,,,,,,11,13,,,,,,
11/01/2023,00:16:00 -0300,,1,0,1.15,,216,,,,,,12,14,,,,,,
11/01/2023,00:17:00 -0300,,,,,4.29,,101.871,111.698,9.827,9.19,0.81146,,,,,,,,
11/01/2023,00:18:00 -0300,,1,0,1.21,,218,,,,,,12,16,,,,,,
11/01/2023,00:20:00 -0300,,1,0,1.26,,216,,,,,,12,14,,,,,,
11/01/2023,00:22:00 -0300,,1,0,1.26,4.289,220,101.871,111.517,9.646,9.19,0.79339,13,16,,,,,,
11/01/2023,00:24:00 -0300,,1,0,1.34,,218,,,,,,13,17,,,,,,
11/01/2023,00:26:00 -0300,,1,0,1.32,,213,,,,,,13,18,,,,,,
11/01/2023,00:27:00 -0300,,,,,4.281,,101.87,111.317,9.447,9.19,0.77365,,,,,,,,
11/01/2023,00:28:00 -0300,,1,0,1.32,,218,,,,,,13,17,,,,,,
11/01/2023,00:30:00 -0300,,1,0,1.26,,216,,,,,,13,16,,,,,,
