Date,Time,"Solar Radiation (S-LIB 21038195:21025504-1),W/m²,Tracadie Wharf","Rain (S-RGB 21038195:21038368-1),mm,Tracadie Wharf","Wind Direction (S-WCF 21038195:21038454-3),°,Tracadie Wharf","Temperature (S-TMB 21038195:21098956-1),°C,Tracadie Wharf","Battery (RX3000 BATTERY 21038195:21038195-B),V,Tracadie Wharf","Barometric Pressure (M-BP 21038195:21548412-1),kPa,Tracadie Wharf","Water Pressure (M-WP04 21038195:21558158-1),kPa,Tracadie Wharf","Diff Pressure (M-DP04 21038195:21558158-2),kPa,Tracadie Wharf","Water Temperature (M-WT 21038195:21558158-3),°C,Tracadie Wharf","Water Level (M-WL04 21038195:21558158-4),meters,Tracadie Wharf","Accumulated Rain (C-ACC-RAIN 21038195:21038368-2),mm,Tracadie Wharf,Tracadie Harbour","Average wind speed (S-WCF 21038195:21038454-1),Km/h,Tracadie Wharf","Wind gust  speed (S-WCF 21038195:21038454-2),Km/h,Tracadie Wharf"
12/01/2024,00:00:00 -0400,1,0,209,-0.34,,,,,,,,7,10
12/01/2024,00:02:00 -0400,1,0,211,-0.4,,,,,,,,8,12
12/01/2024,00:03:00 -0400,,,,,4.245,100.976,106.154,5.178,4.11,-0.39968,,,
12/01/2024,00:04:00 -0400,1,0,204,-0.45,,,,,,,,8,11
12/01/2024,00:06:00 -0400,1,0,205,-0.48,,,,,,,,8,12
12/01/2024,00:08:00 -0400,1,0,199,-0.51,4.236,100.981,106.104,5.123,4.01,-0.40514,,8,11
12/01/2024,00:10:00 -0400,1,0,197,-0.48,,,,,,,,8,13
12/01/2024,00:12:00 -0400,1,0,195,-0.42,,,,,,,,8,12
12/01/2024,00:13:00 -0400,,,,,4.238,100.985,106.014,5.029,3.9,-0.41445,,,
12/01/2024,00:14:00 -0400,1,0,194,-0.48,,,,,,,,7,10
12/01/2024,00:16:00 -0400,1,0,194,-0.54,,,,,,,,7,10
12/01/2024,00:18:00 -0400,1,0,190,-0.68,4.242,100.992,105.956,4.964,3.8,-0.42098,,7,11
12/01/2024,00:20:00 -0400,1,0,191,-0.73,,,,,,,,7,11
12/01/2024,00:22:00 -0400,1,0,191,-0.79,,,,,,,,6,8
12/01/2024,00:23:00 -0400,,,,,4.239,100.988,105.924,4.936,3.69,-0.42378,,,
12/01/2024,00:24:00 -0400,1,0,194,-0.85,,,,,,,,5,7
12/01/2024,00:26:00 -0400,1,0,192,-0.9,,,,,,,,5,7
12/01/2024,00:28:00 -0400,1,0,192,-0.9,4.236,100.986,105.849,4.863,3.69,-0.43104,,6,8
12/01/2024,00:30:00 -0400,1,0,191,-0.9,,,,,,,,6,8
12/01/2024,00:32:00 -0400,1,0,191,-0.9,,,,,,,,6,7
12/01/2024,00:33:00 -0400,,,,,4.239,100.992,105.759,4.767,3.59,-0.44055,,,
12/01/2024,00:34:00 -0400,1,0,192,-0.96,,,,,,,,5,7
12/01/2024,00:36:00 -0400,1,0,195,-0.96,,,,,,,,6,8
12/01/2024,00:38:00 -0400,1,0,197,-0.87,4.232,100.99,105.724,4.734,3.59,-0.44386,,6,8
12/01/2024,00:40:00 -0400,1,0,201,-0.87,,,,,,,,6,7
12/01/2024,00:42:00 -0400,1,0,204,-0.85,,,,,,,,6,8
12/01/2024,00:43:00 -0400,,,,,4.232,100.99,105.671,4.681,3.59,-0.44913,,,
12/01/2024,00:44:00 -0400,1,0,204,-0.82,,,,,,,,6,8
12/01/2024,00:46:00 -0400,1,0,204,-0.73,,,,,,,,7,10
12/01/2024,00:48:00 -0400,1,0,205,-0.7,4.238,100.992,105.565,4.573,3.59,-0.45987,,7,10
12/01/2024,00:50:00 -0400,1,0,206,-0.68,,,,,,,,7,10
12/01/2024,00:52:00 -0400,1,0,205,-0.68,,,,,,,,7,10
12/01/2024,00:53:00 -0400,,,,,4.23,100.994,105.574,4.58,3.59,-0.4592,,,
12/01/2024,00:54:00 -0400,1,0,208,-0.62,,,,,,,,7,11
12/01/2024,00:56:00 -0400,1,0,204,-0.62,,,,,,,,8,10
12/01/2024,00:58:00 -0400,1,0,205,-0.68,4.23,101,105.511,4.511,3.48,-0.46606,,8,10
12/01/2024,01:00:00 -0400,1,0,205,-0.68,,,,,,,,6,8
12/01/2024,01:02:00 -0400,1,0,204,-0.7,,,,,,,,8,10
12/01/2024,01:03:00 -0400,,,,,4.235,101.002,105.431,4.429,3.48,-0.47417,,,
12/01/2024,01:04:00 -0400,1,0,202,-0.73,,,,,,,,6,8
12/01/2024,01:06:00 -0400,1,0,198,-0.76,,,,,,,,7,10
12/01/2024,01:08:00 -0400,1,0,195,-0.82,4.227,101.007,105.405,4.398,3.48,-0.4773,,8,12
12/01/2024,01:10:00 -0400,1,0,197,-0.87,,,,,,,,6,8
12/01/2024,01:12:00 -0400,1,0,198,-0.9,,,,,,,,6,8
12/01/2024,01:13:00 -0400,,,,,4.229,101.005,105.365,4.36,3.48,-0.48105,,,
12/01/2024,01:14:00 -0400,1,0,204,-0.85,,,,,,,,6,7
12/01/2024,01:16:00 -0400,1,0,204,-0.9,,,,,,,,7,10
12/01/2024,01:18:00 -0400,1,0,204,-0.87,4.232,101.008,105.308,4.3,3.48,-0.48706,,7,11
12/01/2024,01:20:00 -0400,1,0,199,-0.85,,,,,,,,7,10
12/01/2024,01:22:00 -0400,1,0,199,-0.93,,,,,,,,6,8
12/01/2024,01:23:00 -0400,,,,,4.223,101.019,105.268,4.249,3.48,-0.4921,,,
12/01/2024,01:24:00 -0400,1,0,201,-0.96,,,,,,,,6,8
12/01/2024,01:26:00 -0400,1,0,204,-0.93,,,,,,,,7,11
12/01/2024,01:28:00 -0400,1,0,204,-0.93,4.226,101.02,105.245,4.225,3.38,-0.49452,,7,10
12/01/2024,01:30:00 -0400,1,0,198,-0.99,,,,,,,,7,10
12/01/2024,01:32:00 -0400,1,0,201,-0.99,,,,,,,,6,8
12/01/2024,01:33:00 -0400,,,,,4.23,101.031,105.24,4.209,3.38,-0.49605,,,
12/01/2024,01:34:00 -0400,1,0,198,-1.04,,,,,,,,6,7
12/01/2024,01:36:00 -0400,1,0,204,-0.99,,,,,,,,6,10
12/01/2024,01:38:00 -0400,1,0,204,-1.01,4.223,101.035,105.178,4.143,3.38,-0.5026,,6,10
12/01/2024,01:40:00 -0400,1,0,201,-0.99,,,,,,,,6,10
12/01/2024,01:42:00 -0400,1,0,205,-0.96,,,,,,,,6,10
12/01/2024,01:43:00 -0400,,,,,4.224,101.036,105.174,4.138,3.38,-0.50314,,,
12/01/2024,01:44:00 -0400,1,0,206,-1.07,,,,,,,,5,6
12/01/2024,01:46:00 -0400,1,0,206,-1.01,,,,,,,,6,8
12/01/2024,01:48:00 -0400,1,0,204,-1.04,4.227,101.039,105.196,4.157,3.38,-0.50124,,5,8
12/01/2024,01:50:00 -0400,1,0,205,-1.04,,,,,,,,6,7
12/01/2024,01:52:00 -0400,1,0,201,-1.07,,,,,,,,7,11
12/01/2024,01:53:00 -0400,,,,,4.22,101.045,105.17,4.125,3.38,-0.50447,,,
12/01/2024,01:54:00 -0400,1,0,199,-1.1,,,,,,,,6,10
12/01/2024,01:56:00 -0400,1,0,201,-1.13,,,,,,,,6,8
12/01/2024,01:58:00 -0400,1,0,199,-1.1,4.221,101.053,105.174,4.121,3.38,-0.50483,,6,8
12/01/2024,02:00:00 -0400,1,0,201,-1.13,,,,,,,,6,8
12/01/2024,02:02:00 -0400,1,0,201,-1.13,,,,,,,,6,10
12/01/2024,02:03:00 -0400,,,,,4.224,101.053,105.192,4.139,3.38,-0.50307,,,
12/01/2024,02:04:00 -0400,1,0,197,-1.16,,,,,,,,7,11
12/01/2024,02:06:00 -0400,1,0,201,-1.1,,,,,,,,7,10
12/01/2024,02:08:00 -0400,1,0,201,-1.1,4.223,101.062,105.196,4.134,3.38,-0.50353,,7,12
12/01/2024,02:10:00 -0400,1,0,198,-1.04,,,,,,,,8,16
12/01/2024,02:12:00 -0400,1,0,201,-1.04,,,,,,,,7,10
12/01/2024,02:13:00 -0400,,,,,4.218,101.068,105.227,4.159,3.38,-0.50105,,,
12/01/2024,02:14:00 -0400,1,0,202,-0.96,,,,,,,,7,11
12/01/2024,02:16:00 -0400,1,0,205,-0.9,,,,,,,,8,12
12/01/2024,02:18:00 -0400,1,0,205,-0.79,4.224,101.067,105.245,4.178,3.38,-0.49919,,10,12
12/01/2024,02:20:00 -0400,1,0,204,-0.79,,,,,,,,8,11
12/01/2024,02:22:00 -0400,1,0,204,-0.73,,,,,,,,8,10
12/01/2024,02:23:00 -0400,,,,,4.214,101.069,105.24,4.171,3.38,-0.49983,,,
12/01/2024,02:24:00 -0400,1,0,201,-0.62,,,,,,,,11,17
12/01/2024,02:26:00 -0400,1,0,205,-0.62,,,,,,,,10,14
12/01/2024,02:28:00 -0400,1,0,204,-0.59,4.217,101.082,105.23,4.148,3.27,-0.50212,,10,13
12/01/2024,02:30:00 -0400,1,0,204,-0.62,,,,,,,,10,12
12/01/2024,02:32:00 -0400,1,0,208,-0.56,,,,,,,,10,13
12/01/2024,02:33:00 -0400,,,,,4.221,101.086,105.265,4.179,3.27,-0.49901,,,
12/01/2024,02:34:00 -0400,1,0,205,-0.56,,,,,,,,10,13
12/01/2024,02:36:00 -0400,1,0,205,-0.56,,,,,,,,8,11
12/01/2024,02:38:00 -0400,1,0,204,-0.65,4.214,101.091,105.279,4.188,3.27,-0.49819,,7,8
12/01/2024,02:40:00 -0400,1,0,195,-0.62,,,,,,,,7,10
12/01/2024,02:42:00 -0400,1,0,190,-0.68,,,,,,,,8,11
12/01/2024,02:43:00 -0400,,,,,4.215,101.096,105.292,4.196,3.27,-0.49737,,,
12/01/2024,02:44:00 -0400,1,0,184,-0.76,,,,,,,,7,10
12/01/2024,02:46:00 -0400,1,0,181,-0.82,,,,,,,,8,11
12/01/2024,02:48:00 -0400,1,0,178,-0.87,4.22,101.096,105.323,4.227,3.27,-0.49429,,7,11
12/01/2024,02:50:00 -0400,1,0,183,-0.9,,,,,,,,6,7
12/01/2024,02:52:00 -0400,1,0,178,-0.93,,,,,,,,6,8
12/01/2024,02:53:00 -0400,,,,,4.215,101.102,105.34,4.238,3.27,-0.49313,,,
12/01/2024,02:54:00 -0400,1,0,178,-0.96,,,,,,,,6,11
12/01/2024,02:56:00 -0400,1,0,181,-0.99,,,,,,,,7,10
